time,open,high,low,close
1744205400,37817,37830,37817,37830
1744205400.001,37830,37843,37830,37843
1744205400.002,37843,37856,37843,37856
1744205400.003,37856,37869,37856,37869
1744205400.004,37869,37882,37869,37882
1744205400.005,37882,37895,37882,37895
1744209000,37895,37908,37895,37908
1744209000.001,37908,37921,37908,37921
1744212600,37921,37934,37921,37934
1744212600.001,37934,37947,37934,37947
1744212600.002,37947,37960,37947,37960
1744212600.003,37960,37973,37960,37973
1744212600.004,37973,37986,37973,37986
1744216200,37986,37999,37986,37999
1744216200.001,37999,38012,37999,38012
1744216200.002,38012,38025,38012,38025
1744216200.003,38025,38038,38025,38038
1744216200.004,38038,38051,38038,38051
1744216200.005,38051,38064,38051,38064
1744216200.006,38064,38077,38064,38077
1744216200.007,38077,38090,38077,38090
1744216200.008,38090,38103,38090,38103
1744216200.009,38103,38116,38103,38116
1744216200.01,38116,38129,38116,38129
1744216200.011,38129,38142,38129,38142
1744216200.012,38142,38155,38142,38155
1744216200.013,38155,38168,38155,38168
1744216200.014,38168,38181,38168,38181
1744216200.015,38181,38194,38181,38194
1744216200.016,38194,38207,38194,38207
1744216200.017,38207,38220,38207,38220
1744216200.018,38220,38233,38220,38233
1744216200.019,38233,38246,38233,38246
1744216200.02,38246,38259,38246,38259
1744216200.021,38259,38272,38259,38272
1744216200.022,38272,38285,38272,38285
1744216200.023,38285,38298,38285,38298
1744216200.024,38298,38311,38298,38311
1744216200.025,38311,38324,38311,38324
1744216200.026,38324,38337,38324,38337
1744216200.027,38337,38350,38337,38350
1744216200.028,38350,38363,38350,38363
1744216200.029,38363,38376,38363,38376
1744216200.03,38376,38389,38376,38389
1744216200.031,38389,38402,38389,38402
1744216200.032,38402,38415,38402,38415
1744216200.033,38415,38428,38415,38428
1744216200.034,38428,38441,38428,38441
1744216200.035,38441,38454,38441,38454
1744216200.036,38454,38467,38454,38467
1744216200.037,38467,38480,38467,38480
1744216200.038,38480,38493,38480,38493
1744216200.039,38493,38506,38493,38506
1744216200.04,38506,38519,38506,38519
1744216200.041,38519,38532,38519,38532
1744216200.042,38532,38545,38532,38545
1744216200.043,38545,38558,38545,38558
1744216200.044,38558,38571,38558,38571
1744216200.045,38571,38584,38571,38584
1744216200.046,38584,38597,38584,38597
1744216200.047,38597,38610,38597,38610
1744216200.048,38610,38623,38610,38623
1744216200.049,38623,38636,38623,38636
1744216200.05,38636,38649,38636,38649
1744216200.051,38649,38662,38649,38662
1744216200.052,38662,38675,38662,38675
1744216200.053,38675,38688,38675,38688
1744216200.054,38688,38701,38688,38701
1744216200.055,38701,38714,38701,38714
1744216200.056,38714,38727,38714,38727
1744216200.057,38727,38740,38727,38740
1744216200.058,38740,38753,38740,38753
1744216200.059,38753,38766,38753,38766
1744216200.06,38766,38779,38766,38779
1744216200.061,38779,38792,38779,38792
1744216200.062,38792,38805,38792,38805
1744216200.063,38805,38818,38805,38818
1744216200.064,38818,38831,38818,38831
1744216200.065,38831,38844,38831,38844
1744216200.066,38844,38857,38844,38857
1744216200.067,38857,38870,38857,38870
1744216200.068,38870,38883,38870,38883
1744216200.069,38883,38896,38883,38896
1744216200.07,38896,38909,38896,38909
1744216200.071,38909,38922,38909,38922
1744216200.072,38922,38935,38922,38935
1744216200.073,38935,38948,38935,38948
1744216200.074,38948,38961,38948,38961
1744216200.075,38961,38974,38961,38974
1744216200.076,38974,38987,38974,38987
1744216200.077,38987,39000,38987,39000
1744216200.078,39000,39013,39000,39013
1744216200.079,39013,39026,39013,39026
1744216200.08,39026,39039,39026,39039
1744216200.081,39039,39052,39039,39052
1744216200.082,39052,39065,39052,39065
1744216200.083,39065,39078,39065,39078
1744216200.084,39078,39091,39078,39091
1744216200.085,39091,39104,39091,39104
1744216200.086,39104,39117,39104,39117
1744216200.087,39117,39130,39117,39130
1744216200.088,39130,39143,39130,39143
1744216200.089,39143,39156,39143,39156
1744216200.09,39156,39169,39156,39169
1744216200.091,39169,39182,39169,39182
1744216200.092,39182,39195,39182,39195
