time,open,high,low,close,Long Entry,Short Entry,Renko ADX(14) [1],Vol Ratio,PSAR dir [1],Vel Ratio [1],Vel SMA,Brick TD (s),ET Time,Force Close,Entry Cutoff,Long Entry,Short Entry,Renko ADX(14) [1],Vol Ratio,PSAR dir [1],ET Time,Force Close,Entry Cutoff
1648218600,34776,34776,34734,34734,0,0,,1,-1,,,,10.5,0,0,0,0,,1,-1,10.5,0,0
1648218600.001,34734,34734,34692,34692,0,1,,1,-1,1,,0,10.5,0,0,0,1,,1,-1,10.5,0,0
1648218600.002,34692,34692,34650,34650,0,0,,1,-1,1,,0,10.5,0,0,0,0,,1,-1,10.5,0,0
1648218600.003,34650,34650,34608,34608,0,0,,1,-1,1,,0,10.5,0,0,0,0,,1,-1,10.5,0,0
1648218600.004,34608,34608,34566,34566,0,0,,1,-1,1,,0,10.5,0,0,0,0,,1,-1,10.5,0,0
1648229400,34608,34650,34608,34650,0,0,,1,-1,1,,0,13.5,0,0,0,0,,1,-1,13.5,0,0
1648236600,34650,34692,34577,34692,0,0,,1,-1,1,,0,15.5,0,1,0,0,,1,-1,15.5,0,1
1648236600.001,34692,34734,34692,34734,0,0,,1,-1,1,,0,15.5,0,1,0,0,,1,-1,15.5,0,1
1648477800,34692,34692,34650,34650,0,0,,1,1,1,,0,10.5,0,0,0,0,,1,1,10.5,0,0
1648477800.001,34650,34650,34608,34608,0,0,,1,1,1,,0,10.5,0,0,0,0,,1,1,10.5,0,0
1648481400,34608,34608,34566,34566,0,0,,1,1,1,,0,11.5,0,0,0,0,,1,1,11.5,0,0
1648481400.001,34566,34566,34524,34524,0,0,,1,-1,1,,0,11.5,0,0,0,0,,1,-1,11.5,0,0
1648488600,34566,34608,34566,34608,0,0,,1,-1,1,,0,13.5,0,0,0,0,,1,-1,13.5,0,0
1648492200,34608,34650,34608,34650,0,0,,1,-1,1,,0,14.5,0,0,0,0,,1,-1,14.5,0,0
1648492200.001,34650,34692,34650,34692,0,0,,1,-1,1,,0,14.5,0,0,0,0,,1,-1,14.5,0,0
1648492200.002,34692,34734,34692,34734,0,0,,1,-1,1,,0,14.5,0,0,0,0,,1,-1,14.5,0,0
1648495800,34734,34776,34734,34776,0,0,,1,1,1,,0,15.5,0,1,0,0,,1,1,15.5,0,1
1648495800.001,34776,34818,34776,34818,0,0,,1,1,1,,0,15.5,0,1,0,0,,1,1,15.5,0,1
1648495800.002,34818,34860,34818,34860,0,0,,1,1,1,,0,15.5,0,1,0,0,,1,1,15.5,0,1
1648560600,34860,34902,34860,34902,0,0,,0.7689518394097958,1,1,,0,9.5,0,0,0,0,,0.7689518394097958,1,9.5,0,0
1648560600.001,34902,34944,34902,34944,0,0,,0.7862530119984384,1,1,0.00005,0.001,9.5,0,0,0,0,,0.7862530119984384,1,9.5,0,0
1648560600.002,34944,34986,34944,34986,0,0,,0.8025912464289728,1,20,0.0001,0.001,9.5,0,0,0,0,,0.8025912464289728,1,9.5,0,0
1648560600.003,34986,35028,34986,35028,0,0,,0.8179697598334988,1,10,0.00015000000000000001,0.001,9.5,0,0,0,0,,0.8179697598334988,1,9.5,0,0
1648560600.004,35028,35070,35028,35070,0,0,,0.8324004313025176,1,6.666666666666666,0.0002,0.001,9.5,0,0,0,0,,0.8324004313025176,1,9.5,0,0
1648571400,35028,35103,34986,34986,0,0,,3.340146359526514,1,5,540,10799.996,12.5,0,0,0,0,,3.340146359526514,1,12.5,0,0
1648578600,35028,35070,35028,35070,0,0,,0.5518172844321217,1,19.99999259259259,900,7200,14.5,0,0,0,0,,0.5518172844321217,1,14.5,0,0
1648578600.001,35070,35112,35070,35112,0,0,,0.5764212900597522,1,8,900.00005,0.001,14.5,0,0,0,0,,0.5764212900597522,1,14.5,0,0
1648578600.002,35112,35154,35112,35154,0,0,,0.6006520937744066,1,0.0000011111110493827196,900.0001,0.001,14.5,0,0,0,0,,0.6006520937744066,1,14.5,0,0
1648665000,35112,35112,35070,35070,0,0,24.550772771688326,3.1731447130158927,1,0.0000011111109876543348,2304.000099999999,28079.99999999999,14.5,0,0,0,0,24.550772771688326,3.1731447130158927,1,14.5,0,0
1648665000.001,35070,35070,35028,35028,0,0,24.98505061575333,2.6290254109106606,1,12.187499471028671,2304.000149999999,0.001,14.5,0,0,0,0,24.98505061575333,2.6290254109106606,1,14.5,0,0
1648668600,35070,35112,35070,35112,0,0,24.68444727273234,0.697885072462913,1,4.34027749520763e-7,2484.000099999999,3599.999,15.5,0,1,0,0,24.68444727273234,0.697885072462913,1,15.5,0,1
1648733400,35070,35070,35028,35028,0,0,24.830482217971532,0.8281713576667625,1,1.4492749013979513,4374.000092499998,37799.99984999998,9.5,0,0,0,0,24.830482217971532,0.8281713576667625,1,9.5,0,0
1648733400.001,35028,35028,34986,34986,0,0,24.288482924146486,0.8419495527682138,-1,8.641975091590604,4374.000142499998,0.001,9.5,0,0,0,0,24.288482924146486,0.8419495527682138,-1,9.5,0,0
