time,open,high,low,close
1717455600,69150,69150,69000,69000
1717455600.001,69000,69000,68850,68850
1717462800,69000,69150,69000,69150
1717488000,69000,69154.75,68850,68850
1717491600,68850,68850,68700,68700
1717506000,68850,69000,68850,69000
1717506000.001,69000,69150,69000,69150
1717506000.002,69150,69300,69150,69300
1717506000.003,69300,69450,69300,69450
1717509600,69450,69600,69450,69600
1717513200,69600,69750,69600,69750
1717513200.001,69750,69900,69750,69900
1717513200.002,69900,70050,69900,70050
1717513200.003,70050,70200,70050,70200
1717513200.004,70200,70350,70200,70350
1717516800,70350,70500,70350,70500
1717516800.001,70500,70650,70500,70650
1717516800.002,70650,70800,70650,70800
1717527600,70650,70650,70500,70500
1717549200,70650,70800,70419.75,70800
1717549200.001,70800,70950,70800,70950
1717560000,70950,71100,70950,71100
1717592400,70950,71185.75,70800,70800
1717599600,70950,71100,70950,71100
1717599600.001,71100,71250,71100,71250
1717599600.002,71250,71400,71250,71400
1717599600.003,71400,71550,71400,71550
1717610400,71400,71626.25,71250,71250
1717632000,71250,71250,71100,71100
1717650000,71100,71100,70950,70950
1717682400,71100,71250,70879.5,71250
1717682400.001,71250,71400,71250,71400
1717689600,71250,71250,71100,71100
1717689600.001,71100,71100,70950,70950
1717700400,70950,70950,70800,70800
1717700400.001,70800,70800,70650,70650
1717700400.002,70650,70650,70500,70500
1717711200,70650,70800,70650,70800
1717729200,70800,70950,70800,70950
1717732800,70950,71100,70950,71100
1717736400,71100,71250,71100,71250
1717758000,71250,71400,71074.25,71400
1717758000.001,71400,71550,71400,71550
1717761600,71400,71400,71250,71250
1717772400,71250,71483.25,71100,71100
1717776000,71100,71100,70950,70950
1717779600,70950,70950,70800,70800
1717779600.001,70800,70800,70650,70650
1717779600.002,70650,70650,70500,70500
1717779600.003,70500,70500,70350,70350
1717779600.004,70350,70350,70200,70200
1717779600.005,70200,70200,70050,70050
1717779600.006,70050,70050,69900,69900
1717779600.007,69900,69900,69750,69750
1717783200,69750,69750,69600,69600
1717783200.001,69600,69600,69450,69450
1717783200.002,69450,69450,69300,69300
1717783200.003,69300,69300,69150,69150
1717797600,69300,69450,69300,69450
1717934400,69450,69600,69200.5,69600
1718002800,69450,69742.75,69300,69300
1718028000,69450,69600,69450,69600
1718031600,69600,69750,69600,69750
1718031600.001,69750,69900,69750,69900
1718046000,69750,70037.75,69600,69600
1718064000,69600,69600,69450,69450
1718067600,69450,69450,69300,69300
1718067600.001,69300,69300,69150,69150
1718067600.002,69150,69150,69000,69000
1718067600.003,69000,69000,68850,68850
1718067600.004,68850,68850,68700,68700
1718071200,68700,68700,68550,68550
1718071200.001,68550,68550,68400,68400
1718071200.002,68400,68400,68250,68250
1718078400,68250,68435.75,68100,68100
1718082000,68100,68100,67950,67950
1718085600,67950,67950,67800,67800
1718085600.001,67800,67800,67650,67650
1718092800,67650,67650,67500,67500
1718096400,67500,67500,67350,67350
1718096400.001,67350,67350,67200,67200
1718100000,67200,67200,67050,67050
1718103600,67050,67050,66900,66900
1718118000,66900,66900,66750,66750
1718118000.001,66750,66750,66600,66600
1718118000.002,66600,66600,66450,66450
1718118000.003,66450,66450,66300,66300
1718125200,66450,66600,66450,66600
1718128800,66600,66750,66600,66750
1718128800.001,66750,66900,66750,66900
1718128800.002,66900,67050,66900,67050
1718132400,67050,67200,67050,67200
1718132400.001,67200,67350,67200,67350
1718182800,67350,67500,67172,67500
1718182800.001,67500,67650,67500,67650
1718186400,67650,67800,67650,67800
1718186400.001,67800,67950,67800,67950
1718193600,67950,68100,67764.25,68100
1718193600.001,68100,68250,68100,68250
1718193600.002,68250,68400,68250,68400
1718193600.003,68400,68550,68400,68550
1718193600.004,68550,68700,68550,68700
1718193600.005,68700,68850,68700,68850
1718193600.006,68850,69000,68850,69000
1718193600.007,69000,69150,69000,69150
1718193600.008,69150,69300,69150,69300
1718200800,69300,69450,69300,69450
1718200800.001,69450,69600,69450,69600
1718200800.002,69600,69750,69600,69750
1718200800.003,69750,69900,69750,69900
