Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-06-12 18:00:00,[ExitL rA:NaN R:72 V:1 PS:U hST:NaN hR:NaN hM:NaN],69600,0.001,67.8,1.79,2.65,2.1,3.09,-0.04,-0.06,1.79,0.18
1,Entry long,2024-06-12 10:00:00,[ST rA:NaN R:54 V:1 PS:U hST:NaN hR:NaN hM:NaN],67800,0.001,67.8,1.79,2.65,2.1,3.09,-0.04,-0.06,1.79,0.18
2,Exit long,2024-06-25 07:00:00,[ExitL rA:47 R:54 V:1 PS:U hST:-1 hR:57 hM:305.9],61050,0.001,60.75,0.29,0.48,0.6,0.98,-0.003,0.00,2.09,0.21
2,Entry long,2024-06-25 03:00:00,[ST rA:44 R:50 V:1 PS:U hST:-1 hR:41 hM:-127.1],60750,0.001,60.75,0.29,0.48,0.6,0.98,-0.003,0.00,2.09,0.21
3,Exit long,2024-07-06 04:00:00,[ExitL rA:40 R:65 V:1 PS:U hST:-1 hR:38 hM:101.1],56250,0.001,55.5,0.74,1.34,1.15,2.07,-0.003,0.00,2.83,0.28
3,Entry long,2024-07-05 13:00:00,[ST rA:51 R:59 V:1 PS:U hST:-1 hR:38 hM:101.1],55500,0.001,55.5,0.74,1.34,1.15,2.07,-0.003,0.00,2.83,0.28
4,Exit long,2024-07-08 10:00:00,[ExitL rA:41 R:67 V:1 PS:U hST:-1 hR:46 hM:265.1],57450,0.001,56.25,1.19,2.12,1.5,2.66,-0.003,0.00,4.03,0.40
4,Entry long,2024-07-08 08:00:00,[ST rA:43 R:53 V:1 PS:U hST:-1 hR:38 hM:126.9],56250,0.001,56.25,1.19,2.12,1.5,2.66,-0.003,0.00,4.03,0.40
5,Exit long,2024-07-19 22:00:00,[ExitL rA:35 R:75 V:1 PS:U hST:-1 hR:61 hM:164.8],66900,0.001,66,0.89,1.35,1.2,1.81,-0.003,0.00,4.92,0.49
5,Entry long,2024-07-19 16:00:00,[MACD rA:29 R:76 V:1 PS:U hST:-1 hR:52 hM:14.1],66000,0.001,66,0.89,1.35,1.2,1.81,-0.003,0.00,4.92,0.49
6,Exit long,2024-07-26 14:00:00,[ExitL rA:52 R:74 V:1 PS:U hST:-1 hR:74 hM:144],67500,0.001,67.2,0.29,0.44,0.6,0.89,-0.003,0.00,5.22,0.52
6,Entry long,2024-07-26 13:00:00,[EMA rA:33 R:80 V:1 PS:U hST:-1 hR:68 hM:36.3],67200,0.001,67.2,0.29,0.44,0.6,0.89,-0.003,0.00,5.22,0.52
7,Exit long,2024-08-02 01:00:00,[ExitL rA:47 R:62 V:1 PS:U hST:-1 hR:65 hM:286.3],64950,0.001,63.9,1.04,1.63,1.35,2.11,-0.003,0.00,6.26,0.63
7,Entry long,2024-08-01 20:00:00,[MACD rA:39 R:47 V:1 PS:U hST:-1 hR:63 hM:253.6],63900,0.001,63.9,1.04,1.63,1.35,2.11,-0.003,0.00,6.26,0.63
8,Exit long,2024-08-05 18:00:00,[ExitL rA:32 R:79 V:1 PS:U hST:-1 hR:48 hM:174.9],54450,0.001,50.7,3.75,7.39,4.05,7.98,-0.002,0.00,10,1.00
8,Entry long,2024-08-05 13:00:00,[ST rA:39 R:37 V:1 PS:U hST:1 hR:42 hM:45.2],50700,0.001,50.7,3.75,7.39,4.05,7.98,-0.002,0.00,10,1.00
9,Exit long,2024-08-08 04:00:00,[ExitL rA:62 R:65 V:1 PS:U hST:-1 hR:60 hM:451.7],57000,0.001,55.65,1.34,2.42,1.65,2.96,-0.003,0.00,11.35,1.13
9,Entry long,2024-08-08 01:00:00,[RSI rA:62 R:46 V:1 PS:U hST:-1 hR:38 hM:236.5],55650,0.001,55.65,1.34,2.42,1.65,2.96,-0.003,0.00,11.35,1.13
10,Exit long,2024-08-15 17:00:00,[ExitL rA:32 R:52 V:1 PS:U hST:-1 hR:64 hM:-0.2],59400,0.001,59.55,-0.16,-0.26,0.15,0.25,-0.15,-0.26,11.19,1.12
10,Entry long,2024-08-15 15:00:00,[ST rA:33 R:56 V:1 PS:U hST:1 hR:53 hM:-214.6],59550,0.001,59.55,-0.16,-0.26,0.15,0.25,-0.15,-0.26,11.19,1.12
11,Exit long,2024-09-04 17:00:00,[ExitL rA:28 R:60 V:1 PS:U hST:-1 hR:53 hM:-42.6],58050,0.001,57.75,0.29,0.51,0.6,1.03,-0.003,0.00,11.49,1.15
11,Entry long,2024-09-04 15:00:00,[ST rA:31 R:58 V:1 PS:U hST:-1 hR:50 hM:-104.4],57750,0.001,57.75,0.29,0.51,0.6,1.03,-0.003,0.00,11.49,1.15
12,Exit long,2024-09-07 17:00:00,[ExitL rA:30 R:53 V:1 PS:U hST:-1 hR:48 hM:39.2],54450,0.001,54.6,-0.16,-0.28,0.15,0.27,-0.15,-0.28,11.33,1.13
12,Entry long,2024-09-07 15:00:00,[ST rA:30 R:58 V:1 PS:U hST:-1 hR:45 hM:-22.9],54600,0.001,54.6,-0.16,-0.28,0.15,0.27,-0.15,-0.28,11.33,1.13
13,Exit long,2024-09-17 18:00:00,[ExitL rA:36 R:74 V:1 PS:U hST:-1 hR:39 hM:-16.5],60750,0.001,60.3,0.44,0.74,0.75,1.24,-0.003,0.00,11.78,1.18
13,Entry long,2024-09-17 15:00:00,[MACD rA:40 R:78 V:1 PS:U hST:-1 hR:39 hM:-16.5],60300,0.001,60.3,0.44,0.74,0.75,1.24,-0.003,0.00,11.78,1.18
14,Exit long,2024-09-27 19:00:00,[ExitL rA:48 R:67 V:1 PS:U hST:-1 hR:69 hM:129.1],65850,0.001,65.4,0.44,0.68,0.9,1.37,-0.003,0.00,12.22,1.22
14,Entry long,2024-09-27 08:00:00,[MACD rA:37 R:67 V:1 PS:U hST:-1 hR:67 hM:87.4],65400,0.001,65.4,0.44,0.68,0.9,1.37,-0.003,0.00,12.22,1.22
15,Exit long,2024-10-11 22:00:00,[ExitL rA:39 R:73 V:1 PS:U hST:-1 hR:71 hM:96.9],62700,0.001,61.5,1.19,1.94,1.53,2.48,-0.003,0.00,13.42,1.34
15,Entry long,2024-10-11 14:00:00,[ST rA:32 R:67 V:1 PS:U hST:-1 hR:69 hM:61.6],61500,0.001,61.5,1.19,1.94,1.53,2.48,-0.003,0.00,13.42,1.34
16,Exit long,2024-11-01 15:00:00,[ExitL rA:46 R:58 V:1 PS:U hST:-1 hR:62 hM:267.9],70950,0.001,70.5,0.44,0.63,0.75,1.06,-0.003,0.00,13.86,1.39
16,Entry long,2024-11-01 13:00:00,[ST rA:31 R:52 V:1 PS:U hST:-1 hR:49 hM:-8.6],70500,0.001,70.5,0.44,0.63,0.75,1.06,-0.003,0.00,13.86,1.39
17,Exit long,2024-11-05 18:00:00,[ExitL rA:31 R:66 V:1 PS:U hST:-1 hR:50 hM:-93.5],69900,0.001,70.05,-0.16,-0.22,0,0.00,-0.15,-0.22,13.7,1.37
17,Entry long,2024-11-05 18:00:00,[EMA rA:35 R:75 V:1 PS:U hST:-1 hR:54 hM:-181],70050,0.001,70.05,-0.16,-0.22,0,0.00,-0.15,-0.22,13.7,1.37
18,Exit long,2024-11-06 23:00:00,[ExitL rA:38 R:73 V:1 PS:U hST:-1 hR:56 hM:279.3],75750,0.001,74.7,1.04,1.40,1.35,1.80,-0.003,0.00,14.75,1.47
18,Entry long,2024-11-06 17:00:00,[ST rA:38 R:69 V:1 PS:U hST:-1 hR:63 hM:311],74700,0.001,74.7,1.04,1.40,1.35,1.80,-0.003,0.00,14.75,1.47
19,Exit long,2024-11-10 18:00:00,[ExitL rA:51 R:80 V:1 PS:U hST:-1 hR:78 hM:43.3],80250,0.001,77.7,2.54,3.27,2.85,3.66,-0.004,0.00,17.29,1.73
