Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-06-05 15:00:00,[ExitL rA:NaN R:69 B:0.76 M:- K:70777 CH:17 SK:78 PS:U],70950,0.001,70.95,-0.01,-0.01,0.23,0.33,-0.15,-0.22,-0.01,0.00
1,Entry long,2024-06-05 04:00:00,[KAMA rA:NaN R:76 B:0.89 M:- K:70684 CH:12 SK:100 PS:U],70950,0.001,70.95,-0.01,-0.01,0.23,0.33,-0.15,-0.22,-0.01,0.00
2,Exit long,2024-06-11 00:00:00,[ExitL rA:NaN R:42 B:0.36 M:+ K:69401 CH:43 SK:43 PS:U],69600,0.001,69.75,-0.16,-0.22,0.28,0.41,-0.15,-0.22,-0.16,-0.02
2,Entry long,2024-06-10 15:00:00,[KAMA rA:NaN R:44 B:0.39 M:- K:69394 CH:30 SK:44 PS:U],69750,0.001,69.75,-0.16,-0.22,0.28,0.41,-0.15,-0.22,-0.16,-0.02
3,Exit long,2024-06-12 18:00:00,[ExitL rA:29 R:72 B:0.8 M:+ K:69690 CH:5 SK:86 PS:U],69600,0.001,67.05,2.54,3.79,2.85,4.25,-0.003,0.00,2.38,0.24
3,Entry long,2024-06-11 19:00:00,[MACD rA:NaN R:36 B:0.4 M:+ K:66564 CH:15 SK:50 PS:U],67050,0.001,67.05,2.54,3.79,2.85,4.25,-0.003,0.00,2.38,0.24
4,Exit long,2024-06-13 02:00:00,[ExitL rA:47 R:43 B:0.31 M:- K:67933 CH:22 SK:33 PS:U],68100,0.001,68.25,-0.16,-0.23,0,0.00,-0.15,-0.22,2.22,0.22
4,Entry long,2024-06-13 01:00:00,[STCH rA:NaN R:50 B:0.4 M:- K:67929 CH:15 SK:50 PS:U],68250,0.001,68.25,-0.16,-0.23,0,0.00,-0.15,-0.22,2.22,0.22
5,Exit long,2024-06-17 06:00:00,[ExitL rA:28 R:48 B:0.65 M:+ K:65976 CH:23 SK:72 PS:U],66300,0.001,66,0.29,0.45,0.71,1.07,-0.03,-0.04,2.52,0.25
5,Entry long,2024-06-14 21:00:00,[MACD rA:58 R:42 B:0.43 M:+ K:65625 CH:15 SK:50 PS:U],66000,0.001,66,0.29,0.45,0.71,1.07,-0.03,-0.04,2.52,0.25
6,Exit long,2024-06-17 20:00:00,[ExitL rA:30 R:60 B:0.81 M:+ K:66760 CH:11 SK:83 PS:U],66750,0.001,66.3,0.44,0.67,0.75,1.13,-0.003,0.00,2.96,0.30
6,Entry long,2024-06-17 17:00:00,[RSI rA:NaN R:56 B:0.75 M:+ K:65782 CH:21 SK:72 PS:U],66300,0.001,66.3,0.44,0.67,0.75,1.13,-0.003,0.00,2.96,0.30
7,Exit long,2024-06-19 13:00:00,[ExitL rA:25 R:46 B:0.53 M:+ K:65133 CH:34 SK:71 PS:U],65250,0.001,65.4,-0.16,-0.24,0.15,0.22,-0.15,-0.23,2.81,0.28
7,Entry long,2024-06-19 06:00:00,[MACD rA:40 R:50 B:0.59 M:+ K:65107 CH:29 SK:75 PS:U],65400,0.001,65.4,-0.16,-0.24,0.15,0.22,-0.15,-0.23,2.81,0.28
8,Exit long,2024-06-23 20:00:00,[ExitL rA:24 R:43 B:0.42 M:+ K:63818 CH:52 SK:51 PS:U],64050,0.001,64.2,-0.16,-0.24,0.27,0.42,-0.15,-0.24,2.65,0.27
8,Entry long,2024-06-23 15:00:00,[MACD rA:27 R:48 B:0.55 M:+ K:63814 CH:48 SK:83 PS:U],64200,0.001,64.2,-0.16,-0.24,0.27,0.42,-0.15,-0.24,2.65,0.27
9,Exit long,2024-06-25 07:00:00,[ExitL rA:29 R:54 B:0.82 M:+ K:61082 CH:8 SK:85 PS:U],61050,0.001,60.15,0.89,1.49,1.2,1.99,-0.003,0.00,3.54,0.35
9,Entry long,2024-06-25 00:00:00,[STCH rA:29 R:35 B:0.41 M:+ K:59682 CH:15 SK:50 PS:U],60150,0.001,60.15,0.89,1.49,1.2,1.99,-0.003,0.00,3.54,0.35
10,Exit long,2024-06-25 18:00:00,[ExitL rA:40 R:57 B:0.77 M:+ K:61184 CH:38 SK:71 PS:U],61650,0.001,61.5,0.14,0.23,0.3,0.48,-0.003,0.00,3.69,0.37
