Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-06-05 01:00:00,[ExitL rA:NaN R:71 B:0.5 M:- ST:U K:70557 CH:8 SK:85 PS:U],70650,0.001,70.35,0.29,0.42,0.45,0.64,-0.003,0.00,0.29,0.03
1,Entry long,2024-06-04 16:00:00,[ST rA:NaN R:76 B:0.5 M:- ST:U K:69926 CH:17 SK:100 PS:U],70350,0.001,70.35,0.29,0.42,0.45,0.64,-0.003,0.00,0.29,0.03
2,Exit long,2024-06-05 15:00:00,[ExitL rA:NaN R:69 B:0.76 M:- ST:U K:70777 CH:17 SK:78 PS:U],70950,0.001,70.95,-0.01,-0.01,0.23,0.33,-0.15,-0.22,0.29,0.03
2,Entry long,2024-06-05 04:00:00,[KAMA rA:NaN R:76 B:0.89 M:- ST:U K:70684 CH:12 SK:100 PS:U],70950,0.001,70.95,-0.01,-0.01,0.23,0.33,-0.15,-0.22,0.29,0.03
3,Exit long,2024-06-07 15:00:00,[ExitL rA:NaN R:58 B:0.61 M:- ST:U K:70944 CH:39 SK:71 PS:U],71250,0.001,71.4,-0.16,-0.22,0.15,0.21,-0.15,-0.21,0.13,0.01
3,Entry long,2024-06-07 11:00:00,[ST rA:NaN R:63 B:0.8 M:- ST:U K:70902 CH:43 SK:100 PS:U],71400,0.001,71.4,-0.16,-0.22,0.15,0.21,-0.15,-0.21,0.13,0.01
4,Exit long,2024-06-11 00:00:00,[ExitL rA:32 R:42 B:0.36 M:+ ST:U K:69401 CH:43 SK:43 PS:U],69600,0.001,69.75,-0.16,-0.22,0.28,0.41,-0.15,-0.22,-0.03,0.00
4,Entry long,2024-06-10 15:00:00,[KAMA rA:NaN R:44 B:0.39 M:- ST:U K:69394 CH:30 SK:44 PS:U],69750,0.001,69.75,-0.16,-0.22,0.28,0.41,-0.15,-0.22,-0.03,0.00
5,Exit long,2024-06-12 18:00:00,[ExitL rA:29 R:72 B:0.8 M:+ ST:U K:69690 CH:5 SK:86 PS:U],69600,0.001,67.05,2.54,3.79,2.85,4.25,-0.003,0.00,2.52,0.25
5,Entry long,2024-06-11 19:00:00,[ST rA:32 R:36 B:0.4 M:+ ST:U K:66564 CH:15 SK:50 PS:U],67050,0.001,67.05,2.54,3.79,2.85,4.25,-0.003,0.00,2.52,0.25
6,Exit long,2024-06-13 02:00:00,[ExitL rA:47 R:43 B:0.31 M:- ST:U K:67933 CH:22 SK:33 PS:U],68100,0.001,68.25,-0.16,-0.23,0,0.00,-0.15,-0.22,2.36,0.24
6,Entry long,2024-06-13 01:00:00,[ST rA:58 R:50 B:0.4 M:- ST:U K:67929 CH:15 SK:50 PS:U],68250,0.001,68.25,-0.16,-0.23,0,0.00,-0.15,-0.22,2.36,0.24
7,Exit long,2024-06-17 06:00:00,[ExitL rA:28 R:48 B:0.65 M:+ ST:U K:65976 CH:23 SK:72 PS:U],66300,0.001,66,0.29,0.45,0.71,1.07,-0.03,-0.04,2.66,0.27
7,Entry long,2024-06-14 21:00:00,[MACD rA:NaN R:42 B:0.43 M:+ ST:U K:65625 CH:15 SK:50 PS:U],66000,0.001,66,0.29,0.45,0.71,1.07,-0.03,-0.04,2.66,0.27
8,Exit long,2024-06-19 13:00:00,[ExitL rA:30 R:46 B:0.53 M:+ ST:U K:65133 CH:34 SK:71 PS:U],65250,0.001,65.25,-0.01,-0.01,0.3,0.46,-0.003,0.00,2.65,0.26
8,Entry long,2024-06-19 04:00:00,[ST rA:29 R:46 B:0.47 M:+ ST:U K:65103 CH:29 SK:63 PS:U],65250,0.001,65.25,-0.01,-0.01,0.3,0.46,-0.003,0.00,2.65,0.26
9,Exit long,2024-06-20 13:00:00,[ExitL rA:24 R:57 B:0.81 M:+ ST:U K:65409 CH:30 SK:77 PS:U],65850,0.001,65.85,-0.01,-0.01,0.3,0.45,-0.003,0.00,2.64,0.26
9,Entry long,2024-06-20 10:00:00,[ST rA:29 R:59 B:1 M:+ ST:U K:65265 CH:33 SK:100 PS:U],65850,0.001,65.85,-0.01,-0.01,0.3,0.45,-0.003,0.00,2.64,0.26
10,Exit long,2024-06-23 20:00:00,[ExitL rA:20 R:43 B:0.42 M:+ ST:U K:63818 CH:52 SK:51 PS:U],64050,0.001,64.2,-0.16,-0.24,0.27,0.42,-0.15,-0.24,2.49,0.25
