Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-06-17 06:00:00,[ExitL rA:NaN R:48 SK:72 PS:U SL:65250 D:1.61%],66300,0.001,66,0.29,0.45,0.71,1.07,-0.03,-0.04,0.29,0.03
1,Entry long,2024-06-14 21:00:00,[SwBnc rA:NaN R:42 SK:50 PS:U SL:66300 D:0.68%],66000,0.001,66,0.29,0.45,0.71,1.07,-0.03,-0.04,0.29,0.03
2,Exit long,2024-06-19 13:00:00,[ExitL rA:30 R:46 SK:71 PS:U SL:65250 D:0%],65250,0.001,65.25,-0.01,-0.01,0.3,0.46,-0.003,0.00,0.29,0.03
2,Entry long,2024-06-19 04:00:00,[SwBnc rA:40 R:46 SK:63 PS:U SL:65250 D:0.23%],65250,0.001,65.25,-0.01,-0.01,0.3,0.46,-0.003,0.00,0.29,0.03
3,Exit long,2024-06-20 13:00:00,[ExitL rA:24 R:57 SK:77 PS:U SL:64500 D:2.09%],65850,0.001,65.25,0.59,0.91,0.9,1.37,-0.003,0.00,0.88,0.09
3,Entry long,2024-06-20 05:00:00,[SwBnc rA:29 R:48 SK:71 PS:D SL:64500 D:0.52%],65250,0.001,65.25,0.59,0.91,0.9,1.37,-0.003,0.00,0.88,0.09
4,Exit long,2024-06-23 20:00:00,[ExitL rA:20 R:43 SK:51 PS:U SL:64500 D:0.7%],64050,0.001,64.2,-0.16,-0.24,0.27,0.42,-0.15,-0.24,0.73,0.07
4,Entry long,2024-06-23 15:00:00,[SwBnc rA:22 R:48 SK:83 PS:U SL:64500 D:0.75%],64200,0.001,64.2,-0.16,-0.24,0.27,0.42,-0.15,-0.24,0.73,0.07
5,Exit long,2024-07-01 08:00:00,[ExitL rA:29 R:74 SK:85 PS:U SL:60000 D:5.25%],63150,0.001,60.9,2.24,3.69,2.55,4.18,-0.22,-0.36,2.97,0.30
5,Entry long,2024-06-30 07:00:00,[SwBnc rA:31 R:50 SK:56 PS:U SL:60737 D:0.02%],60900,0.001,60.9,2.24,3.69,2.55,4.18,-0.22,-0.36,2.97,0.30
6,Exit long,2024-07-06 04:00:00,[ExitL rA:44 R:65 SK:80 PS:U SL:54000 D:4.17%],56250,0.001,54.6,1.64,3.01,2.05,3.76,-0.003,0.00,4.62,0.46
6,Entry long,2024-07-05 10:00:00,[SwBnc rA:25 R:39 SK:80 PS:U SL:54000 D:0.83%],54600,0.001,54.6,1.64,3.01,2.05,3.76,-0.003,0.00,4.62,0.46
7,Exit long,2024-07-12 19:00:00,[ExitL rA:41 R:54 SK:68 PS:U SL:57396 D:0.88%],57900,0.001,57.6,0.29,0.51,0.71,1.24,-0.003,0.00,4.91,0.49
7,Entry long,2024-07-12 13:00:00,[SwBnc rA:60 R:50 SK:71 PS:U SL:57396 D:0.09%],57600,0.001,57.6,0.29,0.51,0.71,1.24,-0.003,0.00,4.91,0.49
8,Exit long,2024-07-21 17:00:00,[ExitL rA:19 R:59 SK:62 PS:U SL:66450 D:1.13%],67200,0.001,67.05,0.14,0.21,0.45,0.67,-0.003,0.00,5.05,0.51
8,Entry long,2024-07-21 14:00:00,[SwBnc rA:21 R:60 SK:57 PS:D SL:66450 D:0.38%],67050,0.001,67.05,0.14,0.21,0.45,0.67,-0.003,0.00,5.05,0.51
9,Exit long,2024-07-23 15:00:00,[ExitL rA:40 R:50 SK:71 PS:U SL:66750 D:0.22%],66900,0.001,66.9,-0.01,-0.01,0.3,0.44,-0.003,0.00,5.05,0.50
9,Entry long,2024-07-23 14:00:00,[SwBnc rA:43 R:50 SK:83 PS:U SL:66750 D:0%],66900,0.001,66.9,-0.01,-0.01,0.3,0.44,-0.003,0.00,5.05,0.50
10,Exit long,2024-07-24 15:00:00,[ExitL rA:18 R:50 SK:75 PS:U SL:66150 D:0.45%],66450,0.001,66.45,-0.01,-0.01,0.3,0.45,-0.21,-0.32,5.04,0.50
10,Entry long,2024-07-24 14:00:00,[SwBnc rA:21 R:51 SK:67 PS:U SL:66150 D:0.23%],66450,0.001,66.45,-0.01,-0.01,0.3,0.45,-0.21,-0.32,5.04,0.50
11,Exit long,2024-07-26 14:00:00,[ExitL rA:19 R:74 SK:85 PS:U SL:64050 D:5.39%],67500,0.001,65.1,2.39,3.68,2.7,4.14,-0.003,0.00,7.44,0.74
11,Entry long,2024-07-25 20:00:00,[SwBnc rA:22 R:50 SK:100 PS:U SL:65550 D:0.92%],65100,0.001,65.1,2.39,3.68,2.7,4.14,-0.003,0.00,7.44,0.74
12,Exit long,2024-07-29 13:00:00,[ExitL rA:47 R:68 SK:86 PS:U SL:67350 D:3.12%],69450,0.001,68.4,1.04,1.53,1.35,1.97,-0.003,0.00,8.48,0.85
12,Entry long,2024-07-29 00:00:00,[SwBnc rA:31 R:58 SK:88 PS:U SL:67800 D:0.66%],68400,0.001,68.4,1.04,1.53,1.35,1.97,-0.003,0.00,8.48,0.85
13,Exit long,2024-07-31 19:00:00,[ExitL rA:32 R:46 SK:62 PS:U SL:65811 D:0.74%],66300,0.001,66.45,-0.16,-0.23,0,0.00,-0.15,-0.23,8.32,0.83
13,Entry long,2024-07-31 19:00:00,[SwBnc rA:20 R:51 SK:100 PS:U SL:65811 D:0.97%],66450,0.001,66.45,-0.16,-0.23,0,0.00,-0.15,-0.23,8.32,0.83
14,Exit long,2024-08-02 01:00:00,[ExitL rA:29 R:62 SK:85 PS:U SL:62862 D:3.32%],64950,0.001,63.9,1.04,1.63,1.35,2.11,-0.003,0.00,9.37,0.94
14,Entry long,2024-08-01 20:00:00,[SwBnc rA:31 R:47 SK:70 PS:U SL:63750 D:0%],63900,0.001,63.9,1.04,1.63,1.35,2.11,-0.003,0.00,9.37,0.94
15,Exit long,2024-08-05 18:00:00,[ExitL rA:32 R:79 SK:85 PS:U SL:49950 D:9.01%],54450,0.001,51.3,3.15,6.13,3.45,6.72,-0.002,0.00,12.51,1.25
15,Entry long,2024-08-05 13:00:00,[SwBnc rA:39 R:52 SK:100 PS:U SL:51600 D:0.87%],51300,0.001,51.3,3.15,6.13,3.45,6.72,-0.002,0.00,12.51,1.25
16,Exit long,2024-08-12 13:00:00,[ExitL rA:62 R:52 SK:80 PS:U SL:58350 D:2.06%],59550,0.001,59.55,-0.01,-0.01,0.3,0.50,-0.003,0.00,12.51,1.25
16,Entry long,2024-08-12 11:00:00,[SwBnc rA:49 R:53 SK:100 PS:U SL:59850 D:0.75%],59550,0.001,59.55,-0.01,-0.01,0.3,0.50,-0.003,0.00,12.51,1.25
