Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-06-05 01:00:00,[ExitL BT:1 BU:0 rA:NaN R:71 SK:85 PS:U],70650,0.001,69.3,1.34,1.94,1.5,2.16,-0.003,0.00,1.34,0.13
1,Entry long,2024-06-04 13:00:00,[Burst BT:3 BU:3 rA:NaN R:NaN SK:NaN PS:U],69300,0.001,69.3,1.34,1.94,1.5,2.16,-0.003,0.00,1.34,0.13
2,Exit long,2024-06-06 00:00:00,[ExitL BT:1 BU:0 rA:NaN R:68 SK:74 PS:U],71250,0.001,71.4,-0.16,-0.22,0.22,0.31,-0.15,-0.21,1.19,0.12
2,Entry long,2024-06-05 15:00:00,[Burst BT:3 BU:3 rA:NaN R:75 SK:100 PS:U],71400,0.001,71.4,-0.16,-0.22,0.22,0.31,-0.15,-0.21,1.19,0.12
3,Exit long,2024-06-12 18:00:00,[ExitL BT:1 BU:0 rA:58 R:72 SK:86 PS:U],69600,0.001,67.05,2.54,3.79,2.85,4.25,-0.003,0.00,3.73,0.37
3,Entry long,2024-06-11 19:00:00,[Burst BT:3 BU:3 rA:NaN R:36 SK:50 PS:U],67050,0.001,67.05,2.54,3.79,2.85,4.25,-0.003,0.00,3.73,0.37
4,Exit long,2024-06-13 02:00:00,[ExitL BT:1 BU:0 rA:47 R:43 SK:33 PS:U],68100,0.001,68.25,-0.16,-0.23,0,0.00,-0.15,-0.22,3.57,0.36
4,Entry long,2024-06-13 01:00:00,[Burst BT:3 BU:3 rA:58 R:50 SK:50 PS:U],68250,0.001,68.25,-0.16,-0.23,0,0.00,-0.15,-0.22,3.57,0.36
5,Exit long,2024-06-17 06:00:00,[ExitL BT:1 BU:0 rA:28 R:48 SK:72 PS:U],66300,0.001,66.15,0.14,0.22,0.56,0.84,-0.18,-0.27,3.72,0.37
5,Entry long,2024-06-16 09:00:00,[Burst BT:3 BU:3 rA:29 R:45 SK:67 PS:U],66150,0.001,66.15,0.14,0.22,0.56,0.84,-0.18,-0.27,3.72,0.37
6,Exit long,2024-06-17 20:00:00,[ExitL BT:1 BU:0 rA:30 R:60 SK:83 PS:U],66750,0.001,66.3,0.44,0.67,0.75,1.13,-0.003,0.00,4.16,0.42
6,Entry long,2024-06-17 17:00:00,[Burst BT:3 BU:3 rA:38 R:56 SK:72 PS:U],66300,0.001,66.3,0.44,0.67,0.75,1.13,-0.003,0.00,4.16,0.42
7,Exit long,2024-06-20 13:00:00,[ExitL BT:1 BU:0 rA:25 R:57 SK:77 PS:U],65850,0.001,66,-0.16,-0.24,0,0.00,-0.15,-0.23,4.01,0.40
7,Entry long,2024-06-20 13:00:00,[Burst BT:3 BU:3 rA:22 R:64 SK:100 PS:U],66000,0.001,66,-0.16,-0.24,0,0.00,-0.15,-0.23,4.01,0.40
8,Exit long,2024-06-25 07:00:00,[ExitL BT:1 BU:0 rA:20 R:54 SK:85 PS:U],61050,0.001,61.05,-0.01,-0.01,0.3,0.49,-0.003,0.00,4,0.40
