Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-05-21 12:00:00,[ExitL rA:NaN R:76 B:0.83 M:- K:70948 CH:11 SK:82 PS:U EF:0.82 ES:0.74],71100,0.001,71.1,-0.01,-0.01,0.17,0.24,-0.15,-0.22,-0.01,0.00
1,Entry long,2024-05-21 04:00:00,[MACD rA:NaN R:86 B:1 M:+ K:70948 CH:11 SK:100 PS:U EF:0.57 ES:0.44],71100,0.001,71.1,-0.01,-0.01,0.17,0.24,-0.15,-0.22,-0.01,0.00
2,Exit long,2024-05-22 04:00:00,[ExitL rA:70 R:49 B:0.38 M:- K:69624 CH:26 SK:50 PS:U EF:0.55 ES:0.41],69900,0.001,70.05,-0.16,-0.22,0.15,0.21,-0.15,-0.22,-0.16,-0.02
2,Entry long,2024-05-21 22:00:00,[STCH rA:NaN R:53 B:0.41 M:- K:69615 CH:15 SK:50 PS:U EF:-0.39 ES:-0.48],70050,0.001,70.05,-0.16,-0.22,0.15,0.21,-0.15,-0.22,-0.16,-0.02
3,Exit long,2024-05-22 13:00:00,[ExitL rA:30 R:47 B:0.39 M:- K:69673 CH:42 SK:50 PS:U EF:0.98 ES:0.99],69750,0.001,69.9,-0.16,-0.22,0,0.00,-0.15,-0.22,-0.32,-0.03
3,Entry long,2024-05-22 11:00:00,[KAMA rA:NaN R:53 B:0.59 M:- K:69672 CH:39 SK:83 PS:U EF:1 ES:1],69900,0.001,69.9,-0.16,-0.22,0,0.00,-0.15,-0.22,-0.32,-0.03
4,Exit long,2024-05-24 23:00:00,[ExitL rA:23 R:61 B:0.82 M:+ K:68741 CH:10 SK:85 PS:U EF:0.94 ES:0.96],68700,0.001,67.95,0.74,1.09,1.05,1.54,-0.003,0.00,0.42,0.04
4,Entry long,2024-05-24 15:00:00,[RSI rA:NaN R:53 B:0.99 M:+ K:67432 CH:38 SK:100 PS:U EF:1 ES:1],67950,0.001,67.95,0.74,1.09,1.05,1.54,-0.003,0.00,0.42,0.04
5,Exit long,2024-05-27 19:00:00,[ExitL rA:32 R:65 B:0.83 M:+ K:69903 CH:11 SK:83 PS:U EF:0.99 ES:0.99],69900,0.001,69.45,0.44,0.64,0.75,1.08,-0.003,0.00,0.87,0.09
5,Entry long,2024-05-27 15:00:00,[MACD rA:70 R:65 B:1 M:+ K:68914 CH:39 SK:100 PS:U EF:0.4 ES:0.22],69450,0.001,69.45,0.44,0.64,0.75,1.08,-0.003,0.00,0.87,0.09
6,Exit long,2024-05-28 13:00:00,[ExitL rA:30 R:40 B:0.31 M:- K:67946 CH:25 SK:33 PS:U EF:0.77 ES:0.66],68100,0.001,68.25,-0.16,-0.23,0,0.00,-0.15,-0.22,0.71,0.07
6,Entry long,2024-05-28 13:00:00,[STCH rA:34 R:45 B:0.41 M:- K:67941 CH:18 SK:50 PS:U EF:0.42 ES:0.25],68250,0.001,68.25,-0.16,-0.23,0,0.00,-0.15,-0.22,0.71,0.07
7,Exit long,2024-05-28 16:00:00,[ExitL rA:32 R:41 B:0.32 M:+ K:67956 CH:51 SK:40 PS:U EF:1 ES:1],67950,0.001,68.1,-0.16,-0.23,0,0.00,-0.15,-0.22,0.56,0.06
7,Entry long,2024-05-28 16:00:00,[KAMA rA:24 R:46 B:0.49 M:+ K:67956 CH:49 SK:80 PS:U EF:1 ES:1],68100,0.001,68.1,-0.16,-0.23,0,0.00,-0.15,-0.22,0.56,0.06
8,Exit long,2024-05-30 19:00:00,[ExitL rA:30 R:63 B:0.82 M:+ K:68929 CH:21 SK:80 PS:U EF:0.99 ES:0.99],69000,0.001,68.25,0.74,1.09,1.09,1.59,-0.003,0.00,1.3,0.13
8,Entry long,2024-05-30 13:00:00,[RSI rA:34 R:55 B:0.7 M:+ K:67711 CH:38 SK:100 PS:U EF:0.72 ES:0.62],68250,0.001,68.25,0.74,1.09,1.09,1.59,-0.003,0.00,1.3,0.13
9,Exit long,2024-06-03 01:00:00,[ExitL rA:25 R:47 B:0.46 M:+ K:67884 CH:39 SK:63 PS:U EF:0.98 ES:0.94],67950,0.001,67.95,-0.01,-0.01,0.23,0.33,-0.15,-0.23,1.29,0.13
9,Entry long,2024-06-02 11:00:00,[STCH rA:32 R:50 B:0.55 M:+ K:67877 CH:30 SK:64 PS:U EF:0.55 ES:0.39],67950,0.001,67.95,-0.01,-0.01,0.23,0.33,-0.15,-0.23,1.29,0.13
10,Exit long,2024-06-03 14:00:00,[ExitL rA:18 R:67 B:0.82 M:+ K:69490 CH:11 SK:85 PS:U EF:0.91 ES:0.94],69450,0.001,68.25,1.19,1.75,1.5,2.19,-0.003,0.00,2.49,0.25
10,Entry long,2024-06-03 01:00:00,[KAMA rA:31 R:55 B:0.78 M:+ K:67941 CH:39 SK:100 PS:U EF:1 ES:1],68250,0.001,68.25,1.19,1.75,1.5,2.19,-0.003,0.00,2.49,0.25
11,Exit long,2024-06-05 01:00:00,[ExitL rA:27 R:68 B:0.82 M:+ K:70569 CH:8 SK:85 PS:U EF:0.93 ES:0.95],70650,0.001,69.6,1.04,1.50,1.2,1.72,-0.003,0.00,3.53,0.35
11,Entry long,2024-06-04 15:00:00,[KAMA rA:16 R:62 B:0.89 M:+ K:69328 CH:44 SK:100 PS:U EF:0.53 ES:0.39],69600,0.001,69.6,1.04,1.50,1.2,1.72,-0.003,0.00,3.53,0.35
12,Exit long,2024-06-11 00:00:00,[ExitL rA:31 R:42 B:0.36 M:+ K:69401 CH:43 SK:43 PS:U EF:0.92 ES:0.86],69600,0.001,69.75,-0.16,-0.22,0.28,0.41,-0.15,-0.22,3.37,0.34
