Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-05-21 13:00:00,[ExitPS hA:NaN rA:NaN CH:NaN R:66 B:0.67 M:- PS:D],70800,0.001,70.2,0.59,0.85,1.07,1.53,-0.003,0.00,0.59,0.06
1,Entry long,2024-05-20 23:00:00,[PSFL hA:NaN rA:NaN CH:NaN R:78 B:0.86 M:- PS:U],70200,0.001,70.2,0.59,0.85,1.07,1.53,-0.003,0.00,0.59,0.06
2,Exit long,2024-05-22 14:00:00,[ExitPS hA:55 rA:66 CH:21 R:44 B:0.28 M:- PS:D],69750,0.001,70.05,-0.31,-0.44,0.15,0.21,-0.45,-0.65,0.29,0.03
2,Entry long,2024-05-21 22:00:00,[PSFL hA:55 rA:69 CH:26 R:53 B:0.41 M:- PS:U],70050,0.001,70.05,-0.31,-0.44,0.15,0.21,-0.45,-0.65,0.29,0.03
3,Exit long,2024-06-25 09:00:00,[ExitPS hA:49 rA:22 CH:42 R:48 B:0.66 M:+ PS:D],60900,0.001,60.15,0.74,1.24,1.2,1.99,-0.003,0.00,1.03,0.10
3,Entry long,2024-06-25 00:00:00,[PSFL hA:51 rA:34 CH:15 R:35 B:0.41 M:+ PS:U],60150,0.001,60.15,0.74,1.24,1.2,1.99,-0.003,0.00,1.03,0.10
4,Exit long,2024-07-04 23:00:00,[ExitPS hA:51 rA:35 CH:12 R:34 B:0.25 M:+ PS:D],57600,0.001,58.05,-0.46,-0.78,0.3,0.51,-0.45,-0.78,0.58,0.06
4,Entry long,2024-07-04 16:00:00,[PSFL hA:54 rA:64 CH:15 R:39 B:0.42 M:+ PS:U],58050,0.001,58.05,-0.46,-0.78,0.3,0.51,-0.45,-0.78,0.58,0.06
5,Exit long,2024-07-07 07:00:00,[ExitPS hA:40 rA:44 CH:31 R:65 B:0.67 M:+ PS:D],57750,0.001,54.6,3.14,5.76,3.75,6.86,-0.45,-0.83,3.72,0.37
5,Entry long,2024-07-05 06:00:00,[PSFL hA:40 rA:55 CH:18 R:34 B:0.4 M:+ PS:U],54600,0.001,54.6,3.14,5.76,3.75,6.86,-0.45,-0.83,3.72,0.37
6,Exit long,2024-07-17 00:00:00,[ExitPS hA:36 rA:54 CH:16 R:67 B:0.82 M:+ PS:D],64950,0.001,63.6,1.34,2.11,1.5,2.35,-0.15,-0.24,5.07,0.51
6,Entry long,2024-07-16 11:00:00,[PSFL hA:56 rA:68 CH:15 R:56 B:0.42 M:- PS:U],63600,0.001,63.6,1.34,2.11,1.5,2.35,-0.15,-0.24,5.07,0.51
7,Exit long,2024-07-17 11:00:00,[ExitPS hA:49 rA:35 CH:23 R:56 B:0.53 M:- PS:D],65100,0.001,65.25,-0.16,-0.24,0.6,0.91,-0.15,-0.23,4.91,0.49
7,Entry long,2024-07-17 00:00:00,[PSFL hA:52 rA:36 CH:15 R:71 B:0.87 M:+ PS:U],65250,0.001,65.25,-0.16,-0.24,0.6,0.91,-0.15,-0.23,4.91,0.49
8,Exit long,2024-07-21 14:00:00,[ExitPS hA:50 rA:39 CH:28 R:60 B:0.6 M:- PS:D],67050,0.001,67.35,-0.31,-0.45,0.15,0.22,-0.65,-0.97,4.6,0.46
8,Entry long,2024-07-20 18:00:00,[PSFL hA:49 rA:36 CH:22 R:74 B:0.89 M:- PS:U],67350,0.001,67.35,-0.31,-0.45,0.15,0.22,-0.65,-0.97,4.6,0.46
9,Exit long,2024-07-22 08:00:00,[ExitPS hA:39 rA:43 CH:34 R:52 B:0.47 M:- PS:D],67350,0.001,67.65,-0.31,-0.45,0.55,0.81,-0.3,-0.45,4.3,0.43
9,Entry long,2024-07-21 21:00:00,[PSFL hA:38 rA:49 CH:37 R:65 B:0.97 M:- PS:U],67650,0.001,67.65,-0.31,-0.45,0.55,0.81,-0.3,-0.45,4.3,0.43
10,Exit long,2024-07-23 04:00:00,[ExitPS hA:40 rA:30 CH:21 R:48 B:0.45 M:- PS:D],67350,0.001,67.65,-0.31,-0.45,0.49,0.72,-0.3,-0.45,3.99,0.40
10,Entry long,2024-07-22 19:00:00,[PSFL hA:39 rA:30 CH:38 R:58 B:0.66 M:- PS:U],67650,0.001,67.65,-0.31,-0.45,0.49,0.72,-0.3,-0.45,3.99,0.40
11,Exit long,2024-08-02 02:00:00,[ExitPS hA:35 rA:17 CH:21 R:55 B:0.67 M:+ PS:D],64650,0.001,63.9,0.74,1.16,1.35,2.11,-0.003,0.00,4.73,0.47
11,Entry long,2024-08-01 20:00:00,[PSFL hA:36 rA:17 CH:39 R:47 B:0.51 M:+ PS:U],63900,0.001,63.9,0.74,1.16,1.35,2.11,-0.003,0.00,4.73,0.47
12,Exit long,2024-08-04 23:00:00,[ExitPS hA:32 rA:31 CH:12 R:37 B:0.42 M:+ PS:D],58500,0.001,58.65,-0.16,-0.26,0.6,1.02,-0.15,-0.26,4.58,0.46
12,Entry long,2024-08-04 19:00:00,[PSFL hA:39 rA:39 CH:18 R:36 B:0.4 M:+ PS:U],58650,0.001,58.65,-0.16,-0.26,0.6,1.02,-0.15,-0.26,4.58,0.46
13,Exit long,2024-08-05 10:00:00,[ExitPS hA:52 rA:43 CH:22 R:29 B:0.25 M:+ PS:D],51900,0.001,52.35,-0.45,-0.87,0.43,0.81,-0.45,-0.86,4.12,0.41
13,Entry long,2024-08-05 07:00:00,[PSFL hA:53 rA:64 CH:15 R:32 B:0.4 M:+ PS:U],52350,0.001,52.35,-0.45,-0.87,0.43,0.81,-0.45,-0.86,4.12,0.41
14,Exit long,2024-08-05 18:00:00,[ExitPS hA:73 rA:64 CH:29 R:69 B:0.67 M:- PS:D],54150,0.001,50.7,3.45,6.79,4.05,7.98,-0.002,0.00,7.57,0.76
14,Entry long,2024-08-05 13:00:00,[PSFL hA:74 rA:80 CH:15 R:37 B:0.4 M:+ PS:U],50700,0.001,50.7,3.45,6.79,4.05,7.98,-0.002,0.00,7.57,0.76
15,Exit long,2024-08-06 08:00:00,[ExitPS hA:40 rA:60 CH:14 R:62 B:0.68 M:+ PS:D],55500,0.001,54.15,1.34,2.48,1.92,3.54,-0.002,0.00,8.91,0.89
15,Entry long,2024-08-05 20:00:00,[PSFL hA:67 rA:62 CH:15 R:63 B:0.59 M:- PS:U],54150,0.001,54.15,1.34,2.48,1.92,3.54,-0.002,0.00,8.91,0.89
16,Exit long,2024-08-11 14:00:00,[ExitPS hA:36 rA:44 CH:19 R:48 B:0.53 M:+ PS:D],60600,0.001,60.6,-0.01,-0.01,0.68,1.12,-0.21,-0.35,8.91,0.89
16,Entry long,2024-08-09 20:00:00,[PSFL hA:36 rA:35 CH:22 R:51 B:0.43 M:- PS:U],60600,0.001,60.6,-0.01,-0.01,0.68,1.12,-0.21,-0.35,8.91,0.89
17,Exit long,2024-08-29 18:00:00,[ExitPS hA:43 rA:18 CH:41 R:55 B:0.66 M:+ PS:D],60150,0.001,59.55,0.59,1.00,1.25,2.10,-0.003,0.00,9.5,0.95
17,Entry long,2024-08-29 10:00:00,[PSFL hA:47 rA:33 CH:29 R:52 B:0.59 M:+ PS:U],59550,0.001,59.55,0.59,1.00,1.25,2.10,-0.003,0.00,9.5,0.95
18,Exit long,2024-09-07 21:00:00,[ExitPS hA:25 rA:27 CH:15 R:46 B:0.65 M:+ PS:D],54150,0.001,53.7,0.45,0.83,1.05,1.95,-0.002,0.00,9.95,0.99
18,Entry long,2024-09-06 23:00:00,[PSFL hA:35 rA:27 CH:43 R:36 B:0.4 M:+ PS:U],53700,0.001,53.7,0.45,0.83,1.05,1.95,-0.002,0.00,9.95,0.99
19,Exit long,2024-09-20 13:00:00,[ExitPS hA:37 rA:32 CH:14 R:54 B:0.29 M:- PS:D],63000,0.001,63.6,-0.61,-0.95,0.2,0.32,-0.6,-0.95,9.34,0.93
19,Entry long,2024-09-20 08:00:00,[PSFL hA:38 rA:56 CH:15 R:74 B:0.88 M:- PS:U],63600,0.001,63.6,-0.61,-0.95,0.2,0.32,-0.6,-0.95,9.34,0.93
20,Exit long,2024-10-15 14:00:00,[ExitPS hA:42 rA:44 CH:41 R:64 B:0.67 M:- PS:D],66900,0.001,66.3,0.59,0.90,1.2,1.81,-0.003,0.00,9.94,0.99
20,Entry long,2024-10-15 13:00:00,[PSFL hA:41 rA:50 CH:38 R:73 B:0.88 M:- PS:U],66300,0.001,66.3,0.59,0.90,1.2,1.81,-0.003,0.00,9.94,0.99
21,Exit long,2024-10-17 06:00:00,[ExitPS hA:46 rA:56 CH:12 R:57 B:0.63 M:+ PS:D],67350,0.001,66.15,1.19,1.80,1.71,2.58,-0.003,0.00,11.13,1.11
21,Entry long,2024-10-15 16:00:00,[PSFL hA:45 rA:52 CH:38 R:52 B:0.41 M:- PS:U],66150,0.001,66.15,1.19,1.80,1.71,2.58,-0.003,0.00,11.13,1.11
22,Exit long,2024-10-31 13:00:00,[ExitPS hA:36 rA:31 CH:36 R:50 B:0.32 M:- PS:D],72150,0.001,72.6,-0.46,-0.63,0.15,0.20,-0.45,-0.62,10.67,1.07
22,Entry long,2024-10-30 20:00:00,[PSFL hA:36 rA:30 CH:15 R:63 B:0.64 M:- PS:U],72600,0.001,72.6,-0.46,-0.63,0.15,0.20,-0.45,-0.62,10.67,1.07
23,Exit long,2024-11-08 06:00:00,[ExitPS hA:47 rA:35 CH:47 R:55 B:0.57 M:- PS:D],76050,0.001,75.75,0.29,0.39,0.9,1.18,-0.003,0.00,10.97,1.10
23,Entry long,2024-11-07 14:00:00,[PSFL hA:47 rA:46 CH:50 R:65 B:0.76 M:- PS:U],75750,0.001,75.75,0.29,0.39,0.9,1.18,-0.003,0.00,10.97,1.10
