Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-10-08 21:00:00,Close entry(s) order Short,1.7652,1000,1767.6,1.37,0.12,2.36,0.20,-0.1,-0.01,1.37,0.14
1,Entry short,2025-10-08 14:00:00,Short,1.7676,1000,1767.6,1.37,0.12,2.36,0.20,-0.1,-0.01,1.37,0.14
2,Exit long,2025-10-10 18:00:00,Close entry(s) order Long,1.7892,1000,1771.8,11.2,0.96,11.69,1.01,-0.1,-0.01,12.57,1.26
2,Entry long,2025-10-10 15:00:00,Long,1.7718,1000,1771.8,11.2,0.96,11.69,1.01,-0.1,-0.01,12.57,1.26
3,Exit long,2025-10-12 21:00:00,Close entry(s) order Long,1.7934,1000,1792.2,0.57,0.05,1.47,0.12,-0.11,-0.01,13.13,1.31
3,Entry long,2025-10-10 20:00:00,Long,1.7922,1000,1792.2,0.57,0.05,1.47,0.12,-0.11,-0.01,13.13,1.31
4,Exit long,2025-10-16 15:00:00,Close entry(s) order Long,1.7964,1000,1794.6,0.96,0.08,1.46,0.12,-0.11,-0.01,14.1,1.41
4,Entry long,2025-10-16 13:00:00,Long,1.7946,1000,1794.6,0.96,0.08,1.46,0.12,-0.11,-0.01,14.1,1.41
5,Exit short,2025-10-20 03:00:00,Close entry(s) order Short,1.7928,1000,1799.4,4.08,0.35,4.96,0.42,-0.11,-0.01,18.17,1.82
5,Entry short,2025-10-17 17:00:00,Short,1.7994,1000,1799.4,4.08,0.35,4.96,0.42,-0.11,-0.01,18.17,1.82
6,Exit short,2025-10-21 03:00:00,Close entry(s) order Short,1.7874,1000,1788.6,0.57,0.05,1.46,0.13,-0.1,-0.01,18.75,1.87
6,Entry short,2025-10-20 17:00:00,Short,1.7886,1000,1788.6,0.57,0.05,1.46,0.13,-0.1,-0.01,18.75,1.87
