Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2023-07-24 14:00:00,Close entry(s) order Long,1.6464,1000,1647,-0.6,-0.05,0,0.00,-0.5,-0.05,-0.6,-0.06
1,Entry long,2023-07-24 14:00:00,Long,1.647,1000,1647,-0.6,-0.05,0,0.00,-0.5,-0.05,-0.6,-0.06
2,Exit short,2023-07-26 00:00:00,Close entry(s) order Short,1.6284,1000,1630.8,1.43,0.13,2.33,0.21,-0.1,-0.01,0.83,0.08
2,Entry short,2023-07-25 14:00:00,Short,1.6308,1000,1630.8,1.43,0.13,2.33,0.21,-0.1,-0.01,0.83,0.08
3,Exit short,2023-07-26 18:00:00,Close entry(s) order Short,1.6398,1000,1639.8,-0.2,-0.02,0,0.00,-0.51,-0.05,0.63,0.06
3,Entry short,2023-07-26 17:00:00,Short,1.6398,1000,1639.8,-0.2,-0.02,0,0.00,-0.51,-0.05,0.63,0.06
4,Exit short,2023-07-27 14:00:00,Close entry(s) order Short,1.632,1000,1631.4,-0.6,-0.05,0,0.00,-0.5,-0.05,0.02,0.00
4,Entry short,2023-07-27 14:00:00,Short,1.6314,1000,1631.4,-0.6,-0.05,0,0.00,-0.5,-0.05,0.02,0.00
5,Exit long,2023-07-30 23:00:00,Close entry(s) order Long,1.656,1000,1653,1.8,0.16,2.75,0.25,-0.1,-0.01,1.82,0.18
5,Entry long,2023-07-28 13:00:00,Long,1.653,1000,1653,1.8,0.16,2.75,0.25,-0.1,-0.01,1.82,0.18
6,Exit short,2023-08-01 01:00:00,Close entry(s) order Short,1.6374,1000,1642.8,3.43,0.31,4.29,0.39,-0.1,-0.01,5.25,0.52
6,Entry short,2023-07-31 14:00:00,Short,1.6428,1000,1642.8,3.43,0.31,4.29,0.39,-0.1,-0.01,5.25,0.52
7,Exit long,2023-08-02 01:00:00,Close entry(s) order Long,1.6626,1000,1659,2.18,0.20,3.07,0.28,-0.1,-0.01,7.43,0.74
7,Entry long,2023-08-01 15:00:00,Long,1.659,1000,1659,2.18,0.20,3.07,0.28,-0.1,-0.01,7.43,0.74
8,Exit long,2023-08-03 02:00:00,Close entry(s) order Long,1.6734,1000,1671,1.37,0.13,1.86,0.17,-0.1,-0.01,8.8,0.88
8,Entry long,2023-08-02 15:00:00,Long,1.671,1000,1671,1.37,0.13,1.86,0.17,-0.1,-0.01,8.8,0.88
9,Exit long,2023-08-06 22:00:00,Close entry(s) order Long,1.6752,1000,1674.6,0.2,0.02,1.08,0.10,-0.1,-0.01,9,0.90
9,Entry long,2023-08-04 19:00:00,Long,1.6746,1000,1674.6,0.2,0.02,1.08,0.10,-0.1,-0.01,9,0.90
10,Exit long,2023-08-07 20:00:00,Close entry(s) order Long,1.6746,1000,1675.2,-0.59,-0.05,0,0.00,-0.49,-0.04,8.41,0.84
10,Entry long,2023-08-07 17:00:00,Long,1.6752,1000,1675.2,-0.59,-0.05,0,0.00,-0.49,-0.04,8.41,0.84
11,Exit long,2023-08-10 18:00:00,Close entry(s) order Long,1.6818,1000,1681.8,-0.2,-0.02,0.68,0.06,-0.1,-0.01,8.21,0.82
11,Entry long,2023-08-10 17:00:00,Long,1.6818,1000,1681.8,-0.2,-0.02,0.68,0.06,-0.1,-0.01,8.21,0.82
12,Exit long,2023-08-16 06:00:00,Close entry(s) order Long,1.6914,1000,1689,1.35,0.12,2.56,0.23,-0.1,-0.01,9.56,0.96
12,Entry long,2023-08-16 00:00:00,Long,1.689,1000,1689,1.35,0.12,2.56,0.23,-0.1,-0.01,9.56,0.96
13,Exit long,2023-08-16 18:00:00,Close entry(s) order Long,1.6926,1000,1692.6,-0.2,-0.02,0,0.00,-0.49,-0.04,9.36,0.94
13,Entry long,2023-08-16 17:00:00,Long,1.6926,1000,1692.6,-0.2,-0.02,0,0.00,-0.49,-0.04,9.36,0.94
14,Exit long,2023-08-17 16:00:00,Close entry(s) order Long,1.695,1000,1695.6,-0.58,-0.05,0,0.00,-0.48,-0.04,8.78,0.88
14,Entry long,2023-08-17 16:00:00,Long,1.6956,1000,1695.6,-0.58,-0.05,0,0.00,-0.48,-0.04,8.78,0.88
15,Exit short,2023-08-18 18:00:00,Close entry(s) order Short,1.6968,1000,1696.8,-0.2,-0.02,0.67,0.06,-0.1,-0.01,8.59,0.86
15,Entry short,2023-08-18 15:00:00,Short,1.6968,1000,1696.8,-0.2,-0.02,0.67,0.06,-0.1,-0.01,8.59,0.86
16,Exit short,2023-08-24 00:00:00,Close entry(s) order Short,1.6776,1000,1680.6,1.75,0.16,2.6,0.24,-0.1,-0.01,10.34,1.03
16,Entry short,2023-08-23 13:00:00,Short,1.6806,1000,1680.6,1.75,0.16,2.6,0.24,-0.1,-0.01,10.34,1.03
17,Exit long,2023-08-25 17:00:00,Close entry(s) order Long,1.6854,1000,1685.4,-0.19,-0.02,0.67,0.06,-0.1,-0.01,10.14,1.01
17,Entry long,2023-08-25 14:00:00,Long,1.6854,1000,1685.4,-0.19,-0.02,0.67,0.06,-0.1,-0.01,10.14,1.01
18,Exit short,2023-08-28 17:00:00,Close entry(s) order Short,1.6824,1000,1681.8,-0.58,-0.05,0,0.00,-0.48,-0.04,9.56,0.96
18,Entry short,2023-08-28 17:00:00,Short,1.6818,1000,1681.8,-0.58,-0.05,0,0.00,-0.48,-0.04,9.56,0.96
19,Exit short,2023-08-29 18:00:00,Close entry(s) order Short,1.6806,1000,1681.2,0.19,0.02,0.67,0.06,-0.1,-0.01,9.76,0.98
19,Entry short,2023-08-29 15:00:00,Short,1.6812,1000,1681.2,0.19,0.02,0.67,0.06,-0.1,-0.01,9.76,0.98
20,Exit long,2023-08-31 01:00:00,Close entry(s) order Long,1.686,1000,1684.8,0.58,0.05,1.51,0.14,-0.1,-0.01,10.34,1.03
20,Entry long,2023-08-30 17:00:00,Long,1.6848,1000,1684.8,0.58,0.05,1.51,0.14,-0.1,-0.01,10.34,1.03
21,Exit short,2023-09-01 00:00:00,Close entry(s) order Short,1.6728,1000,1672.2,-0.58,-0.05,0.29,0.03,-0.49,-0.04,9.75,0.98
21,Entry short,2023-08-31 23:00:00,Short,1.6722,1000,1672.2,-0.58,-0.05,0.29,0.03,-0.49,-0.04,9.75,0.98
22,Exit short,2023-09-04 07:00:00,Close entry(s) order Short,1.6674,1000,1671,2.13,0.20,3,0.28,-0.1,-0.01,11.88,1.19
22,Entry short,2023-09-03 22:00:00,Short,1.671,1000,1671,2.13,0.20,3,0.28,-0.1,-0.01,11.88,1.19
23,Exit short,2023-09-14 23:00:00,Close entry(s) order Short,1.653,1000,1657.2,2.51,0.24,3.37,0.32,-0.1,-0.01,14.39,1.44
23,Entry short,2023-09-14 13:00:00,Short,1.6572,1000,1657.2,2.51,0.24,3.37,0.32,-0.1,-0.01,14.39,1.44
24,Exit short,2023-09-19 16:00:00,Close entry(s) order Short,1.6542,1000,1653.6,-0.58,-0.05,0,0.00,-0.48,-0.05,13.82,1.38
24,Entry short,2023-09-19 15:00:00,Short,1.6536,1000,1653.6,-0.58,-0.05,0,0.00,-0.48,-0.05,13.82,1.38
25,Exit long,2023-09-22 01:00:00,Close entry(s) order Long,1.662,1000,1662.6,-0.58,-0.05,0,0.00,-0.48,-0.05,13.24,1.32
