Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2023-08-03 02:00:00,[ExitL rA:NaN hA:NaN PS:D CD:30],1.6734,1000,1673.4,-0.2,-0.02,0.29,0.03,-0.65,-0.06,-0.2,-0.02
1,Entry long,2023-08-03 00:00:00,[R002L rA:NaN hA:NaN PS:D CD:30],1.6734,1000,1673.4,-0.2,-0.02,0.29,0.03,-0.65,-0.06,-0.2,-0.02
2,Exit long,2023-08-03 13:00:00,[ExitL rA:NaN hA:59 PS:D CD:30],1.6734,1000,1674,-0.59,-0.05,0.58,0.05,-0.49,-0.04,-0.79,-0.08
2,Entry long,2023-08-03 13:00:00,[R002L rA:NaN hA:59 PS:U CD:30],1.674,1000,1674,-0.59,-0.05,0.58,0.05,-0.49,-0.04,-0.79,-0.08
3,Exit long,2023-08-08 07:00:00,[ExitL rA:NaN hA:61 PS:U CD:30],1.6842,1000,1683.6,0.2,0.02,1.08,0.10,-0.1,-0.01,-0.59,-0.06
3,Entry long,2023-08-08 06:00:00,[R001L rA:NaN hA:NaN PS:U CD:30],1.6836,1000,1683.6,0.2,0.02,1.08,0.10,-0.1,-0.01,-0.59,-0.06
4,Exit long,2023-08-17 04:00:00,[ExitL rA:50 hA:39 PS:U CD:30],1.7022,1000,1701,0.57,0.05,1.44,0.13,-0.1,-0.01,-0.02,0.00
4,Entry long,2023-08-17 01:00:00,[R001L rA:43 hA:39 PS:U CD:30],1.701,1000,1701,0.57,0.05,1.44,0.13,-0.1,-0.01,-0.02,0.00
5,Exit short,2023-08-17 13:00:00,[ExitS rA:NaN hA:NaN PS:D CD:30],1.6938,1000,1701.6,4.81,0.44,5.68,0.52,-0.1,-0.01,4.8,0.48
5,Entry short,2023-08-17 06:00:00,[R002S rA:NaN hA:NaN PS:D CD:30],1.7016,1000,1701.6,4.81,0.44,5.68,0.52,-0.1,-0.01,4.8,0.48
