Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-10-02 11:00:00,[ExitS 5A:30 bA:30 R:41 V:3.9 B:0.39 M:- ST:D CH:25 CF:+ MI:61 SK:29 PS:D SQ:0],197.85,1000,198050,1.22,0.09,2.12,0.16,-0.07,0.00,1.22,0.12
1,Entry short,2025-10-02 06:00:00,[R002S 5A:33 bA:33 R:49 V:0.77 B:0.65 M:+ ST:U CH:22 CF:+ MI:66 SK:78 PS:U SQ:0],198.05,1000,198050,1.22,0.09,2.12,0.16,-0.07,0.00,1.22,0.12
2,Exit long,2025-10-05 23:00:00,[ExitL 5A:97 bA:97 R:87 V:1.6 B:0.8 M:- ST:U CH:5 CF:+ MI:87 SK:85 PS:U SQ:0],202,1000,198650,22.57,1.68,23.32,1.73,-0.07,0.00,23.8,2.38
2,Entry long,2025-10-03 09:00:00,[R001L 5A:26 bA:26 R:72 V:0.99 B:1 M:+ ST:U CH:12 CF:+ MI:72 SK:100 PS:U SQ:0],198.65,1000,198650,22.57,1.68,23.32,1.73,-0.07,0.00,23.8,2.38
3,Exit long,2025-10-06 14:00:00,[ExitL 5A:58 bA:58 R:78 V:0.27 B:0.8 M:+ ST:U CH:5 CF:+ MI:98 SK:85 PS:U SQ:0],202.65,1000,201400,8.34,0.61,9.08,0.67,-0.07,0.00,32.13,3.21
3,Entry long,2025-10-06 06:00:00,[R002L 5A:37 bA:37 R:36 V:0.61 B:0.18 M:- ST:D CH:16 CF:+ MI:38 SK:18 PS:D SQ:0],201.4,1000,201400,8.34,0.61,9.08,0.67,-0.07,0.00,32.13,3.21
4,Exit short,2025-10-06 16:00:00,[ExitS 5A:58 bA:58 R:77 V:1.83 B:0.8 M:+ ST:U CH:14 CF:+ MI:96 SK:91 PS:U SQ:0],202.7,1000,202650,-0.47,-0.03,0.27,0.02,-0.4,-0.03,31.66,3.17
4,Entry short,2025-10-06 14:00:00,[R002S 5A:58 bA:58 R:78 V:0.27 B:0.8 M:+ ST:U CH:5 CF:+ MI:98 SK:85 PS:U SQ:0],202.65,1000,202650,-0.47,-0.03,0.27,0.02,-0.4,-0.03,31.66,3.17
5,Exit long,2025-10-07 15:00:00,[ExitL 5A:69 bA:69 R:82 V:0.55 B:0.8 M:+ ST:U CH:5 CF:+ MI:96 SK:85 PS:U SQ:0],203.9,1000,202900,6.45,0.48,7.25,0.54,-0.07,0.00,38.11,3.81
5,Entry long,2025-10-07 07:00:00,[R001L 5A:26 bA:26 R:72 V:0.43 B:0.98 M:+ ST:U CH:5 CF:+ MI:89 SK:100 PS:U SQ:0],202.9,1000,202900,6.45,0.48,7.25,0.54,-0.07,0.00,38.11,3.81
6,Exit short,2025-10-07 16:00:00,[ExitS 5A:69 bA:69 R:79 V:0.98 B:0.8 M:- ST:U CH:14 CF:+ MI:91 SK:91 PS:U SQ:0],203.95,1000,203900,-0.46,-0.03,0.26,0.02,-0.4,-0.03,37.65,3.76
6,Entry short,2025-10-07 15:00:00,[R002S 5A:69 bA:69 R:82 V:0.55 B:0.8 M:+ ST:U CH:5 CF:+ MI:96 SK:85 PS:U SQ:0],203.9,1000,203900,-0.46,-0.03,0.26,0.02,-0.4,-0.03,37.65,3.76
7,Exit short,2025-10-08 13:00:00,[ExitS 5A:39 bA:39 R:50 V:3.8 B:0.22 M:- ST:D CH:22 CF:+ MI:44 SK:22 PS:D SQ:0],204.6,1000,204550,-0.46,-0.03,0.37,0.03,-0.4,-0.03,37.18,3.72
7,Entry short,2025-10-08 12:00:00,[R001S 5A:41 bA:41 R:44 V:0.62 B:0.03 M:- ST:D CH:20 CF:- MI:26 SK:0 PS:D SQ:0],204.55,1000,204550,-0.46,-0.03,0.37,0.03,-0.4,-0.03,37.18,3.72
8,Exit short,2025-10-09 13:00:00,[ExitS 5A:50 bA:50 R:25 V:2.38 B:0.2 M:- ST:D CH:5 CF:- MI:22 SK:16 PS:D SQ:0],203.55,1000,204100,3.47,0.26,4.2,0.31,-0.07,0.00,40.65,4.06
8,Entry short,2025-10-09 07:00:00,[R001S 5A:26 bA:26 R:33 V:1.02 B:0.09 M:- ST:D CH:37 CF:- MI:23 SK:0 PS:D SQ:0],204.1,1000,204100,3.47,0.26,4.2,0.31,-0.07,0.00,40.65,4.06
9,Exit short,2025-10-12 14:00:00,[ExitS 5A:54 bA:54 R:25 V:0.04 B:0.19 M:- ST:D CH:5 CF:- MI:0 SK:15 PS:D SQ:0],202.1,1000,202500,2.48,0.19,3.2,0.24,-0.07,0.00,43.13,4.31
9,Entry short,2025-10-10 12:00:00,[R001S 5A:40 bA:40 R:29 V:0.73 B:0.11 M:- ST:D CH:37 CF:- MI:35 SK:0 PS:D SQ:0],202.5,1000,202500,2.48,0.19,3.2,0.24,-0.07,0.00,43.13,4.31
10,Exit long,2025-10-12 22:00:00,[ExitL 5A:38 bA:38 R:66 V:2.36 B:0.8 M:+ ST:U CH:5 CF:+ MI:80 SK:84 PS:U SQ:0],202.8,1000,202100,4.49,0.34,5.23,0.39,-0.07,0.00,47.62,4.76
10,Entry long,2025-10-12 14:00:00,[R002L 5A:54 bA:54 R:25 V:0.04 B:0.19 M:- ST:D CH:5 CF:- MI:0 SK:15 PS:D SQ:0],202.1,1000,202100,4.49,0.34,5.23,0.39,-0.07,0.00,47.62,4.76
11,Exit long,2025-10-13 20:00:00,[ExitL 5A:40 bA:40 R:67 V:0.32 B:0.83 M:+ ST:U CH:19 CF:+ MI:90 SK:82 PS:U SQ:0],203.3,1000,203250,0.19,0.01,0.92,0.07,-0.07,0.00,47.82,4.78
11,Entry long,2025-10-13 17:00:00,[R001L 5A:35 bA:35 R:71 V:0.63 B:1.03 M:+ ST:U CH:26 CF:+ MI:65 SK:100 PS:U SQ:0],203.25,1000,203250,0.19,0.01,0.92,0.07,-0.07,0.00,47.82,4.78
12,Exit long,2025-10-14 16:00:00,[ExitL 5A:33 bA:33 R:63 V:1.29 B:0.82 M:+ ST:U CH:13 CF:+ MI:79 SK:83 PS:U SQ:0],202.15,1000,201950,1.18,0.09,1.9,0.14,-0.07,0.00,49,4.90
12,Entry long,2025-10-14 08:00:00,[R001L 5A:32 bA:32 R:58 V:1.37 B:1.03 M:+ ST:U CH:29 CF:+ MI:57 SK:100 PS:U SQ:0],201.95,1000,201950,1.18,0.09,1.9,0.14,-0.07,0.00,49,4.90
13,Exit short,2025-10-14 21:00:00,[ExitS 5A:25 bA:25 R:43 V:0.87 B:0.21 M:- ST:D CH:17 CF:+ MI:38 SK:18 PS:D SQ:0],201.8,1000,202150,2.17,0.16,2.9,0.22,-0.51,-0.04,51.18,5.12
13,Entry short,2025-10-14 16:00:00,[R002S 5A:33 bA:33 R:63 V:1.29 B:0.82 M:+ ST:U CH:13 CF:+ MI:79 SK:83 PS:U SQ:0],202.15,1000,202150,2.17,0.16,2.9,0.22,-0.51,-0.04,51.18,5.12
14,Exit short,2025-10-15 07:00:00,[ExitS 5A:26 bA:26 R:61 V:1.06 B:0.76 M:+ ST:D CH:19 CF:+ MI:87 SK:81 PS:U SQ:0],202.25,1000,202250,-0.13,-0.01,0.59,0.04,-0.07,0.00,51.04,5.10
14,Entry short,2025-10-15 06:00:00,[R002S 5A:27 bA:27 R:64 V:0.72 B:0.82 M:+ ST:U CH:12 CF:+ MI:93 SK:85 PS:U SQ:0],202.25,1000,202250,-0.13,-0.01,0.59,0.04,-0.07,0.00,51.04,5.10
15,Exit long,2025-10-15 14:00:00,[ExitL 5A:33 bA:33 R:65 V:0.27 B:0.8 M:+ ST:U CH:31 CF:+ MI:84 SK:75 PS:U SQ:0],202.45,1000,202450,-0.13,-0.01,0.59,0.04,-0.17,-0.01,50.91,5.09
15,Entry long,2025-10-15 08:00:00,[R001L 5A:29 bA:29 R:70 V:0.62 B:0.9 M:+ ST:U CH:26 CF:+ MI:78 SK:100 PS:U SQ:0],202.45,1000,202450,-0.13,-0.01,0.59,0.04,-0.17,-0.01,50.91,5.09
16,Exit short,2025-10-15 19:00:00,[ExitS 5A:31 bA:31 R:59 V:1.97 B:0.66 M:- ST:D CH:32 CF:+ MI:80 SK:63 PS:D SQ:0],202.4,1000,202450,0.2,0.01,1.05,0.08,-0.07,0.00,51.11,5.11
16,Entry short,2025-10-15 14:00:00,[R002S 5A:33 bA:33 R:65 V:0.27 B:0.8 M:+ ST:U CH:31 CF:+ MI:84 SK:75 PS:U SQ:0],202.45,1000,202450,0.2,0.01,1.05,0.08,-0.07,0.00,51.11,5.11
17,Exit short,2025-10-16 13:00:00,[ExitS 5A:53 bA:53 R:25 V:4.85 B:0.2 M:- ST:D CH:5 CF:- MI:38 SK:15 PS:D SQ:0],202.05,1000,202950,5.82,0.43,6.55,0.49,-0.07,0.00,56.93,5.69
17,Entry short,2025-10-16 06:00:00,[R001S 5A:48 bA:48 R:52 V:0.74 B:0.33 M:- ST:D CH:39 CF:+ MI:57 SK:0 PS:D SQ:0],202.95,1000,202950,5.82,0.43,6.55,0.49,-0.07,0.00,56.93,5.69
18,Exit long,2025-10-19 14:00:00,[ExitL 5A:38 bA:38 R:69 V:0.14 B:0.82 M:+ ST:U CH:5 CF:+ MI:99 SK:85 PS:U SQ:0],202.15,1000,201600,3.52,0.26,4.25,0.32,-0.07,0.00,60.45,6.04
18,Entry long,2025-10-17 08:00:00,[R002L 5A:30 bA:30 R:50 V:0.69 B:0.62 M:+ ST:D CH:26 CF:+ MI:28 SK:50 PS:D SQ:0],201.6,1000,201600,3.52,0.26,4.25,0.32,-0.07,0.00,60.45,6.04
19,Exit short,2025-10-19 15:00:00,[ExitS 5A:37 bA:37 R:65 V:0.2 B:0.75 M:+ ST:D CH:18 CF:+ MI:96 SK:80 PS:D SQ:0],202.15,1000,202150,-0.13,-0.01,0.6,0.04,-0.07,-0.01,60.31,6.03
19,Entry short,2025-10-19 14:00:00,[R002S 5A:38 bA:38 R:69 V:0.14 B:0.82 M:+ ST:U CH:5 CF:+ MI:99 SK:85 PS:U SQ:0],202.15,1000,202150,-0.13,-0.01,0.6,0.04,-0.07,-0.01,60.31,6.03
20,Exit long,2025-10-19 20:00:00,[ExitL 5A:51 bA:51 R:74 V:1.65 B:0.82 M:+ ST:U CH:8 CF:+ MI:84 SK:85 PS:U SQ:0],202.65,1000,202350,1.86,0.14,2.59,0.19,-0.07,0.00,62.17,6.22
20,Entry long,2025-10-19 15:00:00,[R001L 5A:39 bA:39 R:73 V:0.27 B:0.9 M:+ ST:U CH:26 CF:+ MI:92 SK:100 PS:U SQ:0],202.35,1000,202350,1.86,0.14,2.59,0.19,-0.07,0.00,62.17,6.22
21,Exit short,2025-10-21 07:00:00,[ExitS 5A:35 bA:35 R:42 V:1.92 B:0.18 M:- ST:D CH:8 CF:+ MI:21 SK:15 PS:D SQ:0],202.9,1000,203400,3.18,0.24,3.91,0.29,-0.07,0.00,65.35,6.54
21,Entry short,2025-10-21 06:00:00,[R002S 5A:57 bA:57 R:77 V:0.34 B:0.8 M:+ ST:U CH:5 CF:+ MI:97 SK:85 PS:U SQ:0],203.4,1000,203400,3.18,0.24,3.91,0.29,-0.07,0.00,65.35,6.54
22,Exit long,2025-10-22 10:00:00,[ExitL 5A:34 bA:34 R:64 V:1.06 B:0.8 M:+ ST:U CH:5 CF:+ MI:92 SK:85 PS:U SQ:0],202.85,1000,202450,2.5,0.19,3.22,0.24,-0.07,0.00,67.85,6.79
22,Entry long,2025-10-22 06:00:00,[R001L 5A:40 bA:40 R:47 V:0.49 B:0.58 M:+ ST:U CH:28 CF:+ MI:66 SK:88 PS:U SQ:0],202.45,1000,202450,2.5,0.19,3.22,0.24,-0.07,0.00,67.85,6.79
23,Exit short,2025-10-22 11:00:00,[ExitS 5A:27 bA:27 R:55 V:0.83 B:0.62 M:+ ST:D CH:26 CF:+ MI:63 SK:50 PS:D SQ:0],202.75,1000,202850,0.52,0.04,1.25,0.09,-0.07,0.00,68.38,6.84
23,Entry short,2025-10-22 10:00:00,[R002S 5A:34 bA:34 R:64 V:1.06 B:0.8 M:+ ST:U CH:5 CF:+ MI:92 SK:85 PS:U SQ:0],202.85,1000,202850,0.52,0.04,1.25,0.09,-0.07,0.00,68.38,6.84
24,Exit long,2025-10-23 00:00:00,[ExitL 5A:55 bA:55 R:77 V:1.86 B:0.8 M:+ ST:U CH:5 CF:+ MI:85 SK:85 PS:U SQ:0],203.65,1000,202750,5.79,0.43,6.51,0.49,-0.07,0.00,74.17,7.42
24,Entry long,2025-10-22 11:00:00,[R002L 5A:27 bA:27 R:55 V:0.83 B:0.62 M:+ ST:D CH:26 CF:+ MI:63 SK:50 PS:D SQ:0],202.75,1000,202750,5.79,0.43,6.51,0.49,-0.07,0.00,74.17,7.42
25,Exit short,2025-10-23 17:00:00,[ExitS 5A:35 bA:35 R:48 V:3.01 B:0.17 M:- ST:D CH:25 CF:- MI:38 SK:24 PS:D SQ:0],203.35,1000,203450,0.52,0.04,1.4,0.11,-0.07,0.00,74.69,7.47
25,Entry short,2025-10-23 07:00:00,[R001S 5A:47 bA:47 R:53 V:0.71 B:0.33 M:- ST:D CH:39 CF:+ MI:38 SK:0 PS:D SQ:0],203.45,1000,203450,0.52,0.04,1.4,0.11,-0.07,0.00,74.69,7.47
26,Exit short,2025-10-28 08:00:00,[ExitS 5A:79 bA:79 R:20 V:2.25 B:0.19 M:+ ST:D CH:16 CF:- MI:44 SK:20 PS:D SQ:0],201.9,1000,202050,0.85,0.06,1.66,0.13,-0.07,0.00,75.54,7.55
26,Entry short,2025-10-28 06:00:00,[R001S 5A:76 bA:76 R:12 V:0.54 B:0.1 M:- ST:D CH:11 CF:- MI:38 SK:0 PS:D SQ:0],202.05,1000,202050,0.85,0.06,1.66,0.13,-0.07,0.00,75.54,7.55
27,Exit short,2025-10-28 18:00:00,[ExitS 5A:59 bA:59 R:27 V:1.92 B:0.19 M:- ST:D CH:10 CF:- MI:43 SK:15 PS:D SQ:0],201.4,1000,201650,1.51,0.11,2.23,0.17,-0.07,0.00,77.05,7.70
27,Entry short,2025-10-28 16:00:00,[R001S 5A:54 bA:54 R:26 V:0.18 B:0 M:+ ST:D CH:20 CF:+ MI:47 SK:0 PS:D SQ:0],201.65,1000,201650,1.51,0.11,2.23,0.17,-0.07,0.00,77.05,7.70
28,Exit short,2025-10-29 07:00:00,[ExitS 5A:56 bA:56 R:25 V:0.46 B:0.2 M:- ST:D CH:8 CF:- MI:3 SK:15 PS:D SQ:0],200.85,1000,201000,0.85,0.06,1.58,0.12,-0.07,0.00,77.9,7.79
28,Entry short,2025-10-29 06:00:00,[R001S 5A:48 bA:48 R:20 V:0.33 B:0.01 M:- ST:D CH:8 CF:- MI:21 SK:0 PS:D SQ:0],201,1000,201000,0.85,0.06,1.58,0.12,-0.07,0.00,77.9,7.79
