Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-10-02 11:00:00,[ExitS 5A:30 bA:30 R:41 V:3.9 B:0.39 M:- ST:D CH:25 CF:+ MI:61 SK:29 PS:D SQ:0],197.85,1000,197850,-0.13,-0.01,0.76,0.06,-0.07,0.00,-0.13,-0.01
1,Entry short,2025-10-02 06:00:00,[R001S 5A:29 bA:29 R:38 V:0.84 B:0.34 M:+ ST:D CH:22 CF:- MI:61 SK:33 PS:D SQ:0],197.85,1000,197850,-0.13,-0.01,0.76,0.06,-0.07,0.00,-0.13,-0.01
2,Exit long,2025-10-05 23:00:00,[ExitL 5A:97 bA:97 R:87 V:1.6 B:0.8 M:- ST:U CH:5 CF:+ MI:87 SK:85 PS:U SQ:0],202,1000,198650,22.57,1.68,23.32,1.73,-0.07,0.00,22.44,2.24
2,Entry long,2025-10-03 09:00:00,[R001L 5A:26 bA:26 R:72 V:0.99 B:1 M:+ ST:U CH:12 CF:+ MI:72 SK:100 PS:U SQ:0],198.65,1000,198650,22.57,1.68,23.32,1.73,-0.07,0.00,22.44,2.24
3,Exit long,2025-10-06 14:00:00,[ExitL 5A:58 bA:58 R:78 V:0.27 B:0.8 M:+ ST:U CH:5 CF:+ MI:98 SK:85 PS:U SQ:0],202.65,1000,201600,6.98,0.51,7.73,0.57,-0.07,0.00,29.42,2.94
3,Entry long,2025-10-06 06:00:00,[R001L 5A:31 bA:31 R:51 V:0.7 B:0.51 M:- ST:U CH:19 CF:- MI:34 SK:67 PS:U SQ:0],201.6,1000,201600,6.98,0.51,7.73,0.57,-0.07,0.00,29.42,2.94
4,Exit long,2025-10-07 15:00:00,[ExitL 5A:69 bA:69 R:82 V:0.55 B:0.8 M:+ ST:U CH:5 CF:+ MI:96 SK:85 PS:U SQ:0],203.9,1000,202900,6.45,0.48,7.25,0.54,-0.07,0.00,35.86,3.59
4,Entry long,2025-10-07 07:00:00,[R001L 5A:26 bA:26 R:72 V:0.43 B:0.98 M:+ ST:U CH:5 CF:+ MI:89 SK:100 PS:U SQ:0],202.9,1000,202900,6.45,0.48,7.25,0.54,-0.07,0.00,35.86,3.59
5,Exit short,2025-10-08 13:00:00,[ExitS 5A:39 bA:39 R:50 V:3.8 B:0.22 M:- ST:D CH:22 CF:+ MI:44 SK:22 PS:D SQ:0],204.6,1000,204550,-0.46,-0.03,0.37,0.03,-0.4,-0.03,35.4,3.54
5,Entry short,2025-10-08 12:00:00,[R001S 5A:41 bA:41 R:44 V:0.62 B:0.03 M:- ST:D CH:20 CF:- MI:26 SK:0 PS:D SQ:0],204.55,1000,204550,-0.46,-0.03,0.37,0.03,-0.4,-0.03,35.4,3.54
6,Exit short,2025-10-09 13:00:00,[ExitS 5A:50 bA:50 R:25 V:2.38 B:0.2 M:- ST:D CH:5 CF:- MI:22 SK:16 PS:D SQ:0],203.55,1000,204100,3.47,0.26,4.2,0.31,-0.07,0.00,38.87,3.89
6,Entry short,2025-10-09 07:00:00,[R001S 5A:26 bA:26 R:33 V:1.02 B:0.09 M:- ST:D CH:37 CF:- MI:23 SK:0 PS:D SQ:0],204.1,1000,204100,3.47,0.26,4.2,0.31,-0.07,0.00,38.87,3.89
7,Exit short,2025-10-12 14:00:00,[ExitS 5A:54 bA:54 R:25 V:0.04 B:0.19 M:- ST:D CH:5 CF:- MI:0 SK:15 PS:D SQ:0],202.1,1000,202500,2.48,0.19,3.2,0.24,-0.07,0.00,41.35,4.13
7,Entry short,2025-10-10 12:00:00,[R001S 5A:40 bA:40 R:29 V:0.73 B:0.11 M:- ST:D CH:37 CF:- MI:35 SK:0 PS:D SQ:0],202.5,1000,202500,2.48,0.19,3.2,0.24,-0.07,0.00,41.35,4.13
8,Exit long,2025-10-13 20:00:00,[ExitL 5A:40 bA:40 R:67 V:0.32 B:0.83 M:+ ST:U CH:19 CF:+ MI:90 SK:82 PS:U SQ:0],203.3,1000,203250,0.19,0.01,0.92,0.07,-0.07,0.00,41.54,4.15
8,Entry long,2025-10-13 17:00:00,[R001L 5A:35 bA:35 R:71 V:0.63 B:1.03 M:+ ST:U CH:26 CF:+ MI:65 SK:100 PS:U SQ:0],203.25,1000,203250,0.19,0.01,0.92,0.07,-0.07,0.00,41.54,4.15
9,Exit long,2025-10-14 16:00:00,[ExitL 5A:33 bA:33 R:63 V:1.29 B:0.82 M:+ ST:U CH:13 CF:+ MI:79 SK:83 PS:U SQ:0],202.15,1000,201950,1.18,0.09,1.9,0.14,-0.07,0.00,42.73,4.27
9,Entry long,2025-10-14 08:00:00,[R001L 5A:32 bA:32 R:58 V:1.37 B:1.03 M:+ ST:U CH:29 CF:+ MI:57 SK:100 PS:U SQ:0],201.95,1000,201950,1.18,0.09,1.9,0.14,-0.07,0.00,42.73,4.27
10,Exit long,2025-10-15 14:00:00,[ExitL 5A:33 bA:33 R:65 V:0.27 B:0.8 M:+ ST:U CH:31 CF:+ MI:84 SK:75 PS:U SQ:0],202.45,1000,202450,-0.13,-0.01,0.59,0.04,-0.17,-0.01,42.59,4.26
10,Entry long,2025-10-15 08:00:00,[R001L 5A:29 bA:29 R:70 V:0.62 B:0.9 M:+ ST:U CH:26 CF:+ MI:78 SK:100 PS:U SQ:0],202.45,1000,202450,-0.13,-0.01,0.59,0.04,-0.17,-0.01,42.59,4.26
11,Exit short,2025-10-16 13:00:00,[ExitS 5A:53 bA:53 R:25 V:4.85 B:0.2 M:- ST:D CH:5 CF:- MI:38 SK:15 PS:D SQ:0],202.05,1000,202950,5.82,0.43,6.55,0.49,-0.07,0.00,48.41,4.84
11,Entry short,2025-10-16 06:00:00,[R001S 5A:48 bA:48 R:52 V:0.74 B:0.33 M:- ST:D CH:39 CF:+ MI:57 SK:0 PS:D SQ:0],202.95,1000,202950,5.82,0.43,6.55,0.49,-0.07,0.00,48.41,4.84
12,Exit long,2025-10-19 14:00:00,[ExitL 5A:38 bA:38 R:69 V:0.14 B:0.82 M:+ ST:U CH:5 CF:+ MI:99 SK:85 PS:U SQ:0],202.15,1000,201850,1.86,0.14,2.59,0.19,-0.07,0.00,50.27,5.03
12,Entry long,2025-10-17 10:00:00,[R001L 5A:26 bA:26 R:64 V:1.05 B:0.95 M:+ ST:U CH:31 CF:+ MI:44 SK:100 PS:U SQ:0],201.85,1000,201850,1.86,0.14,2.59,0.19,-0.07,0.00,50.27,5.03
13,Exit short,2025-10-21 07:00:00,[ExitS 5A:35 bA:35 R:42 V:1.92 B:0.18 M:- ST:D CH:8 CF:+ MI:21 SK:15 PS:D SQ:0],202.9,1000,203200,1.86,0.14,2.59,0.19,-0.07,0.00,52.13,5.21
13,Entry short,2025-10-21 06:00:00,[R001S 5A:52 bA:52 R:59 V:0.43 B:0.52 M:- ST:D CH:19 CF:+ MI:85 SK:33 PS:D SQ:0],203.2,1000,203200,1.86,0.14,2.59,0.19,-0.07,0.00,52.13,5.21
14,Exit long,2025-10-22 10:00:00,[ExitL 5A:34 bA:34 R:64 V:1.06 B:0.8 M:+ ST:U CH:5 CF:+ MI:92 SK:85 PS:U SQ:0],202.85,1000,202450,2.5,0.19,3.22,0.24,-0.07,0.00,54.63,5.46
14,Entry long,2025-10-22 06:00:00,[R001L 5A:40 bA:40 R:47 V:0.49 B:0.58 M:+ ST:U CH:28 CF:+ MI:66 SK:88 PS:U SQ:0],202.45,1000,202450,2.5,0.19,3.22,0.24,-0.07,0.00,54.63,5.46
15,Exit short,2025-10-23 17:00:00,[ExitS 5A:35 bA:35 R:48 V:3.01 B:0.17 M:- ST:D CH:25 CF:- MI:38 SK:24 PS:D SQ:0],203.35,1000,203450,0.52,0.04,1.4,0.11,-0.07,0.00,55.15,5.51
15,Entry short,2025-10-23 07:00:00,[R001S 5A:47 bA:47 R:53 V:0.71 B:0.33 M:- ST:D CH:39 CF:+ MI:38 SK:0 PS:D SQ:0],203.45,1000,203450,0.52,0.04,1.4,0.11,-0.07,0.00,55.15,5.51
16,Exit short,2025-10-28 08:00:00,[ExitS 5A:79 bA:79 R:20 V:2.25 B:0.19 M:+ ST:D CH:16 CF:- MI:44 SK:20 PS:D SQ:0],201.9,1000,202050,0.85,0.06,1.66,0.13,-0.07,0.00,56,5.60
16,Entry short,2025-10-28 06:00:00,[R001S 5A:76 bA:76 R:12 V:0.54 B:0.1 M:- ST:D CH:11 CF:- MI:38 SK:0 PS:D SQ:0],202.05,1000,202050,0.85,0.06,1.66,0.13,-0.07,0.00,56,5.60
17,Exit short,2025-10-29 07:00:00,[ExitS 5A:56 bA:56 R:25 V:0.46 B:0.2 M:- ST:D CH:8 CF:- MI:3 SK:15 PS:D SQ:0],200.85,1000,201000,0.85,0.06,1.58,0.12,-0.07,0.00,56.85,5.69
17,Entry short,2025-10-29 06:00:00,[R001S 5A:48 bA:48 R:20 V:0.33 B:0.01 M:- ST:D CH:8 CF:- MI:21 SK:0 PS:D SQ:0],201,1000,201000,0.85,0.06,1.58,0.12,-0.07,0.00,56.85,5.69
18,Exit short,2025-10-30 13:00:00,[ExitS 5A:31 bA:31 R:44 V:0.36 B:0.19 M:- ST:D CH:24 CF:- MI:42 SK:22 PS:D SQ:0],202.65,1000,202700,0.19,0.01,0.92,0.07,-0.07,0.00,57.05,5.70
18,Entry short,2025-10-30 11:00:00,[R001S 5A:35 bA:35 R:44 V:0.66 B:0.03 M:- ST:D CH:37 CF:+ MI:58 SK:0 PS:D SQ:0],202.7,1000,202700,0.19,0.01,0.92,0.07,-0.07,0.00,57.05,5.70
