Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2024-12-30 08:00:00,[ExitS 5A:77 bA:76 R:17 V:3.05 B:0.2 M:- ST:D CH:5 CF:- MI:23 SK:15 PS:D SQ:0],196.8,1000,197950,7.16,0.57,7.85,0.63,-0.06,0.00,7.16,0.72
1,Entry short,2024-12-30 05:00:00,[R001S 5A:26 bA:29 R:25 V:0.36 B:0.02 M:- ST:D CH:3 CF:- MI:13 SK:0 PS:D SQ:0],197.95,1000,197950,7.16,0.57,7.85,0.63,-0.06,0.00,7.16,0.72
2,Exit long,2024-12-30 12:00:00,[ExitL 5A:60 bA:59 R:39 V:1.71 B:0.56 M:+ ST:U CH:26 CF:- MI:61 SK:75 PS:U SQ:0],197,1000,197000,-0.12,-0.01,0.57,0.05,-0.06,0.00,7.03,0.70
2,Entry long,2024-12-30 09:00:00,[R001L 5A:70 bA:69 R:37 V:0.78 B:0.48 M:+ ST:U CH:19 CF:- MI:55 SK:67 PS:U SQ:0],197,1000,197000,-0.12,-0.01,0.57,0.05,-0.06,0.00,7.03,0.70
3,Exit long,2024-12-31 10:00:00,[ExitL 5A:31 bA:31 R:65 V:1.69 B:0.81 M:+ ST:U CH:14 CF:- MI:48 SK:82 PS:U SQ:0],196.9,1000,196800,0.51,0.04,1.22,0.10,-0.06,0.00,7.54,0.75
3,Entry long,2024-12-31 07:00:00,[R001L 5A:25 bA:25 R:66 V:0.7 B:0.91 M:+ ST:U CH:35 CF:- MI:34 SK:100 PS:U SQ:0],196.8,1000,196800,0.51,0.04,1.22,0.10,-0.06,0.00,7.54,0.75
4,Exit short,2025-01-02 07:00:00,[ExitS 5A:82 bA:82 R:17 V:5.37 B:0.2 M:- ST:D CH:5 CF:- MI:46 SK:15 PS:D SQ:0],194.6,1000,195050,2.73,0.22,3.11,0.25,-0.06,0.00,10.28,1.03
4,Entry short,2025-01-02 05:00:00,[R001S 5A:73 bA:73 R:10 V:0.87 B:0.04 M:- ST:D CH:3 CF:- MI:31 SK:0 PS:D SQ:0],195.05,1000,195050,2.73,0.22,3.11,0.25,-0.06,0.00,10.28,1.03
5,Exit long,2025-01-06 04:00:00,[ExitL 5A:84 bA:84 R:85 V:0.4 B:0.8 M:- ST:U CH:5 CF:+ MI:97 SK:85 PS:U SQ:0],197.05,1000,195500,9.72,0.78,10.42,0.84,-0.66,-0.05,20,2.00
5,Entry long,2025-01-05 15:00:00,[R001L 5A:25 bA:25 R:74 V:0.33 B:0.97 M:+ ST:U CH:18 CF:+ MI:71 SK:100 PS:U SQ:0],195.5,1000,195500,9.72,0.78,10.42,0.84,-0.66,-0.05,20,2.00
6,Exit short,2025-01-06 06:00:00,[ExitS 5A:45 bA:45 R:40 V:0.91 B:0.19 M:- ST:D CH:5 CF:- MI:8 SK:15 PS:D SQ:0],196.45,1000,196400,-0.44,-0.04,0,0.00,-0.38,-0.03,19.56,1.96
6,Entry short,2025-01-06 06:00:00,[R001S 5A:46 bA:46 R:32 V:1.46 B:0.05 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0],196.4,1000,196400,-0.44,-0.04,0,0.00,-0.38,-0.03,19.56,1.96
7,Exit short,2025-01-07 13:00:00,[ExitS 5A:43 bA:43 R:28 V:0.26 B:0.19 M:- ST:D CH:5 CF:- MI:2 SK:14 PS:D SQ:0],197.15,1000,197450,1.78,0.14,2.47,0.20,-0.06,0.00,21.34,2.13
7,Entry short,2025-01-07 07:00:00,[R001S 5A:28 bA:28 R:31 V:1.2 B:0.03 M:- ST:D CH:14 CF:- MI:18 SK:0 PS:D SQ:0],197.45,1000,197450,1.78,0.14,2.47,0.20,-0.06,0.00,21.34,2.13
8,Exit short,2025-01-08 07:00:00,[ExitS 5A:82 bA:82 R:16 V:1.48 B:0.2 M:- ST:D CH:5 CF:- MI:9 SK:15 PS:D SQ:0],195.35,1000,195500,0.83,0.07,1.52,0.12,-0.06,0.00,22.16,2.22
8,Entry short,2025-01-08 06:00:00,[R001S 5A:76 bA:76 R:5 V:0.83 B:0.09 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0],195.5,1000,195500,0.83,0.07,1.52,0.12,-0.06,0.00,22.16,2.22
