Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2024-11-27 10:00:00,[ExitS rA:NaN hA:NaN R:38 V:2.3 B:0.21 M:- ST:D CH:14 CF:- MI:28 SK:18 PS:D SQ:0 LC:NaN],191.15,1000,191300,0.85,0.07,1.57,0.13,-0.06,0.00,0.85,0.09
1,Entry short,2024-11-27 08:00:00,[R001S rA:NaN hA:NaN R:41 V:1.1 B:0.51 M:+ ST:D CH:19 CF:+ MI:56 SK:33 PS:D SQ:0 LC:NaN],191.3,1000,191300,0.85,0.07,1.57,0.13,-0.06,0.00,0.85,0.09
2,Exit short,2024-11-29 07:00:00,[ExitS rA:34 hA:46 R:36 V:0.81 B:0.21 M:- ST:D CH:29 CF:- MI:58 SK:25 PS:D SQ:0 LC:-0.04],190.35,1000,190350,-0.13,-0.01,0.6,0.05,-0.06,0.00,0.73,0.07
2,Entry short,2024-11-29 05:00:00,[R001S rA:35 hA:46 R:31 V:0.47 B:0.08 M:+ ST:D CH:37 CF:- MI:50 SK:0 PS:D SQ:0 LC:-0.04],190.35,1000,190350,-0.13,-0.01,0.6,0.05,-0.06,0.00,0.73,0.07
3,Exit long,2024-12-04 16:00:00,[ExitL rA:NaN hA:NaN R:60 V:0.3 B:0.56 M:- ST:U CH:26 CF:- MI:53 SK:75 PS:U SQ:0 LC:NaN],191.2,1000,191200,-0.13,-0.01,0.6,0.05,-0.06,-0.01,0.6,0.06
3,Entry long,2024-12-04 13:00:00,[R001L rA:NaN hA:NaN R:63 V:0.52 B:0.54 M:- ST:U CH:19 CF:- MI:40 SK:67 PS:U SQ:0 LC:NaN],191.2,1000,191200,-0.13,-0.01,0.6,0.05,-0.06,-0.01,0.6,0.06
4,Exit long,2024-12-05 07:00:00,[ExitL rA:40 hA:49 R:77 V:2.69 B:0.8 M:+ ST:U CH:5 CF:+ MI:77 SK:83 PS:U SQ:0 LC:0.11],191.9,1000,191700,1.2,0.09,2.03,0.16,-0.06,0.00,1.8,0.18
4,Entry long,2024-12-05 05:00:00,[R001L rA:43 hA:50 R:82 V:0.67 B:0.97 M:+ ST:U CH:3 CF:+ MI:100 SK:100 PS:U SQ:0 LC:0.15],191.7,1000,191700,1.2,0.09,2.03,0.16,-0.06,0.00,1.8,0.18
5,Exit long,2024-12-10 16:00:00,[ExitL rA:53 hA:34 R:75 V:1.32 B:0.82 M:+ ST:U CH:15 CF:+ MI:76 SK:78 PS:U SQ:0 LC:0.5],193.95,1000,193750,1.19,0.09,2.19,0.17,-0.06,0.00,2.99,0.30
5,Entry long,2024-12-10 08:00:00,[R001L rA:40 hA:31 R:79 V:1.08 B:0.9 M:+ ST:U CH:18 CF:+ MI:84 SK:100 PS:U SQ:0 LC:0.37],193.75,1000,193750,1.19,0.09,2.19,0.17,-0.06,0.00,2.99,0.30
