Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2024-12-19 07:00:00,[ExitS rA:NaN hA:NaN MK:NaN R:29 V:4.25 B:0.2 M:- ST:D CH:5 CF:- MI:32 SK:15 PS:D SQ:0],197.7,1000,197650,-0.45,-0.04,0.26,0.02,-0.39,-0.03,-0.45,-0.05
1,Entry short,2024-12-19 05:00:00,[R001S rA:NaN hA:NaN MK:NaN R:19 V:1.44 B:0.09 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0],197.65,1000,197650,-0.45,-0.04,0.26,0.02,-0.39,-0.03,-0.45,-0.05
2,Exit short,2024-12-19 15:00:00,[ExitS rA:52 hA:56 MK:-1 R:21 V:1.67 B:0.2 M:- ST:D CH:8 CF:- MI:13 SK:15 PS:D SQ:0],196.85,1000,197800,5.91,0.47,6.71,0.53,-0.06,0.00,5.46,0.55
2,Entry short,2024-12-19 08:00:00,[R002S rA:NaN hA:NaN MK:NaN R:40 V:0.82 B:0.38 M:+ ST:U CH:26 CF:- MI:52 SK:50 PS:U SQ:0],197.8,1000,197800,5.91,0.47,6.71,0.53,-0.06,0.00,5.46,0.55
3,Exit long,2025-01-09 15:00:00,[ExitL rA:NaN hA:NaN MK:NaN R:62 V:0.37 B:0.82 M:+ ST:U CH:5 CF:+ MI:97 SK:81 PS:U SQ:0],194.55,1000,194550,-0.12,-0.01,0.85,0.07,-0.06,0.00,5.33,0.53
3,Entry long,2025-01-09 11:00:00,[R001L rA:NaN hA:NaN MK:NaN R:67 V:0.34 B:1 M:+ ST:U CH:8 CF:+ MI:70 SK:100 PS:U SQ:0],194.55,1000,194550,-0.12,-0.01,0.85,0.07,-0.06,0.00,5.33,0.53
4,Exit short,2025-01-12 16:00:00,[ExitS rA:63 hA:40 MK:-1 R:31 V:1.07 B:0.32 M:+ ST:D CH:32 CF:- MI:36 SK:35 PS:D SQ:0],192.65,1000,192650,-0.12,-0.01,0.46,0.04,-0.38,-0.03,5.21,0.52
4,Entry short,2025-01-10 13:00:00,[R001S rA:51 hA:56 MK:-1 R:23 V:0.49 B:0.22 M:+ ST:U CH:22 CF:- MI:31 SK:11 PS:U SQ:0],192.65,1000,192650,-0.12,-0.01,0.46,0.04,-0.38,-0.03,5.21,0.52
5,Exit long,2025-01-13 17:00:00,[ExitL rA:36 hA:51 MK:1 R:83 V:4.77 B:0.8 M:+ ST:U CH:5 CF:+ MI:61 SK:85 PS:U SQ:0],192.35,1000,191050,8.13,0.67,8.83,0.73,-0.06,0.00,13.34,1.33
5,Entry long,2025-01-13 06:00:00,[R001L rA:36 hA:51 MK:1 R:71 V:1.23 B:0.99 M:+ ST:U CH:5 CF:+ MI:74 SK:100 PS:U SQ:0],191.05,1000,191050,8.13,0.67,8.83,0.73,-0.06,0.00,13.34,1.33
