Trade #,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2023-03-10 05:00:00,Trail,163.8,500,81675,1.6,0.27,2.45,0.41,-0.03,0.00,1.6,0.16
1,Entry long,2023-03-10 01:00:00,Long,163.35,500,81675,1.6,0.27,2.45,0.41,-0.03,0.00,1.6,0.16
2,Exit short,2023-03-10 13:00:00,Trail,162.36,500,81405,1.6,0.27,2.29,0.38,-0.03,0.00,3.19,0.32
2,Entry short,2023-03-10 07:00:00,Short,162.81,500,81405,1.6,0.27,2.29,0.38,-0.03,0.00,3.19,0.32
3,Exit short,2023-03-13 03:00:00,Trail,161.1,500,80820,1.94,0.32,2.64,0.44,-0.03,0.00,5.14,0.51
3,Entry short,2023-03-13 02:00:00,Short,161.64,500,80820,1.94,0.32,2.64,0.44,-0.03,0.00,5.14,0.51
4,Exit long,2023-03-13 13:00:00,Trail,162.45,500,80775,3.27,0.55,3.97,0.66,-0.03,0.00,8.41,0.84
4,Entry long,2023-03-13 08:00:00,Long,161.55,500,80775,3.27,0.55,3.97,0.66,-0.03,0.00,8.41,0.84
5,Exit long,2023-03-14 07:00:00,Trail,163.71,500,81765,0.62,0.10,1.32,0.22,-0.03,0.00,9.03,0.90
5,Entry long,2023-03-14 06:00:00,Long,163.53,500,81765,0.62,0.10,1.32,0.22,-0.03,0.00,9.03,0.90
6,Exit short,2023-03-15 07:00:00,Trail,160.2,500,81360,9.32,1.54,10.02,1.65,-0.03,0.00,18.35,1.84
6,Entry short,2023-03-15 02:00:00,Short,162.72,500,81360,9.32,1.54,10.02,1.65,-0.03,0.00,18.35,1.84
7,Exit long,2023-03-15 12:00:00,Trail,161.01,500,80325,1.28,0.21,1.98,0.33,-0.03,0.00,19.64,1.96
7,Entry long,2023-03-15 11:00:00,Long,160.65,500,80325,1.28,0.21,1.98,0.33,-0.03,0.00,19.64,1.96
8,Exit short,2023-03-16 06:00:00,Trail,159.75,500,79920,0.28,0.05,0.98,0.16,-0.03,0.00,19.92,1.99
8,Entry short,2023-03-16 04:00:00,Short,159.84,500,79920,0.28,0.05,0.98,0.16,-0.03,0.00,19.92,1.99
9,Exit long,2023-03-16 15:00:00,Trail,161.82,500,80370,3.98,0.66,4.69,0.78,-0.03,0.00,23.9,2.39
9,Entry long,2023-03-16 08:00:00,Long,160.74,500,80370,3.98,0.66,4.69,0.78,-0.03,0.00,23.9,2.39
10,Exit short,2023-03-17 06:00:00,Trail,160.74,500,80415,0.28,0.05,0.98,0.16,-0.03,0.00,24.18,2.42
10,Entry short,2023-03-17 05:00:00,Short,160.83,500,80415,0.28,0.05,0.98,0.16,-0.03,0.00,24.18,2.42
11,Exit long,2023-03-19 18:00:00,Trail,161.46,500,80685,0.28,0.05,1,0.16,-0.03,0.00,24.47,2.45
11,Entry long,2023-03-19 17:00:00,Long,161.37,500,80685,0.28,0.05,1,0.16,-0.03,0.00,24.47,2.45
12,Exit short,2023-03-20 02:00:00,Trail,159.93,500,80235,1.99,0.33,2.7,0.44,-0.03,0.00,26.46,2.65
12,Entry short,2023-03-19 23:00:00,Short,160.47,500,80235,1.99,0.33,2.7,0.44,-0.03,0.00,26.46,2.65
13,Exit long,2023-03-20 11:00:00,Trail,161.28,500,80460,1.31,0.21,2.12,0.35,-0.03,0.00,27.77,2.78
13,Entry long,2023-03-20 06:00:00,Long,160.92,500,80460,1.31,0.21,2.12,0.35,-0.03,0.00,27.77,2.78
14,Exit long,2023-03-22 05:00:00,Trail,162.99,500,81225,1.98,0.32,2.69,0.44,-0.03,0.00,29.75,2.97
14,Entry long,2023-03-22 00:00:00,Long,162.45,500,81225,1.98,0.32,2.69,0.44,-0.03,0.00,29.75,2.97
15,Exit short,2023-03-22 13:00:00,Trail,161.28,500,81000,2.66,0.44,3.37,0.55,-0.03,0.00,32.41,3.24
15,Entry short,2023-03-22 11:00:00,Short,162,500,81000,2.66,0.44,3.37,0.55,-0.03,0.00,32.41,3.24
16,Exit short,2023-03-23 13:00:00,Trail,160.65,500,80235,-0.74,-0.12,0.002,0.00,-0.71,-0.12,31.67,3.17
16,Entry short,2023-03-23 11:00:00,Short,160.47,500,80235,-0.74,-0.12,0.002,0.00,-0.71,-0.12,31.67,3.17
17,Exit long,2023-03-26 17:00:00,Trail,160.02,500,79830,1.32,0.22,2.04,0.33,-0.03,0.00,32.99,3.30
17,Entry long,2023-03-24 08:00:00,Long,159.66,500,79830,1.32,0.22,2.04,0.33,-0.03,0.00,32.99,3.30
18,Exit long,2023-03-27 16:00:00,Trail,161.46,500,80685,0.29,0.05,1.27,0.21,-0.03,0.00,33.27,3.33
18,Entry long,2023-03-27 06:00:00,Long,161.37,500,80685,0.29,0.05,1.27,0.21,-0.03,0.00,33.27,3.33
19,Exit long,2023-03-29 06:00:00,Trail,163.17,500,81225,2.69,0.43,3.41,0.55,-0.03,0.00,35.97,3.60
19,Entry long,2023-03-28 23:00:00,Long,162.45,500,81225,2.69,0.43,3.41,0.55,-0.03,0.00,35.97,3.60
20,Exit long,2023-03-30 19:00:00,Trail,164.97,500,82575,-0.73,-0.12,0,0.00,-0.71,-0.11,35.23,3.52
20,Entry long,2023-03-30 17:00:00,Long,165.15,500,82575,-0.73,-0.12,0,0.00,-0.71,-0.11,35.23,3.52
21,Exit short,2023-04-02 14:00:00,Trail,163.89,500,81945,-0.06,-0.01,0.65,0.11,-0.03,0.00,35.17,3.52
21,Entry short,2023-03-31 11:00:00,Short,163.89,500,81945,-0.06,-0.01,0.65,0.11,-0.03,0.00,35.17,3.52
22,Exit long,2023-04-04 05:00:00,Trail,165.96,500,82620,2.66,0.43,3.6,0.58,-0.03,0.00,37.83,3.78
