Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2023-11-15 07:00:00,[ExitS rA:NaN hA:NaN EF:NaN ES:NaN R:NaN V:1 B:0.5 M:- ST:D CH:NaN CF:- MI:NaN SK:NaN PS:D SQ:0],1.2488,1000,1249.2,0.28,0.02,0.74,0.06,-0.06,0.00,0.28,0.03
1,Entry short,2023-11-15 00:00:00,[R001S rA:NaN hA:NaN EF:NaN ES:NaN R:NaN V:1 B:0.5 M:- ST:D CH:NaN CF:- MI:NaN SK:NaN PS:D SQ:0],1.2492,1000,1249.2,0.28,0.02,0.74,0.06,-0.06,0.00,0.28,0.03
2,Exit short,2023-11-15 15:00:00,[ExitS rA:NaN hA:70 EF:-1 ES:-1 R:22 V:0.59 B:0.19 M:- ST:D CH:5 CF:- MI:6 SK:15 PS:D SQ:0],1.242,1000,1242.8,0.68,0.05,1.54,0.12,-0.06,0.00,0.95,0.10
2,Entry short,2023-11-15 14:00:00,[R001S rA:NaN hA:68 EF:-1 ES:NaN R:15 V:0.42 B:0.05 M:- ST:D CH:12 CF:- MI:18 SK:0 PS:D SQ:0],1.2428,1000,1242.8,0.68,0.05,1.54,0.12,-0.06,0.00,0.95,0.10
3,Exit short,2023-11-27 18:00:00,[ExitS rA:NaN hA:47 EF:-0.8 ES:-0.87 R:54 V:0.42 B:0.42 M:- ST:D CH:31 CF:+ MI:47 SK:25 PS:D SQ:0],1.2612,1000,1261.6,0.27,0.02,1.14,0.09,-0.06,0.00,1.22,0.12
3,Entry short,2023-11-27 15:00:00,[R001S rA:NaN hA:54 EF:-1 ES:-1 R:58 V:0.62 B:0.53 M:- ST:D CH:22 CF:+ MI:71 SK:50 PS:D SQ:0],1.2616,1000,1261.6,0.27,0.02,1.14,0.09,-0.06,0.00,1.22,0.12
4,Exit long,2023-11-28 17:00:00,[ExitL rA:NaN hA:NaN EF:NaN ES:NaN R:77 V:1.46 B:0.8 M:+ ST:U CH:5 CF:+ MI:87 SK:85 PS:U SQ:0],1.27,1000,1264,5.87,0.46,6.74,0.53,-0.06,0.00,7.1,0.71
4,Entry long,2023-11-28 14:00:00,[R001L rA:NaN hA:NaN EF:NaN ES:NaN R:64 V:0.95 B:0.99 M:+ ST:U CH:35 CF:+ MI:72 SK:100 PS:U SQ:0],1.264,1000,1264,5.87,0.46,6.74,0.53,-0.06,0.00,7.1,0.71
5,Exit long,2023-11-29 20:00:00,[ExitL rA:57 hA:52 EF:0.47 ES:0.59 R:58 V:0.89 B:0.65 M:+ ST:U CH:34 CF:+ MI:56 SK:75 PS:U SQ:0],1.2708,1000,1270.4,0.27,0.02,1.14,0.09,-0.06,0.00,7.37,0.74
5,Entry long,2023-11-29 18:00:00,[R001L rA:26 hA:44 EF:0.23 ES:0.09 R:58 V:0.13 B:0.58 M:- ST:U CH:37 CF:+ MI:45 SK:62 PS:U SQ:0],1.2704,1000,1270.4,0.27,0.02,1.14,0.09,-0.06,0.00,7.37,0.74
6,Exit long,2023-12-14 18:00:00,[ExitL rA:29 hA:52 EF:0.87 ES:0.81 R:85 V:0.35 B:0.8 M:- ST:U CH:5 CF:+ MI:98 SK:85 PS:U SQ:0],1.2776,1000,1267.6,9.87,0.78,10.74,0.85,-0.06,0.00,17.24,1.72
6,Entry long,2023-12-14 12:00:00,[R001L rA:28 hA:53 EF:-0.48 ES:-0.56 R:84 V:0.72 B:1 M:+ ST:U CH:5 CF:+ MI:73 SK:100 PS:U SQ:0],1.2676,1000,1267.6,9.87,0.78,10.74,0.85,-0.06,0.00,17.24,1.72
7,Exit short,2023-12-15 19:00:00,[ExitS rA:39 hA:42 EF:-0.98 ES:-0.94 R:23 V:0.83 B:0.2 M:- ST:D CH:10 CF:- MI:5 SK:15 PS:D SQ:0],1.2684,1000,1276,7.47,0.59,8.34,0.65,-0.06,0.00,24.72,2.47
7,Entry short,2023-12-15 12:00:00,[R001S rA:50 hA:42 EF:0.48 ES:0.59 R:49 V:0.41 B:0.39 M:- ST:D CH:26 CF:+ MI:45 SK:37 PS:U SQ:0],1.276,1000,1276,7.47,0.59,8.34,0.65,-0.06,0.00,24.72,2.47
8,Exit short,2024-02-05 18:00:00,[ExitS rA:54 hA:40 EF:0.08 ES:-0.11 R:19 V:2.94 B:0.2 M:- ST:D CH:5 CF:- MI:25 SK:15 PS:D SQ:0],1.2532,1000,1257.2,3.87,0.31,4.74,0.38,-0.06,0.00,28.59,2.86
8,Entry short,2024-02-05 12:00:00,[R001S rA:28 hA:62 EF:0.87 ES:0.91 R:16 V:0.34 B:0.04 M:- ST:D CH:13 CF:- MI:41 SK:0 PS:D SQ:0],1.2572,1000,1257.2,3.87,0.31,4.74,0.38,-0.06,0.00,28.59,2.86
9,Exit long,2024-02-08 00:00:00,[ExitL rA:87 hA:66 EF:-1 ES:-1 R:75 V:5.06 B:0.8 M:+ ST:U CH:12 CF:+ MI:59 SK:82 PS:U SQ:0],1.2628,1000,1258,4.67,0.37,5.32,0.42,-0.06,0.00,33.26,3.33
9,Entry long,2024-02-06 16:00:00,[R001L rA:60 hA:42 EF:0.99 ES:0.95 R:66 V:0.44 B:0.98 M:+ ST:U CH:20 CF:+ MI:63 SK:100 PS:U SQ:0],1.258,1000,1258,4.67,0.37,5.32,0.42,-0.06,0.00,33.26,3.33
10,Exit long,2024-03-08 16:00:00,[ExitL rA:54 hA:37 EF:0.08 ES:0.31 R:81 V:0.33 B:0.8 M:+ ST:U CH:9 CF:+ MI:97 SK:85 PS:U SQ:0],1.2872,1000,1284,3.07,0.24,3.94,0.31,-0.06,0.00,36.34,3.63
10,Entry long,2024-03-08 13:00:00,[R001L rA:39 hA:52 EF:1 ES:1 R:87 V:0.75 B:0.93 M:+ ST:U CH:16 CF:+ MI:60 SK:100 PS:U SQ:0],1.284,1000,1284,3.07,0.24,3.94,0.31,-0.06,0.00,36.34,3.63
11,Exit short,2024-03-12 01:00:00,[ExitS rA:76 hA:53 EF:-0.1 ES:-0.33 R:37 V:3.61 B:0.17 M:- ST:D CH:15 CF:- MI:34 SK:18 PS:D SQ:0],1.2816,1000,1281.6,-0.13,-0.01,0.85,0.07,-0.06,0.00,36.21,3.62
