Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2026-01-18 17:58,MidCross,1.1623,1000,1158.4,3.7,0.32,5.28,0.46,-0.58,-0.05,3.7,0.37
1,Entry long,2026-01-18 14:50,Long,1.1584,1000,1158.4,3.7,0.32,5.28,0.46,-0.58,-0.05,3.7,0.37
2,Exit long,2026-01-19 22:08,MidCross,1.16629,1000,1164.13,1.96,0.17,3.04,0.26,-0.97,-0.08,5.66,0.57
2,Entry long,2026-01-19 15:34,Long,1.16413,1000,1164.13,1.96,0.17,3.04,0.26,-0.97,-0.08,5.66,0.57
3,Exit long,2026-01-20 15:00,MidCross,1.1722,1000,1171.35,0.65,0.06,1.25,0.11,-0.35,-0.03,6.32,0.63
3,Entry long,2026-01-20 12:02,Long,1.17135,1000,1171.35,0.65,0.06,1.25,0.11,-0.35,-0.03,6.32,0.63
4,Exit long,2026-01-20 21:00,MidCross,1.17181,1000,1171.5,0.11,0.01,0.45,0.04,-0.26,-0.02,6.43,0.64
4,Entry long,2026-01-20 19:38,Long,1.1715,1000,1171.5,0.11,0.01,0.45,0.04,-0.26,-0.02,6.43,0.64
5,Exit short,2026-01-21 06:08,MidCross,1.1733,1000,1173.31,-0.19,-0.02,1.08,0.09,-1.09,-0.09,6.24,0.62
5,Entry short,2026-01-21 05:18,Short,1.17331,1000,1173.31,-0.19,-0.02,1.08,0.09,-1.09,-0.09,6.24,0.62
6,Exit long,2026-01-21 12:58,MidCross,1.16878,1000,1168.47,0.11,0.01,0.63,0.05,-0.95,-0.08,6.35,0.63
6,Entry long,2026-01-21 11:38,Long,1.16847,1000,1168.47,0.11,0.01,0.63,0.05,-0.95,-0.08,6.35,0.63
7,Exit short,2026-01-22 09:18,MidCross,1.17378,1000,1174.18,0.2,0.02,1.33,0.11,-0.56,-0.05,6.55,0.65
7,Entry short,2026-01-22 08:30,Short,1.17418,1000,1174.18,0.2,0.02,1.33,0.11,-0.56,-0.05,6.55,0.65
8,Exit short,2026-01-23 00:42,MidCross,1.1742,1000,1175.29,0.89,0.08,2.36,0.20,-0.11,-0.01,7.44,0.74
8,Entry short,2026-01-22 21:26,Short,1.17529,1000,1175.29,0.89,0.08,2.36,0.20,-0.11,-0.01,7.44,0.74
9,Exit short,2026-01-25 17:02,MidCross,1.18638,1000,1177.09,-9.49,-0.81,0.23,0.02,-12.78,-1.09,-2.05,-0.21
9,Entry short,2026-01-23 08:50,Short,1.17709,1000,1177.09,-9.49,-0.81,0.23,0.02,-12.78,-1.09,-2.05,-0.21
10,Exit long,2026-01-26 09:28,MidCross,1.18842,1000,1183.54,4.68,0.40,7.08,0.60,-0.1,-0.01,2.63,0.26
10,Entry long,2026-01-26 05:10,Long,1.18354,1000,1183.54,4.68,0.40,7.08,0.60,-0.1,-0.01,2.63,0.26
11,Exit short,2026-01-26 19:32,MidCross,1.18848,1000,1189.33,0.65,0.05,0.83,0.07,-0.1,-0.01,3.27,0.33
11,Entry short,2026-01-26 19:00,Short,1.18933,1000,1189.33,0.65,0.05,0.83,0.07,-0.1,-0.01,3.27,0.33
12,Exit long,2026-01-27 09:18,MidCross,1.19636,1000,1185.96,10.2,0.86,12.96,1.09,-1.02,-0.09,13.47,1.35
12,Entry long,2026-01-27 00:14,Long,1.18596,1000,1185.96,10.2,0.86,12.96,1.09,-1.02,-0.09,13.47,1.35
13,Exit long,2026-01-27 21:52,MidCross,1.19924,1000,1198.5,0.54,0.04,0.97,0.08,-0.82,-0.07,14.01,1.40
13,Entry long,2026-01-27 21:08,Long,1.1985,1000,1198.5,0.54,0.04,0.97,0.08,-0.82,-0.07,14.01,1.40
14,Exit long,2026-01-28 10:06,MidCross,1.19373,1000,1193.62,-0.09,-0.01,2.1,0.18,-1.86,-0.16,13.92,1.39
14,Entry long,2026-01-28 07:14,Long,1.19362,1000,1193.62,-0.09,-0.01,2.1,0.18,-1.86,-0.16,13.92,1.39
15,Exit short,2026-01-28 18:30,MidCross,1.19682,1000,1196.8,-0.22,-0.02,1.38,0.12,-1.82,-0.15,13.69,1.37
15,Entry short,2026-01-28 15:54,Short,1.1968,1000,1196.8,-0.22,-0.02,1.38,0.12,-1.82,-0.15,13.69,1.37
16,Exit long,2026-01-29 11:10,MidCross,1.19528,1000,1192.43,2.65,0.22,3.97,0.33,-1.91,-0.16,16.34,1.63
16,Entry long,2026-01-29 07:20,Long,1.19243,1000,1192.43,2.65,0.22,3.97,0.33,-1.91,-0.16,16.34,1.63
17,Exit long,2026-01-29 19:40,MidCross,1.19144,1000,1193.8,-2.56,-0.21,0.06,0.00,-4.44,-0.37,13.78,1.38
