Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2026-02-09 02:39,Close entry(s) order Short,1.18582,1000,1185.19,-0.83,-0.07,0,0.00,-1.89,-0.16,-0.83,-0.08
1,Entry short,2026-02-09 00:33,Short,1.18519,1000,1185.19,-0.83,-0.07,0,0.00,-1.89,-0.16,-0.83,-0.08
2,Exit short,2026-02-09 08:24,Close entry(s) order Short,1.19021,1000,1191.01,0.6,0.05,0.79,0.07,-0.17,-0.01,-0.23,-0.02
2,Entry short,2026-02-09 08:07,Short,1.19101,1000,1191.01,0.6,0.05,0.79,0.07,-0.17,-0.01,-0.23,-0.02
3,Exit short,2026-02-09 13:47,Close entry(s) order Short,1.19152,1000,1191.37,-0.35,-0.03,0.23,0.02,-0.97,-0.08,-0.59,-0.06
3,Entry short,2026-02-09 10:53,Short,1.19137,1000,1191.37,-0.35,-0.03,0.23,0.02,-0.97,-0.08,-0.59,-0.06
4,Exit long,2026-02-09 17:43,Close entry(s) order Long,1.19062,1000,1190.36,0.06,0.00,0.41,0.03,-0.1,-0.01,-0.53,-0.05
4,Entry long,2026-02-09 17:38,Long,1.19036,1000,1190.36,0.06,0.00,0.41,0.03,-0.1,-0.01,-0.53,-0.05
5,Exit short,2026-02-09 20:22,Close entry(s) order Short,1.19082,1000,1191.08,0.06,0.00,0.24,0.02,-0.31,-0.03,-0.47,-0.05
5,Entry short,2026-02-09 19:58,Short,1.19108,1000,1191.08,0.06,0.00,0.24,0.02,-0.31,-0.03,-0.47,-0.05
6,Exit long,2026-02-09 22:10,Close entry(s) order Long,1.19094,1000,1190.57,0.17,0.01,0.65,0.05,-0.19,-0.02,-0.3,-0.03
6,Entry long,2026-02-09 21:54,Long,1.19057,1000,1190.57,0.17,0.01,0.65,0.05,-0.19,-0.02,-0.3,-0.03
7,Exit long,2026-02-09 23:55,Close entry(s) order Long,1.19064,1000,1190.33,0.11,0.01,0.35,0.03,-0.31,-0.03,-0.2,-0.02
