Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-11-24 03:30,Close entry(s) order Short,1.15169,1000,1151.47,-0.32,-0.03,0.04,0.00,-0.27,-0.02,-0.32,-0.03
1,Entry short,2025-11-24 03:20,Short,1.15147,1000,1151.47,-0.32,-0.03,0.04,0.00,-0.27,-0.02,-0.32,-0.03
2,Exit short,2025-11-24 18:55,Close entry(s) order Short,1.15248,1000,1152.66,0.08,0.01,1.45,0.13,-0.21,-0.02,-0.24,-0.02
2,Entry short,2025-11-24 16:10,Short,1.15266,1000,1152.66,0.08,0.01,1.45,0.13,-0.21,-0.02,-0.24,-0.02
3,Exit short,2025-11-25 02:50,Close entry(s) order Short,1.15261,1000,1152.38,-0.33,-0.03,0.1,0.01,-0.35,-0.03,-0.57,-0.06
3,Entry short,2025-11-25 02:40,Short,1.15238,1000,1152.38,-0.33,-0.03,0.1,0.01,-0.35,-0.03,-0.57,-0.06
4,Exit short,2025-11-28 12:10,Close entry(s) order Short,1.15685,1000,1156.8,-0.15,-0.01,0.59,0.05,-0.15,-0.01,-0.72,-0.07
4,Entry short,2025-11-28 12:00,Short,1.1568,1000,1156.8,-0.15,-0.01,0.59,0.05,-0.15,-0.01,-0.72,-0.07
5,Exit long,2025-12-02 01:45,Close entry(s) order Long,1.1609,1000,1160.98,-0.18,-0.02,0.01,0.00,-0.16,-0.01,-0.9,-0.09
5,Entry long,2025-12-02 01:40,Long,1.16098,1000,1160.98,-0.18,-0.02,0.01,0.00,-0.16,-0.01,-0.9,-0.09
6,Exit long,2025-12-02 12:15,Close entry(s) order Long,1.16084,1000,1160.9,-0.16,-0.01,0.35,0.03,-0.22,-0.02,-1.06,-0.11
6,Entry long,2025-12-02 11:45,Long,1.1609,1000,1160.9,-0.16,-0.01,0.35,0.03,-0.22,-0.02,-1.06,-0.11
7,Exit long,2025-12-03 04:10,Close entry(s) order Long,1.16366,1000,1162.3,1.26,0.11,1.55,0.13,-0.05,0.00,0.2,0.02
7,Entry long,2025-12-02 22:35,Long,1.1623,1000,1162.3,1.26,0.11,1.55,0.13,-0.05,0.00,0.2,0.02
8,Exit long,2025-12-03 13:00,Close entry(s) order Long,1.1663,1000,1164.5,1.7,0.15,2.39,0.21,-0.09,-0.01,1.9,0.19
8,Entry long,2025-12-03 09:40,Long,1.1645,1000,1164.5,1.7,0.15,2.39,0.21,-0.09,-0.01,1.9,0.19
9,Exit long,2025-12-03 23:30,Close entry(s) order Long,1.16692,1000,1167.1,-0.28,-0.02,0.39,0.03,-0.24,-0.02,1.62,0.16
9,Entry long,2025-12-03 21:55,Long,1.1671,1000,1167.1,-0.28,-0.02,0.39,0.03,-0.24,-0.02,1.62,0.16
10,Exit long,2025-12-04 12:35,Close entry(s) order Long,1.16722,1000,1167.57,-0.45,-0.04,0.48,0.04,-0.4,-0.03,1.17,0.12
10,Entry long,2025-12-04 11:20,Long,1.16757,1000,1167.57,-0.45,-0.04,0.48,0.04,-0.4,-0.03,1.17,0.12
