Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-11-25 12:20,Close entry(s) order Short,1.15292,1000,1152.6,-0.42,-0.04,0,0.00,-0.45,-0.04,-0.42,-0.04
1,Entry short,2025-11-25 12:10,Short,1.1526,1000,1152.6,-0.42,-0.04,0,0.00,-0.45,-0.04,-0.42,-0.04
2,Exit short,2025-11-28 12:10,Close entry(s) order Short,1.15685,1000,1156.8,-0.15,-0.01,0.59,0.05,-0.15,-0.01,-0.57,-0.06
2,Entry short,2025-11-28 12:00,Short,1.1568,1000,1156.8,-0.15,-0.01,0.59,0.05,-0.15,-0.01,-0.57,-0.06
3,Exit long,2025-12-02 11:40,Close entry(s) order Long,1.16076,1000,1160.94,-0.28,-0.02,0,0.00,-0.27,-0.02,-0.85,-0.08
3,Entry long,2025-12-02 11:35,Long,1.16094,1000,1160.94,-0.28,-0.02,0,0.00,-0.27,-0.02,-0.85,-0.08
4,Exit long,2025-12-03 07:35,Close entry(s) order Long,1.16446,1000,1164.64,-0.28,-0.02,0.59,0.05,-0.29,-0.02,-1.13,-0.11
4,Entry long,2025-12-03 07:05,Long,1.16464,1000,1164.64,-0.28,-0.02,0.59,0.05,-0.29,-0.02,-1.13,-0.11
5,Exit long,2025-12-04 14:40,Close entry(s) order Long,1.16699,1000,1167.34,-0.45,-0.04,0.32,0.03,-0.49,-0.04,-1.58,-0.16
5,Entry long,2025-12-04 14:20,Long,1.16734,1000,1167.34,-0.45,-0.04,0.32,0.03,-0.49,-0.04,-1.58,-0.16
6,Exit long,2025-12-08 08:15,Close entry(s) order Long,1.16555,1000,1165.98,-0.53,-0.05,0.22,0.02,-0.48,-0.04,-2.11,-0.21
6,Entry long,2025-12-08 07:55,Long,1.16598,1000,1165.98,-0.53,-0.05,0.22,0.02,-0.48,-0.04,-2.11,-0.21
7,Exit long,2025-12-11 02:20,Close entry(s) order Long,1.16998,1000,1166.8,3.08,0.26,3.89,0.33,-0.14,-0.01,0.97,0.10
7,Entry long,2025-12-10 19:55,Long,1.1668,1000,1166.8,3.08,0.26,3.89,0.33,-0.14,-0.01,0.97,0.10
8,Exit long,2025-12-11 09:05,Close entry(s) order Long,1.16956,1000,1168.98,0.48,0.04,1.63,0.14,-0.15,-0.01,1.45,0.14
8,Entry long,2025-12-11 07:05,Long,1.16898,1000,1168.98,0.48,0.04,1.63,0.14,-0.15,-0.01,1.45,0.14
9,Exit long,2025-12-11 19:05,Close entry(s) order Long,1.17502,1000,1174.75,0.17,0.01,1.48,0.13,-0.14,-0.01,1.62,0.16
9,Entry long,2025-12-11 16:35,Long,1.17475,1000,1174.75,0.17,0.01,1.48,0.13,-0.14,-0.01,1.62,0.16
10,Exit long,2025-12-15 17:20,Close entry(s) order Long,1.17506,1000,1175.08,-0.12,-0.01,1.77,0.15,-0.07,-0.01,1.5,0.15
10,Entry long,2025-12-15 14:30,Long,1.17508,1000,1175.08,-0.12,-0.01,1.77,0.15,-0.07,-0.01,1.5,0.15
11,Exit long,2025-12-16 16:00,Close entry(s) order Long,1.17701,1000,1176.68,0.23,0.02,3.69,0.31,-0.05,0.00,1.73,0.17
11,Entry long,2025-12-16 13:55,Long,1.17668,1000,1176.68,0.23,0.02,3.69,0.31,-0.05,0.00,1.73,0.17
12,Exit long,2025-12-22 18:05,Close entry(s) order Long,1.17554,1000,1175.84,-0.4,-0.03,0.59,0.05,-0.45,-0.04,1.33,0.13
12,Entry long,2025-12-22 17:30,Long,1.17584,1000,1175.84,-0.4,-0.03,0.59,0.05,-0.45,-0.04,1.33,0.13
13,Exit long,2025-12-24 00:35,Close entry(s) order Long,1.17911,1000,1179.05,-0.04,0.00,0.8,0.07,-0.05,0.00,1.28,0.13
13,Entry long,2025-12-23 21:30,Long,1.17905,1000,1179.05,-0.04,0.00,0.8,0.07,-0.05,0.00,1.28,0.13
14,Exit long,2025-12-29 09:20,Close entry(s) order Long,1.17742,1000,1177.54,-0.22,-0.02,0,0.00,-0.3,-0.03,1.06,0.11
14,Entry long,2025-12-29 09:15,Long,1.17754,1000,1177.54,-0.22,-0.02,0,0.00,-0.3,-0.03,1.06,0.11
15,Exit long,2026-01-05 21:30,Close entry(s) order Long,1.17228,1000,1171.35,0.83,0.07,1.48,0.13,-0.06,-0.01,1.89,0.19
15,Entry long,2026-01-05 17:50,Long,1.17135,1000,1171.35,0.83,0.07,1.48,0.13,-0.06,-0.01,1.89,0.19
16,Exit short,2026-01-08 20:30,Close entry(s) order Short,1.16534,1000,1166.8,1.36,0.12,2.49,0.21,-0.27,-0.02,3.25,0.33
16,Entry short,2026-01-08 15:45,Short,1.1668,1000,1166.8,1.36,0.12,2.49,0.21,-0.27,-0.02,3.25,0.33
17,Exit short,2026-01-09 08:55,Close entry(s) order Short,1.16476,1000,1164.72,-0.14,-0.01,0.55,0.05,-0.12,-0.01,3.11,0.31
17,Entry short,2026-01-09 08:05,Short,1.16472,1000,1164.72,-0.14,-0.01,0.55,0.05,-0.12,-0.01,3.11,0.31
18,Exit short,2026-01-14 08:55,Close entry(s) order Short,1.16466,1000,1164.61,-0.15,-0.01,0.46,0.04,-0.26,-0.02,2.96,0.30
18,Entry short,2026-01-14 08:10,Short,1.16461,1000,1164.61,-0.15,-0.01,0.46,0.04,-0.26,-0.02,2.96,0.30
19,Exit short,2026-01-15 15:45,Close entry(s) order Short,1.1605,1000,1160.23,-0.37,-0.03,0.48,0.04,-0.38,-0.03,2.59,0.26
19,Entry short,2026-01-15 15:15,Short,1.16023,1000,1160.23,-0.37,-0.03,0.48,0.04,-0.38,-0.03,2.59,0.26
20,Exit long,2026-01-22 19:35,Close entry(s) order Long,1.17414,1000,1173.82,0.22,0.02,1.01,0.09,-0.47,-0.04,2.81,0.28
20,Entry long,2026-01-22 17:15,Long,1.17382,1000,1173.82,0.22,0.02,1.01,0.09,-0.47,-0.04,2.81,0.28
21,Exit long,2026-01-23 08:55,Close entry(s) order Long,1.17408,1000,1174.51,-0.53,-0.05,0,0.00,-0.54,-0.05,2.28,0.23
21,Entry long,2026-01-23 08:45,Long,1.17451,1000,1174.51,-0.53,-0.05,0,0.00,-0.54,-0.05,2.28,0.23
22,Exit long,2026-01-25 23:30,Close entry(s) order Long,1.18651,1000,1178.53,7.88,0.67,11.19,0.95,-0.12,-0.01,10.16,1.02
22,Entry long,2026-01-23 18:20,Long,1.17853,1000,1178.53,7.88,0.67,11.19,0.95,-0.12,-0.01,10.16,1.02
23,Exit long,2026-01-26 16:20,Close entry(s) order Long,1.18829,1000,1185.33,2.86,0.24,5.34,0.45,-0.24,-0.02,13.02,1.30
23,Entry long,2026-01-26 13:50,Long,1.18533,1000,1185.33,2.86,0.24,5.34,0.45,-0.24,-0.02,13.02,1.30
