Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-11-28 04:10,Close entry(s) order Short,1.15685,1000,1156.8,-0.15,-0.01,0.59,0.05,-0.15,-0.01,-0.15,-0.01
1,Entry short,2025-11-28 04:00,Short,1.1568,1000,1156.8,-0.15,-0.01,0.59,0.05,-0.15,-0.01,-0.15,-0.01
2,Exit long,2025-12-03 06:00,Close entry(s) order Long,1.16664,1000,1166.52,0.02,0.00,0.98,0.08,-0.11,-0.01,-0.13,-0.01
2,Entry long,2025-12-03 05:05,Long,1.16652,1000,1166.52,0.02,0.00,0.98,0.08,-0.11,-0.01,-0.13,-0.01
3,Exit long,2025-12-08 00:15,Close entry(s) order Long,1.16555,1000,1165.98,-0.53,-0.05,0.22,0.02,-0.48,-0.04,-0.66,-0.07
3,Entry long,2025-12-07 23:55,Long,1.16598,1000,1165.98,-0.53,-0.05,0.22,0.02,-0.48,-0.04,-0.66,-0.07
4,Exit long,2025-12-11 01:05,Close entry(s) order Long,1.16956,1000,1168.98,0.48,0.04,1.63,0.14,-0.15,-0.01,-0.18,-0.02
4,Entry long,2025-12-10 23:05,Long,1.16898,1000,1168.98,0.48,0.04,1.63,0.14,-0.15,-0.01,-0.18,-0.02
5,Exit long,2025-12-14 14:05,Close entry(s) order Long,1.17373,1000,1173.3,0.33,0.03,0.38,0.03,-0.05,0.00,0.15,0.01
5,Entry long,2025-12-14 14:00,Long,1.1733,1000,1173.3,0.33,0.03,0.38,0.03,-0.05,0.00,0.15,0.01
6,Exit long,2025-12-16 08:00,Close entry(s) order Long,1.17701,1000,1176.68,0.23,0.02,3.69,0.31,-0.05,0.00,0.38,0.04
6,Entry long,2025-12-16 05:55,Long,1.17668,1000,1176.68,0.23,0.02,3.69,0.31,-0.05,0.00,0.38,0.04
7,Exit short,2026-01-09 05:35,Close entry(s) order Short,1.16518,1000,1164.36,-0.92,-0.08,1.75,0.15,-1.28,-0.11,-0.54,-0.05
7,Entry short,2026-01-09 03:05,Short,1.16436,1000,1164.36,-0.92,-0.08,1.75,0.15,-1.28,-0.11,-0.54,-0.05
8,Exit short,2026-01-13 00:00,Close entry(s) order Short,1.1664,1000,1166.1,-0.4,-0.03,0,0.00,-0.45,-0.04,-0.94,-0.09
8,Entry short,2026-01-12 23:55,Short,1.1661,1000,1166.1,-0.4,-0.03,0,0.00,-0.45,-0.04,-0.94,-0.09
9,Exit short,2026-01-15 02:15,Close entry(s) order Short,1.16366,1000,1163.47,-0.29,-0.02,0.13,0.01,-0.28,-0.02,-1.23,-0.12
9,Entry short,2026-01-15 02:05,Short,1.16347,1000,1163.47,-0.29,-0.02,0.13,0.01,-0.28,-0.02,-1.23,-0.12
10,Exit long,2026-01-22 11:35,Close entry(s) order Long,1.17414,1000,1173.82,0.22,0.02,1.01,0.09,-0.47,-0.04,-1.01,-0.10
10,Entry long,2026-01-22 09:15,Long,1.17382,1000,1173.82,0.22,0.02,1.01,0.09,-0.47,-0.04,-1.01,-0.10
11,Exit long,2026-01-25 15:30,Close entry(s) order Long,1.18651,1000,1178.53,7.88,0.67,11.19,0.95,-0.12,-0.01,6.86,0.69
11,Entry long,2026-01-23 10:20,Long,1.17853,1000,1178.53,7.88,0.67,11.19,0.95,-0.12,-0.01,6.86,0.69
12,Exit long,2026-01-26 09:25,Close entry(s) order Long,1.18864,1000,1188.88,-0.34,-0.03,0.21,0.02,-0.33,-0.03,6.52,0.65
12,Entry long,2026-01-26 09:15,Long,1.18888,1000,1188.88,-0.34,-0.03,0.21,0.02,-0.33,-0.03,6.52,0.65
13,Exit long,2026-01-27 09:25,Close entry(s) order Long,1.19628,1000,1192.34,3.84,0.32,6.63,0.56,-0.55,-0.05,10.36,1.04
13,Entry long,2026-01-27 06:00,Long,1.19234,1000,1192.34,3.84,0.32,6.63,0.56,-0.55,-0.05,10.36,1.04
14,Exit long,2026-02-03 23:30,Close entry(s) order Long,1.18284,1000,1183.2,-0.46,-0.04,0,0.00,-0.55,-0.05,9.9,0.99
14,Entry long,2026-02-03 23:25,Long,1.1832,1000,1183.2,-0.46,-0.04,0,0.00,-0.55,-0.05,9.9,0.99
15,Exit long,2026-02-09 07:15,Close entry(s) order Long,1.19114,1000,1185.59,5.45,0.46,7.04,0.59,-0.48,-0.04,15.35,1.53
15,Entry long,2026-02-09 00:00,Long,1.18559,1000,1185.59,5.45,0.46,7.04,0.59,-0.48,-0.04,15.35,1.53
16,Exit long,2026-02-09 07:45,Close entry(s) order Long,1.19084,1000,1191.46,-0.72,-0.06,0.03,0.00,-0.87,-0.07,14.62,1.46
16,Entry long,2026-02-09 07:35,Long,1.19146,1000,1191.46,-0.72,-0.06,0.03,0.00,-0.87,-0.07,14.62,1.46
17,Exit long,2026-02-22 17:25,Close entry(s) order Long,1.18233,1000,1177.67,4.56,0.39,5.76,0.49,-0.42,-0.04,19.18,1.92
17,Entry long,2026-02-20 09:35,Long,1.17767,1000,1177.67,4.56,0.39,5.76,0.49,-0.42,-0.04,19.18,1.92
18,Exit long,2026-02-24 23:35,Close entry(s) order Long,1.18003,1000,1180.22,-0.29,-0.02,0,0.00,-0.25,-0.02,18.89,1.89
18,Entry long,2026-02-24 23:30,Long,1.18022,1000,1180.22,-0.29,-0.02,0,0.00,-0.25,-0.02,18.89,1.89
