Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-11-24 10:55,Close entry(s) order Short,1.15248,1000,1152.66,0.08,0.01,1.45,0.13,-0.21,-0.02,0.08,0.01
1,Entry short,2025-11-24 08:10,Short,1.15266,1000,1152.66,0.08,0.01,1.45,0.13,-0.21,-0.02,0.08,0.01
2,Exit short,2025-11-25 04:20,Close entry(s) order Short,1.15292,1000,1152.6,-0.42,-0.04,0,0.00,-0.45,-0.04,-0.34,-0.03
2,Entry short,2025-11-25 04:10,Short,1.1526,1000,1152.6,-0.42,-0.04,0,0.00,-0.45,-0.04,-0.34,-0.03
3,Exit short,2025-11-28 04:10,Close entry(s) order Short,1.15685,1000,1156.8,-0.15,-0.01,0.59,0.05,-0.15,-0.01,-0.49,-0.05
3,Entry short,2025-11-28 04:00,Short,1.1568,1000,1156.8,-0.15,-0.01,0.59,0.05,-0.15,-0.01,-0.49,-0.05
4,Exit long,2025-12-02 02:05,Close entry(s) order Long,1.16072,1000,1161.17,-0.55,-0.05,0.02,0.00,-0.64,-0.06,-1.04,-0.10
4,Entry long,2025-12-02 01:55,Long,1.16117,1000,1161.17,-0.55,-0.05,0.02,0.00,-0.64,-0.06,-1.04,-0.10
5,Exit long,2025-12-02 10:40,Close entry(s) order Long,1.16066,1000,1160.94,-0.38,-0.03,0.35,0.03,-0.33,-0.03,-1.42,-0.14
5,Entry long,2025-12-02 10:05,Long,1.16094,1000,1160.94,-0.38,-0.03,0.35,0.03,-0.33,-0.03,-1.42,-0.14
6,Exit long,2025-12-03 05:00,Close entry(s) order Long,1.1663,1000,1164.5,1.7,0.15,2.39,0.21,-0.09,-0.01,0.28,0.03
6,Entry long,2025-12-03 01:40,Long,1.1645,1000,1164.5,1.7,0.15,2.39,0.21,-0.09,-0.01,0.28,0.03
7,Exit long,2025-12-03 12:20,Close entry(s) order Long,1.1671,1000,1166.53,0.47,0.04,1.2,0.10,-0.19,-0.02,0.75,0.08
7,Entry long,2025-12-03 09:35,Long,1.16653,1000,1166.53,0.47,0.04,1.2,0.10,-0.19,-0.02,0.75,0.08
8,Exit long,2025-12-04 04:35,Close entry(s) order Long,1.16722,1000,1167.57,-0.45,-0.04,0.48,0.04,-0.4,-0.03,0.3,0.03
8,Entry long,2025-12-04 03:20,Long,1.16757,1000,1167.57,-0.45,-0.04,0.48,0.04,-0.4,-0.03,0.3,0.03
9,Exit long,2025-12-10 18:20,Close entry(s) order Long,1.16998,1000,1166.8,3.08,0.26,3.89,0.33,-0.14,-0.01,3.38,0.34
