Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-05-07 15:00:00,SL,63750,0.001,64.05,-0.31,-0.48,0,0.00,-0.3,-0.47,-0.31,-0.03
1,Entry long,2024-05-07 14:00:00,Long,64050,0.001,64.05,-0.31,-0.48,0,0.00,-0.3,-0.47,-0.31,-0.03
2,Exit long,2024-05-14 02:00:00,SL,62550,0.001,62.85,-0.31,-0.49,0.3,0.47,-0.3,-0.48,-0.61,-0.06
2,Entry long,2024-05-13 09:00:00,Long,62850,0.001,62.85,-0.31,-0.49,0.3,0.47,-0.3,-0.48,-0.61,-0.06
3,Exit long,2024-05-15 13:00:00,TP,63900,0.001,63.15,0.74,1.18,0.75,1.18,-0.003,0.00,0.13,0.01
3,Entry long,2024-05-15 12:00:00,Long,63150,0.001,63.15,0.74,1.18,0.75,1.18,-0.003,0.00,0.13,0.01
4,Exit long,2024-05-16 14:00:00,SL,65700,0.001,66,-0.31,-0.46,0,0.00,-0.3,-0.46,-0.17,-0.02
4,Entry long,2024-05-16 14:00:00,Long,66000,0.001,66,-0.31,-0.46,0,0.00,-0.3,-0.46,-0.17,-0.02
5,Exit long,2024-05-17 13:00:00,SL,66000,0.001,66.3,-0.31,-0.46,0.15,0.22,-0.3,-0.46,-0.48,-0.05
5,Entry long,2024-05-17 07:00:00,Long,66300,0.001,66.3,-0.31,-0.46,0.15,0.22,-0.3,-0.46,-0.48,-0.05
6,Exit long,2024-05-19 19:00:00,SL,66300,0.001,66.6,-0.31,-0.46,0,0.00,-0.3,-0.46,-0.79,-0.08
6,Entry long,2024-05-19 18:00:00,Long,66600,0.001,66.6,-0.31,-0.46,0,0.00,-0.3,-0.46,-0.79,-0.08
7,Exit long,2024-05-20 06:00:00,SL,66750,0.001,67.05,-0.31,-0.46,0.05,0.08,-0.3,-0.45,-1.09,-0.11
7,Entry long,2024-05-20 04:00:00,Long,67050,0.001,67.05,-0.31,-0.46,0.05,0.08,-0.3,-0.45,-1.09,-0.11
8,Exit long,2024-05-24 23:00:00,SL,68550,0.001,68.85,-0.31,-0.44,0.15,0.21,-0.3,-0.44,-1.4,-0.14
