Trade #,Type,Date and time,Signal,Price AUD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2023-08-04 10:00:00,SL,1.6692,1000,1668,-0.89,-0.08,0.76,0.07,-0.84,-0.08,-0.89,-0.09
1,Entry short,2023-08-04 02:00:00,Short,1.668,1000,1668,-0.89,-0.08,0.76,0.07,-0.84,-0.08,-0.89,-0.09
2,Exit long,2023-08-04 14:00:00,TP,1.6734,1000,1671.6,1.08,0.10,1.13,0.10,-0.05,0.00,0.19,0.02
2,Entry long,2023-08-04 14:00:00,Long,1.6716,1000,1671.6,1.08,0.10,1.13,0.10,-0.05,0.00,0.19,0.02
3,Exit short,2023-08-08 19:00:00,TP,1.6752,1000,1677,1.08,0.10,1.13,0.10,-0.05,0.00,1.27,0.13
3,Entry short,2023-08-08 18:00:00,Short,1.677,1000,1677,1.08,0.10,1.13,0.10,-0.05,0.00,1.27,0.13
4,Exit short,2023-08-09 02:00:00,TP,1.6728,1000,1674.6,1.08,0.10,1.13,0.10,-0.05,0.00,2.35,0.24
4,Entry short,2023-08-09 02:00:00,Short,1.6746,1000,1674.6,1.08,0.10,1.13,0.10,-0.05,0.00,2.35,0.24
5,Exit long,2023-08-09 14:00:00,TP,1.6818,1000,1680,1.08,0.10,1.13,0.10,-0.44,-0.04,3.43,0.34
5,Entry long,2023-08-09 12:00:00,Long,1.68,1000,1680,1.08,0.10,1.13,0.10,-0.44,-0.04,3.43,0.34
6,Exit short,2023-08-14 15:00:00,TP,1.6818,1000,1683.6,1.07,0.10,1.12,0.10,-0.05,0.00,4.5,0.45
6,Entry short,2023-08-14 12:00:00,Short,1.6836,1000,1683.6,1.07,0.10,1.12,0.10,-0.05,0.00,4.5,0.45
7,Exit short,2023-08-15 03:00:00,TP,1.6776,1000,1679.4,1.07,0.10,1.12,0.10,-0.05,0.00,5.56,0.56
7,Entry short,2023-08-15 03:00:00,Short,1.6794,1000,1679.4,1.07,0.10,1.12,0.10,-0.05,0.00,5.56,0.56
8,Exit long,2023-08-15 07:00:00,TP,1.6884,1000,1686.6,1.07,0.10,1.12,0.10,-0.05,0.00,6.63,0.66
8,Entry long,2023-08-15 07:00:00,Long,1.6866,1000,1686.6,1.07,0.10,1.12,0.10,-0.05,0.00,6.63,0.66
