Trade #,Type,Date and time,Signal,Price AUD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2023-08-04 10:00:00,SL,1.6704,1000,1666.8,-2.46,-0.23,0,0.00,-2.41,-0.22,-2.46,-0.25
1,Entry short,2023-08-04 04:00:00,Short,1.6668,1000,1666.8,-2.46,-0.23,0,0.00,-2.41,-0.22,-2.46,-0.25
2,Exit long,2023-08-04 19:00:00,TP,1.6764,1000,1672.8,2.26,0.21,2.31,0.21,-1.23,-0.11,-0.2,-0.02
2,Entry long,2023-08-04 14:00:00,Long,1.6728,1000,1672.8,2.26,0.21,2.31,0.21,-1.23,-0.11,-0.2,-0.02
3,Exit long,2023-08-08 05:00:00,TP,1.6794,1000,1675.8,2.27,0.21,2.32,0.21,-1.55,-0.14,2.06,0.21
3,Entry long,2023-08-07 15:00:00,Long,1.6758,1000,1675.8,2.27,0.21,2.32,0.21,-1.55,-0.14,2.06,0.21
4,Exit short,2023-08-09 02:00:00,TP,1.6728,1000,1676.4,2.25,0.21,2.31,0.21,-0.84,-0.08,4.32,0.43
4,Entry short,2023-08-08 18:00:00,Short,1.6764,1000,1676.4,2.25,0.21,2.31,0.21,-0.84,-0.08,4.32,0.43
5,Exit long,2023-08-10 20:00:00,TP,1.6836,1000,1680,2.25,0.21,2.3,0.21,-2.24,-0.20,6.57,0.66
5,Entry long,2023-08-09 12:00:00,Long,1.68,1000,1680,2.25,0.21,2.3,0.21,-2.24,-0.20,6.57,0.66
6,Exit long,2023-08-14 01:00:00,TP,1.6896,1000,1686,2.24,0.20,2.29,0.21,-1.22,-0.11,8.81,0.88
6,Entry long,2023-08-10 23:00:00,Long,1.686,1000,1686,2.24,0.20,2.29,0.21,-1.22,-0.11,8.81,0.88
7,Exit short,2023-08-15 03:00:00,TP,1.6794,1000,1683,2.23,0.20,2.29,0.21,-0.05,0.00,11.04,1.10
7,Entry short,2023-08-14 14:00:00,Short,1.683,1000,1683,2.23,0.20,2.29,0.21,-0.05,0.00,11.04,1.10
8,Exit short,2023-08-15 06:00:00,SL,1.6812,1000,1677.6,-2.44,-0.22,0,0.00,-2.39,-0.22,8.61,0.86
8,Entry short,2023-08-15 03:00:00,Short,1.6776,1000,1677.6,-2.44,-0.22,0,0.00,-2.39,-0.22,8.61,0.86
9,Exit long,2023-08-16 00:00:00,TP,1.6902,1000,1686.6,2.22,0.20,2.27,0.21,-0.83,-0.08,10.83,1.08
9,Entry long,2023-08-15 07:00:00,Long,1.6866,1000,1686.6,2.22,0.20,2.27,0.21,-0.83,-0.08,10.83,1.08
10,Exit long,2023-08-17 00:00:00,TP,1.6956,1000,1692,2.21,0.20,2.26,0.21,-1.6,-0.15,13.04,1.30
10,Entry long,2023-08-16 12:00:00,Long,1.692,1000,1692,2.21,0.20,2.26,0.21,-1.6,-0.15,13.04,1.30
11,Exit short,2023-08-18 03:00:00,SL,1.6986,1000,1695,-2.41,-0.22,1.49,0.14,-2.36,-0.22,10.64,1.06
11,Entry short,2023-08-17 09:00:00,Short,1.695,1000,1695,-2.41,-0.22,1.49,0.14,-2.36,-0.22,10.64,1.06
12,Exit long,2023-08-22 06:00:00,SL,1.6974,1000,1701,-2.41,-0.22,1.1,0.10,-2.36,-0.22,8.23,0.82
12,Entry long,2023-08-21 07:00:00,Long,1.701,1000,1701,-2.41,-0.22,1.1,0.10,-2.36,-0.22,8.23,0.82
13,Exit short,2023-08-22 09:00:00,TP,1.692,1000,1695.6,2.21,0.20,2.26,0.21,-0.05,0.00,10.44,1.04
13,Entry short,2023-08-22 07:00:00,Short,1.6956,1000,1695.6,2.21,0.20,2.26,0.21,-0.05,0.00,10.44,1.04
14,Exit short,2023-08-23 13:00:00,TP,1.6812,1000,1684.8,2.21,0.20,2.26,0.21,-0.05,0.00,12.65,1.26
14,Entry short,2023-08-23 07:00:00,Short,1.6848,1000,1684.8,2.21,0.20,2.26,0.21,-0.05,0.00,12.65,1.26
15,Exit short,2023-08-24 09:00:00,SL,1.6824,1000,1678.8,-2.43,-0.22,1.51,0.14,-2.38,-0.22,10.21,1.02
15,Entry short,2023-08-23 14:00:00,Short,1.6788,1000,1678.8,-2.43,-0.22,1.51,0.14,-2.38,-0.22,10.21,1.02
16,Exit long,2023-08-25 07:00:00,SL,1.6794,1000,1683,-2.41,-0.22,1.12,0.10,-2.36,-0.22,7.81,0.78
16,Entry long,2023-08-24 11:00:00,Long,1.683,1000,1683,-2.41,-0.22,1.12,0.10,-2.36,-0.22,7.81,0.78
17,Exit short,2023-08-29 11:00:00,SL,1.6818,1000,1678.2,-2.41,-0.22,1.11,0.10,-2.36,-0.22,5.39,0.54
17,Entry short,2023-08-29 06:00:00,Short,1.6782,1000,1678.2,-2.41,-0.22,1.11,0.10,-2.36,-0.22,5.39,0.54
18,Exit long,2023-08-29 15:00:00,SL,1.68,1000,1683.6,-2.41,-0.22,0.72,0.07,-2.36,-0.22,2.98,0.30
18,Entry long,2023-08-29 11:00:00,Long,1.6836,1000,1683.6,-2.41,-0.22,0.72,0.07,-2.36,-0.22,2.98,0.30
19,Exit short,2023-08-30 08:00:00,SL,1.6818,1000,1678.2,-2.43,-0.22,0,0.00,-2.38,-0.22,0.54,0.05
19,Entry short,2023-08-30 04:00:00,Short,1.6782,1000,1678.2,-2.43,-0.22,0,0.00,-2.38,-0.22,0.54,0.05
20,Exit long,2023-08-30 12:00:00,SL,1.6794,1000,1683,-2.43,-0.22,0.73,0.07,-2.38,-0.22,-1.89,-0.19
20,Entry long,2023-08-30 09:00:00,Long,1.683,1000,1683,-2.43,-0.22,0.73,0.07,-2.38,-0.22,-1.89,-0.19
21,Exit long,2023-08-30 21:00:00,TP,1.6872,1000,1683.6,2.23,0.20,2.28,0.21,-0.05,0.00,0.34,0.03
21,Entry long,2023-08-30 16:00:00,Long,1.6836,1000,1683.6,2.23,0.20,2.28,0.21,-0.05,0.00,0.34,0.03
22,Exit short,2023-08-31 12:00:00,TP,1.6752,1000,1678.8,2.23,0.21,2.28,0.21,-0.05,0.00,2.57,0.26
22,Entry short,2023-08-31 11:00:00,Short,1.6788,1000,1678.8,2.23,0.21,2.28,0.21,-0.05,0.00,2.57,0.26
23,Exit short,2023-09-05 00:00:00,SL,1.6728,1000,1669.2,-2.43,-0.22,1.89,0.18,-2.38,-0.22,0.15,0.01
23,Entry short,2023-09-04 00:00:00,Short,1.6692,1000,1669.2,-2.43,-0.22,1.89,0.18,-2.38,-0.22,0.15,0.01
24,Exit long,2023-09-05 02:00:00,TP,1.6782,1000,1674.6,2.23,0.21,2.28,0.21,-0.05,0.00,2.37,0.24
24,Entry long,2023-09-05 01:00:00,Long,1.6746,1000,1674.6,2.23,0.21,2.28,0.21,-0.05,0.00,2.37,0.24
25,Exit short,2023-09-07 01:00:00,SL,1.6818,1000,1678.2,-2.4,-0.22,0,0.00,-2.35,-0.22,-0.02,0.00
25,Entry short,2023-09-06 06:00:00,Short,1.6782,1000,1678.2,-2.4,-0.22,0,0.00,-2.35,-0.22,-0.02,0.00
26,Exit long,2023-09-07 06:00:00,SL,1.68,1000,1683.6,-2.4,-0.22,0.33,0.03,-2.35,-0.22,-2.42,-0.24
26,Entry long,2023-09-07 02:00:00,Long,1.6836,1000,1683.6,-2.4,-0.22,0.33,0.03,-2.35,-0.22,-2.42,-0.24
27,Exit short,2023-09-08 10:00:00,TP,1.6734,1000,1677,2.2,0.21,2.25,0.21,-1.2,-0.11,-0.22,-0.02
27,Entry short,2023-09-07 12:00:00,Short,1.677,1000,1677,2.2,0.21,2.25,0.21,-1.2,-0.11,-0.22,-0.02
28,Exit short,2023-09-11 04:00:00,TP,1.6698,1000,1673.4,2.2,0.21,2.25,0.21,-0.05,0.00,1.98,0.20
28,Entry short,2023-09-11 01:00:00,Short,1.6734,1000,1673.4,2.2,0.21,2.25,0.21,-0.05,0.00,1.98,0.20
29,Exit short,2023-09-12 17:00:00,SL,1.671,1000,1667.4,-2.41,-0.23,0.34,0.03,-2.36,-0.22,-0.44,-0.04
29,Entry short,2023-09-12 07:00:00,Short,1.6674,1000,1667.4,-2.41,-0.23,0.34,0.03,-2.36,-0.22,-0.44,-0.04
30,Exit long,2023-09-13 02:00:00,TP,1.6776,1000,1674,2.21,0.21,2.26,0.21,-0.44,-0.04,1.78,0.18
30,Entry long,2023-09-12 21:00:00,Long,1.674,1000,1674,2.21,0.21,2.26,0.21,-0.44,-0.04,1.78,0.18
31,Exit short,2023-09-14 12:00:00,TP,1.665,1000,1668.6,2.21,0.21,2.26,0.21,-1.21,-0.11,3.99,0.40
31,Entry short,2023-09-14 00:00:00,Short,1.6686,1000,1668.6,2.21,0.21,2.26,0.21,-1.21,-0.11,3.99,0.40
32,Exit short,2023-09-15 08:00:00,SL,1.6518,1000,1648.2,-2.42,-0.23,1.11,0.10,-2.37,-0.22,1.57,0.16
32,Entry short,2023-09-15 02:00:00,Short,1.6482,1000,1648.2,-2.42,-0.23,1.11,0.10,-2.37,-0.22,1.57,0.16
33,Exit long,2023-09-15 16:00:00,TP,1.6578,1000,1654.2,2.22,0.21,2.27,0.21,-0.05,0.00,3.79,0.38
33,Entry long,2023-09-15 13:00:00,Long,1.6542,1000,1654.2,2.22,0.21,2.27,0.21,-0.05,0.00,3.79,0.38
34,Exit short,2023-09-20 15:00:00,TP,1.6494,1000,1653,2.23,0.21,2.27,0.21,-1.99,-0.19,6.02,0.60
34,Entry short,2023-09-19 23:00:00,Short,1.653,1000,1653,2.23,0.21,2.27,0.21,-1.99,-0.19,6.02,0.60
35,Exit long,2023-09-21 07:00:00,TP,1.6614,1000,1657.8,2.22,0.21,2.27,0.21,-0.05,0.00,8.24,0.82
35,Entry long,2023-09-21 02:00:00,Long,1.6578,1000,1657.8,2.22,0.21,2.27,0.21,-0.05,0.00,8.24,0.82
36,Exit short,2023-09-22 11:00:00,TP,1.65,1000,1653.6,2.21,0.21,2.26,0.21,-0.05,0.00,10.45,1.05
36,Entry short,2023-09-22 09:00:00,Short,1.6536,1000,1653.6,2.21,0.21,2.26,0.21,-0.05,0.00,10.45,1.05
37,Exit long,2023-09-25 10:00:00,SL,1.6542,1000,1657.8,-2.42,-0.23,0.34,0.03,-2.37,-0.22,8.04,0.80
37,Entry long,2023-09-25 05:00:00,Long,1.6578,1000,1657.8,-2.42,-0.23,0.34,0.03,-2.37,-0.22,8.04,0.80
38,Exit short,2023-09-26 01:00:00,TP,1.6476,1000,1651.2,2.21,0.21,2.26,0.21,-0.05,0.00,10.25,1.03
