Trade #,Type,Date and time,Signal,Price AUD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2023-08-04 00:00:00,TP,1.668,1000,1671.6,2.26,0.21,2.31,0.21,-0.07,-0.01,2.26,0.23
1,Entry short,2023-08-03 19:00:00,Short,1.6716,1000,1671.6,2.26,0.21,2.31,0.21,-0.07,-0.01,2.26,0.23
2,Exit short,2023-08-04 02:00:00,SL,1.6674,1000,1666.8,-0.49,-0.05,1.13,0.10,-0.44,-0.04,1.76,0.18
2,Entry short,2023-08-04 01:00:00,Short,1.6668,1000,1666.8,-0.49,-0.05,1.13,0.10,-0.44,-0.04,1.76,0.18
3,Exit short,2023-08-04 10:00:00,SL,1.6698,1000,1669.2,-0.49,-0.05,0,0.00,-0.44,-0.04,1.27,0.13
3,Entry short,2023-08-04 10:00:00,Short,1.6692,1000,1669.2,-0.49,-0.05,0,0.00,-0.44,-0.04,1.27,0.13
4,Exit long,2023-08-06 22:00:00,SL,1.6752,1000,1676.4,-0.89,-0.08,0,0.00,-0.84,-0.08,0.38,0.04
4,Entry long,2023-08-04 19:00:00,Long,1.6764,1000,1676.4,-0.89,-0.08,0,0.00,-0.84,-0.08,0.38,0.04
5,Exit long,2023-08-08 05:00:00,TP,1.6806,1000,1677,2.27,0.21,2.32,0.21,-0.05,0.00,2.65,0.26
5,Entry long,2023-08-08 01:00:00,Long,1.677,1000,1677,2.27,0.21,2.32,0.21,-0.05,0.00,2.65,0.26
6,Exit long,2023-08-08 12:00:00,SL,1.6818,1000,1682.4,-0.5,-0.04,1.92,0.17,-0.45,-0.04,2.15,0.22
6,Entry long,2023-08-08 05:00:00,Long,1.6824,1000,1682.4,-0.5,-0.04,1.92,0.17,-0.45,-0.04,2.15,0.22
7,Exit short,2023-08-08 23:00:00,SL,1.6758,1000,1674.6,-0.89,-0.08,0.002,0.00,-0.84,-0.08,1.26,0.13
7,Entry short,2023-08-08 20:00:00,Short,1.6746,1000,1674.6,-0.89,-0.08,0.002,0.00,-0.84,-0.08,1.26,0.13
8,Exit short,2023-08-09 08:00:00,SL,1.6746,1000,1674,-0.49,-0.05,1.52,0.14,-0.44,-0.04,0.77,0.08
8,Entry short,2023-08-09 02:00:00,Short,1.674,1000,1674,-0.49,-0.05,1.52,0.14,-0.44,-0.04,0.77,0.08
9,Exit long,2023-08-10 18:00:00,SL,1.6812,1000,1681.8,-0.49,-0.04,0.73,0.07,-0.44,-0.04,0.28,0.03
9,Entry long,2023-08-10 17:00:00,Long,1.6818,1000,1681.8,-0.49,-0.04,0.73,0.07,-0.44,-0.04,0.28,0.03
10,Exit long,2023-08-11 00:00:00,SL,1.6848,1000,1686,-0.88,-0.08,0,0.00,-0.83,-0.08,-0.61,-0.06
10,Entry long,2023-08-10 23:00:00,Long,1.686,1000,1686,-0.88,-0.08,0,0.00,-0.83,-0.08,-0.61,-0.06
11,Exit short,2023-08-15 06:00:00,SL,1.6806,1000,1680,-0.49,-0.04,0,0.00,-0.44,-0.04,-1.09,-0.11
11,Entry short,2023-08-15 06:00:00,Short,1.68,1000,1680,-0.49,-0.04,0,0.00,-0.44,-0.04,-1.09,-0.11
12,Exit long,2023-08-15 12:00:00,SL,1.6884,1000,1689,-0.49,-0.04,0.34,0.03,-0.44,-0.04,-1.58,-0.16
12,Entry long,2023-08-15 09:00:00,Long,1.689,1000,1689,-0.49,-0.04,0.34,0.03,-0.44,-0.04,-1.58,-0.16
13,Exit long,2023-08-16 07:00:00,SL,1.6896,1000,1690.2,-0.49,-0.04,1.83,0.17,-0.44,-0.04,-2.07,-0.21
13,Entry long,2023-08-16 00:00:00,Long,1.6902,1000,1690.2,-0.49,-0.04,1.83,0.17,-0.44,-0.04,-2.07,-0.21
14,Exit long,2023-08-16 13:00:00,SL,1.6914,1000,1692,-0.49,-0.04,0.72,0.07,-0.44,-0.04,-2.56,-0.26
14,Entry long,2023-08-16 12:00:00,Long,1.692,1000,1692,-0.49,-0.04,0.72,0.07,-0.44,-0.04,-2.56,-0.26
15,Exit long,2023-08-16 17:00:00,SL,1.692,1000,1693.2,-0.88,-0.08,0,0.00,-0.82,-0.08,-3.44,-0.34
15,Entry long,2023-08-16 15:00:00,Long,1.6932,1000,1693.2,-0.88,-0.08,0,0.00,-0.82,-0.08,-3.44,-0.34
16,Exit long,2023-08-17 01:00:00,TP,1.6992,1000,1695.6,2.21,0.20,2.26,0.21,-0.05,0.00,-1.22,-0.12
16,Entry long,2023-08-17 00:00:00,Long,1.6956,1000,1695.6,2.21,0.20,2.26,0.21,-0.05,0.00,-1.22,-0.12
17,Exit short,2023-08-17 13:00:00,SL,1.695,1000,1694.4,-0.49,-0.04,1.11,0.10,-0.44,-0.04,-1.71,-0.17
17,Entry short,2023-08-17 10:00:00,Short,1.6944,1000,1694.4,-0.49,-0.04,1.11,0.10,-0.44,-0.04,-1.71,-0.17
18,Exit short,2023-08-18 18:00:00,SL,1.6968,1000,1696.2,-0.48,-0.04,0.33,0.03,-0.43,-0.04,-2.19,-0.22
18,Entry short,2023-08-18 15:00:00,Short,1.6962,1000,1696.2,-0.48,-0.04,0.33,0.03,-0.43,-0.04,-2.19,-0.22
19,Exit long,2023-08-21 18:00:00,SL,1.7004,1000,1701,-0.48,-0.04,1.1,0.10,-0.43,-0.04,-2.68,-0.27
19,Entry long,2023-08-21 14:00:00,Long,1.701,1000,1701,-0.48,-0.04,1.1,0.10,-0.43,-0.04,-2.68,-0.27
20,Exit short,2023-08-22 09:00:00,TP,1.6914,1000,1695,2.21,0.20,2.26,0.21,-0.05,0.00,-0.47,-0.05
20,Entry short,2023-08-22 08:00:00,Short,1.695,1000,1695,2.21,0.20,2.26,0.21,-0.05,0.00,-0.47,-0.05
21,Exit short,2023-08-23 04:00:00,SL,1.6872,1000,1686.6,-0.49,-0.04,1.49,0.14,-0.44,-0.04,-0.95,-0.10
21,Entry short,2023-08-23 00:00:00,Short,1.6866,1000,1686.6,-0.49,-0.04,1.49,0.14,-0.44,-0.04,-0.95,-0.10
22,Exit short,2023-08-23 13:00:00,TP,1.6812,1000,1684.8,2.21,0.20,2.26,0.21,-0.05,0.00,1.26,0.13
22,Entry short,2023-08-23 07:00:00,Short,1.6848,1000,1684.8,2.21,0.20,2.26,0.21,-0.05,0.00,1.26,0.13
23,Exit short,2023-08-24 01:00:00,SL,1.6788,1000,1678.2,-0.49,-0.04,1.11,0.10,-0.44,-0.04,0.77,0.08
23,Entry short,2023-08-23 17:00:00,Short,1.6782,1000,1678.2,-0.49,-0.04,1.11,0.10,-0.44,-0.04,0.77,0.08
24,Exit long,2023-08-24 18:00:00,SL,1.6836,1000,1684.8,-0.88,-0.08,0,0.00,-0.83,-0.08,-0.11,-0.01
24,Entry long,2023-08-24 15:00:00,Long,1.6848,1000,1684.8,-0.88,-0.08,0,0.00,-0.83,-0.08,-0.11,-0.01
25,Exit long,2023-08-25 00:00:00,SL,1.683,1000,1683.6,-0.48,-0.04,0,0.00,-0.43,-0.04,-0.59,-0.06
25,Entry long,2023-08-25 00:00:00,Long,1.6836,1000,1683.6,-0.48,-0.04,0,0.00,-0.43,-0.04,-0.59,-0.06
26,Exit long,2023-08-27 23:00:00,SL,1.683,1000,1683.6,-0.48,-0.04,1.88,0.17,-0.43,-0.04,-1.07,-0.11
26,Entry long,2023-08-25 13:00:00,Long,1.6836,1000,1683.6,-0.48,-0.04,1.88,0.17,-0.43,-0.04,-1.07,-0.11
27,Exit long,2023-08-28 11:00:00,SL,1.6848,1000,1685.4,-0.48,-0.04,1.1,0.10,-0.43,-0.04,-1.56,-0.16
27,Entry long,2023-08-28 07:00:00,Long,1.6854,1000,1685.4,-0.48,-0.04,1.1,0.10,-0.43,-0.04,-1.56,-0.16
28,Exit long,2023-08-31 00:00:00,SL,1.686,1000,1687.2,-0.88,-0.08,0.002,0.00,-0.83,-0.08,-2.44,-0.24
28,Entry long,2023-08-30 21:00:00,Long,1.6872,1000,1687.2,-0.88,-0.08,0.002,0.00,-0.83,-0.08,-2.44,-0.24
29,Exit short,2023-08-31 19:00:00,TP,1.6746,1000,1678.2,2.23,0.21,2.28,0.21,-0.05,0.00,-0.2,-0.02
29,Entry short,2023-08-31 12:00:00,Short,1.6782,1000,1678.2,2.23,0.21,2.28,0.21,-0.05,0.00,-0.2,-0.02
30,Exit short,2023-09-01 13:00:00,SL,1.6728,1000,1672.2,-0.49,-0.05,1.9,0.17,-0.44,-0.04,-0.69,-0.07
30,Entry short,2023-09-01 11:00:00,Short,1.6722,1000,1672.2,-0.49,-0.05,1.9,0.17,-0.44,-0.04,-0.69,-0.07
31,Exit short,2023-09-04 07:00:00,SL,1.6698,1000,1669.2,-0.49,-0.05,1.89,0.18,-0.44,-0.04,-1.18,-0.12
31,Entry short,2023-09-04 00:00:00,Short,1.6692,1000,1669.2,-0.49,-0.05,1.89,0.18,-0.44,-0.04,-1.18,-0.12
32,Exit long,2023-09-05 03:00:00,TP,1.6788,1000,1675.2,2.23,0.21,2.28,0.21,-0.05,0.00,1.05,0.10
32,Entry long,2023-09-05 01:00:00,Long,1.6752,1000,1675.2,2.23,0.21,2.28,0.21,-0.05,0.00,1.05,0.10
33,Exit short,2023-09-07 13:00:00,SL,1.6752,1000,1674,-0.86,-0.08,0,0.00,-0.82,-0.08,0.18,0.02
33,Entry short,2023-09-07 12:00:00,Short,1.674,1000,1674,-0.86,-0.08,0,0.00,-0.82,-0.08,0.18,0.02
34,Exit short,2023-09-08 13:00:00,SL,1.6746,1000,1673.4,-0.86,-0.08,0.03,0.00,-0.81,-0.08,-0.68,-0.07
34,Entry short,2023-09-08 10:00:00,Short,1.6734,1000,1673.4,-0.86,-0.08,0.03,0.00,-0.81,-0.08,-0.68,-0.07
35,Exit short,2023-09-11 04:00:00,TP,1.6698,1000,1673.4,2.2,0.21,2.25,0.21,-0.05,0.00,1.52,0.15
35,Entry short,2023-09-11 01:00:00,Short,1.6734,1000,1673.4,2.2,0.21,2.25,0.21,-0.05,0.00,1.52,0.15
36,Exit short,2023-09-12 10:00:00,SL,1.6692,1000,1668.6,-0.48,-0.05,0,0.00,-0.44,-0.04,1.03,0.10
36,Entry short,2023-09-12 10:00:00,Short,1.6686,1000,1668.6,-0.48,-0.05,0,0.00,-0.44,-0.04,1.03,0.10
37,Exit short,2023-09-14 01:00:00,SL,1.6674,1000,1666.8,-0.48,-0.05,0.34,0.03,-0.43,-0.04,0.55,0.05
37,Entry short,2023-09-14 00:00:00,Short,1.6668,1000,1666.8,-0.48,-0.05,0.34,0.03,-0.43,-0.04,0.55,0.05
38,Exit short,2023-09-14 12:00:00,TP,1.6632,1000,1666.8,2.21,0.21,2.26,0.21,-0.05,0.00,2.76,0.28
38,Entry short,2023-09-14 10:00:00,Short,1.6668,1000,1666.8,2.21,0.21,2.26,0.21,-0.05,0.00,2.76,0.28
39,Exit long,2023-09-18 06:00:00,SL,1.6554,1000,1656,-0.48,-0.05,1.49,0.14,-0.43,-0.04,2.28,0.23
39,Entry long,2023-09-15 14:00:00,Long,1.656,1000,1656,-0.48,-0.05,1.49,0.14,-0.43,-0.04,2.28,0.23
40,Exit long,2023-09-19 07:00:00,SL,1.6596,1000,1660.8,-0.87,-0.08,0,0.00,-0.82,-0.08,1.41,0.14
40,Entry long,2023-09-19 06:00:00,Long,1.6608,1000,1660.8,-0.87,-0.08,0,0.00,-0.82,-0.08,1.41,0.14
41,Exit short,2023-09-20 18:00:00,SL,1.6512,1000,1650.6,-0.49,-0.05,1,0.09,-0.44,-0.04,0.92,0.09
41,Entry short,2023-09-20 11:00:00,Short,1.6506,1000,1650.6,-0.49,-0.05,1,0.09,-0.44,-0.04,0.92,0.09
42,Exit long,2023-09-21 08:00:00,TP,1.662,1000,1658.4,2.22,0.21,2.27,0.21,-0.05,0.00,3.14,0.31
42,Entry long,2023-09-21 02:00:00,Long,1.6584,1000,1658.4,2.22,0.21,2.27,0.21,-0.05,0.00,3.14,0.31
43,Exit long,2023-09-22 01:00:00,SL,1.662,1000,1663.2,-0.87,-0.08,0,0.00,-0.82,-0.08,2.28,0.23
43,Entry long,2023-09-21 23:00:00,Long,1.6632,1000,1663.2,-0.87,-0.08,0,0.00,-0.82,-0.08,2.28,0.23
44,Exit short,2023-09-22 11:00:00,TP,1.6488,1000,1652.4,2.21,0.21,2.26,0.21,-0.05,0.00,4.49,0.45
44,Entry short,2023-09-22 09:00:00,Short,1.6524,1000,1652.4,2.21,0.21,2.26,0.21,-0.05,0.00,4.49,0.45
45,Exit short,2023-09-25 14:00:00,SL,1.6512,1000,1650.6,-0.48,-0.05,0.72,0.07,-0.44,-0.04,4,0.40
45,Entry short,2023-09-25 13:00:00,Short,1.6506,1000,1650.6,-0.48,-0.05,0.72,0.07,-0.44,-0.04,4,0.40
46,Exit short,2023-09-27 15:00:00,SL,1.6494,1000,1648.8,-0.48,-0.05,0.34,0.03,-0.43,-0.04,3.52,0.35
46,Entry short,2023-09-27 14:00:00,Short,1.6488,1000,1648.8,-0.48,-0.05,0.34,0.03,-0.43,-0.04,3.52,0.35
47,Exit short,2023-09-28 07:00:00,SL,1.6494,1000,1648.8,-0.48,-0.05,0.71,0.07,-0.43,-0.04,3.05,0.30
47,Entry short,2023-09-28 03:00:00,Short,1.6488,1000,1648.8,-0.48,-0.05,0.71,0.07,-0.43,-0.04,3.05,0.30
48,Exit short,2023-09-29 02:00:00,TP,1.6404,1000,1644,2.22,0.21,2.27,0.21,-0.42,-0.04,5.26,0.53
48,Entry short,2023-09-28 16:00:00,Short,1.644,1000,1644,2.22,0.21,2.27,0.21,-0.42,-0.04,5.26,0.53
49,Exit long,2023-10-01 21:00:00,SL,1.6434,1000,1644,-0.48,-0.05,0.34,0.03,-0.43,-0.04,4.78,0.48
49,Entry long,2023-09-29 19:00:00,Long,1.644,1000,1644,-0.48,-0.05,0.34,0.03,-0.43,-0.04,4.78,0.48
50,Exit long,2023-10-02 04:00:00,TP,1.6488,1000,1645.2,2.22,0.21,2.27,0.21,-0.05,0.00,7,0.70
50,Entry long,2023-10-02 02:00:00,Long,1.6452,1000,1645.2,2.22,0.21,2.27,0.21,-0.05,0.00,7,0.70
51,Exit long,2023-10-02 09:00:00,SL,1.6488,1000,1649.4,-0.48,-0.05,0.72,0.07,-0.43,-0.04,6.52,0.65
51,Entry long,2023-10-02 04:00:00,Long,1.6494,1000,1649.4,-0.48,-0.05,0.72,0.07,-0.43,-0.04,6.52,0.65
