Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-03-18 07:30:00,[ExitL rA:NaN R:NaN V:1 B:0.5 M:- ST:D CH:NaN CF:- MI:NaN SK:NaN PS:U SQ:0 ET:10:30],42000,1,20958,40.1,0.19,55.05,0.26,-0.95,0.00,40.1,4.01
1,Entry long,2025-03-18 06:30:00,[R002L rA:NaN R:NaN V:1 B:0.5 M:- ST:D CH:NaN CF:- MI:NaN SK:NaN PS:D SQ:0 ET:9:30],41916,1,20958,40.1,0.19,55.05,0.26,-0.95,0.00,40.1,4.01
2,Exit short,2025-03-18 08:30:00,[ExitS rA:NaN R:48 V:1.3 B:0.21 M:- ST:D CH:14 CF:+ MI:44 SK:18 PS:D SQ:0 ET:11:30],41902,1,20944,-8.9,-0.04,6.05,0.03,-7.95,-0.04,31.2,3.12
2,Entry short,2025-03-18 07:30:00,[R001S rA:NaN R:43 V:1 B:0.5 M:- ST:D CH:15 CF:- MI:52 SK:0 PS:D SQ:0 ET:10:30],41888,1,20944,-8.9,-0.04,6.05,0.03,-7.95,-0.04,31.2,3.12
3,Exit long,2025-03-20 08:30:00,[ExitL rA:NaN R:81 V:1.27 B:0.8 M:+ ST:U CH:5 CF:+ MI:92 SK:85 PS:U SQ:0 ET:11:30],42490,1,21196,47.1,0.22,62.05,0.29,-0.95,0.00,78.3,7.83
3,Entry long,2025-03-20 06:30:00,[R001L rA:NaN R:88 V:1.29 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0 ET:9:30],42392,1,21196,47.1,0.22,62.05,0.29,-0.95,0.00,78.3,7.83
4,Exit short,2025-03-21 07:30:00,[ExitS rA:NaN R:19 V:1.67 B:0.2 M:- ST:D CH:5 CF:- MI:14 SK:15 PS:D SQ:0 ET:10:30],41930,1,21021,54.1,0.26,69.05,0.33,-0.95,0.00,132.4,13.24
4,Entry short,2025-03-21 06:30:00,[R001S rA:NaN R:14 V:0.72 B:0.08 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0 ET:9:30],42042,1,21021,54.1,0.26,69.05,0.33,-0.95,0.00,132.4,13.24
5,Exit long,2025-03-24 09:30:00,[ExitL rA:69 R:86 V:3.77 B:0.8 M:- ST:U CH:5 CF:+ MI:68 SK:85 PS:U SQ:0 ET:11:30],42840,1,21203,215.1,1.01,230.05,1.08,-0.95,0.00,347.5,34.75
5,Entry long,2025-03-24 06:30:00,[R001L rA:53 R:93 V:0.37 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0 ET:9:30],42406,1,21203,215.1,1.01,230.05,1.08,-0.95,0.00,347.5,34.75
6,Exit short,2025-03-28 12:30:00,[ExitS rA:69 R:14 V:4.09 B:0.2 M:+ ST:D CH:5 CF:- MI:34 SK:15 PS:D SQ:0 ET:13:30],41846,1,21196,271.1,1.28,279.05,1.32,-0.95,0.00,618.6,61.86
6,Entry short,2025-03-28 06:30:00,[R001S rA:52 R:11 V:0.81 B:0.09 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0 ET:9:30],42392,1,21196,271.1,1.28,279.05,1.32,-0.95,0.00,618.6,61.86
7,Exit short,2025-03-31 07:30:00,[ExitS rA:94 R:18 V:0.45 B:0.19 M:+ ST:D CH:13 CF:- MI:16 SK:17 PS:D SQ:0 ET:10:30],41720,1,20860,-1.9,-0.01,13.05,0.06,-0.95,0.00,616.7,61.67
7,Entry short,2025-03-31 06:30:00,[R001S rA:53 R:7 V:1.28 B:0.07 M:+ ST:D CH:11 CF:- MI:15 SK:0 PS:D SQ:0 ET:9:30],41720,1,20860,-1.9,-0.01,13.05,0.06,-0.95,0.00,616.7,61.67
8,Exit long,2025-04-01 09:30:00,[ExitL rA:94 R:79 V:6.5 B:0.8 M:+ ST:U CH:5 CF:+ MI:44 SK:85 PS:U SQ:0 ET:11:30],42280,1,21133,5.1,0.02,20.05,0.09,-0.95,0.00,621.8,62.18
8,Entry long,2025-04-01 07:30:00,[R001L rA:66 R:89 V:0.9 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0 ET:10:30],42266,1,21133,5.1,0.02,20.05,0.09,-0.95,0.00,621.8,62.18
9,Exit long,2025-04-02 10:30:00,[ExitL rA:60 R:83 V:0.29 B:0.8 M:+ ST:U CH:5 CF:+ MI:98 SK:85 PS:U SQ:0 ET:13:30],42532,1,21196,68.1,0.32,83.05,0.39,-0.95,0.00,689.9,68.99
9,Entry long,2025-04-02 07:30:00,[R001L rA:54 R:88 V:0.61 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0 ET:10:30],42392,1,21196,68.1,0.32,83.05,0.39,-0.95,0.00,689.9,68.99
10,Exit short,2025-04-03 07:30:00,[ExitS rA:91 R:3 V:5.35 B:-0.15 M:- ST:D CH:1 CF:- MI:0 SK:3 PS:D SQ:0 ET:10:30],41006,1,21168,663.1,3.13,671.05,3.17,-0.95,0.00,1353,135.30
10,Entry short,2025-04-03 06:30:00,[R001S rA:92 R:13 V:0.94 B:0.09 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0 ET:9:30],42336,1,21168,663.1,3.13,671.05,3.17,-0.95,0.00,1353,135.30
