Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-04-03 07:30:00,[ExitS rA:NaN R:3 V:5.35 B:-0.15 M:- ST:D CH:1 CF:- MI:0 SK:3 PS:D SQ:0 ET:10:30],41006,1,21329,824.1,3.86,832.05,3.90,-0.95,0.00,824.1,82.41
1,Entry short,2025-04-03 06:30:00,[R001S rA:NaN R:NaN V:1 B:0.5 M:- ST:D CH:NaN CF:- MI:NaN SK:NaN PS:D SQ:0 ET:9:30],42658,1,21329,824.1,3.86,832.05,3.90,-0.95,0.00,824.1,82.41
2,Exit long,2025-04-03 09:30:00,[ExitL rA:NaN R:62 V:1.04 B:0.8 M:+ ST:U CH:5 CF:+ MI:91 SK:85 PS:U SQ:0 ET:12:30],41328,1,20559,103.1,0.50,118.05,0.57,-0.95,0.00,927.2,92.72
2,Entry long,2025-04-03 08:30:00,[R001L rA:NaN R:24 V:0.42 B:0.31 M:+ ST:D CH:10 CF:+ MI:43 SK:29 PS:U SQ:0 ET:11:30],41118,1,20559,103.1,0.50,118.05,0.57,-0.95,0.00,927.2,92.72
3,Exit short,2025-04-04 11:30:00,[ExitS rA:100 R:13 V:3.53 B:0.2 M:+ ST:D CH:5 CF:- MI:28 SK:15 PS:D SQ:0 ET:14:30],38850,1,20475,1048.1,5.12,1063.05,5.19,-0.95,0.00,1975.3,197.53
3,Entry short,2025-04-03 11:30:00,[R001S rA:NaN R:11 V:1.17 B:0.09 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0 ET:14:30],40950,1,20475,1048.1,5.12,1063.05,5.19,-0.95,0.00,1975.3,197.53
4,Exit short,2025-04-07 08:30:00,[ExitS rA:99 R:13 V:0.3 B:0.2 M:+ ST:D CH:5 CF:- MI:2 SK:15 PS:D SQ:0 ET:11:30],37436,1,19229,509.1,2.65,524.05,2.73,-0.95,0.00,2484.4,248.44
4,Entry short,2025-04-07 06:30:00,[R001S rA:53 R:3 V:1.53 B:0.09 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0 ET:9:30],38458,1,19229,509.1,2.65,524.05,2.73,-0.95,0.00,2484.4,248.44
5,Exit long,2025-04-07 11:30:00,[ExitL rA:40 R:85 V:1.61 B:0.8 M:- ST:U CH:5 CF:+ MI:88 SK:85 PS:U SQ:0 ET:14:30],38192,1,18774,320.1,1.70,335.05,1.78,-0.95,-0.01,2804.5,280.45
5,Entry long,2025-04-07 08:30:00,[R001L rA:89 R:47 V:0.46 B:0.79 M:+ ST:U CH:19 CF:- MI:27 SK:100 PS:U SQ:0 ET:11:30],37548,1,18774,320.1,1.70,335.05,1.78,-0.95,-0.01,2804.5,280.45
6,Exit short,2025-04-07 12:30:00,[ExitS rA:99 R:31 V:0.28 B:0.2 M:- ST:D CH:5 CF:- MI:2 SK:15 PS:D SQ:0 ET:15:30],37940,1,19040,68.1,0.36,83.05,0.44,-0.95,0.00,2872.6,287.26
6,Entry short,2025-04-07 11:30:00,[R001S rA:89 R:52 V:1.23 B:0.21 M:- ST:D CH:19 CF:- MI:30 SK:0 PS:D SQ:0 ET:14:30],38080,1,19040,68.1,0.36,83.05,0.44,-0.95,0.00,2872.6,287.26
7,Exit long,2025-04-08 07:30:00,[ExitL rA:89 R:87 V:1.52 B:0.8 M:- ST:U CH:5 CF:+ MI:89 SK:85 PS:U SQ:0 ET:10:30],39536,1,19194,572.1,2.98,587.05,3.06,-0.95,0.00,3444.7,344.47
7,Entry long,2025-04-08 06:30:00,[R001L rA:74 R:93 V:1.45 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0 ET:9:30],38388,1,19194,572.1,2.98,587.05,3.06,-0.95,0.00,3444.7,344.47
8,Exit short,2025-04-08 08:30:00,[ExitS rA:49 R:16 V:6.98 B:0.2 M:- ST:D CH:5 CF:- MI:59 SK:15 PS:D SQ:0 ET:11:30],38948,1,19712,236.1,1.20,251.05,1.27,-0.95,0.00,3680.8,368.08
8,Entry short,2025-04-08 07:30:00,[R001S rA:67 R:53 V:1.2 B:0.21 M:- ST:D CH:19 CF:- MI:32 SK:0 PS:D SQ:0 ET:10:30],39424,1,19712,236.1,1.20,251.05,1.27,-0.95,0.00,3680.8,368.08
9,Exit short,2025-04-09 06:30:00,[ExitS rA:79 R:13 V:3.36 B:0.2 M:+ ST:D CH:5 CF:- MI:27 SK:15 PS:D SQ:0 ET:9:30],37828,1,19411,495.1,2.55,510.05,2.63,-0.95,0.00,4175.9,417.59
9,Entry short,2025-04-08 09:30:00,[R001S rA:74 R:12 V:0.33 B:0.05 M:+ ST:D CH:18 CF:+ MI:79 SK:0 PS:D SQ:0 ET:12:30],38822,1,19411,495.1,2.55,510.05,2.63,-0.95,0.00,4175.9,417.59
10,Exit long,2025-04-10 06:30:00,[ExitL rA:99 R:87 V:0.42 B:0.8 M:- ST:U CH:5 CF:+ MI:98 SK:85 PS:U SQ:0 ET:9:30],40740,1,18970,1398.1,7.37,1413.05,7.45,-0.95,-0.01,5574,557.40
10,Entry long,2025-04-09 08:30:00,[R001L rA:64 R:47 V:0.55 B:0.79 M:+ ST:U CH:19 CF:+ MI:88 SK:100 PS:U SQ:0 ET:11:30],37940,1,18970,1398.1,7.37,1413.05,7.45,-0.95,-0.01,5574,557.40
11,Exit short,2025-04-10 09:30:00,[ExitS rA:99 R:13 V:1.69 B:0.2 M:+ ST:D CH:5 CF:- MI:12 SK:15 PS:D SQ:0 ET:12:30],38808,1,20314,908.1,4.47,923.05,4.54,-0.95,0.00,6482.1,648.21
11,Entry short,2025-04-10 06:30:00,[R001S rA:77 R:53 V:0.59 B:0.21 M:- ST:D CH:19 CF:+ MI:62 SK:0 PS:D SQ:0 ET:9:30],40628,1,20314,908.1,4.47,923.05,4.54,-0.95,0.00,6482.1,648.21
12,Exit long,2025-04-10 11:30:00,[ExitL rA:99 R:86 V:1.51 B:0.8 M:- ST:U CH:5 CF:+ MI:89 SK:85 PS:U SQ:0 ET:14:30],39928,1,19460,502.1,2.58,517.05,2.66,-0.95,0.00,6984.2,698.42
12,Entry long,2025-04-10 09:30:00,[R001L rA:73 R:47 V:1.25 B:0.79 M:+ ST:U CH:19 CF:+ MI:71 SK:100 PS:U SQ:0 ET:12:30],38920,1,19460,502.1,2.58,517.05,2.66,-0.95,0.00,6984.2,698.42
