Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-04-22 09:30:00,[ExitL rA:NaN R:87 V:0.9 B:0.8 M:- ST:U CH:5 CF:+ MI:93 SK:85 PS:U SQ:0 VR:NaN ET:12:30],39377,1,19149,537.6,2.81,551.55,2.88,-0.95,0.00,537.6,53.76
1,Entry long,2025-04-22 06:30:00,[R002L rA:NaN R:NaN V:1 B:0.5 M:- ST:D CH:NaN CF:- MI:NaN SK:NaN PS:D SQ:0 VR:NaN ET:9:30],38298,1,19149,537.6,2.81,551.55,2.88,-0.95,0.00,537.6,53.76
2,Exit short,2025-04-22 10:30:00,[ExitS rA:NaN R:23 V:1.32 B:0.2 M:- ST:D CH:5 CF:- MI:10 SK:15 PS:D SQ:0 VR:NaN ET:13:30],39026,1,19630,115.1,0.59,129.05,0.66,-0.95,0.00,652.7,65.27
2,Entry short,2025-04-22 09:30:00,[R001S rA:NaN R:46 V:0.96 B:0.05 M:- ST:D CH:12 CF:+ MI:30 SK:0 PS:D SQ:0 VR:NaN ET:12:30],39260,1,19630,115.1,0.59,129.05,0.66,-0.95,0.00,652.7,65.27
3,Exit long,2025-04-23 07:30:00,[ExitL rA:99 R:87 V:1.66 B:0.8 M:- ST:U CH:5 CF:+ MI:88 SK:85 PS:U SQ:0 VR:20 ET:10:30],40391,1,19701.5,492.1,2.50,506.05,2.57,-0.95,0.00,1144.8,114.48
3,Entry long,2025-04-23 06:30:00,[R001L rA:NaN R:90 V:0.44 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0 VR:NaN ET:9:30],39403,1,19701.5,492.1,2.50,506.05,2.57,-0.95,0.00,1144.8,114.48
4,Exit short,2025-04-23 09:30:00,[ExitS rA:61 R:17 V:1.66 B:0.2 M:- ST:D CH:5 CF:- MI:11 SK:15 PS:D SQ:0 VR:20 ET:12:30],39897,1,20137,186.6,0.93,200.55,1.00,-0.95,0.00,1331.4,133.14
4,Entry short,2025-04-23 07:30:00,[R001S rA:64 R:46 V:1.19 B:0.05 M:- ST:D CH:12 CF:- MI:18 SK:0 PS:D SQ:0 VR:0 ET:10:30],40274,1,20137,186.6,0.93,200.55,1.00,-0.95,0.00,1331.4,133.14
5,Exit short,2025-04-24 06:30:00,[ExitS rA:75 R:22 V:1.21 B:0.2 M:- ST:D CH:5 CF:- MI:9 SK:15 PS:D SQ:0 VR:13.33 ET:9:30],39728,1,19883.5,17.6,0.09,31.55,0.16,-0.95,0.00,1349,134.90
5,Entry short,2025-04-23 11:30:00,[R001S rA:64 R:15 V:1.09 B:0.03 M:- ST:D CH:3 CF:- MI:0 SK:0 PS:D SQ:0 VR:0 ET:14:30],39767,1,19883.5,17.6,0.09,31.55,0.16,-0.95,0.00,1349,134.90
