Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-06-23 19:00:00,[ExitL A:NaN RV:0.59 MK:73.51 PS:U CD:30],43106,1,21427,124.1,0.58,139.05,0.65,-0.95,0.00,124.1,12.41
1,Entry long,2025-06-23 12:00:00,[Long A:NaN RV:2.44 MK:65.52 PS:U CD:30],42854,1,21427,124.1,0.58,139.05,0.65,-0.95,0.00,124.1,12.41
2,Exit long,2025-06-27 04:00:00,[ExitL A:86 RV:1.01 MK:71.84 PS:U CD:30],43848,1,21833,89.1,0.41,97.05,0.44,-0.95,0.00,213.2,21.32
2,Entry long,2025-06-26 11:00:00,[Long A:63 RV:1.05 MK:63.69 PS:U CD:30],43666,1,21833,89.1,0.41,97.05,0.44,-0.95,0.00,213.2,21.32
3,Exit long,2025-06-27 10:00:00,[ExitL A:81 RV:0.76 MK:73.1 PS:U CD:30],44198,1,22029,68.1,0.31,83.05,0.38,-0.95,0.00,281.3,28.13
3,Entry long,2025-06-27 08:00:00,[Long A:61 RV:1.03 MK:71.08 PS:U CD:30],44058,1,22029,68.1,0.31,83.05,0.38,-0.95,0.00,281.3,28.13
4,Exit long,2025-06-30 00:00:00,[ExitL A:92 RV:0.96 MK:66.11 PS:U CD:30],44380,1,22183,5.1,0.02,20.05,0.09,-0.95,0.00,286.4,28.64
4,Entry long,2025-06-29 22:00:00,[Long A:87 RV:1.34 MK:63.95 PS:U CD:30],44366,1,22183,5.1,0.02,20.05,0.09,-0.95,0.00,286.4,28.64
5,Exit short,2025-07-07 12:00:00,[ExitS A:NaN RV:9.44 MK:-68.2 PS:D CD:30],44618,1,22302,-8.9,-0.04,6.55,0.03,-7.95,-0.04,277.5,27.75
5,Entry short,2025-07-07 09:00:00,[Short A:NaN RV:1.03 MK:-68.68 PS:D CD:30],44604,1,22302,-8.9,-0.04,6.55,0.03,-7.95,-0.04,277.5,27.75
6,Exit long,2025-07-23 13:00:00,[ExitL A:67 RV:0.27 MK:66.79 PS:U CD:30],45192,1,22533,61.1,0.27,76.05,0.34,-0.95,0.00,338.6,33.86
6,Entry long,2025-07-23 10:00:00,[Long A:62 RV:3.55 MK:55.08 PS:U CD:30],45066,1,22533,61.1,0.27,76.05,0.34,-0.95,0.00,338.6,33.86
7,Exit short,2025-07-30 12:00:00,[ExitS A:70 RV:1 MK:-60.41 PS:D CD:30],44562,1,22274,-8.9,-0.04,0,0.00,-7.95,-0.04,329.7,32.97
7,Entry short,2025-07-30 12:00:00,[Short A:68 RV:1 MK:-60.96 PS:D CD:30],44548,1,22274,-8.9,-0.04,0,0.00,-7.95,-0.04,329.7,32.97
8,Exit short,2025-07-31 19:00:00,[ExitS A:63 RV:0.43 MK:-63.04 PS:D CD:30],44254,1,22141,12.1,0.05,27.05,0.12,-0.95,0.00,341.8,34.18
8,Entry short,2025-07-31 13:00:00,[Short A:62 RV:1.7 MK:-58.85 PS:D CD:30],44282,1,22141,12.1,0.05,27.05,0.12,-0.95,0.00,341.8,34.18
9,Exit short,2025-08-01 04:00:00,[ExitS A:67 RV:0.63 MK:-72.17 PS:D CD:30],43848,1,21952,26.1,0.12,41.05,0.19,-0.95,0.00,367.9,36.79
9,Entry short,2025-08-01 03:00:00,[Short A:61 RV:9.44 MK:-71.48 PS:D CD:30],43904,1,21952,26.1,0.12,41.05,0.19,-0.95,0.00,367.9,36.79
10,Exit short,2025-08-01 07:00:00,[ExitS A:87 RV:5.08 MK:-60.27 PS:D CD:30],43638,1,21826,5.1,0.02,20.05,0.09,-0.95,0.00,373,37.30
10,Entry short,2025-08-01 06:00:00,[Short A:84 RV:1.08 MK:-56.24 PS:D CD:30],43652,1,21826,5.1,0.02,20.05,0.09,-0.95,0.00,373,37.30
11,Exit short,2025-08-07 12:00:00,[ExitS A:71 RV:2.48 MK:-69.78 PS:D CD:30],44016,1,22050,40.1,0.18,55.05,0.25,-0.95,0.00,413.1,41.31
11,Entry short,2025-08-07 07:00:00,[Short A:68 RV:1 MK:-64.61 PS:D CD:30],44100,1,22050,40.1,0.18,55.05,0.25,-0.95,0.00,413.1,41.31
