Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-06-17 04:00:00,[ExitS A:NaN RV:3.05 MK:-29.38 PS:D CD:30],42630,1,21336,19.1,0.09,34.05,0.16,-0.95,0.00,19.1,1.91
1,Entry short,2025-06-17 00:00:00,[Short A:NaN RV:1.16 MK:-15.7 PS:D CD:30],42672,1,21336,19.1,0.09,34.05,0.16,-0.95,0.00,19.1,1.91
2,Exit short,2025-06-19 08:00:00,[ExitS A:50 RV:4.45 MK:-50 PS:D CD:30],42154,1,21091,12.1,0.06,20.05,0.10,-0.95,0.00,31.2,3.12
2,Entry short,2025-06-19 06:00:00,[Short A:50 RV:1.32 MK:-43.17 PS:D CD:30],42182,1,21091,12.1,0.06,20.05,0.10,-0.95,0.00,31.2,3.12
3,Exit long,2025-06-23 19:00:00,[ExitL A:NaN RV:0.59 MK:73.51 PS:U CD:30],43106,1,21392,159.1,0.74,174.05,0.81,-0.95,0.00,190.3,19.03
3,Entry long,2025-06-23 10:00:00,[Long A:NaN RV:1 MK:58.76 PS:U CD:30],42784,1,21392,159.1,0.74,174.05,0.81,-0.95,0.00,190.3,19.03
4,Exit long,2025-06-24 15:00:00,[ExitL A:86 RV:2.56 MK:52.7 PS:U CD:30],43414,1,21630,75.1,0.35,90.05,0.42,-0.95,0.00,265.4,26.54
4,Entry long,2025-06-24 08:00:00,[Long A:53 RV:1.11 MK:22.87 PS:U CD:30],43260,1,21630,75.1,0.35,90.05,0.42,-0.95,0.00,265.4,26.54
5,Exit long,2025-06-27 04:00:00,[ExitL A:61 RV:1.01 MK:71.84 PS:U CD:30],43848,1,21805,117.1,0.54,125.05,0.57,-0.95,0.00,382.5,38.25
5,Entry long,2025-06-26 09:00:00,[Long A:54 RV:1.38 MK:57.77 PS:U CD:30],43610,1,21805,117.1,0.54,125.05,0.57,-0.95,0.00,382.5,38.25
6,Exit long,2025-06-27 10:00:00,[ExitL A:81 RV:0.76 MK:73.1 PS:U CD:30],44198,1,22001,96.1,0.44,111.05,0.50,-0.95,0.00,478.6,47.86
6,Entry long,2025-06-27 07:00:00,[Long A:54 RV:1.07 MK:69.32 PS:U CD:30],44002,1,22001,96.1,0.44,111.05,0.50,-0.95,0.00,478.6,47.86
7,Exit long,2025-06-30 00:00:00,[ExitL A:92 RV:0.96 MK:66.11 PS:U CD:30],44380,1,22169,19.1,0.09,34.05,0.15,-0.95,0.00,497.7,49.77
7,Entry long,2025-06-29 19:00:00,[Long A:85 RV:3.56 MK:61.29 PS:U CD:30],44338,1,22169,19.1,0.09,34.05,0.15,-0.95,0.00,497.7,49.77
8,Exit short,2025-07-07 12:00:00,[ExitS A:56 RV:9.44 MK:-68.2 PS:D CD:30],44618,1,22302,-8.9,-0.04,6.55,0.03,-7.95,-0.04,488.8,48.88
8,Entry short,2025-07-07 09:00:00,[Short A:52 RV:1.03 MK:-68.68 PS:D CD:30],44604,1,22302,-8.9,-0.04,6.55,0.03,-7.95,-0.04,488.8,48.88
9,Exit short,2025-07-15 23:00:00,[ExitS A:70 RV:2.21 MK:-53.05 PS:D CD:30],44170,1,22141,54.1,0.24,62.05,0.28,-0.95,0.00,542.9,54.29
9,Entry short,2025-07-15 12:00:00,[Short A:68 RV:1.56 MK:-37.42 PS:D CD:30],44282,1,22141,54.1,0.24,62.05,0.28,-0.95,0.00,542.9,54.29
10,Exit long,2025-07-18 00:00:00,[ExitL A:67 RV:0.24 MK:55.47 PS:U CD:30],44814,1,22400,5.1,0.02,20.05,0.09,-13.95,-0.06,548,54.80
10,Entry long,2025-07-17 22:00:00,[Long A:59 RV:1.35 MK:50.15 PS:U CD:30],44800,1,22400,5.1,0.02,20.05,0.09,-13.95,-0.06,548,54.80
11,Exit long,2025-07-23 06:00:00,[ExitL A:58 RV:7.53 MK:50.58 PS:U CD:30],44912,1,22463,-8.9,-0.04,9.55,0.04,-7.95,-0.04,539.1,53.91
11,Entry long,2025-07-23 06:00:00,[Long A:52 RV:3.34 MK:50.77 PS:U CD:30],44926,1,22463,-8.9,-0.04,9.55,0.04,-7.95,-0.04,539.1,53.91
12,Exit short,2025-07-30 12:00:00,[ExitS A:60 RV:1 MK:-60.41 PS:D CD:30],44562,1,22309,26.1,0.12,41.05,0.18,-0.95,0.00,565.2,56.52
