Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-12-22 11:10,Long SL/TP,48673,1,24365,-29.47,-0.12,27.51,0.11,-28.99,-0.12,-29.47,-0.29
1,Entry long,2025-12-22 09:00,Long,48730,1,24365,-29.47,-0.12,27.51,0.11,-28.99,-0.12,-29.47,-0.29
2,Exit long,2025-12-23 10:20,Long SL/TP,48820,1,24378.5,30.52,0.13,31.01,0.13,-10.49,-0.04,1.05,0.01
2,Entry long,2025-12-23 08:45,Long,48757,1,24378.5,30.52,0.13,31.01,0.13,-10.49,-0.04,1.05,0.01
3,Exit long,2025-12-24 06:45,Long SL/TP,48825,1,24386,25.52,0.10,28.01,0.11,-2.49,-0.01,26.57,0.27
3,Entry long,2025-12-24 06:40,Long,48772,1,24386,25.52,0.10,28.01,0.11,-2.49,-0.01,26.57,0.27
4,Exit short,2025-12-26 12:15,Short SL/TP,48960,1,24459,-21.98,-0.09,23.01,0.09,-21.49,-0.09,4.6,0.05
4,Entry short,2025-12-26 09:40,Short,48918,1,24459,-21.98,-0.09,23.01,0.09,-21.49,-0.09,4.6,0.05
5,Exit short,2025-12-29 10:20,Short SL/TP,48768,1,24361,-23.97,-0.10,28.01,0.11,-23.49,-0.10,-19.38,-0.19
5,Entry short,2025-12-29 09:10,Short,48722,1,24361,-23.97,-0.10,28.01,0.11,-23.49,-0.10,-19.38,-0.19
6,Exit short,2026-01-02 07:25,Short SL/TP,48159,1,24143,62.54,0.26,68.02,0.28,-0.48,0.00,43.16,0.43
6,Entry short,2026-01-02 07:20,Short,48286,1,24143,62.54,0.26,68.02,0.28,-0.48,0.00,43.16,0.43
7,Exit short,2026-01-02 11:00,Short SL/TP,48424,1,24173.5,-39.47,-0.16,9.02,0.04,-38.98,-0.16,3.69,0.04
7,Entry short,2026-01-02 10:50,Short,48347,1,24173.5,-39.47,-0.16,9.02,0.04,-38.98,-0.16,3.69,0.04
8,Exit long,2026-01-06 08:45,Long SL/TP,49489,1,24694,49.51,0.20,50.01,0.20,-8.49,-0.03,53.2,0.53
8,Entry long,2026-01-06 08:10,Long,49388,1,24694,49.51,0.20,50.01,0.20,-8.49,-0.03,53.2,0.53
9,Exit long,2026-01-06 12:35,Long SL/TP,49765,1,24860,21.51,0.09,22,0.09,-7.5,-0.03,74.7,0.75
9,Entry long,2026-01-06 11:50,Long,49720,1,24860,21.51,0.09,22,0.09,-7.5,-0.03,74.7,0.75
10,Exit short,2026-01-07 12:10,Short SL/TP,49348,1,24708,33.01,0.13,33.51,0.14,-13.49,-0.05,107.72,1.08
10,Entry short,2026-01-07 11:15,Short,49416,1,24708,33.01,0.13,33.51,0.14,-13.49,-0.05,107.72,1.08
11,Exit short,2026-01-08 12:35,Short SL/TP,49537,1,24741.5,-27.99,-0.11,17.01,0.07,-27.49,-0.11,79.73,0.80
11,Entry short,2026-01-08 11:40,Short,49483,1,24741.5,-27.99,-0.11,17.01,0.07,-27.49,-0.11,79.73,0.80
12,Exit long,2026-01-12 12:45,Long SL/TP,49807,1,24875.5,27,0.11,27.5,0.11,-14.5,-0.06,106.73,1.07
12,Entry long,2026-01-12 11:35,Long,49751,1,24875.5,27,0.11,27.5,0.11,-14.5,-0.06,106.73,1.07
13,Exit short,2026-01-13 12:05,Short SL/TP,49378,1,24751,61.01,0.25,61.5,0.25,-27.5,-0.11,167.74,1.68
13,Entry short,2026-01-13 08:00,Short,49502,1,24751,61.01,0.25,61.5,0.25,-27.5,-0.11,167.74,1.68
14,Exit long,2026-01-14 12:05,Long SL/TP,49307,1,24613,39.51,0.16,40.01,0.16,-15.49,-0.06,207.26,2.07
14,Entry long,2026-01-14 11:45,Long,49226,1,24613,39.51,0.16,40.01,0.16,-15.49,-0.06,207.26,2.07
15,Exit long,2026-01-15 12:50,Session End,49601,1,24840,-40.49,-0.16,55.5,0.22,-44,-0.18,166.76,1.67
15,Entry long,2026-01-15 08:00,Long,49680,1,24840,-40.49,-0.16,55.5,0.22,-44,-0.18,166.76,1.67
16,Exit long,2026-01-16 11:10,Long SL/TP,49642,1,24846.5,-26.49,-0.11,10.5,0.04,-26,-0.10,140.27,1.40
16,Entry long,2026-01-16 11:05,Long,49693,1,24846.5,-26.49,-0.11,10.5,0.04,-26,-0.10,140.27,1.40
17,Exit short,2026-01-19 08:05,Short SL/TP,49168,1,24564,-20.98,-0.09,21.51,0.09,-20.49,-0.08,119.29,1.19
17,Entry short,2026-01-19 07:25,Short,49128,1,24564,-20.98,-0.09,21.51,0.09,-20.49,-0.08,119.29,1.19
18,Exit long,2026-01-21 08:40,Long SL/TP,49002,1,24555,-54.98,-0.22,1.01,0.00,-57.99,-0.24,64.31,0.64
18,Entry long,2026-01-21 08:35,Long,49110,1,24555,-54.98,-0.22,1.01,0.00,-57.99,-0.24,64.31,0.64
19,Exit short,2026-01-21 10:10,Short SL/TP,48934,1,24412,-55.98,-0.23,0,0.00,-55.49,-0.23,8.33,0.08
19,Entry short,2026-01-21 10:05,Short,48824,1,24412,-55.98,-0.23,0,0.00,-55.49,-0.23,8.33,0.08
20,Exit long,2026-01-22 10:55,Long SL/TP,49669,1,24868.5,-34.99,-0.14,28,0.11,-34.5,-0.14,-26.66,-0.27
20,Entry long,2026-01-22 09:10,Long,49737,1,24868.5,-34.99,-0.14,28,0.11,-34.5,-0.14,-26.66,-0.27
21,Exit short,2026-01-23 07:20,Short SL/TP,49303,1,24614.5,-37.99,-0.15,13.01,0.05,-37.49,-0.15,-64.65,-0.65
21,Entry short,2026-01-23 07:15,Short,49229,1,24614.5,-37.99,-0.15,13.01,0.05,-37.49,-0.15,-64.65,-0.65
22,Exit long,2026-01-26 08:00,Long SL/TP,49406,1,24739,-36.99,-0.15,2.51,0.01,-36.49,-0.15,-101.64,-1.02
22,Entry long,2026-01-26 07:50,Long,49478,1,24739,-36.99,-0.15,2.51,0.01,-36.49,-0.15,-101.64,-1.02
23,Exit long,2026-01-26 12:15,Long SL/TP,49619,1,24776.5,32.01,0.13,32.5,0.13,-13,-0.05,-69.63,-0.70
23,Entry long,2026-01-26 11:10,Long,49553,1,24776.5,32.01,0.13,32.5,0.13,-13,-0.05,-69.63,-0.70
24,Exit short,2026-01-30 10:45,Short SL/TP,48785,1,24340,-53.47,-0.22,54.01,0.22,-52.99,-0.22,-123.11,-1.23
24,Entry short,2026-01-30 10:00,Short,48680,1,24340,-53.47,-0.22,54.01,0.22,-52.99,-0.22,-123.11,-1.23
25,Exit long,2026-01-30 12:45,Long SL/TP,49068,1,24472.5,60.52,0.25,61.01,0.25,-2.49,-0.01,-62.59,-0.63
25,Entry long,2026-01-30 12:30,Long,48945,1,24472.5,60.52,0.25,61.01,0.25,-2.49,-0.01,-62.59,-0.63
26,Exit long,2026-02-02 11:10,Long SL/TP,49553,1,24728,47.51,0.19,48.01,0.19,-8.49,-0.03,-15.08,-0.15
26,Entry long,2026-02-02 09:00,Long,49456,1,24728,47.51,0.19,48.01,0.19,-8.49,-0.03,-15.08,-0.15
27,Exit long,2026-02-04 08:40,Long SL/TP,49598,1,24869,-70.99,-0.29,5,0.02,-70.5,-0.28,-86.07,-0.86
27,Entry long,2026-02-04 08:30,Long,49738,1,24869,-70.99,-0.29,5,0.02,-70.5,-0.28,-86.07,-0.86
28,Exit long,2026-02-11 12:50,Session End,50240,1,25115.5,3.5,0.01,13,0.05,-30.5,-0.12,-82.57,-0.83
28,Entry long,2026-02-11 12:15,Long,50231,1,25115.5,3.5,0.01,13,0.05,-30.5,-0.12,-82.57,-0.83
29,Exit short,2026-02-16 08:30,Short SL/TP,49635,1,24787.5,-30.99,-0.13,5,0.02,-30.5,-0.12,-113.57,-1.14
29,Entry short,2026-02-16 08:25,Short,49575,1,24787.5,-30.99,-0.13,5,0.02,-30.5,-0.12,-113.57,-1.14
30,Exit short,2026-02-16 15:00,Short SL/TP,49647,1,24800,-24.49,-0.10,8,0.03,-24,-0.10,-138.06,-1.38
30,Entry short,2026-02-16 09:20,Short,49600,1,24800,-24.49,-0.10,8,0.03,-24,-0.10,-138.06,-1.38
31,Exit short,2026-02-19 06:40,Short SL/TP,49565,1,24750,-33.49,-0.14,48.01,0.19,-32.99,-0.13,-171.55,-1.72
31,Entry short,2026-02-19 06:35,Short,49500,1,24750,-33.49,-0.14,48.01,0.19,-32.99,-0.13,-171.55,-1.72
32,Exit short,2026-02-23 09:35,Short SL/TP,48822,1,24471.5,59.52,0.24,60.01,0.25,-11.49,-0.05,-112.03,-1.12
32,Entry short,2026-02-23 08:55,Short,48943,1,24471.5,59.52,0.24,60.01,0.25,-11.49,-0.05,-112.03,-1.12
33,Exit short,2026-02-23 12:30,Short SL/TP,48898,1,24417.5,-32.48,-0.13,16.01,0.07,-31.99,-0.13,-144.5,-1.45
33,Entry short,2026-02-23 12:10,Short,48835,1,24417.5,-32.48,-0.13,16.01,0.07,-31.99,-0.13,-144.5,-1.45
34,Exit long,2026-02-24 11:15,Long SL/TP,49248,1,24651.5,-28.49,-0.12,20.01,0.08,-27.99,-0.11,-172.99,-1.73
34,Entry long,2026-02-24 10:40,Long,49303,1,24651.5,-28.49,-0.12,20.01,0.08,-27.99,-0.11,-172.99,-1.73
35,Exit long,2026-02-25 12:50,Session End,49534,1,24761,5.01,0.02,8.5,0.03,-5.5,-0.02,-167.98,-1.68
35,Entry long,2026-02-25 12:40,Long,49522,1,24761,5.01,0.02,8.5,0.03,-5.5,-0.02,-167.98,-1.68
36,Exit short,2026-03-03 07:20,Short SL/TP,47730,1,23950.5,84.54,0.35,85.02,0.35,-42.48,-0.18,-83.44,-0.83
36,Entry short,2026-03-03 06:45,Short,47901,1,23950.5,84.54,0.35,85.02,0.35,-42.48,-0.18,-83.44,-0.83
37,Exit short,2026-03-03 08:00,Short SL/TP,47921,1,23887,-74.46,-0.31,2.02,0.01,-73.98,-0.31,-157.89,-1.58
37,Entry short,2026-03-03 07:55,Short,47774,1,23887,-74.46,-0.31,2.02,0.01,-73.98,-0.31,-157.89,-1.58
38,Exit long,2026-03-03 12:50,Session End,48580,1,24319,-29.97,-0.12,57.51,0.24,-41.49,-0.17,-187.87,-1.88
38,Entry long,2026-03-03 11:40,Long,48638,1,24319,-29.97,-0.12,57.51,0.24,-41.49,-0.17,-187.87,-1.88
39,Exit long,2026-03-04 12:50,Session End,48875,1,24435.5,1.02,0.00,21.51,0.09,-49.99,-0.20,-186.84,-1.87
39,Entry long,2026-03-04 08:35,Long,48871,1,24435.5,1.02,0.00,21.51,0.09,-49.99,-0.20,-186.84,-1.87
40,Exit short,2026-03-05 06:55,Short SL/TP,48426,1,24160,-53.97,-0.22,9.02,0.04,-56.48,-0.23,-240.81,-2.41
40,Entry short,2026-03-05 06:50,Short,48320,1,24160,-53.97,-0.22,9.02,0.04,-56.48,-0.23,-240.81,-2.41
41,Exit short,2026-03-05 09:30,Short SL/TP,47812,1,23984.5,77.54,0.32,78.02,0.33,-1.98,-0.01,-163.27,-1.63
41,Entry short,2026-03-05 09:15,Short,47969,1,23984.5,77.54,0.32,78.02,0.33,-1.98,-0.01,-163.27,-1.63
42,Exit long,2026-03-06 09:40,Long SL/TP,47260,1,23700.5,-71.45,-0.30,58.53,0.25,-70.97,-0.30,-234.71,-2.35
42,Entry long,2026-03-06 08:45,Long,47401,1,23700.5,-71.45,-0.30,58.53,0.25,-70.97,-0.30,-234.71,-2.35
43,Exit long,2026-03-10 11:10,Long SL/TP,48086,1,24092.5,-50.46,-0.21,3.02,0.01,-49.98,-0.21,-285.18,-2.85
43,Entry long,2026-03-10 10:55,Long,48185,1,24092.5,-50.46,-0.21,3.02,0.01,-49.98,-0.21,-285.18,-2.85
44,Exit short,2026-03-10 12:50,Session End,47751,1,23936,59.54,0.25,71.02,0.30,-0.98,0.00,-225.63,-2.26
44,Entry short,2026-03-10 12:25,Short,47872,1,23936,59.54,0.25,71.02,0.30,-0.98,0.00,-225.63,-2.26
45,Exit long,2026-03-16 06:55,Long SL/TP,47169,1,23530.5,53.06,0.23,53.53,0.23,-15.97,-0.07,-172.58,-1.73
45,Entry long,2026-03-16 06:45,Long,47061,1,23530.5,53.06,0.23,53.53,0.23,-15.97,-0.07,-172.58,-1.73
46,Exit long,2026-03-16 12:15,Long SL/TP,47015,1,23548,-41.44,-0.18,18.03,0.08,-45.97,-0.20,-214.02,-2.14
46,Entry long,2026-03-16 12:10,Long,47096,1,23548,-41.44,-0.18,18.03,0.08,-45.97,-0.20,-214.02,-2.14
47,Exit short,2026-03-17 12:50,Session End,47388,1,23696,1.05,0.00,27.03,0.11,-35.47,-0.15,-212.96,-2.13
47,Entry short,2026-03-17 09:35,Short,47392,1,23696,1.05,0.00,27.03,0.11,-35.47,-0.15,-212.96,-2.13
48,Exit short,2026-03-18 07:25,Short SL/TP,46905,1,23532.5,79.06,0.34,79.53,0.34,-41.47,-0.18,-133.9,-1.34
48,Entry short,2026-03-18 07:05,Short,47065,1,23532.5,79.06,0.34,79.53,0.34,-41.47,-0.18,-133.9,-1.34
49,Exit short,2026-03-18 11:30,Short SL/TP,46790,1,23464,68.06,0.29,68.53,0.29,-18.97,-0.08,-65.84,-0.66
49,Entry short,2026-03-18 08:25,Short,46928,1,23464,68.06,0.29,68.53,0.29,-18.97,-0.08,-65.84,-0.66
50,Exit short,2026-03-25 12:50,Session End,46698,1,23347,-2.93,-0.01,16.03,0.07,-12.97,-0.06,-68.78,-0.69
50,Entry short,2026-03-25 12:35,Short,46694,1,23347,-2.93,-0.01,16.03,0.07,-12.97,-0.06,-68.78,-0.69
51,Exit short,2026-03-27 07:50,Short SL/TP,45885,1,22883.5,-59.92,-0.26,12.54,0.05,-59.46,-0.26,-128.69,-1.29
51,Entry short,2026-03-27 07:30,Short,45767,1,22883.5,-59.92,-0.26,12.54,0.05,-59.46,-0.26,-128.69,-1.29
52,Exit short,2026-03-27 10:40,Short SL/TP,45589,1,22857,61.59,0.27,62.04,0.27,-3.96,-0.02,-67.11,-0.67
52,Entry short,2026-03-27 10:15,Short,45714,1,22857,61.59,0.27,62.04,0.27,-3.96,-0.02,-67.11,-0.67
53,Exit short,2026-03-30 07:55,Short SL/TP,45771,1,22829.5,-56.91,-0.25,9.04,0.04,-56.46,-0.25,-124.02,-1.24
53,Entry short,2026-03-30 07:50,Short,45659,1,22829.5,-56.91,-0.25,9.04,0.04,-56.46,-0.25,-124.02,-1.24
54,Exit short,2026-03-30 12:05,Short SL/TP,45414,1,22759,51.09,0.22,51.54,0.23,-32.46,-0.14,-72.93,-0.73
54,Entry short,2026-03-30 11:30,Short,45518,1,22759,51.09,0.22,51.54,0.23,-32.46,-0.14,-72.93,-0.73
55,Exit long,2026-04-06 10:10,Long SL/TP,46711,1,23410,-55.44,-0.24,34.03,0.15,-54.97,-0.23,-128.36,-1.28
55,Entry long,2026-04-06 08:15,Long,46820,1,23410,-55.44,-0.24,34.03,0.15,-54.97,-0.23,-128.36,-1.28
