Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2022-10-18 10:00:00,Trail,30570,1,15285,-1.9,-0.01,29.05,0.19,-0.95,-0.01,-1.9,-0.02
1,Entry short,2022-10-18 08:00:00,Short,30570,1,15285,-1.9,-0.01,29.05,0.19,-0.95,-0.01,-1.9,-0.02
2,Exit short,2022-10-18 16:00:00,Trail,30510,1,15375,118.1,0.77,149.05,0.97,-0.95,-0.01,116.2,1.16
2,Entry short,2022-10-18 13:00:00,Short,30750,1,15375,118.1,0.77,149.05,0.97,-0.95,-0.01,116.2,1.16
3,Exit short,2022-10-18 19:00:00,Trail,30540,1,15270,-1.9,-0.01,29.05,0.19,-0.95,-0.01,114.3,1.14
3,Entry short,2022-10-18 18:00:00,Short,30540,1,15270,-1.9,-0.01,29.05,0.19,-0.95,-0.01,114.3,1.14
4,Exit short,2022-10-19 09:00:00,Trail,30600,1,15345,43.1,0.28,74.05,0.48,-0.95,-0.01,157.4,1.57
4,Entry short,2022-10-19 05:00:00,Short,30690,1,15345,43.1,0.28,74.05,0.48,-0.95,-0.01,157.4,1.57
5,Exit short,2022-10-21 02:00:00,Trail,30360,1,15180,-1.9,-0.01,29.05,0.19,-28.95,-0.19,155.5,1.56
5,Entry short,2022-10-20 18:00:00,Short,30360,1,15180,-1.9,-0.01,29.05,0.19,-28.95,-0.19,155.5,1.56
6,Exit short,2022-10-21 13:00:00,Trail,30270,1,15135,-1.9,-0.01,33.05,0.22,-3.45,-0.02,153.6,1.54
6,Entry short,2022-10-21 08:00:00,Short,30270,1,15135,-1.9,-0.01,33.05,0.22,-3.45,-0.02,153.6,1.54
7,Exit short,2022-10-21 15:00:00,Trail,30600,1,15315,13.1,0.09,44.05,0.29,-0.95,-0.01,166.7,1.67
7,Entry short,2022-10-21 14:00:00,Short,30630,1,15315,13.1,0.09,44.05,0.29,-0.95,-0.01,166.7,1.67
8,Exit short,2022-10-24 04:00:00,Trail,31200,1,15615,13.1,0.08,44.05,0.28,-0.95,-0.01,179.8,1.80
8,Entry short,2022-10-24 01:00:00,Short,31230,1,15615,13.1,0.08,44.05,0.28,-0.95,-0.01,179.8,1.80
9,Exit short,2022-10-24 09:00:00,Trail,31080,1,15555,13.1,0.08,44.05,0.28,-0.95,-0.01,192.9,1.93
9,Entry short,2022-10-24 07:00:00,Short,31110,1,15555,13.1,0.08,44.05,0.28,-0.95,-0.01,192.9,1.93
10,Exit short,2022-10-24 15:00:00,Trail,31470,1,15705,-31.9,-0.20,0,0.00,-30.95,-0.20,161,1.61
10,Entry short,2022-10-24 14:00:00,Short,31410,1,15705,-31.9,-0.20,0,0.00,-30.95,-0.20,161,1.61
11,Exit short,2022-10-25 13:00:00,Trail,31470,1,15765,28.1,0.18,59.55,0.38,-28.45,-0.18,189.1,1.89
11,Entry short,2022-10-24 20:00:00,Short,31530,1,15765,28.1,0.18,59.55,0.38,-28.45,-0.18,189.1,1.89
12,Exit long,2022-10-26 00:00:00,Trail,31800,1,15915,-16.9,-0.11,25.05,0.16,-15.95,-0.10,172.2,1.72
12,Entry long,2022-10-25 19:00:00,Long,31830,1,15915,-16.9,-0.11,25.05,0.16,-15.95,-0.10,172.2,1.72
