Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2022-10-21 02:00:00,Trail,30360,1,15180,-1.9,-0.01,29.05,0.19,-28.95,-0.19,-1.9,-0.02
1,Entry short,2022-10-20 18:00:00,Short,30360,1,15180,-1.9,-0.01,29.05,0.19,-28.95,-0.19,-1.9,-0.02
2,Exit long,2022-10-26 00:00:00,Trail,31800,1,15915,-16.9,-0.11,25.05,0.16,-15.95,-0.10,-18.8,-0.19
2,Entry long,2022-10-25 19:00:00,Long,31830,1,15915,-16.9,-0.11,25.05,0.16,-15.95,-0.10,-18.8,-0.19
3,Exit long,2022-10-30 22:00:00,Trail,32910,1,16185,268.1,1.66,299.05,1.85,-0.95,-0.01,249.3,2.49
3,Entry long,2022-10-28 13:00:00,Long,32370,1,16185,268.1,1.66,299.05,1.85,-0.95,-0.01,249.3,2.49
4,Exit long,2022-11-04 15:00:00,Trail,32430,1,16200,13.1,0.08,44.05,0.27,-0.95,-0.01,262.4,2.62
4,Entry long,2022-11-04 14:00:00,Long,32400,1,16200,13.1,0.08,44.05,0.27,-0.95,-0.01,262.4,2.62
5,Exit long,2022-11-08 02:00:00,Trail,32850,1,16350,73.1,0.45,104.05,0.64,-0.95,-0.01,335.5,3.36
5,Entry long,2022-11-07 18:00:00,Long,32700,1,16350,73.1,0.45,104.05,0.64,-0.95,-0.01,335.5,3.36
6,Exit short,2022-11-10 10:00:00,Trail,32610,1,16395,88.1,0.54,124.05,0.76,-0.95,-0.01,423.6,4.24
6,Entry short,2022-11-09 18:00:00,Short,32790,1,16395,88.1,0.54,124.05,0.76,-0.95,-0.01,423.6,4.24
7,Exit short,2022-11-11 18:00:00,Trail,33570,1,16770,-16.9,-0.10,14.05,0.08,-15.95,-0.10,406.7,4.07
7,Entry short,2022-11-11 16:00:00,Short,33540,1,16770,-16.9,-0.10,14.05,0.08,-15.95,-0.10,406.7,4.07
8,Exit long,2022-11-15 15:00:00,Trail,33870,1,16815,118.1,0.70,149.05,0.89,-0.95,-0.01,524.8,5.25
8,Entry long,2022-11-15 01:00:00,Long,33630,1,16815,118.1,0.70,149.05,0.89,-0.95,-0.01,524.8,5.25
9,Exit short,2022-11-17 14:00:00,Trail,33270,1,16620,-16.9,-0.10,14.05,0.08,-15.95,-0.10,507.9,5.08
9,Entry short,2022-11-17 13:00:00,Short,33240,1,16620,-16.9,-0.10,14.05,0.08,-15.95,-0.10,507.9,5.08
10,Exit long,2022-11-23 13:00:00,Trail,34110,1,17025,28.1,0.17,59.05,0.35,-0.95,-0.01,536,5.36
10,Entry long,2022-11-22 19:00:00,Long,34050,1,17025,28.1,0.17,59.05,0.35,-0.95,-0.01,536,5.36
11,Exit short,2022-11-29 04:00:00,Trail,33930,1,16965,-1.9,-0.01,35.05,0.21,-0.95,-0.01,534.1,5.34
11,Entry short,2022-11-28 18:00:00,Short,33930,1,16965,-1.9,-0.01,35.05,0.21,-0.95,-0.01,534.1,5.34
12,Exit long,2022-12-01 14:00:00,Trail,34560,1,17055,223.1,1.31,254.05,1.49,-0.95,-0.01,757.2,7.57
12,Entry long,2022-11-30 19:00:00,Long,34110,1,17055,223.1,1.31,254.05,1.49,-0.95,-0.01,757.2,7.57
13,Exit long,2022-12-13 14:00:00,Trail,34980,1,16770,718.1,4.28,749.05,4.47,-0.95,-0.01,1475.3,14.75
13,Entry long,2022-12-12 10:00:00,Long,33540,1,16770,718.1,4.28,749.05,4.47,-0.95,-0.01,1475.3,14.75
14,Exit short,2022-12-14 21:00:00,Trail,34230,1,17085,-31.9,-0.19,0,0.00,-30.95,-0.18,1443.4,14.43
14,Entry short,2022-12-14 19:00:00,Short,34170,1,17085,-31.9,-0.19,0,0.00,-30.95,-0.18,1443.4,14.43
15,Exit long,2022-12-21 04:00:00,Trail,33210,1,16590,13.1,0.08,44.05,0.27,-0.95,-0.01,1456.5,14.57
15,Entry long,2022-12-20 23:00:00,Long,33180,1,16590,13.1,0.08,44.05,0.27,-0.95,-0.01,1456.5,14.57
16,Exit long,2022-12-27 13:00:00,Trail,33510,1,16725,28.1,0.17,71.55,0.43,-0.95,-0.01,1484.6,14.85
16,Entry long,2022-12-26 23:00:00,Long,33450,1,16725,28.1,0.17,71.55,0.43,-0.95,-0.01,1484.6,14.85
17,Exit short,2022-12-29 09:00:00,Trail,33090,1,16560,13.1,0.08,49.55,0.30,-0.95,-0.01,1497.7,14.98
17,Entry short,2022-12-28 20:00:00,Short,33120,1,16560,13.1,0.08,49.55,0.30,-0.95,-0.01,1497.7,14.98
18,Exit short,2023-01-05 18:00:00,Trail,33060,1,16500,-31.9,-0.19,0,0.00,-30.95,-0.19,1465.8,14.66
18,Entry short,2023-01-05 16:00:00,Short,33000,1,16500,-31.9,-0.19,0,0.00,-30.95,-0.19,1465.8,14.66
19,Exit long,2023-01-06 17:00:00,Trail,33600,1,16830,-31.9,-0.19,0,0.00,-30.95,-0.18,1433.9,14.34
19,Entry long,2023-01-06 16:00:00,Long,33660,1,16830,-31.9,-0.19,0,0.00,-30.95,-0.18,1433.9,14.34
20,Exit short,2023-01-16 13:00:00,Trail,34380,1,17205,13.1,0.08,44.05,0.26,-0.95,-0.01,1447,14.47
20,Entry short,2023-01-16 07:00:00,Short,34410,1,17205,13.1,0.08,44.05,0.26,-0.95,-0.01,1447,14.47
21,Exit long,2023-01-23 19:00:00,Trail,33750,1,16770,103.1,0.61,134.05,0.80,-0.95,-0.01,1550.1,15.50
21,Entry long,2023-01-23 13:00:00,Long,33540,1,16770,103.1,0.61,134.05,0.80,-0.95,-0.01,1550.1,15.50
22,Exit long,2023-02-01 00:00:00,Trail,34080,1,17040,-1.9,-0.01,29.05,0.17,-0.95,-0.01,1548.2,15.48
22,Entry long,2023-01-31 20:00:00,Long,34080,1,17040,-1.9,-0.01,29.05,0.17,-0.95,-0.01,1548.2,15.48
23,Exit long,2023-02-08 08:00:00,Trail,34140,1,16905,163.1,0.96,194.05,1.15,-0.95,-0.01,1711.3,17.11
23,Entry long,2023-02-07 19:00:00,Long,33810,1,16905,163.1,0.96,194.05,1.15,-0.95,-0.01,1711.3,17.11
24,Exit short,2023-02-10 08:00:00,Trail,33750,1,16920,43.1,0.25,74.05,0.44,-0.95,-0.01,1754.4,17.54
24,Entry short,2023-02-09 19:00:00,Short,33840,1,16920,43.1,0.25,74.05,0.44,-0.95,-0.01,1754.4,17.54
25,Exit short,2023-02-16 15:00:00,Trail,33840,1,16890,-31.9,-0.19,0,0.00,-30.95,-0.18,1722.5,17.22
25,Entry short,2023-02-16 14:00:00,Short,33780,1,16890,-31.9,-0.19,0,0.00,-30.95,-0.18,1722.5,17.22
26,Exit short,2023-02-17 15:00:00,Trail,33630,1,16800,-16.9,-0.10,14.05,0.08,-15.95,-0.09,1705.6,17.06
26,Entry short,2023-02-17 08:00:00,Short,33600,1,16800,-16.9,-0.10,14.05,0.08,-15.95,-0.09,1705.6,17.06
27,Exit short,2023-02-22 21:00:00,Trail,33090,1,16710,163.1,0.98,194.05,1.16,-0.95,-0.01,1868.7,18.69
27,Entry short,2023-02-21 15:00:00,Short,33420,1,16710,163.1,0.98,194.05,1.16,-0.95,-0.01,1868.7,18.69
28,Exit long,2023-02-24 07:00:00,Trail,33120,1,16470,88.1,0.53,119.05,0.72,-0.95,-0.01,1956.8,19.57
28,Entry long,2023-02-23 18:00:00,Long,32940,1,16470,88.1,0.53,119.05,0.72,-0.95,-0.01,1956.8,19.57
29,Exit long,2023-03-01 13:00:00,Trail,32670,1,16335,-1.9,-0.01,43.55,0.27,-0.95,-0.01,1954.9,19.55
29,Entry long,2023-03-01 02:00:00,Long,32670,1,16335,-1.9,-0.01,43.55,0.27,-0.95,-0.01,1954.9,19.55
30,Exit long,2023-03-06 11:00:00,Trail,33390,1,16560,133.1,0.80,164.05,0.99,-0.95,-0.01,2088,20.88
30,Entry long,2023-03-03 13:00:00,Long,33120,1,16560,133.1,0.80,164.05,0.99,-0.95,-0.01,2088,20.88
31,Exit short,2023-03-10 10:00:00,Trail,32100,1,16260,208.1,1.28,243.55,1.50,-0.95,-0.01,2296.1,22.96
31,Entry short,2023-03-09 19:00:00,Short,32520,1,16260,208.1,1.28,243.55,1.50,-0.95,-0.01,2296.1,22.96
32,Exit short,2023-03-10 19:00:00,Trail,31920,1,15945,-16.9,-0.11,14.05,0.09,-15.95,-0.10,2279.2,22.79
32,Entry short,2023-03-10 18:00:00,Short,31890,1,15945,-16.9,-0.11,14.05,0.09,-15.95,-0.10,2279.2,22.79
33,Exit short,2023-03-15 17:00:00,Trail,31740,1,15990,118.1,0.74,149.05,0.93,-0.95,-0.01,2397.3,23.97
33,Entry short,2023-03-15 10:00:00,Short,31980,1,15990,118.1,0.74,149.05,0.93,-0.95,-0.01,2397.3,23.97
34,Exit long,2023-03-17 10:00:00,Trail,32430,1,16185,28.1,0.17,63.55,0.39,-0.95,-0.01,2425.4,24.25
34,Entry long,2023-03-16 16:00:00,Long,32370,1,16185,28.1,0.17,63.55,0.39,-0.95,-0.01,2425.4,24.25
35,Exit short,2023-03-20 07:00:00,Trail,31770,1,15930,43.1,0.27,74.05,0.46,-0.95,-0.01,2468.5,24.69
35,Entry short,2023-03-20 06:00:00,Short,31860,1,15930,43.1,0.27,74.05,0.46,-0.95,-0.01,2468.5,24.69
36,Exit short,2023-03-22 22:00:00,Trail,32310,1,16200,43.1,0.27,74.05,0.46,-0.95,-0.01,2511.6,25.12
36,Entry short,2023-03-22 19:00:00,Short,32400,1,16200,43.1,0.27,74.05,0.46,-0.95,-0.01,2511.6,25.12
37,Exit long,2023-03-30 13:00:00,Trail,33030,1,16470,43.1,0.26,81.55,0.50,-0.95,-0.01,2554.7,25.55
37,Entry long,2023-03-30 05:00:00,Long,32940,1,16470,43.1,0.26,81.55,0.50,-0.95,-0.01,2554.7,25.55
38,Exit long,2023-04-03 14:00:00,Trail,33660,1,16665,163.1,0.98,194.05,1.16,-0.95,-0.01,2717.8,27.18
38,Entry long,2023-03-31 19:00:00,Long,33330,1,16665,163.1,0.98,194.05,1.16,-0.95,-0.01,2717.8,27.18
39,Exit long,2023-04-12 14:00:00,Trail,33930,1,16980,-16.9,-0.10,14.05,0.08,-15.95,-0.09,2700.9,27.01
39,Entry long,2023-04-12 12:00:00,Long,33960,1,16980,-16.9,-0.10,14.05,0.08,-15.95,-0.09,2700.9,27.01
40,Exit long,2023-04-13 23:00:00,Trail,34140,1,17085,-16.9,-0.10,14.05,0.08,-15.95,-0.09,2684,26.84
40,Entry long,2023-04-13 18:00:00,Long,34170,1,17085,-16.9,-0.10,14.05,0.08,-15.95,-0.09,2684,26.84
41,Exit long,2023-04-28 06:00:00,Trail,33870,1,16920,13.1,0.08,44.05,0.26,-0.95,-0.01,2697.1,26.97
41,Entry long,2023-04-27 18:00:00,Long,33840,1,16920,13.1,0.08,44.05,0.26,-0.95,-0.01,2697.1,26.97
42,Exit short,2023-05-04 01:00:00,Trail,33420,1,16695,-16.9,-0.10,14.05,0.08,-15.95,-0.10,2680.2,26.80
42,Entry short,2023-05-03 22:00:00,Short,33390,1,16695,-16.9,-0.10,14.05,0.08,-15.95,-0.10,2680.2,26.80
43,Exit long,2023-05-11 11:00:00,Trail,33570,1,16725,58.1,0.35,100.05,0.60,-0.95,-0.01,2738.3,27.38
43,Entry long,2023-05-10 18:00:00,Long,33450,1,16725,58.1,0.35,100.05,0.60,-0.95,-0.01,2738.3,27.38
44,Exit short,2023-05-11 14:00:00,Trail,33270,1,16605,-31.9,-0.19,0,0.00,-30.95,-0.19,2706.4,27.06
44,Entry short,2023-05-11 13:00:00,Short,33210,1,16605,-31.9,-0.19,0,0.00,-30.95,-0.19,2706.4,27.06
45,Exit long,2023-05-17 18:00:00,Trail,33450,1,16740,-16.9,-0.10,14.05,0.08,-15.95,-0.10,2689.5,26.90
45,Entry long,2023-05-17 17:00:00,Long,33480,1,16740,-16.9,-0.10,14.05,0.08,-15.95,-0.10,2689.5,26.90
46,Exit short,2023-05-19 18:00:00,Trail,33510,1,16830,73.1,0.43,104.05,0.62,-0.95,-0.01,2762.6,27.63
46,Entry short,2023-05-19 15:00:00,Short,33660,1,16830,73.1,0.43,104.05,0.62,-0.95,-0.01,2762.6,27.63
47,Exit long,2023-05-29 03:00:00,Trail,33180,1,16530,58.1,0.35,90.05,0.54,-0.95,-0.01,2820.7,28.21
47,Entry long,2023-05-26 14:00:00,Long,33060,1,16530,58.1,0.35,90.05,0.54,-0.95,-0.01,2820.7,28.21
48,Exit long,2023-06-05 12:00:00,Trail,33810,1,16605,298.1,1.80,329.05,1.98,-0.95,-0.01,3118.8,31.19
48,Entry long,2023-06-02 07:00:00,Long,33210,1,16605,298.1,1.80,329.05,1.98,-0.95,-0.01,3118.8,31.19
49,Exit long,2023-06-15 20:00:00,Trail,34710,1,17325,28.1,0.16,59.05,0.34,-0.95,-0.01,3146.9,31.47
49,Entry long,2023-06-15 16:00:00,Long,34650,1,17325,28.1,0.16,59.05,0.34,-0.95,-0.01,3146.9,31.47
50,Exit short,2023-07-06 17:00:00,Trail,34080,1,17145,103.1,0.60,134.05,0.78,-0.95,-0.01,3250,32.50
50,Entry short,2023-07-06 12:00:00,Short,34290,1,17145,103.1,0.60,134.05,0.78,-0.95,-0.01,3250,32.50
51,Exit long,2023-07-12 15:00:00,Trail,34680,1,17130,208.1,1.21,248.05,1.45,-0.95,-0.01,3458.1,34.58
51,Entry long,2023-07-11 12:00:00,Long,34260,1,17130,208.1,1.21,248.05,1.45,-0.95,-0.01,3458.1,34.58
52,Exit long,2023-07-19 19:00:00,Trail,35250,1,17520,103.1,0.59,138.55,0.79,-0.95,-0.01,3561.2,35.61
52,Entry long,2023-07-18 14:00:00,Long,35040,1,17520,103.1,0.59,138.55,0.79,-0.95,-0.01,3561.2,35.61
53,Exit short,2023-08-07 00:00:00,Trail,35220,1,17580,-31.9,-0.18,0,0.00,-30.95,-0.18,3529.3,35.29
53,Entry short,2023-08-04 20:00:00,Short,35160,1,17580,-31.9,-0.18,0,0.00,-30.95,-0.18,3529.3,35.29
