Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2022-10-18 08:00:00,Close entry(s) order Long,30600,1,15090,208.1,1.38,249.55,1.65,-0.95,-0.01,208.1,2.08
1,Entry long,2022-10-17 16:00:00,Long,30180,1,15090,208.1,1.38,249.55,1.65,-0.95,-0.01,208.1,2.08
2,Exit short,2022-10-21 07:00:00,Close entry(s) order Short,30330,1,15165,-1.9,-0.01,0,0.00,-15.95,-0.11,206.2,2.06
2,Entry short,2022-10-21 02:00:00,Short,30330,1,15165,-1.9,-0.01,0,0.00,-15.95,-0.11,206.2,2.06
3,Exit long,2022-10-24 01:00:00,Close entry(s) order Long,31260,1,15510,118.1,0.76,149.05,0.96,-0.95,-0.01,324.3,3.24
3,Entry long,2022-10-21 19:00:00,Long,31020,1,15510,118.1,0.76,149.05,0.96,-0.95,-0.01,324.3,3.24
4,Exit long,2022-10-31 00:00:00,Close entry(s) order Long,32910,1,16215,238.1,1.47,269.05,1.66,-0.95,-0.01,562.4,5.62
4,Entry long,2022-10-28 14:00:00,Long,32430,1,16215,238.1,1.47,269.05,1.66,-0.95,-0.01,562.4,5.62
5,Exit short,2022-11-03 03:00:00,Close entry(s) order Short,32190,1,16110,13.1,0.08,55.05,0.34,-0.95,-0.01,575.5,5.76
5,Entry short,2022-11-02 19:00:00,Short,32220,1,16110,13.1,0.08,55.05,0.34,-0.95,-0.01,575.5,5.76
6,Exit long,2022-11-04 15:00:00,Close entry(s) order Long,32430,1,16230,-16.9,-0.10,14.05,0.09,-15.95,-0.10,558.6,5.59
6,Entry long,2022-11-04 14:00:00,Long,32460,1,16230,-16.9,-0.10,14.05,0.09,-15.95,-0.10,558.6,5.59
7,Exit long,2022-11-08 18:00:00,Close entry(s) order Long,33270,1,16650,-16.9,-0.10,14.05,0.08,-15.95,-0.10,541.7,5.42
7,Entry long,2022-11-08 16:00:00,Long,33300,1,16650,-16.9,-0.10,14.05,0.08,-15.95,-0.10,541.7,5.42
8,Exit short,2022-11-10 13:00:00,Close entry(s) order Short,32610,1,16305,-1.9,-0.01,34.05,0.21,-0.95,-0.01,539.8,5.40
8,Entry short,2022-11-09 20:00:00,Short,32610,1,16305,-1.9,-0.01,34.05,0.21,-0.95,-0.01,539.8,5.40
9,Exit short,2022-11-17 15:00:00,Close entry(s) order Short,33270,1,16620,-16.9,-0.10,0,0.00,-15.95,-0.10,522.9,5.23
9,Entry short,2022-11-17 14:00:00,Short,33240,1,16620,-16.9,-0.10,0,0.00,-15.95,-0.10,522.9,5.23
10,Exit long,2022-11-23 13:00:00,Close entry(s) order Long,34110,1,17055,-1.9,-0.01,29.05,0.17,-0.95,-0.01,521,5.21
10,Entry long,2022-11-22 23:00:00,Long,34110,1,17055,-1.9,-0.01,29.05,0.17,-0.95,-0.01,521,5.21
11,Exit long,2022-12-01 15:00:00,Close entry(s) order Long,34560,1,17085,193.1,1.13,224.05,1.31,-0.95,-0.01,714.1,7.14
11,Entry long,2022-11-30 19:00:00,Long,34170,1,17085,193.1,1.13,224.05,1.31,-0.95,-0.01,714.1,7.14
12,Exit short,2022-12-06 01:00:00,Close entry(s) order Short,34020,1,16995,-16.9,-0.10,24.55,0.14,-15.95,-0.09,697.2,6.97
12,Entry short,2022-12-06 00:00:00,Short,33990,1,16995,-16.9,-0.10,24.55,0.14,-15.95,-0.09,697.2,6.97
13,Exit long,2022-12-13 14:00:00,Close entry(s) order Long,34980,1,16965,523.1,3.08,554.05,3.27,-0.95,-0.01,1220.3,12.20
13,Entry long,2022-12-12 20:00:00,Long,33930,1,16965,523.1,3.08,554.05,3.27,-0.95,-0.01,1220.3,12.20
14,Exit short,2022-12-15 19:00:00,Close entry(s) order Short,33390,1,16920,223.1,1.32,254.55,1.50,-0.95,-0.01,1443.4,14.43
14,Entry short,2022-12-15 14:00:00,Short,33840,1,16920,223.1,1.32,254.55,1.50,-0.95,-0.01,1443.4,14.43
