Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-04-25 04:00:00,Close entry(s) order Short,40050,1,20077.5,50.6,0.25,66.55,0.33,-0.95,0.00,50.6,0.51
1,Entry short,2025-04-25 03:00:00,Short,40155,1,20077.5,50.6,0.25,66.55,0.33,-0.95,0.00,50.6,0.51
2,Exit long,2025-04-27 15:00:00,Close entry(s) order Long,40245,1,20130,-9.4,-0.05,0,0.00,-8.45,-0.04,41.2,0.41
2,Entry long,2025-04-27 15:00:00,Long,40260,1,20130,-9.4,-0.05,0,0.00,-8.45,-0.04,41.2,0.41
3,Exit short,2025-04-27 23:00:00,Close entry(s) order Short,40110,1,20047.5,-9.4,-0.05,0,0.00,-8.45,-0.04,31.8,0.32
3,Entry short,2025-04-27 23:00:00,Short,40095,1,20047.5,-9.4,-0.05,0,0.00,-8.45,-0.04,31.8,0.32
4,Exit long,2025-04-28 08:00:00,Close entry(s) order Long,40350,1,20182.5,-9.4,-0.05,0,0.00,-8.45,-0.04,22.4,0.22
4,Entry long,2025-04-28 08:00:00,Long,40365,1,20182.5,-9.4,-0.05,0,0.00,-8.45,-0.04,22.4,0.22
5,Exit short,2025-04-28 10:00:00,Close entry(s) order Short,40155,1,20092.5,13.1,0.07,29.05,0.14,-0.95,0.00,35.5,0.36
5,Entry short,2025-04-28 09:00:00,Short,40185,1,20092.5,13.1,0.07,29.05,0.14,-0.95,0.00,35.5,0.36
6,Exit long,2025-04-28 16:00:00,Close entry(s) order Long,40350,1,20160,13.1,0.06,21.55,0.11,-0.95,0.00,48.6,0.49
6,Entry long,2025-04-28 12:00:00,Long,40320,1,20160,13.1,0.06,21.55,0.11,-0.95,0.00,48.6,0.49
7,Exit long,2025-04-29 08:00:00,Close entry(s) order Long,40620,1,20317.5,-9.4,-0.05,6.55,0.03,-8.45,-0.04,39.2,0.39
7,Entry long,2025-04-29 07:00:00,Long,40635,1,20317.5,-9.4,-0.05,6.55,0.03,-8.45,-0.04,39.2,0.39
8,Exit long,2025-04-29 12:00:00,Close entry(s) order Long,40695,1,20347.5,-1.9,-0.01,14.05,0.07,-0.95,0.00,37.3,0.37
8,Entry long,2025-04-29 10:00:00,Long,40695,1,20347.5,-1.9,-0.01,14.05,0.07,-0.95,0.00,37.3,0.37
9,Exit short,2025-04-30 07:00:00,Close entry(s) order Short,39930,1,20257.5,290.6,1.43,306.55,1.51,-0.95,0.00,327.9,3.28
9,Entry short,2025-04-30 05:00:00,Short,40515,1,20257.5,290.6,1.43,306.55,1.51,-0.95,0.00,327.9,3.28
10,Exit long,2025-04-30 11:00:00,Close entry(s) order Long,40485,1,20047.5,193.1,0.96,209.05,1.04,-0.95,0.00,521,5.21
10,Entry long,2025-04-30 07:00:00,Long,40095,1,20047.5,193.1,0.96,209.05,1.04,-0.95,0.00,521,5.21
11,Exit long,2025-04-30 23:00:00,Close entry(s) order Long,40980,1,20310,178.1,0.88,194.05,0.96,-0.95,0.00,699.1,6.99
11,Entry long,2025-04-30 12:00:00,Long,40620,1,20310,178.1,0.88,194.05,0.96,-0.95,0.00,699.1,6.99
12,Exit short,2025-05-01 07:00:00,Close entry(s) order Short,40950,1,20467.5,-9.4,-0.05,0,0.00,-8.45,-0.04,689.7,6.90
12,Entry short,2025-05-01 07:00:00,Short,40935,1,20467.5,-9.4,-0.05,0,0.00,-8.45,-0.04,689.7,6.90
13,Exit long,2025-05-01 08:00:00,Close entry(s) order Long,41130,1,20557.5,5.6,0.03,21.55,0.10,-0.95,0.00,695.3,6.95
13,Entry long,2025-05-01 07:00:00,Long,41115,1,20557.5,5.6,0.03,21.55,0.10,-0.95,0.00,695.3,6.95
14,Exit short,2025-05-01 10:00:00,Close entry(s) order Short,40950,1,20482.5,5.6,0.03,21.55,0.11,-0.95,0.00,700.9,7.01
14,Entry short,2025-05-01 09:00:00,Short,40965,1,20482.5,5.6,0.03,21.55,0.11,-0.95,0.00,700.9,7.01
15,Exit short,2025-05-01 17:00:00,Close entry(s) order Short,40845,1,20415,-9.4,-0.05,6.55,0.03,-8.45,-0.04,691.5,6.92
15,Entry short,2025-05-01 13:00:00,Short,40830,1,20415,-9.4,-0.05,6.55,0.03,-8.45,-0.04,691.5,6.92
16,Exit long,2025-05-01 23:00:00,Close entry(s) order Long,41175,1,20505,80.6,0.39,99.05,0.48,-0.95,0.00,772.1,7.72
16,Entry long,2025-05-01 17:00:00,Long,41010,1,20505,80.6,0.39,99.05,0.48,-0.95,0.00,772.1,7.72
17,Exit short,2025-05-02 02:00:00,Close entry(s) order Short,41025,1,20505,-9.4,-0.05,6.55,0.03,-8.45,-0.04,762.7,7.63
17,Entry short,2025-05-02 01:00:00,Short,41010,1,20505,-9.4,-0.05,6.55,0.03,-8.45,-0.04,762.7,7.63
18,Exit long,2025-05-02 06:00:00,Close entry(s) order Long,41280,1,20595,43.1,0.21,59.05,0.29,-0.95,0.00,805.8,8.06
18,Entry long,2025-05-02 05:00:00,Long,41190,1,20595,43.1,0.21,59.05,0.29,-0.95,0.00,805.8,8.06
19,Exit long,2025-05-02 10:00:00,Close entry(s) order Long,41445,1,20700,20.6,0.10,36.55,0.18,-0.95,0.00,826.4,8.26
19,Entry long,2025-05-02 09:00:00,Long,41400,1,20700,20.6,0.10,36.55,0.18,-0.95,0.00,826.4,8.26
20,Exit short,2025-05-04 23:00:00,Close entry(s) order Short,41145,1,20640,65.6,0.32,81.55,0.40,-0.95,0.00,892,8.92
20,Entry short,2025-05-04 16:00:00,Short,41280,1,20640,65.6,0.32,81.55,0.40,-0.95,0.00,892,8.92
21,Exit long,2025-05-05 12:00:00,Close entry(s) order Long,41475,1,20670,65.6,0.32,85.05,0.41,-0.95,0.00,957.6,9.58
21,Entry long,2025-05-05 07:00:00,Long,41340,1,20670,65.6,0.32,85.05,0.41,-0.95,0.00,957.6,9.58
22,Exit short,2025-05-05 23:00:00,Close entry(s) order Short,41265,1,20655,20.6,0.10,36.55,0.18,-0.95,0.00,978.2,9.78
22,Entry short,2025-05-05 18:00:00,Short,41310,1,20655,20.6,0.10,36.55,0.18,-0.95,0.00,978.2,9.78
23,Exit short,2025-05-06 03:00:00,Close entry(s) order Short,41115,1,20550,-9.4,-0.05,0,0.00,-8.45,-0.04,968.8,9.69
23,Entry short,2025-05-06 03:00:00,Short,41100,1,20550,-9.4,-0.05,0,0.00,-8.45,-0.04,968.8,9.69
24,Exit short,2025-05-06 07:00:00,Close entry(s) order Short,40965,1,20475,-9.4,-0.05,0,0.00,-8.45,-0.04,959.4,9.59
24,Entry short,2025-05-06 07:00:00,Short,40950,1,20475,-9.4,-0.05,0,0.00,-8.45,-0.04,959.4,9.59
25,Exit long,2025-05-06 08:00:00,Close entry(s) order Long,41115,1,20565,-9.4,-0.05,6.55,0.03,-8.45,-0.04,950,9.50
25,Entry long,2025-05-06 07:00:00,Long,41130,1,20565,-9.4,-0.05,6.55,0.03,-8.45,-0.04,950,9.50
26,Exit short,2025-05-06 11:00:00,Close entry(s) order Short,40920,1,20475,13.1,0.06,29.05,0.14,-0.95,0.00,963.1,9.63
26,Entry short,2025-05-06 10:00:00,Short,40950,1,20475,13.1,0.06,29.05,0.14,-0.95,0.00,963.1,9.63
27,Exit short,2025-05-06 15:00:00,Close entry(s) order Short,40860,1,20422.5,-9.4,-0.05,6.55,0.03,-8.45,-0.04,953.7,9.54
27,Entry short,2025-05-06 13:00:00,Short,40845,1,20422.5,-9.4,-0.05,6.55,0.03,-8.45,-0.04,953.7,9.54
28,Exit long,2025-05-06 19:00:00,Close entry(s) order Long,41190,1,20512.5,80.6,0.39,96.55,0.47,-0.95,0.00,1034.3,10.34
28,Entry long,2025-05-06 15:00:00,Long,41025,1,20512.5,80.6,0.39,96.55,0.47,-0.95,0.00,1034.3,10.34
29,Exit long,2025-05-07 10:00:00,Close entry(s) order Long,41265,1,20640,-9.4,-0.05,6.55,0.03,-8.45,-0.04,1024.9,10.25
29,Entry long,2025-05-07 09:00:00,Long,41280,1,20640,-9.4,-0.05,6.55,0.03,-8.45,-0.04,1024.9,10.25
30,Exit long,2025-05-07 23:00:00,Close entry(s) order Long,41415,1,20685,20.6,0.10,41.05,0.20,-0.95,0.00,1045.5,10.46
30,Entry long,2025-05-07 20:00:00,Long,41370,1,20685,20.6,0.10,41.05,0.20,-0.95,0.00,1045.5,10.46
31,Exit long,2025-05-08 04:00:00,Close entry(s) order Long,41565,1,20790,-9.4,-0.05,6.55,0.03,-8.45,-0.04,1036.1,10.36
31,Entry long,2025-05-08 03:00:00,Long,41580,1,20790,-9.4,-0.05,6.55,0.03,-8.45,-0.04,1036.1,10.36
32,Exit short,2025-05-08 08:00:00,Close entry(s) order Short,41340,1,20700,28.1,0.14,44.05,0.21,-0.95,0.00,1064.2,10.64
32,Entry short,2025-05-08 06:00:00,Short,41400,1,20700,28.1,0.14,44.05,0.21,-0.95,0.00,1064.2,10.64
33,Exit long,2025-05-08 10:00:00,Close entry(s) order Long,41820,1,20752.5,155.6,0.75,171.55,0.83,-0.95,0.00,1219.8,12.20
33,Entry long,2025-05-08 08:00:00,Long,41505,1,20752.5,155.6,0.75,171.55,0.83,-0.95,0.00,1219.8,12.20
34,Exit short,2025-05-08 11:00:00,Close entry(s) order Short,41685,1,20835,-9.4,-0.05,0,0.00,-8.45,-0.04,1210.4,12.10
34,Entry short,2025-05-08 11:00:00,Short,41670,1,20835,-9.4,-0.05,0,0.00,-8.45,-0.04,1210.4,12.10
35,Exit short,2025-05-08 18:00:00,Close entry(s) order Short,41415,1,20760,50.6,0.24,66.55,0.32,-0.95,0.00,1261,12.61
35,Entry short,2025-05-08 12:00:00,Short,41520,1,20760,50.6,0.24,66.55,0.32,-0.95,0.00,1261,12.61
36,Exit long,2025-05-12 04:00:00,Close entry(s) order Long,42345,1,20760,410.6,1.98,426.55,2.05,-0.95,0.00,1671.6,16.72
36,Entry long,2025-05-11 15:00:00,Long,41520,1,20760,410.6,1.98,426.55,2.05,-0.95,0.00,1671.6,16.72
37,Exit long,2025-05-12 15:00:00,Close entry(s) order Long,42495,1,21202.5,43.1,0.20,59.05,0.28,-0.95,0.00,1714.7,17.15
37,Entry long,2025-05-12 11:00:00,Long,42405,1,21202.5,43.1,0.20,59.05,0.28,-0.95,0.00,1714.7,17.15
38,Exit short,2025-05-15 01:00:00,Close entry(s) order Short,41880,1,20985,43.1,0.21,59.05,0.28,-0.95,0.00,1757.8,17.58
38,Entry short,2025-05-14 16:00:00,Short,41970,1,20985,43.1,0.21,59.05,0.28,-0.95,0.00,1757.8,17.58
39,Exit long,2025-05-15 11:00:00,Close entry(s) order Long,42300,1,21022.5,125.6,0.60,134.05,0.64,-0.95,0.00,1883.4,18.83
39,Entry long,2025-05-15 07:00:00,Long,42045,1,21022.5,125.6,0.60,134.05,0.64,-0.95,0.00,1883.4,18.83
40,Exit long,2025-05-16 13:00:00,Close entry(s) order Long,42705,1,21307.5,43.1,0.20,59.05,0.28,-0.95,0.00,1926.5,19.27
40,Entry long,2025-05-16 10:00:00,Long,42615,1,21307.5,43.1,0.20,59.05,0.28,-0.95,0.00,1926.5,19.27
41,Exit short,2025-05-19 03:00:00,Close entry(s) order Short,42390,1,21270,73.1,0.34,89.05,0.42,-0.95,0.00,1999.6,20.00
41,Entry short,2025-05-18 15:00:00,Short,42540,1,21270,73.1,0.34,89.05,0.42,-0.95,0.00,1999.6,20.00
42,Exit long,2025-05-19 18:00:00,Close entry(s) order Long,42900,1,21277.5,170.6,0.80,186.55,0.88,-0.95,0.00,2170.2,21.70
42,Entry long,2025-05-19 06:00:00,Long,42555,1,21277.5,170.6,0.80,186.55,0.88,-0.95,0.00,2170.2,21.70
43,Exit short,2025-05-21 17:00:00,Close entry(s) order Short,41910,1,21142.5,185.6,0.88,201.55,0.95,-0.95,0.00,2355.8,23.56
43,Entry short,2025-05-21 10:00:00,Short,42285,1,21142.5,185.6,0.88,201.55,0.95,-0.95,0.00,2355.8,23.56
44,Exit short,2025-05-22 05:00:00,Close entry(s) order Short,41775,1,20887.5,-1.9,-0.01,14.05,0.07,-0.95,0.00,2353.9,23.54
44,Entry short,2025-05-22 04:00:00,Short,41775,1,20887.5,-1.9,-0.01,14.05,0.07,-0.95,0.00,2353.9,23.54
45,Exit long,2025-05-22 07:00:00,Close entry(s) order Long,41910,1,20962.5,-9.4,-0.04,0,0.00,-8.45,-0.04,2344.5,23.45
45,Entry long,2025-05-22 07:00:00,Long,41925,1,20962.5,-9.4,-0.04,0,0.00,-8.45,-0.04,2344.5,23.45
46,Exit short,2025-05-23 06:00:00,Close entry(s) order Short,41415,1,20887.5,178.1,0.85,194.05,0.93,-0.95,0.00,2522.6,25.23
46,Entry short,2025-05-23 04:00:00,Short,41775,1,20887.5,178.1,0.85,194.05,0.93,-0.95,0.00,2522.6,25.23
47,Exit long,2025-05-23 12:00:00,Close entry(s) order Long,41760,1,20790,88.1,0.42,105.55,0.51,-0.95,0.00,2610.7,26.11
47,Entry long,2025-05-23 08:00:00,Long,41580,1,20790,88.1,0.42,105.55,0.51,-0.95,0.00,2610.7,26.11
48,Exit long,2025-05-25 23:00:00,Close entry(s) order Long,42045,1,20940,80.6,0.38,89.05,0.43,-0.95,0.00,2691.3,26.91
48,Entry long,2025-05-25 15:00:00,Long,41880,1,20940,80.6,0.38,89.05,0.43,-0.95,0.00,2691.3,26.91
49,Exit long,2025-05-27 04:00:00,Close entry(s) order Long,42210,1,21097.5,5.6,0.03,16.05,0.08,-0.95,0.00,2696.9,26.97
49,Entry long,2025-05-27 00:00:00,Long,42195,1,21097.5,5.6,0.03,16.05,0.08,-0.95,0.00,2696.9,26.97
50,Exit long,2025-05-27 18:00:00,Close entry(s) order Long,42435,1,21120,95.6,0.45,111.55,0.53,-0.95,0.00,2792.5,27.93
50,Entry long,2025-05-27 08:00:00,Long,42240,1,21120,95.6,0.45,111.55,0.53,-0.95,0.00,2792.5,27.93
51,Exit long,2025-05-28 23:00:00,Close entry(s) order Long,42705,1,21187.5,163.1,0.77,182.05,0.86,-0.95,0.00,2955.6,29.56
51,Entry long,2025-05-28 16:00:00,Long,42375,1,21187.5,163.1,0.77,182.05,0.86,-0.95,0.00,2955.6,29.56
52,Exit short,2025-05-29 09:00:00,Close entry(s) order Short,41985,1,21262.5,268.1,1.26,284.05,1.34,-0.95,0.00,3223.7,32.24
52,Entry short,2025-05-29 03:00:00,Short,42525,1,21262.5,268.1,1.26,284.05,1.34,-0.95,0.00,3223.7,32.24
53,Exit long,2025-05-29 15:00:00,Close entry(s) order Long,42240,1,21075,43.1,0.20,59.05,0.28,-0.95,0.00,3266.8,32.67
53,Entry long,2025-05-29 11:00:00,Long,42150,1,21075,43.1,0.20,59.05,0.28,-0.95,0.00,3266.8,32.67
54,Exit long,2025-06-01 15:00:00,Close entry(s) order Long,42255,1,21120,5.6,0.03,23.55,0.11,-0.95,0.00,3272.4,32.72
54,Entry long,2025-05-30 11:00:00,Long,42240,1,21120,5.6,0.03,23.55,0.11,-0.95,0.00,3272.4,32.72
55,Exit short,2025-06-02 01:00:00,Close entry(s) order Short,42105,1,21045,-9.4,-0.04,6.55,0.03,-8.45,-0.04,3263,32.63
55,Entry short,2025-06-02 00:00:00,Short,42090,1,21045,-9.4,-0.04,6.55,0.03,-8.45,-0.04,3263,32.63
56,Exit long,2025-06-02 16:00:00,Close entry(s) order Long,42345,1,21120,50.6,0.24,69.05,0.33,-0.95,0.00,3313.6,33.14
56,Entry long,2025-06-02 11:00:00,Long,42240,1,21120,50.6,0.24,69.05,0.33,-0.95,0.00,3313.6,33.14
57,Exit short,2025-06-03 02:00:00,Close entry(s) order Short,42195,1,21090,-9.4,-0.04,6.55,0.03,-8.45,-0.04,3304.2,33.04
57,Entry short,2025-06-03 00:00:00,Short,42180,1,21090,-9.4,-0.04,6.55,0.03,-8.45,-0.04,3304.2,33.04
58,Exit long,2025-06-03 19:00:00,Close entry(s) order Long,42585,1,21180,110.6,0.52,126.55,0.60,-0.95,0.00,3414.8,34.15
58,Entry long,2025-06-03 07:00:00,Long,42360,1,21180,110.6,0.52,126.55,0.60,-0.95,0.00,3414.8,34.15
59,Exit short,2025-06-05 07:00:00,Close entry(s) order Short,42360,1,21187.5,5.6,0.03,21.55,0.10,-0.95,0.00,3420.4,34.20
59,Entry short,2025-06-05 06:00:00,Short,42375,1,21187.5,5.6,0.03,21.55,0.10,-0.95,0.00,3420.4,34.20
60,Exit long,2025-06-05 09:00:00,Close entry(s) order Long,42600,1,21262.5,35.6,0.17,51.55,0.24,-0.95,0.00,3456,34.56
60,Entry long,2025-06-05 08:00:00,Long,42525,1,21262.5,35.6,0.17,51.55,0.24,-0.95,0.00,3456,34.56
