Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-04-21 12:00:00,Close entry(s) order Short,38070,1,19470,433.1,2.22,449.05,2.31,-0.95,0.00,433.1,4.33
1,Entry short,2025-04-21 06:00:00,Short,38940,1,19470,433.1,2.22,449.05,2.31,-0.95,0.00,433.1,4.33
2,Exit short,2025-04-22 05:00:00,Close entry(s) order Short,38640,1,19312.5,-9.4,-0.05,6.55,0.03,-13.95,-0.07,423.7,4.24
2,Entry short,2025-04-22 04:00:00,Short,38625,1,19312.5,-9.4,-0.05,6.55,0.03,-13.95,-0.07,423.7,4.24
3,Exit short,2025-04-22 11:00:00,Close entry(s) order Short,39000,1,19612.5,110.6,0.56,126.55,0.65,-0.95,0.00,534.3,5.34
3,Entry short,2025-04-22 10:00:00,Short,39225,1,19612.5,110.6,0.56,126.55,0.65,-0.95,0.00,534.3,5.34
4,Exit long,2025-04-23 04:00:00,Close entry(s) order Long,40080,1,19927.5,110.6,0.55,126.55,0.64,-0.95,0.00,644.9,6.45
4,Entry long,2025-04-23 00:00:00,Long,39855,1,19927.5,110.6,0.55,126.55,0.64,-0.95,0.00,644.9,6.45
5,Exit short,2025-04-23 15:00:00,Session End,39750,1,20160,283.1,1.40,284.05,1.41,-0.95,0.00,928,9.28
5,Entry short,2025-04-23 08:00:00,Short,40320,1,20160,283.1,1.40,284.05,1.41,-0.95,0.00,928,9.28
6,Exit long,2025-04-24 11:00:00,Close entry(s) order Long,40185,1,19830,260.6,1.31,269.05,1.36,-0.95,0.00,1188.6,11.89
6,Entry long,2025-04-24 06:00:00,Long,39660,1,19830,260.6,1.31,269.05,1.36,-0.95,0.00,1188.6,11.89
7,Exit short,2025-04-25 04:00:00,Close entry(s) order Short,40050,1,20130,103.1,0.51,119.05,0.59,-0.95,0.00,1291.7,12.92
7,Entry short,2025-04-25 03:00:00,Short,40260,1,20130,103.1,0.51,119.05,0.59,-0.95,0.00,1291.7,12.92
8,Exit long,2025-04-28 03:00:00,Close entry(s) order Long,40215,1,20085,20.6,0.10,36.55,0.18,-0.95,0.00,1312.3,13.12
8,Entry long,2025-04-28 01:00:00,Long,40170,1,20085,20.6,0.10,36.55,0.18,-0.95,0.00,1312.3,13.12
9,Exit long,2025-04-29 12:00:00,Close entry(s) order Long,40695,1,20287.5,58.1,0.29,74.05,0.36,-0.95,0.00,1370.4,13.70
9,Entry long,2025-04-29 10:00:00,Long,40575,1,20287.5,58.1,0.29,74.05,0.36,-0.95,0.00,1370.4,13.70
10,Exit long,2025-04-30 11:00:00,Close entry(s) order Long,40485,1,20002.5,238.1,1.19,254.05,1.27,-0.95,0.00,1608.5,16.09
10,Entry long,2025-04-30 07:00:00,Long,40005,1,20002.5,238.1,1.19,254.05,1.27,-0.95,0.00,1608.5,16.09
11,Exit long,2025-05-01 08:00:00,Close entry(s) order Long,41130,1,20505,58.1,0.28,74.05,0.36,-0.95,0.00,1666.6,16.67
11,Entry long,2025-05-01 07:00:00,Long,41010,1,20505,58.1,0.28,74.05,0.36,-0.95,0.00,1666.6,16.67
12,Exit short,2025-05-01 13:00:00,Session End,40860,1,20482.5,50.6,0.25,51.55,0.25,-0.95,0.00,1717.2,17.17
12,Entry short,2025-05-01 12:00:00,Short,40965,1,20482.5,50.6,0.25,51.55,0.25,-0.95,0.00,1717.2,17.17
13,Exit short,2025-05-02 02:00:00,Close entry(s) order Short,41025,1,20550,35.6,0.17,51.55,0.25,-0.95,0.00,1752.8,17.53
13,Entry short,2025-05-02 01:00:00,Short,41100,1,20550,35.6,0.17,51.55,0.25,-0.95,0.00,1752.8,17.53
14,Exit short,2025-05-02 07:00:00,Close entry(s) order Short,41235,1,20610,-9.4,-0.05,0,0.00,-8.45,-0.04,1743.4,17.43
14,Entry short,2025-05-02 07:00:00,Short,41220,1,20610,-9.4,-0.05,0,0.00,-8.45,-0.04,1743.4,17.43
15,Exit long,2025-05-05 12:00:00,Close entry(s) order Long,41475,1,20602.5,133.1,0.65,152.55,0.74,-0.95,0.00,1876.5,18.77
15,Entry long,2025-05-05 06:00:00,Long,41205,1,20602.5,133.1,0.65,152.55,0.74,-0.95,0.00,1876.5,18.77
16,Exit long,2025-05-06 08:00:00,Close entry(s) order Long,41115,1,20520,35.6,0.17,51.55,0.25,-0.95,0.00,1912.1,19.12
16,Entry long,2025-05-06 07:00:00,Long,41040,1,20520,35.6,0.17,51.55,0.25,-0.95,0.00,1912.1,19.12
17,Exit short,2025-05-06 13:00:00,Session End,40905,1,20482.5,28.1,0.14,29.05,0.14,-0.95,0.00,1940.2,19.40
17,Entry short,2025-05-06 12:00:00,Short,40965,1,20482.5,28.1,0.14,29.05,0.14,-0.95,0.00,1940.2,19.40
18,Exit short,2025-05-07 01:00:00,Close entry(s) order Short,41130,1,20557.5,-9.4,-0.05,6.55,0.03,-8.45,-0.04,1930.8,19.31
18,Entry short,2025-05-06 23:00:00,Short,41115,1,20557.5,-9.4,-0.05,6.55,0.03,-8.45,-0.04,1930.8,19.31
19,Exit long,2025-05-07 12:00:00,Close entry(s) order Long,41235,1,20610,5.6,0.03,21.55,0.10,-0.95,0.00,1936.4,19.36
