Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-04-21 16:00:00,Close entry(s) order Long,38310,1,19072.5,80.6,0.42,89.05,0.47,-0.95,0.00,80.6,0.81
1,Entry long,2025-04-21 12:00:00,Long,38145,1,19072.5,80.6,0.42,89.05,0.47,-0.95,0.00,80.6,0.81
2,Exit short,2025-04-22 05:00:00,Close entry(s) order Short,38640,1,19312.5,-9.4,-0.05,6.55,0.03,-13.95,-0.07,71.2,0.71
2,Entry short,2025-04-22 04:00:00,Short,38625,1,19312.5,-9.4,-0.05,6.55,0.03,-13.95,-0.07,71.2,0.71
3,Exit short,2025-04-22 11:00:00,Close entry(s) order Short,39000,1,19612.5,110.6,0.56,126.55,0.65,-0.95,0.00,181.8,1.82
3,Entry short,2025-04-22 10:00:00,Short,39225,1,19612.5,110.6,0.56,126.55,0.65,-0.95,0.00,181.8,1.82
4,Exit long,2025-04-23 04:00:00,Close entry(s) order Long,40080,1,19927.5,110.6,0.55,126.55,0.64,-0.95,0.00,292.4,2.92
4,Entry long,2025-04-23 00:00:00,Long,39855,1,19927.5,110.6,0.55,126.55,0.64,-0.95,0.00,292.4,2.92
5,Exit short,2025-04-23 15:00:00,Session End,39750,1,20160,283.1,1.40,284.05,1.41,-0.95,0.00,575.5,5.76
5,Entry short,2025-04-23 08:00:00,Short,40320,1,20160,283.1,1.40,284.05,1.41,-0.95,0.00,575.5,5.76
6,Exit short,2025-04-25 04:00:00,Close entry(s) order Short,40050,1,20130,103.1,0.51,119.05,0.59,-0.95,0.00,678.6,6.79
6,Entry short,2025-04-25 03:00:00,Short,40260,1,20130,103.1,0.51,119.05,0.59,-0.95,0.00,678.6,6.79
7,Exit long,2025-04-28 03:00:00,Close entry(s) order Long,40215,1,20085,20.6,0.10,36.55,0.18,-0.95,0.00,699.2,6.99
7,Entry long,2025-04-28 01:00:00,Long,40170,1,20085,20.6,0.10,36.55,0.18,-0.95,0.00,699.2,6.99
8,Exit long,2025-04-30 05:00:00,Close entry(s) order Long,40680,1,20325,13.1,0.06,29.05,0.14,-6.95,-0.03,712.3,7.12
8,Entry long,2025-04-30 00:00:00,Long,40650,1,20325,13.1,0.06,29.05,0.14,-6.95,-0.03,712.3,7.12
9,Exit long,2025-04-30 11:00:00,Close entry(s) order Long,40485,1,20002.5,238.1,1.19,254.05,1.27,-0.95,0.00,950.4,9.50
9,Entry long,2025-04-30 07:00:00,Long,40005,1,20002.5,238.1,1.19,254.05,1.27,-0.95,0.00,950.4,9.50
10,Exit long,2025-05-01 08:00:00,Close entry(s) order Long,41130,1,20505,58.1,0.28,74.05,0.36,-0.95,0.00,1008.5,10.08
10,Entry long,2025-05-01 07:00:00,Long,41010,1,20505,58.1,0.28,74.05,0.36,-0.95,0.00,1008.5,10.08
11,Exit short,2025-05-02 02:00:00,Close entry(s) order Short,41025,1,20550,35.6,0.17,51.55,0.25,-0.95,0.00,1044.1,10.44
11,Entry short,2025-05-02 01:00:00,Short,41100,1,20550,35.6,0.17,51.55,0.25,-0.95,0.00,1044.1,10.44
12,Exit short,2025-05-02 07:00:00,Close entry(s) order Short,41235,1,20610,-9.4,-0.05,0,0.00,-8.45,-0.04,1034.7,10.35
12,Entry short,2025-05-02 07:00:00,Short,41220,1,20610,-9.4,-0.05,0,0.00,-8.45,-0.04,1034.7,10.35
