Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2023-01-23 08:00:00,Close entry(s) order Long,1.0904,1000,1087.2,3.1,0.29,3.95,0.36,-0.05,0.00,3.1,0.31
1,Entry long,2023-01-23 00:00:00,Long,1.0872,1000,1087.2,3.1,0.29,3.95,0.36,-0.05,0.00,3.1,0.31
2,Exit short,2023-01-24 00:00:00,Close entry(s) order Short,1.0868,1000,1087.6,0.7,0.06,1.63,0.15,-0.05,0.00,3.8,0.38
2,Entry short,2023-01-23 12:00:00,Short,1.0876,1000,1087.6,0.7,0.06,1.63,0.15,-0.05,0.00,3.8,0.38
3,Exit long,2023-01-24 08:00:00,Close entry(s) order Long,1.088,1000,1088.4,-0.5,-0.05,0.44,0.04,-0.45,-0.04,3.3,0.33
3,Entry long,2023-01-24 08:00:00,Long,1.0884,1000,1088.4,-0.5,-0.05,0.44,0.04,-0.45,-0.04,3.3,0.33
4,Exit short,2023-01-24 15:00:00,Close entry(s) order Short,1.0852,1000,1084.8,-0.5,-0.05,0,0.00,-0.45,-0.04,2.8,0.28
4,Entry short,2023-01-24 15:00:00,Short,1.0848,1000,1084.8,-0.5,-0.05,0,0.00,-0.45,-0.04,2.8,0.28
5,Exit long,2023-01-25 07:00:00,Close entry(s) order Long,1.0896,1000,1088.8,0.7,0.06,1.55,0.14,-0.05,0.00,3.5,0.35
5,Entry long,2023-01-25 01:00:00,Long,1.0888,1000,1088.8,0.7,0.06,1.55,0.14,-0.05,0.00,3.5,0.35
6,Exit short,2023-01-25 14:00:00,Close entry(s) order Short,1.0876,1000,1087.6,-0.1,-0.01,1.09,0.10,-0.05,0.00,3.4,0.34
6,Entry short,2023-01-25 10:00:00,Short,1.0876,1000,1087.6,-0.1,-0.01,1.09,0.10,-0.05,0.00,3.4,0.34
7,Exit long,2023-01-26 09:00:00,Close entry(s) order Long,1.0912,1000,1090.4,0.7,0.06,1.59,0.15,-0.05,0.00,4.1,0.41
7,Entry long,2023-01-25 18:00:00,Long,1.0904,1000,1090.4,0.7,0.06,1.59,0.15,-0.05,0.00,4.1,0.41
8,Exit short,2023-01-26 18:00:00,Close entry(s) order Short,1.0864,1000,1088.8,2.3,0.21,3.15,0.29,-0.05,0.00,6.4,0.64
8,Entry short,2023-01-26 15:00:00,Short,1.0888,1000,1088.8,2.3,0.21,3.15,0.29,-0.05,0.00,6.4,0.64
9,Exit long,2023-01-27 02:00:00,Close entry(s) order Long,1.0888,1000,1087.2,1.5,0.14,2.35,0.22,-0.05,0.00,7.9,0.79
9,Entry long,2023-01-26 18:00:00,Long,1.0872,1000,1087.2,1.5,0.14,2.35,0.22,-0.05,0.00,7.9,0.79
10,Exit short,2023-01-27 08:00:00,Close entry(s) order Short,1.0876,1000,1087.6,-0.1,-0.01,0.75,0.07,-0.05,0.00,7.8,0.78
10,Entry short,2023-01-27 04:00:00,Short,1.0876,1000,1087.6,-0.1,-0.01,0.75,0.07,-0.05,0.00,7.8,0.78
11,Exit short,2023-01-27 16:00:00,Close entry(s) order Short,1.0848,1000,1086.8,1.9,0.17,2.75,0.25,-0.05,0.00,9.7,0.97
11,Entry short,2023-01-27 13:00:00,Short,1.0868,1000,1086.8,1.9,0.17,2.75,0.25,-0.05,0.00,9.7,0.97
12,Exit long,2023-01-30 06:00:00,Close entry(s) order Long,1.0868,1000,1085.6,1.1,0.10,1.95,0.18,-0.05,0.00,10.8,1.08
12,Entry long,2023-01-27 17:00:00,Long,1.0856,1000,1085.6,1.1,0.10,1.95,0.18,-0.05,0.00,10.8,1.08
13,Exit long,2023-01-30 13:00:00,Close entry(s) order Long,1.09,1000,1087.6,2.3,0.21,3.15,0.29,-0.05,0.00,13.1,1.31
13,Entry long,2023-01-30 08:00:00,Long,1.0876,1000,1087.6,2.3,0.21,3.15,0.29,-0.05,0.00,13.1,1.31
14,Exit short,2023-01-31 03:00:00,Close entry(s) order Short,1.0852,1000,1089.2,3.9,0.36,4.57,0.42,-0.05,0.00,17,1.70
14,Entry short,2023-01-30 13:00:00,Short,1.0892,1000,1089.2,3.9,0.36,4.57,0.42,-0.05,0.00,17,1.70
15,Exit short,2023-01-31 09:00:00,Close entry(s) order Short,1.0812,1000,1082.8,1.5,0.14,2.35,0.22,-0.05,0.00,18.5,1.85
15,Entry short,2023-01-31 08:00:00,Short,1.0828,1000,1082.8,1.5,0.14,2.35,0.22,-0.05,0.00,18.5,1.85
16,Exit long,2023-02-01 01:00:00,Close entry(s) order Long,1.0864,1000,1082.4,3.9,0.36,4.75,0.44,-0.17,-0.02,22.4,2.24
16,Entry long,2023-01-31 09:00:00,Long,1.0824,1000,1082.4,3.9,0.36,4.75,0.44,-0.17,-0.02,22.4,2.24
17,Exit long,2023-02-01 18:00:00,Close entry(s) order Long,1.0912,1000,1088,3.1,0.28,3.61,0.33,-0.05,0.00,25.5,2.55
17,Entry long,2023-02-01 08:00:00,Long,1.088,1000,1088,3.1,0.28,3.61,0.33,-0.05,0.00,25.5,2.55
18,Exit long,2023-02-02 06:00:00,Close entry(s) order Long,1.1012,1000,1092.4,8.7,0.80,9.55,0.87,-0.05,0.00,34.2,3.42
18,Entry long,2023-02-01 19:00:00,Long,1.0924,1000,1092.4,8.7,0.80,9.55,0.87,-0.05,0.00,34.2,3.42
19,Exit short,2023-02-02 11:00:00,Close entry(s) order Short,1.0992,1000,1098.8,-0.5,-0.05,0.35,0.03,-0.45,-0.04,33.7,3.37
19,Entry short,2023-02-02 10:00:00,Short,1.0988,1000,1098.8,-0.5,-0.05,0.35,0.03,-0.45,-0.04,33.7,3.37
