Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2023-01-23 10:00:00,Close entry(s) order Short,1.0904,1000,1090.4,-0.1,-0.01,0.35,0.03,-0.45,-0.04,-0.1,-0.01
1,Entry short,2023-01-23 08:00:00,Short,1.0904,1000,1090.4,-0.1,-0.01,0.35,0.03,-0.45,-0.04,-0.1,-0.01
2,Exit long,2023-01-24 08:00:00,Close entry(s) order Long,1.088,1000,1086.8,1.1,0.10,2.04,0.19,-0.05,0.00,1,0.10
2,Entry long,2023-01-24 00:00:00,Long,1.0868,1000,1086.8,1.1,0.10,2.04,0.19,-0.05,0.00,1,0.10
3,Exit long,2023-01-25 07:00:00,Close entry(s) order Long,1.0896,1000,1085.2,4.3,0.40,5.15,0.47,-0.05,0.00,5.3,0.53
3,Entry long,2023-01-24 15:00:00,Long,1.0852,1000,1085.2,4.3,0.40,5.15,0.47,-0.05,0.00,5.3,0.53
4,Exit short,2023-01-25 14:00:00,Close entry(s) order Short,1.0876,1000,1089.6,1.9,0.17,3.09,0.28,-0.05,0.00,7.2,0.72
4,Entry short,2023-01-25 07:00:00,Short,1.0896,1000,1089.6,1.9,0.17,3.09,0.28,-0.05,0.00,7.2,0.72
5,Exit short,2023-01-26 12:00:00,Close entry(s) order Short,1.09,1000,1091.2,1.1,0.10,1.55,0.14,-0.05,0.00,8.3,0.83
5,Entry short,2023-01-26 09:00:00,Short,1.0912,1000,1091.2,1.1,0.10,1.55,0.14,-0.05,0.00,8.3,0.83
6,Exit long,2023-01-27 02:00:00,Close entry(s) order Long,1.0888,1000,1086.4,2.3,0.21,3.15,0.29,-0.05,0.00,10.6,1.06
6,Entry long,2023-01-26 18:00:00,Long,1.0864,1000,1086.4,2.3,0.21,3.15,0.29,-0.05,0.00,10.6,1.06
7,Exit long,2023-01-27 12:00:00,Close entry(s) order Long,1.088,1000,1087.6,0.3,0.03,1.3,0.12,-0.05,0.00,10.9,1.09
7,Entry long,2023-01-27 08:00:00,Long,1.0876,1000,1087.6,0.3,0.03,1.3,0.12,-0.05,0.00,10.9,1.09
8,Exit long,2023-01-30 06:00:00,Close entry(s) order Long,1.0868,1000,1084.8,1.9,0.18,2.75,0.25,-0.05,0.00,12.8,1.28
8,Entry long,2023-01-27 16:00:00,Long,1.0848,1000,1084.8,1.9,0.18,2.75,0.25,-0.05,0.00,12.8,1.28
9,Exit long,2023-01-30 13:00:00,Close entry(s) order Long,1.09,1000,1086.8,3.1,0.29,3.95,0.36,-0.05,0.00,15.9,1.59
9,Entry long,2023-01-30 08:00:00,Long,1.0868,1000,1086.8,3.1,0.29,3.95,0.36,-0.05,0.00,15.9,1.59
10,Exit short,2023-01-31 03:00:00,Close entry(s) order Short,1.0852,1000,1090,4.7,0.43,5.37,0.49,-0.05,0.00,20.6,2.06
10,Entry short,2023-01-30 13:00:00,Short,1.09,1000,1090,4.7,0.43,5.37,0.49,-0.05,0.00,20.6,2.06
11,Exit long,2023-01-31 05:00:00,Close entry(s) order Long,1.0848,1000,1085.2,-0.5,-0.05,0,0.00,-0.45,-0.04,20.1,2.01
11,Entry long,2023-01-31 03:00:00,Long,1.0852,1000,1085.2,-0.5,-0.05,0,0.00,-0.45,-0.04,20.1,2.01
12,Exit long,2023-02-01 01:00:00,Close entry(s) order Long,1.0864,1000,1081.2,5.1,0.47,5.95,0.55,-0.05,0.00,25.2,2.52
12,Entry long,2023-01-31 09:00:00,Long,1.0812,1000,1081.2,5.1,0.47,5.95,0.55,-0.05,0.00,25.2,2.52
13,Exit short,2023-02-01 05:00:00,Close entry(s) order Short,1.0864,1000,1086.4,-0.1,-0.01,0.75,0.07,-0.05,0.00,25.1,2.51
13,Entry short,2023-02-01 01:00:00,Short,1.0864,1000,1086.4,-0.1,-0.01,0.75,0.07,-0.05,0.00,25.1,2.51
14,Exit short,2023-02-01 19:00:00,Close entry(s) order Short,1.0916,1000,1091.2,-0.5,-0.05,0,0.00,-0.45,-0.04,24.6,2.46
14,Entry short,2023-02-01 18:00:00,Short,1.0912,1000,1091.2,-0.5,-0.05,0,0.00,-0.45,-0.04,24.6,2.46
15,Exit short,2023-02-02 10:00:00,Close entry(s) order Short,1.1,1000,1101.2,1.1,0.10,1.55,0.14,-0.05,0.00,25.7,2.57
15,Entry short,2023-02-02 06:00:00,Short,1.1012,1000,1101.2,1.1,0.10,1.55,0.14,-0.05,0.00,25.7,2.57
16,Exit long,2023-02-02 13:00:00,Close entry(s) order Long,1.0988,1000,1099.2,-0.5,-0.05,0.35,0.03,-0.45,-0.04,25.2,2.52
16,Entry long,2023-02-02 11:00:00,Long,1.0992,1000,1099.2,-0.5,-0.05,0.35,0.03,-0.45,-0.04,25.2,2.52
17,Exit long,2023-02-02 16:00:00,Close entry(s) order Long,1.0928,1000,1091.6,1.1,0.10,1.95,0.18,-0.05,0.00,26.3,2.63
17,Entry long,2023-02-02 15:00:00,Long,1.0916,1000,1091.6,1.1,0.10,1.95,0.18,-0.05,0.00,26.3,2.63
18,Exit long,2023-02-03 13:00:00,Close entry(s) order Long,1.0924,1000,1090,2.3,0.21,3.23,0.30,-0.05,0.00,28.6,2.86
18,Entry long,2023-02-03 09:00:00,Long,1.09,1000,1090,2.3,0.21,3.23,0.30,-0.05,0.00,28.6,2.86
19,Exit long,2023-02-03 16:00:00,Close entry(s) order Long,1.0856,1000,1084.8,0.7,0.06,1.55,0.14,-0.05,0.00,29.3,2.93
19,Entry long,2023-02-03 14:00:00,Long,1.0848,1000,1084.8,0.7,0.06,1.55,0.14,-0.05,0.00,29.3,2.93
20,Exit long,2023-02-06 07:00:00,Close entry(s) order Long,1.0788,1000,1079.2,-0.5,-0.05,0.42,0.04,-0.45,-0.04,28.8,2.88
20,Entry long,2023-02-06 06:00:00,Long,1.0792,1000,1079.2,-0.5,-0.05,0.42,0.04,-0.45,-0.04,28.8,2.88
21,Exit long,2023-02-07 07:00:00,Close entry(s) order Long,1.0732,1000,1072.4,0.7,0.07,1.65,0.15,-0.05,0.00,29.5,2.95
21,Entry long,2023-02-06 20:00:00,Long,1.0724,1000,1072.4,0.7,0.07,1.65,0.15,-0.05,0.00,29.5,2.95
22,Exit long,2023-02-07 18:00:00,Close entry(s) order Long,1.0752,1000,1069.2,5.9,0.55,6.75,0.63,-0.05,0.00,35.4,3.54
22,Entry long,2023-02-07 16:00:00,Long,1.0692,1000,1069.2,5.9,0.55,6.75,0.63,-0.05,0.00,35.4,3.54
23,Exit short,2023-02-07 19:00:00,Close entry(s) order Short,1.0712,1000,1075.2,3.9,0.36,4.75,0.44,-0.05,0.00,39.3,3.93
23,Entry short,2023-02-07 18:00:00,Short,1.0752,1000,1075.2,3.9,0.36,4.75,0.44,-0.05,0.00,39.3,3.93
24,Exit long,2023-02-08 11:00:00,Close entry(s) order Long,1.0748,1000,1071.2,3.5,0.33,4.35,0.41,-0.05,0.00,42.8,4.28
24,Entry long,2023-02-07 19:00:00,Long,1.0712,1000,1071.2,3.5,0.33,4.35,0.41,-0.05,0.00,42.8,4.28
25,Exit short,2023-02-09 02:00:00,Close entry(s) order Short,1.0724,1000,1074.8,2.3,0.21,3.48,0.32,-0.05,0.00,45.1,4.51
25,Entry short,2023-02-08 11:00:00,Short,1.0748,1000,1074.8,2.3,0.21,3.48,0.32,-0.05,0.00,45.1,4.51
26,Exit short,2023-02-09 13:00:00,Close entry(s) order Short,1.0772,1000,1076.8,-0.5,-0.05,0.35,0.03,-0.45,-0.04,44.6,4.46
