Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2023-01-23 08:00:00,Close entry(s) order Long,1.0904,1000,1087.2,3.1,0.29,3.95,0.36,-0.05,0.00,3.1,0.31
1,Entry long,2023-01-23 00:00:00,Long,1.0872,1000,1087.2,3.1,0.29,3.95,0.36,-0.05,0.00,3.1,0.31
2,Exit short,2023-01-23 10:00:00,Close entry(s) order Short,1.0904,1000,1090.4,-0.1,-0.01,0.35,0.03,-0.45,-0.04,3,0.30
2,Entry short,2023-01-23 08:00:00,Short,1.0904,1000,1090.4,-0.1,-0.01,0.35,0.03,-0.45,-0.04,3,0.30
3,Exit short,2023-01-24 00:00:00,Close entry(s) order Short,1.0868,1000,1089.2,2.3,0.21,3.23,0.30,-0.05,0.00,5.3,0.53
3,Entry short,2023-01-23 11:00:00,Short,1.0892,1000,1089.2,2.3,0.21,3.23,0.30,-0.05,0.00,5.3,0.53
4,Exit long,2023-01-24 08:00:00,Close entry(s) order Long,1.088,1000,1086.8,1.1,0.10,2.04,0.19,-0.05,0.00,6.4,0.64
4,Entry long,2023-01-24 00:00:00,Long,1.0868,1000,1086.8,1.1,0.10,2.04,0.19,-0.05,0.00,6.4,0.64
5,Exit short,2023-01-24 15:00:00,Close entry(s) order Short,1.0852,1000,1088,2.7,0.25,3.55,0.33,-0.05,0.00,9.1,0.91
5,Entry short,2023-01-24 08:00:00,Short,1.088,1000,1088,2.7,0.25,3.55,0.33,-0.05,0.00,9.1,0.91
6,Exit long,2023-01-25 07:00:00,Close entry(s) order Long,1.0896,1000,1085.2,4.3,0.40,5.15,0.47,-0.05,0.00,13.4,1.34
6,Entry long,2023-01-24 15:00:00,Long,1.0852,1000,1085.2,4.3,0.40,5.15,0.47,-0.05,0.00,13.4,1.34
7,Exit short,2023-01-25 14:00:00,Close entry(s) order Short,1.0876,1000,1089.6,1.9,0.17,3.09,0.28,-0.05,0.00,15.3,1.53
7,Entry short,2023-01-25 07:00:00,Short,1.0896,1000,1089.6,1.9,0.17,3.09,0.28,-0.05,0.00,15.3,1.53
8,Exit long,2023-01-26 09:00:00,Close entry(s) order Long,1.0912,1000,1087.6,3.5,0.32,4.39,0.40,-0.05,0.00,18.8,1.88
8,Entry long,2023-01-25 14:00:00,Long,1.0876,1000,1087.6,3.5,0.32,4.39,0.40,-0.05,0.00,18.8,1.88
9,Exit short,2023-01-26 12:00:00,Close entry(s) order Short,1.09,1000,1091.2,1.1,0.10,1.55,0.14,-0.05,0.00,19.9,1.99
9,Entry short,2023-01-26 09:00:00,Short,1.0912,1000,1091.2,1.1,0.10,1.55,0.14,-0.05,0.00,19.9,1.99
10,Exit long,2023-01-26 14:00:00,Close entry(s) order Long,1.0896,1000,1090,-0.5,-0.05,0,0.00,-0.45,-0.04,19.4,1.94
10,Entry long,2023-01-26 12:00:00,Long,1.09,1000,1090,-0.5,-0.05,0,0.00,-0.45,-0.04,19.4,1.94
11,Exit short,2023-01-26 18:00:00,Close entry(s) order Short,1.0864,1000,1088.8,2.3,0.21,3.15,0.29,-0.05,0.00,21.7,2.17
11,Entry short,2023-01-26 15:00:00,Short,1.0888,1000,1088.8,2.3,0.21,3.15,0.29,-0.05,0.00,21.7,2.17
12,Exit long,2023-01-27 02:00:00,Close entry(s) order Long,1.0888,1000,1086.4,2.3,0.21,3.15,0.29,-0.05,0.00,24,2.40
12,Entry long,2023-01-26 18:00:00,Long,1.0864,1000,1086.4,2.3,0.21,3.15,0.29,-0.05,0.00,24,2.40
13,Exit short,2023-01-27 08:00:00,Close entry(s) order Short,1.0876,1000,1088.8,1.1,0.10,1.95,0.18,-0.05,0.00,25.1,2.51
13,Entry short,2023-01-27 02:00:00,Short,1.0888,1000,1088.8,1.1,0.10,1.95,0.18,-0.05,0.00,25.1,2.51
14,Exit long,2023-01-27 12:00:00,Close entry(s) order Long,1.088,1000,1087.6,0.3,0.03,1.3,0.12,-0.05,0.00,25.4,2.54
14,Entry long,2023-01-27 08:00:00,Long,1.0876,1000,1087.6,0.3,0.03,1.3,0.12,-0.05,0.00,25.4,2.54
15,Exit short,2023-01-27 16:00:00,Close entry(s) order Short,1.0848,1000,1088,3.1,0.28,3.95,0.36,-0.05,0.00,28.5,2.85
15,Entry short,2023-01-27 12:00:00,Short,1.088,1000,1088,3.1,0.28,3.95,0.36,-0.05,0.00,28.5,2.85
16,Exit long,2023-01-30 06:00:00,Close entry(s) order Long,1.0868,1000,1084.8,1.9,0.18,2.75,0.25,-0.05,0.00,30.4,3.04
16,Entry long,2023-01-27 16:00:00,Long,1.0848,1000,1084.8,1.9,0.18,2.75,0.25,-0.05,0.00,30.4,3.04
17,Exit short,2023-01-30 08:00:00,Close entry(s) order Short,1.0868,1000,1086.8,-0.1,-0.01,0.75,0.07,-0.05,0.00,30.3,3.03
17,Entry short,2023-01-30 06:00:00,Short,1.0868,1000,1086.8,-0.1,-0.01,0.75,0.07,-0.05,0.00,30.3,3.03
18,Exit long,2023-01-30 13:00:00,Close entry(s) order Long,1.09,1000,1086.8,3.1,0.29,3.95,0.36,-0.05,0.00,33.4,3.34
18,Entry long,2023-01-30 08:00:00,Long,1.0868,1000,1086.8,3.1,0.29,3.95,0.36,-0.05,0.00,33.4,3.34
19,Exit short,2023-01-31 03:00:00,Close entry(s) order Short,1.0852,1000,1090,4.7,0.43,5.37,0.49,-0.05,0.00,38.1,3.81
19,Entry short,2023-01-30 13:00:00,Short,1.09,1000,1090,4.7,0.43,5.37,0.49,-0.05,0.00,38.1,3.81
