Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2023-02-23 01:00:00,[ExitS 5A:35 bA:35 R:33 V:1.86 B:0.17 M:- ST:D CH:16 CF:- MI:46 SK:20 PS:D SQ:0],1.0612,1000,1062,0.7,0.07,1.66,0.16,-0.05,0.00,0.7,0.07
1,Entry short,2023-02-22 19:00:00,[R001S 5A:28 bA:27 R:31 V:0.87 B:-0.01 M:- ST:D CH:34 CF:- MI:47 SK:0 PS:D SQ:0],1.062,1000,1062,0.7,0.07,1.66,0.16,-0.05,0.00,0.7,0.07
2,Exit short,2023-02-27 01:00:00,[ExitS 5A:41 bA:41 R:29 V:3.2 B:0.18 M:- ST:D CH:5 CF:- MI:24 SK:16 PS:D SQ:0],1.0552,1000,1056.4,1.1,0.10,1.97,0.19,-0.05,0.00,1.81,0.18
2,Entry short,2023-02-24 13:00:00,[R001S 5A:31 bA:31 R:26 V:0.94 B:-0.01 M:- ST:D CH:21 CF:- MI:29 SK:0 PS:D SQ:0],1.0564,1000,1056.4,1.1,0.10,1.97,0.19,-0.05,0.00,1.81,0.18
3,Exit long,2023-02-28 15:00:00,[ExitL 5A:40 bA:40 R:68 V:0.48 B:0.83 M:+ ST:U CH:20 CF:+ MI:84 SK:83 PS:U SQ:0],1.0624,1000,1062,0.3,0.03,1.15,0.11,-0.05,0.00,2.11,0.21
3,Entry long,2023-02-28 13:00:00,[R001L 5A:35 bA:35 R:73 V:0.98 B:0.98 M:+ ST:U CH:34 CF:+ MI:85 SK:100 PS:U SQ:0],1.062,1000,1062,0.3,0.03,1.15,0.11,-0.05,0.00,2.11,0.21
4,Exit short,2023-03-01 01:00:00,[ExitS 5A:31 bA:31 R:37 V:0.59 B:0.18 M:- ST:D CH:5 CF:- MI:5 SK:15 PS:D SQ:0],1.058,1000,1062.4,4.3,0.40,5.15,0.48,-0.05,0.00,6.41,0.64
4,Entry short,2023-02-28 15:00:00,[R002S 5A:40 bA:40 R:68 V:0.48 B:0.83 M:+ ST:U CH:20 CF:+ MI:84 SK:83 PS:U SQ:0],1.0624,1000,1062.4,4.3,0.40,5.15,0.48,-0.05,0.00,6.41,0.64
5,Exit short,2023-03-01 20:00:00,[ExitS 5A:44 bA:44 R:58 V:0.79 B:0.44 M:- ST:D CH:29 CF:- MI:30 SK:25 PS:D SQ:0],1.066,1000,1067.6,1.5,0.14,2.35,0.22,-0.05,0.00,7.91,0.79
5,Entry short,2023-03-01 13:00:00,[R002S 5A:56 bA:56 R:78 V:1.42 B:0.8 M:+ ST:U CH:9 CF:+ MI:90 SK:85 PS:U SQ:0],1.0676,1000,1067.6,1.5,0.14,2.35,0.22,-0.05,0.00,7.91,0.79
6,Exit long,2023-03-02 01:00:00,[ExitL 5A:39 bA:39 R:55 V:0.81 B:0.34 M:- ST:D CH:32 CF:- MI:26 SK:25 PS:D SQ:0],1.066,1000,1066,-0.1,-0.01,0.9,0.08,-0.05,0.00,7.81,0.78
6,Entry long,2023-03-01 20:00:00,[R002L 5A:44 bA:44 R:58 V:0.79 B:0.44 M:- ST:D CH:29 CF:- MI:30 SK:25 PS:D SQ:0],1.066,1000,1066,-0.1,-0.01,0.9,0.08,-0.05,0.00,7.81,0.78
