Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2023-02-22 12:00:00,Close entry(s) order Short,1.0636,1000,1063.2,-0.5,-0.05,0.35,0.03,-0.45,-0.04,-0.5,-0.05
1,Entry short,2023-02-22 10:00:00,[R001S 5A:26 bA:25 R:31 V:0.4 B:0.07 M:- ST:D],1.0632,1000,1063.2,-0.5,-0.05,0.35,0.03,-0.45,-0.04,-0.5,-0.05
2,Exit long,2023-02-22 15:00:00,Close entry(s) order Long,1.064,1000,1063.6,0.3,0.03,1.15,0.11,-0.05,0.00,-0.2,-0.02
2,Entry long,2023-02-22 12:00:00,[R002L 5A:28 bA:27 R:37 V:0.87 B:0.22 M:- ST:D],1.0636,1000,1063.6,0.3,0.03,1.15,0.11,-0.05,0.00,-0.2,-0.02
3,Exit long,2023-02-23 08:00:00,Close entry(s) order Long,1.0616,1000,1061.2,0.3,0.03,1.15,0.11,-0.05,0.00,0.11,0.01
3,Entry long,2023-02-23 01:00:00,[R002L 5A:35 bA:35 R:33 V:1.86 B:0.17 M:- ST:D],1.0612,1000,1061.2,0.3,0.03,1.15,0.11,-0.05,0.00,0.11,0.01
4,Exit long,2023-02-23 15:00:00,Close entry(s) order Long,1.0604,1000,1060,0.3,0.03,1.15,0.11,-0.05,0.00,0.41,0.04
4,Entry long,2023-02-23 11:00:00,[R002L 5A:36 bA:36 R:36 V:1.25 B:0.21 M:- ST:D],1.06,1000,1060,0.3,0.03,1.15,0.11,-0.05,0.00,0.41,0.04
5,Exit short,2023-02-23 20:00:00,Close entry(s) order Short,1.0592,1000,1058.8,-0.5,-0.05,0.35,0.03,-0.45,-0.04,-0.09,-0.01
5,Entry short,2023-02-23 16:00:00,[R001S 5A:32 bA:32 R:32 V:0.38 B:0.05 M:- ST:D],1.0588,1000,1058.8,-0.5,-0.05,0.35,0.03,-0.45,-0.04,-0.09,-0.01
6,Exit long,2023-02-24 07:00:00,Close entry(s) order Long,1.0596,1000,1059.2,0.3,0.03,1.15,0.11,-0.05,0.00,0.21,0.02
6,Entry long,2023-02-23 20:00:00,[R002L 5A:33 bA:33 R:38 V:2.42 B:0.25 M:- ST:D],1.0592,1000,1059.2,0.3,0.03,1.15,0.11,-0.05,0.00,0.21,0.02
7,Exit long,2023-02-27 05:00:00,Close entry(s) order Long,1.0548,1000,1055.2,-0.5,-0.05,0.35,0.03,-0.45,-0.04,-0.28,-0.03
7,Entry long,2023-02-27 01:00:00,[R002L 5A:41 bA:41 R:29 V:3.2 B:0.18 M:- ST:D],1.0552,1000,1055.2,-0.5,-0.05,0.35,0.03,-0.45,-0.04,-0.28,-0.03
8,Exit long,2023-02-28 01:00:00,Close entry(s) order Long,1.06,1000,1056.8,3.1,0.29,4.13,0.39,-0.05,0.00,2.82,0.28
8,Entry long,2023-02-27 13:00:00,[R001L 5A:34 bA:34 R:52 V:0.71 B:0.8 M:+ ST:U],1.0568,1000,1056.8,3.1,0.29,4.13,0.39,-0.05,0.00,2.82,0.28
9,Exit short,2023-02-28 08:00:00,Close entry(s) order Short,1.0596,1000,1060,0.3,0.03,1.49,0.14,-0.05,0.00,3.12,0.31
9,Entry short,2023-02-28 01:00:00,[R002S 5A:36 bA:36 R:66 V:0.51 B:0.8 M:+ ST:U],1.06,1000,1060,0.3,0.03,1.49,0.14,-0.05,0.00,3.12,0.31
10,Exit short,2023-03-01 01:00:00,Close entry(s) order Short,1.058,1000,1062.4,4.3,0.40,5.15,0.48,-0.05,0.00,7.42,0.74
10,Entry short,2023-02-28 15:00:00,[R002S 5A:40 bA:40 R:68 V:0.48 B:0.83 M:+ ST:U],1.0624,1000,1062.4,4.3,0.40,5.15,0.48,-0.05,0.00,7.42,0.74
11,Exit long,2023-03-01 13:00:00,Close entry(s) order Long,1.0676,1000,1058,9.5,0.90,10.35,0.98,-0.05,0.00,16.93,1.69
11,Entry long,2023-03-01 01:00:00,[R002L 5A:31 bA:31 R:37 V:0.59 B:0.18 M:- ST:D],1.058,1000,1058,9.5,0.90,10.35,0.98,-0.05,0.00,16.93,1.69
12,Exit short,2023-03-01 20:00:00,Close entry(s) order Short,1.066,1000,1067.6,1.5,0.14,2.35,0.22,-0.05,0.00,18.43,1.84
12,Entry short,2023-03-01 13:00:00,[R002S 5A:56 bA:56 R:78 V:1.42 B:0.8 M:+ ST:U],1.0676,1000,1067.6,1.5,0.14,2.35,0.22,-0.05,0.00,18.43,1.84
13,Exit long,2023-03-02 01:00:00,Close entry(s) order Long,1.066,1000,1066,-0.1,-0.01,0.9,0.08,-0.05,0.00,18.33,1.83
13,Entry long,2023-03-01 20:00:00,[R002L 5A:44 bA:44 R:58 V:0.79 B:0.44 M:- ST:D],1.066,1000,1066,-0.1,-0.01,0.9,0.08,-0.05,0.00,18.33,1.83
14,Exit short,2023-03-02 12:00:00,Close entry(s) order Short,1.062,1000,1064.4,2.3,0.22,2.75,0.26,-0.05,0.00,20.63,2.06
14,Entry short,2023-03-02 06:00:00,[R001S 5A:31 bA:31 R:43 V:0.97 B:0.03 M:- ST:D],1.0644,1000,1064.4,2.3,0.22,2.75,0.26,-0.05,0.00,20.63,2.06
15,Exit long,2023-03-02 12:00:00,Close entry(s) order Long,1.0616,1000,1062,-0.5,-0.05,0,0.00,-0.45,-0.04,20.14,2.01
15,Entry long,2023-03-02 12:00:00,[R002L 5A:33 bA:33 R:36 V:1.2 B:0.17 M:- ST:D],1.062,1000,1062,-0.5,-0.05,0,0.00,-0.45,-0.04,20.14,2.01
16,Exit long,2023-03-02 16:00:00,Close entry(s) order Long,1.06,1000,1059.6,0.3,0.03,1.15,0.11,-0.05,0.00,20.44,2.04
16,Entry long,2023-03-02 15:00:00,[R002L 5A:44 bA:44 R:30 V:2.9 B:0.2 M:- ST:D],1.0596,1000,1059.6,0.3,0.03,1.15,0.11,-0.05,0.00,20.44,2.04
17,Exit long,2023-03-03 08:00:00,Close entry(s) order Long,1.0616,1000,1058.8,2.7,0.26,3.15,0.30,-0.05,0.00,23.14,2.31
17,Entry long,2023-03-02 18:00:00,[R002L 5A:41 bA:41 R:36 V:0.82 B:0.25 M:- ST:D],1.0588,1000,1058.8,2.7,0.26,3.15,0.30,-0.05,0.00,23.14,2.31
18,Exit short,2023-03-03 09:00:00,Close entry(s) order Short,1.0616,1000,1061.6,-0.1,-0.01,0,0.00,-0.45,-0.04,23.04,2.30
18,Entry short,2023-03-03 08:00:00,[R002S 5A:28 bA:28 R:54 V:1.25 B:0.79 M:+ ST:U],1.0616,1000,1061.6,-0.1,-0.01,0,0.00,-0.45,-0.04,23.04,2.30
19,Exit long,2023-03-06 09:00:00,Close entry(s) order Long,1.064,1000,1064.4,-0.5,-0.05,0.4,0.04,-0.45,-0.04,22.54,2.25
19,Entry long,2023-03-06 09:00:00,[R001L 5A:26 bA:26 R:72 V:1.32 B:1.02 M:+ ST:U],1.0644,1000,1064.4,-0.5,-0.05,0.4,0.04,-0.45,-0.04,22.54,2.25
20,Exit short,2023-03-06 13:00:00,Close entry(s) order Short,1.064,1000,1064,-0.1,-0.01,1.12,0.11,-0.05,0.00,22.45,2.24
20,Entry short,2023-03-06 09:00:00,[R002S 5A:27 bA:27 R:64 V:1.35 B:0.83 M:+ ST:U],1.064,1000,1064,-0.1,-0.01,1.12,0.11,-0.05,0.00,22.45,2.24
21,Exit short,2023-03-07 03:00:00,Close entry(s) order Short,1.0684,1000,1068.4,-0.1,-0.01,0.79,0.07,-0.05,0.00,22.35,2.23
21,Entry short,2023-03-06 18:00:00,[R002S 5A:47 bA:47 R:73 V:0.69 B:0.82 M:+ ST:U],1.0684,1000,1068.4,-0.1,-0.01,0.79,0.07,-0.05,0.00,22.35,2.23
22,Exit long,2023-03-07 14:00:00,Close entry(s) order Long,1.066,1000,1066.4,-0.5,-0.05,0,0.00,-0.45,-0.04,21.85,2.19
22,Entry long,2023-03-07 13:00:00,[R002L 5A:35 bA:35 R:52 V:2.66 B:0.27 M:- ST:D],1.0664,1000,1066.4,-0.5,-0.05,0,0.00,-0.45,-0.04,21.85,2.19
23,Exit short,2023-03-08 12:00:00,Close entry(s) order Short,1.054,1000,1064.4,10.3,0.97,11.25,1.06,-0.05,0.00,32.15,3.22
23,Entry short,2023-03-07 15:00:00,[R001S 5A:28 bA:28 R:36 V:0.35 B:0.01 M:- ST:D],1.0644,1000,1064.4,10.3,0.97,11.25,1.06,-0.05,0.00,32.15,3.22
24,Exit long,2023-03-08 18:00:00,Close entry(s) order Long,1.0548,1000,1054,0.7,0.07,1.55,0.15,-0.49,-0.05,32.86,3.29
24,Entry long,2023-03-08 12:00:00,[R002L 5A:72 bA:72 R:18 V:3.06 B:0.2 M:- ST:D],1.054,1000,1054,0.7,0.07,1.55,0.15,-0.49,-0.05,32.86,3.29
25,Exit short,2023-03-09 07:00:00,Close entry(s) order Short,1.0552,1000,1054.8,-0.5,-0.05,0.69,0.07,-0.45,-0.04,32.36,3.24
25,Entry short,2023-03-08 18:00:00,[R002S 5A:63 bA:63 R:33 V:3.25 B:0.38 M:+ ST:U],1.0548,1000,1054.8,-0.5,-0.05,0.69,0.07,-0.45,-0.04,32.36,3.24
26,Exit long,2023-03-09 13:00:00,Close entry(s) order Long,1.0564,1000,1056.4,-0.1,-0.01,0,0.00,-0.45,-0.04,32.26,3.23
26,Entry long,2023-03-09 12:00:00,[R001L 5A:47 bA:47 R:53 V:0.59 B:0.99 M:+ ST:U],1.0564,1000,1056.4,-0.1,-0.01,0,0.00,-0.45,-0.04,32.26,3.23
27,Exit short,2023-03-09 13:00:00,Close entry(s) order Short,1.0568,1000,1056.4,-0.5,-0.05,0,0.00,-0.45,-0.04,31.76,3.18
27,Entry short,2023-03-09 13:00:00,[R002S 5A:44 bA:44 R:46 V:0.49 B:0.77 M:+ ST:U],1.0564,1000,1056.4,-0.5,-0.05,0,0.00,-0.45,-0.04,31.76,3.18
28,Exit short,2023-03-10 00:00:00,Close entry(s) order Short,1.0584,1000,1058,-0.5,-0.05,0.35,0.03,-0.45,-0.04,31.27,3.13
28,Entry short,2023-03-09 19:00:00,[R002S 5A:34 bA:34 R:57 V:0.41 B:0.82 M:+ ST:U],1.058,1000,1058,-0.5,-0.05,0.35,0.03,-0.45,-0.04,31.27,3.13
