Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2024-01-03 20:00:00,[ExitS 5A:59 bA:59 R:29 V:3.89 B:0.17 M:- ST:D CH:10 CF:- MI:38 SK:18 PS:D SQ:0],1.0916,1000,1091.2,-0.5,-0.05,0.54,0.05,-0.45,-0.04,-0.5,-0.05
1,Entry short,2024-01-03 15:00:00,[R001S 5A:58 bA:58 R:21 V:1.48 B:-0.01 M:- ST:D CH:13 CF:- MI:11 SK:0 PS:D SQ:0],1.0912,1000,1091.2,-0.5,-0.05,0.54,0.05,-0.45,-0.04,-0.5,-0.05
2,Exit long,2024-01-05 16:00:00,[ExitL 5A:33 bA:33 R:67 V:0.91 B:0.8 M:+ ST:U CH:5 CF:+ MI:91 SK:85 PS:U SQ:0],1.0968,1000,1096.4,0.3,0.03,1.15,0.10,-0.05,0.00,-0.2,-0.02
2,Entry long,2024-01-05 15:00:00,[R001L 5A:27 bA:27 R:71 V:0.7 B:0.98 M:+ ST:U CH:3 CF:+ MI:98 SK:100 PS:U SQ:0],1.0964,1000,1096.4,0.3,0.03,1.15,0.10,-0.05,0.00,-0.2,-0.02
3,Exit short,2024-01-16 22:00:00,[ExitS 5A:54 bA:54 R:31 V:1.39 B:0.23 M:- ST:D CH:30 CF:- MI:41 SK:22 PS:D SQ:0],1.0872,1000,1086.8,-0.5,-0.05,0,0.00,-0.45,-0.04,-0.7,-0.07
3,Entry short,2024-01-16 19:00:00,[R001S 5A:54 bA:54 R:23 V:0.97 B:0.09 M:- ST:D CH:24 CF:- MI:33 SK:0 PS:D SQ:0],1.0868,1000,1086.8,-0.5,-0.05,0,0.00,-0.45,-0.04,-0.7,-0.07
4,Exit short,2024-01-23 19:00:00,[ExitS 5A:39 bA:39 R:31 V:2.8 B:0.19 M:- ST:D CH:15 CF:- MI:36 SK:25 PS:D SQ:0],1.084,1000,1085.6,1.5,0.14,2.73,0.25,-0.05,0.00,0.8,0.08
4,Entry short,2024-01-23 15:00:00,[R001S 5A:25 bA:25 R:31 V:0.68 B:0.08 M:- ST:D CH:11 CF:- MI:14 SK:0 PS:D SQ:0],1.0856,1000,1085.6,1.5,0.14,2.73,0.25,-0.05,0.00,0.8,0.08
5,Exit short,2024-01-25 21:00:00,[ExitS 5A:39 bA:39 R:29 V:4.95 B:0.19 M:- ST:D CH:5 CF:- MI:42 SK:18 PS:D SQ:0],1.084,1000,1085.6,1.5,0.14,2.53,0.23,-0.05,0.00,2.3,0.23
5,Entry short,2024-01-25 15:00:00,[R001S 5A:26 bA:26 R:28 V:0.31 B:-0.02 M:- ST:D CH:18 CF:- MI:30 SK:0 PS:D SQ:0],1.0856,1000,1085.6,1.5,0.14,2.53,0.23,-0.05,0.00,2.3,0.23
