Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2023-02-14 15:00:00,[ExitL rA:NaN R:NaN V:1 B:0.5 M:- ST:D CH:NaN CF:- MI:NaN SK:NaN/NaN PS:U SQ:0],1.0752,1000,1072.8,2.3,0.21,3.26,0.30,-0.05,0.00,2.3,0.23
1,Entry long,2023-02-14 00:00:00,[R002L rA:NaN R:NaN V:1 B:0.5 M:- ST:D CH:NaN CF:- MI:NaN SK:NaN/NaN PS:D SQ:0],1.0728,1000,1072.8,2.3,0.21,3.26,0.30,-0.05,0.00,2.3,0.23
2,Exit short,2023-02-14 18:00:00,[ExitS rA:NaN R:48 V:3.12 B:0.21 M:- ST:D CH:14 CF:- MI:26 SK:NaN/NaN PS:D SQ:0],1.0724,1000,1075.2,2.7,0.25,3.55,0.33,-0.05,0.00,5,0.50
2,Entry short,2023-02-14 15:00:00,[R002S rA:NaN R:NaN V:1 B:0.5 M:- ST:D CH:NaN CF:- MI:NaN SK:NaN/NaN PS:U SQ:0],1.0752,1000,1075.2,2.7,0.25,3.55,0.33,-0.05,0.00,5,0.50
3,Exit long,2023-02-15 03:00:00,[ExitL rA:NaN R:50 V:2.35 B:0.31 M:- ST:U CH:24 CF:- MI:29 SK:NaN/NaN PS:U SQ:0],1.0728,1000,1073.2,-0.5,-0.05,0.73,0.07,-0.45,-0.04,4.5,0.45
3,Entry long,2023-02-14 19:00:00,[R001L rA:NaN R:54 V:0.46 B:0.38 M:- ST:U CH:14 CF:- MI:31 SK:NaN/NaN PS:D SQ:0],1.0732,1000,1073.2,-0.5,-0.05,0.73,0.07,-0.45,-0.04,4.5,0.45
4,Exit long,2023-02-16 06:00:00,[ExitL rA:NaN R:55 V:1.15 B:0.82 M:+ ST:U CH:19 CF:+ MI:84 SK:38/33 PS:U SQ:0],1.0704,1000,1068.4,1.9,0.18,2.75,0.26,-0.05,0.00,6.41,0.64
4,Entry long,2023-02-15 20:00:00,[R001L rA:NaN R:42 V:0.31 B:0.39 M:+ ST:D CH:24 CF:- MI:46 SK:27/16 PS:U SQ:0],1.0684,1000,1068.4,1.9,0.18,2.75,0.26,-0.05,0.00,6.41,0.64
5,Exit long,2023-02-16 20:00:00,[ExitL rA:25 R:48 V:1.33 B:0.47 M:+ ST:U CH:31 CF:- MI:49 SK:94/98 PS:U SQ:0],1.0684,1000,1068,0.3,0.03,1.15,0.11,-0.05,0.00,6.71,0.67
5,Entry long,2023-02-16 17:00:00,[R001L rA:33 R:45 V:0.9 B:0.34 M:- ST:U CH:16 CF:- MI:33 SK:31/18 PS:U SQ:0],1.068,1000,1068,0.3,0.03,1.15,0.11,-0.05,0.00,6.71,0.67
