Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2022-06-10 03:00:00,[ExitS rA:NaN R:22 V:2.71 B:0.2 M:- ST:D CH:9 CF:- MI:26 SK:15 PS:D SQ:0],1.0625,1000,1068.5,5.9,0.55,6.95,0.65,-0.05,0.00,5.9,0.59
1,Entry short,2022-06-09 14:00:00,[R001S rA:NaN R:28 V:1 B:0.5 M:- ST:D CH:22 CF:- MI:67 SK:0 PS:D SQ:0],1.0685,1000,1068.5,5.9,0.55,6.95,0.65,-0.05,0.00,5.9,0.59
2,Exit short,2022-06-13 12:00:00,[ExitS rA:62 R:15 V:0.93 B:0.2 M:+ ST:D CH:11 CF:- MI:8 SK:15 PS:D SQ:0],1.046,1000,1051,4.9,0.47,5.95,0.57,-0.05,0.00,10.81,1.08
2,Entry short,2022-06-12 23:00:00,[R001S rA:NaN R:5 V:0.52 B:0.09 M:- ST:D CH:3 CF:- MI:0 SK:0 PS:D SQ:0],1.051,1000,1051,4.9,0.47,5.95,0.57,-0.05,0.00,10.81,1.08
3,Exit short,2022-06-13 17:00:00,[ExitS rA:88 R:23 V:2.35 B:0.2 M:+ ST:D CH:22 CF:- MI:33 SK:20 PS:D SQ:0],1.0435,1000,1043,-0.6,-0.06,0.45,0.04,-0.55,-0.05,10.21,1.02
3,Entry short,2022-06-13 14:00:00,[R001S rA:79 R:13 V:0.76 B:0.08 M:+ ST:D CH:20 CF:- MI:15 SK:0 PS:D SQ:0],1.043,1000,1043,-0.6,-0.06,0.45,0.04,-0.55,-0.05,10.21,1.02
4,Exit short,2022-06-15 17:00:00,[ExitS rA:82 R:31 V:0.84 B:0.2 M:- ST:D CH:16 CF:- MI:31 SK:18 PS:D SQ:0],1.0395,1000,1040,0.4,0.04,1.45,0.14,-0.05,0.00,10.61,1.06
4,Entry short,2022-06-15 15:00:00,[R001S rA:83 R:27 V:0.36 B:0.11 M:- ST:D CH:11 CF:- MI:27 SK:0 PS:D SQ:0],1.04,1000,1040,0.4,0.04,1.45,0.14,-0.05,0.00,10.61,1.06
5,Exit long,2022-06-16 19:00:00,[ExitL rA:NaN R:83 V:2.15 B:0.8 M:+ ST:U CH:5 CF:+ MI:83 SK:85 PS:U SQ:0],1.0575,1000,1048,9.4,0.90,10.45,1.00,-0.05,0.00,20.02,2.00
5,Entry long,2022-06-16 14:00:00,[R001L rA:NaN R:79 V:0.48 B:0.92 M:+ ST:U CH:0 CF:- MI:100 SK:100 PS:U SQ:0],1.048,1000,1048,9.4,0.90,10.45,1.00,-0.05,0.00,20.02,2.00
