Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2023-02-17 11:00:00,[ExitS rA:NaN hA:NaN E9:NaN E21:NaN R:NaN V:1 B:0.5 M:- ST:D CH:NaN CF:- MI:NaN SK:NaN PS:D SQ:0],1.064,1000,1067.2,3.1,0.29,3.55,0.33,-0.05,0.00,3.1,0.31
1,Entry short,2023-02-16 23:00:00,[R001S rA:NaN hA:NaN E9:NaN E21:NaN R:NaN V:1 B:0.5 M:- ST:D CH:NaN CF:- MI:NaN SK:NaN PS:D SQ:0],1.0672,1000,1067.2,3.1,0.29,3.55,0.33,-0.05,0.00,3.1,0.31
2,Exit long,2023-03-22 19:00:00,[ExitL rA:NaN hA:NaN E9:NaN E21:NaN R:81 V:3.25 B:0.8 M:+ ST:U CH:5 CF:+ MI:67 SK:85 PS:U SQ:0],1.0872,1000,1079.6,7.5,0.69,8.35,0.77,-0.05,0.00,10.6,1.06
2,Entry long,2023-03-22 18:00:00,[R001L rA:NaN hA:NaN E9:NaN E21:NaN R:73 V:1.43 B:0.87 M:- ST:U CH:34 CF:+ MI:72 SK:100 PS:U SQ:0],1.0796,1000,1079.6,7.5,0.69,8.35,0.77,-0.05,0.00,10.6,1.06
3,Exit short,2023-03-24 08:00:00,[ExitS rA:NaN hA:23 E9:1.065 E21:NaN R:29 V:1.17 B:0.2 M:- ST:D CH:5 CF:- MI:11 SK:15 PS:D SQ:0],1.0828,1000,1087.2,4.3,0.40,4.75,0.44,-0.05,0.00,14.9,1.49
3,Entry short,2023-03-23 18:00:00,[R001S rA:NaN hA:19 E9:NaN E21:NaN R:43 V:0.31 B:0.08 M:- ST:D CH:28 CF:+ MI:55 SK:0 PS:D SQ:0],1.0872,1000,1087.2,4.3,0.40,4.75,0.44,-0.05,0.00,14.9,1.49
4,Exit short,2023-04-14 18:00:00,[ExitS rA:42 hA:47 E9:1.0838 E21:1.0853 R:28 V:1.56 B:0.2 M:- ST:D CH:5 CF:- MI:15 SK:19 PS:D SQ:0],1.0988,1000,1102.8,3.9,0.35,4.97,0.45,-0.05,0.00,18.8,1.88
4,Entry short,2023-04-14 14:00:00,[R001S rA:33 hA:67 E9:1.0881 E21:1.0883 R:39 V:0.5 B:-0.03 M:- ST:D CH:12 CF:- MI:31 SK:0 PS:D SQ:0],1.1028,1000,1102.8,3.9,0.35,4.97,0.45,-0.05,0.00,18.8,1.88
5,Exit short,2023-05-18 22:00:00,[ExitS rA:49 hA:37 E9:1.0994 E21:1.101 R:24 V:2.05 B:0.2 M:- ST:D CH:5 CF:- MI:20 SK:15 PS:D SQ:0],1.0772,1000,1077.6,0.3,0.03,1.15,0.11,-0.05,0.00,19.1,1.91
5,Entry short,2023-05-18 14:00:00,[R001S rA:42 hA:48 E9:1.1041 E21:1.1044 R:15 V:1 B:0.07 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0],1.0776,1000,1077.6,0.3,0.03,1.15,0.11,-0.05,0.00,19.1,1.91
6,Exit long,2023-05-19 19:00:00,[ExitL rA:77 hA:67 E9:1.0866 E21:1.0845 R:59 V:1.8 B:0.79 M:+ ST:U CH:32 CF:+ MI:52 SK:75 PS:U SQ:0],1.0812,1000,1079.6,1.5,0.14,2.35,0.22,-0.05,0.00,20.6,2.06
6,Entry long,2023-05-19 15:00:00,[R002L rA:NaN hA:NaN E9:NaN E21:NaN R:52 V:0.57 B:0.69 M:+ ST:D CH:25 CF:+ MI:60 SK:67 PS:D SQ:0],1.0796,1000,1079.6,1.5,0.14,2.35,0.22,-0.05,0.00,20.6,2.06
7,Exit long,2023-05-22 05:00:00,[ExitL rA:27 hA:43 E9:1.0809 E21:1.0801 R:58 V:1.26 B:0.73 M:+ ST:U CH:27 CF:+ MI:63 SK:78 PS:U SQ:0],1.0816,1000,1081.6,-0.1,-0.01,0.75,0.07,-0.05,0.00,20.5,2.05
7,Entry long,2023-05-21 23:00:00,[R002L rA:27 hA:43 E9:1.0794 E21:1.0792 R:61 V:0.72 B:0.85 M:+ ST:U CH:32 CF:+ MI:42 SK:88 PS:U SQ:0],1.0816,1000,1081.6,-0.1,-0.01,0.75,0.07,-0.05,0.00,20.5,2.05
8,Exit long,2023-06-16 08:00:00,[ExitL rA:27 hA:41 E9:1.0815 E21:1.0807 R:81 V:5.1 B:0.8 M:+ ST:U CH:5 CF:+ MI:60 SK:83 PS:U SQ:0],1.0944,1000,1092,2.3,0.21,2.86,0.26,-0.05,0.00,22.8,2.28
8,Entry long,2023-06-15 15:00:00,[R001L rA:58 hA:49 E9:1.0788 E21:1.0774 R:89 V:0.59 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],1.092,1000,1092,2.3,0.21,2.86,0.26,-0.05,0.00,22.8,2.28
9,Exit long,2023-06-19 06:00:00,[ExitL rA:67 hA:45 E9:1.0934 E21:1.0913 R:55 V:0.72 B:0.28 M:- ST:U CH:26 CF:+ MI:49 SK:33 PS:U SQ:0],1.0936,1000,1094,-0.5,-0.05,0.35,0.03,-0.45,-0.04,22.3,2.23
9,Entry long,2023-06-16 18:00:00,[R001L rA:53 hA:41 E9:1.0904 E21:1.0885 R:60 V:0.33 B:0.44 M:- ST:D CH:30 CF:+ MI:53 SK:44 PS:D SQ:0],1.094,1000,1094,-0.5,-0.05,0.35,0.03,-0.45,-0.04,22.3,2.23
10,Exit long,2023-07-13 05:00:00,[ExitL rA:43 hA:50 E9:1.0939 E21:1.0934 R:83 V:1.56 B:0.8 M:+ ST:U CH:9 CF:+ MI:88 SK:81 PS:U SQ:0],1.1136,1000,1110,3.5,0.32,4.57,0.41,-0.05,0.00,25.8,2.58
10,Entry long,2023-07-12 14:00:00,[R001L rA:47 hA:50 E9:1.0938 E21:1.0933 R:89 V:0.97 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],1.11,1000,1110,3.5,0.32,4.57,0.41,-0.05,0.00,25.8,2.58
11,Exit long,2023-07-14 05:00:00,[ExitL rA:75 hA:59 E9:1.113 E21:1.1109 R:84 V:0.42 B:0.8 M:- ST:U CH:5 CF:+ MI:97 SK:85 PS:U SQ:0],1.1232,1000,1120,3.1,0.28,3.95,0.35,-0.05,0.00,28.9,2.89
11,Entry long,2023-07-13 16:00:00,[R001L rA:57 hA:53 E9:1.1084 E21:1.1065 R:93 V:1.03 B:0.93 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],1.12,1000,1120,3.1,0.28,3.95,0.35,-0.05,0.00,28.9,2.89
12,Exit long,2023-07-18 08:00:00,[ExitL rA:86 hA:77 E9:1.1226 E21:1.1204 R:61 V:0.73 B:0.8 M:+ ST:U CH:29 CF:+ MI:60 SK:75 PS:U SQ:0],1.1248,1000,1123.2,1.5,0.13,2.35,0.21,-0.05,0.00,30.39,3.04
12,Entry long,2023-07-17 17:00:00,[R002L rA:26 hA:43 E9:1.081 E21:1.0803 R:56 V:1.44 B:0.55 M:- ST:D CH:43 CF:- MI:28 SK:50 PS:U SQ:0],1.1232,1000,1123.2,1.5,0.13,2.35,0.21,-0.05,0.00,30.39,3.04
13,Exit short,2023-07-18 18:00:00,[ExitS rA:57 hA:48 E9:1.0778 E21:1.0795 R:43 V:0.72 B:0.19 M:- ST:D CH:22 CF:- MI:30 SK:20 PS:D SQ:0],1.1224,1000,1122.4,-0.1,-0.01,0.75,0.07,-0.05,0.00,30.29,3.03
13,Entry short,2023-07-18 16:00:00,[R001S rA:52 hA:47 E9:1.0791 E21:1.0808 R:41 V:0.62 B:0 M:- ST:D CH:31 CF:+ MI:29 SK:0 PS:D SQ:0],1.1224,1000,1122.4,-0.1,-0.01,0.75,0.07,-0.05,0.00,30.29,3.03
14,Exit short,2023-07-25 02:00:00,[ExitS rA:23 hA:59 E9:1.1227 E21:1.1233 R:35 V:2.8 B:0.23 M:+ ST:D CH:28 CF:- MI:41 SK:28 PS:D SQ:0],1.1072,1000,1107.2,-0.1,-0.01,0.88,0.08,-0.05,0.00,30.19,3.02
14,Entry short,2023-07-24 19:00:00,[R001S rA:22 hA:59 E9:1.1234 E21:1.1237 R:29 V:0.55 B:0.12 M:+ ST:D CH:37 CF:- MI:24 SK:0 PS:D SQ:0],1.1072,1000,1107.2,-0.1,-0.01,0.88,0.08,-0.05,0.00,30.19,3.02
15,Exit long,2023-07-26 20:00:00,[ExitL rA:35 hA:69 E9:1.1245 E21:1.1237 R:64 V:1.55 B:0.83 M:+ ST:U CH:16 CF:+ MI:64 SK:82 PS:U SQ:0],1.1096,1000,1106.8,2.7,0.24,3.55,0.32,-0.05,0.00,32.89,3.29
15,Entry long,2023-07-26 18:00:00,[R002L rA:36 hA:72 E9:1.1231 E21:1.1228 R:52 V:0.49 B:0.6 M:+ ST:D CH:49 CF:+ MI:83 SK:40 PS:D SQ:0],1.1068,1000,1106.8,2.7,0.24,3.55,0.32,-0.05,0.00,32.89,3.29
16,Exit short,2023-09-05 15:00:00,[ExitS rA:46 hA:46 E9:1.1075 E21:1.1085 R:26 V:0.91 B:0.2 M:- ST:D CH:16 CF:- MI:26 SK:18 PS:D SQ:0],1.072,1000,1072.8,0.7,0.07,1.55,0.14,-0.05,0.00,33.59,3.36
16,Entry short,2023-09-05 14:00:00,[R001S rA:46 hA:45 E9:1.1082 E21:1.1091 R:21 V:0.46 B:0.11 M:- ST:D CH:11 CF:- MI:18 SK:0 PS:D SQ:0],1.0728,1000,1072.8,0.7,0.07,1.55,0.14,-0.05,0.00,33.59,3.36
17,Exit short,2023-09-06 17:00:00,[ExitS rA:60 hA:46 E9:1.0725 E21:1.0742 R:41 V:1.74 B:0.34 M:+ ST:D CH:32 CF:+ MI:64 SK:25 PS:D SQ:0],1.072,1000,1073.6,1.5,0.14,2.35,0.22,-0.05,0.00,35.09,3.51
17,Entry short,2023-09-06 14:00:00,[R002S rA:NaN hA:NaN E9:NaN E21:NaN R:47 V:0.73 B:0.72 M:+ ST:U CH:34 CF:+ MI:66 SK:75 PS:U SQ:0],1.0736,1000,1073.6,1.5,0.14,2.35,0.22,-0.05,0.00,35.09,3.51
18,Exit short,2023-09-08 00:00:00,[ExitS rA:34 hA:46 E9:1.0723 E21:1.0728 R:42 V:0.51 B:0.34 M:- ST:D CH:25 CF:- MI:23 SK:31 PS:U SQ:0],1.0704,1000,1070,-0.5,-0.05,0.45,0.04,-0.45,-0.04,34.59,3.46
18,Entry short,2023-09-08 00:00:00,[R002S rA:39 hA:46 E9:1.0734 E21:1.0736 R:35 V:0.81 B:0.15 M:- ST:D CH:25 CF:- MI:28 SK:10 PS:D SQ:0],1.07,1000,1070,-0.5,-0.05,0.45,0.04,-0.45,-0.04,34.59,3.46
19,Exit short,2023-09-28 00:00:00,[ExitS rA:33 hA:46 E9:1.0703 E21:1.0711 R:23 V:1.96 B:0.2 M:- ST:D CH:9 CF:- MI:18 SK:15 PS:D SQ:0],1.0508,1000,1052,1.1,0.10,1.95,0.19,-0.05,0.00,35.69,3.57
19,Entry short,2023-09-27 14:00:00,[R001S rA:55 hA:44 E9:1.0741 E21:1.0757 R:17 V:0.64 B:0.06 M:- ST:D CH:14 CF:- MI:6 SK:0 PS:D SQ:0],1.052,1000,1052,1.1,0.10,1.95,0.19,-0.05,0.00,35.69,3.57
20,Exit long,2023-09-28 16:00:00,[ExitL rA:27 hA:32 E9:1.1091 E21:1.1081 R:68 V:0.69 B:0.82 M:+ ST:U CH:8 CF:+ MI:95 SK:85 PS:U SQ:0],1.0568,1000,1055.2,1.5,0.14,2.35,0.22,-0.05,0.00,37.2,3.72
20,Entry long,2023-09-28 14:00:00,[R001L rA:80 hA:70 E9:1.1184 E21:1.1163 R:67 V:1.07 B:0.98 M:+ ST:U CH:26 CF:+ MI:70 SK:100 PS:U SQ:0],1.0552,1000,1055.2,1.5,0.14,2.35,0.22,-0.05,0.00,37.2,3.72
21,Exit long,2023-11-15 03:00:00,[ExitL rA:36 hA:35 E9:1.0562 E21:1.0549 R:85 V:3.07 B:0.8 M:- ST:U CH:5 CF:+ MI:78 SK:81 PS:U SQ:0],1.0876,1000,1084,3.5,0.32,4.21,0.39,-0.05,0.00,40.7,4.07
21,Entry long,2023-11-14 16:00:00,[R001L rA:26 hA:41 E9:1.054 E21:1.0532 R:97 V:0.56 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],1.084,1000,1084,3.5,0.32,4.21,0.39,-0.05,0.00,40.7,4.07
22,Exit long,2023-11-15 18:00:00,[ExitL rA:88 hA:53 E9:1.0866 E21:1.0843 R:55 V:1.67 B:0.42 M:- ST:U CH:42 CF:- MI:31 SK:67 PS:U SQ:0],1.0856,1000,1084.8,0.7,0.06,1.55,0.14,-0.05,0.00,41.4,4.14
22,Entry long,2023-11-15 15:00:00,[R002L rA:19 hA:38 E9:1.1067 E21:1.1065 R:51 V:0.4 B:0.19 M:- ST:D CH:25 CF:- MI:23 SK:19 PS:D SQ:0],1.0848,1000,1084.8,0.7,0.06,1.55,0.14,-0.05,0.00,41.4,4.14
23,Exit short,2023-11-22 08:00:00,[ExitS rA:60 hA:47 E9:1.0514 E21:1.0533 R:40 V:0.69 B:0.18 M:- ST:D CH:17 CF:- MI:30 SK:17 PS:D SQ:0],1.0908,1000,1091.6,0.7,0.06,1.15,0.11,-0.41,-0.04,42.1,4.21
23,Entry short,2023-11-21 18:00:00,[R001S rA:51 hA:45 E9:1.0535 E21:1.0552 R:38 V:0.65 B:-0.04 M:- ST:D CH:15 CF:+ MI:26 SK:0 PS:D SQ:0],1.0916,1000,1091.6,0.7,0.06,1.15,0.11,-0.41,-0.04,42.1,4.21
24,Exit long,2023-12-14 18:00:00,[ExitL rA:38 hA:53 E9:1.0856 E21:1.0854 R:83 V:0.39 B:0.8 M:+ ST:U CH:5 CF:+ MI:97 SK:85 PS:U SQ:0],1.0996,1000,1094.4,5.1,0.47,5.95,0.54,-0.05,0.00,47.2,4.72
24,Entry long,2023-12-14 14:00:00,[R001L rA:80 hA:45 E9:1.0824 E21:1.0801 R:86 V:0.33 B:0.97 M:+ ST:U CH:5 CF:+ MI:100 SK:100 PS:U SQ:0],1.0944,1000,1094.4,5.1,0.47,5.95,0.54,-0.05,0.00,47.2,4.72
25,Exit long,2023-12-15 02:00:00,[ExitL rA:80 hA:60 E9:1.099 E21:1.0969 R:63 V:3.14 B:0.54 M:- ST:D CH:29 CF:+ MI:68 SK:38 PS:D SQ:0],1.0988,1000,1098.8,-0.1,-0.01,0.49,0.04,-0.45,-0.04,47.09,4.71
25,Entry long,2023-12-15 00:00:00,[R002L rA:49 hA:53 E9:1.0851 E21:1.0851 R:71 V:1.36 B:0.69 M:- ST:D CH:22 CF:+ MI:88 SK:67 PS:D SQ:0],1.0988,1000,1098.8,-0.1,-0.01,0.49,0.04,-0.45,-0.04,47.09,4.71
26,Exit short,2023-12-18 03:00:00,[ExitS rA:34 hA:39 E9:1.0917 E21:1.0925 R:26 V:3.65 B:0.2 M:- ST:D CH:5 CF:- MI:28 SK:18 PS:D SQ:0],1.0904,1000,1091.2,0.7,0.06,1.74,0.16,-0.05,0.00,47.79,4.78
26,Entry short,2023-12-15 16:00:00,[R001S rA:34 hA:44 E9:1.0929 E21:1.0932 R:20 V:0.76 B:0.06 M:- ST:D CH:5 CF:- MI:29 SK:0 PS:D SQ:0],1.0912,1000,1091.2,0.7,0.06,1.74,0.16,-0.05,0.00,47.79,4.78
27,Exit long,2023-12-28 00:00:00,[ExitL rA:70 hA:60 E9:1.0988 E21:1.0976 R:77 V:2.88 B:0.8 M:+ ST:U CH:5 CF:+ MI:71 SK:85 PS:U SQ:0],1.1108,1000,1108.4,2.3,0.21,2.75,0.25,-0.05,0.00,50.09,5.01
27,Entry long,2023-12-27 14:00:00,[R001L rA:63 hA:48 E9:1.0929 E21:1.0911 R:81 V:0.38 B:0.97 M:+ ST:U CH:8 CF:+ MI:73 SK:100 PS:U SQ:0],1.1084,1000,1108.4,2.3,0.21,2.75,0.25,-0.05,0.00,50.09,5.01
28,Exit short,2023-12-29 00:00:00,[ExitS rA:55 hA:39 E9:1.091 E21:1.0928 R:39 V:2.48 B:0.21 M:- ST:D CH:17 CF:+ MI:57 SK:23 PS:D SQ:0],1.1072,1000,1109.6,2.3,0.21,3.33,0.30,-0.05,0.00,52.39,5.24
