Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2023-01-02 23:00:00,[ExitS rA:NaN hA:NaN R:NaN V:1 B:0.5 M:- ST:D CH:NaN CF:- MI:NaN SK:NaN/NaN PS:D SQ:0],1.0665,1000,1067.5,0.9,0.08,1.95,0.18,-0.05,0.00,0.9,0.09
1,Entry short,2023-01-02 15:00:00,[R001S rA:NaN hA:NaN R:NaN V:1 B:0.5 M:- ST:D CH:NaN CF:- MI:NaN SK:NaN/NaN PS:D SQ:0],1.0675,1000,1067.5,0.9,0.08,1.95,0.18,-0.05,0.00,0.9,0.09
2,Exit long,2023-01-03 17:00:00,[ExitL rA:NaN hA:NaN R:40 V:3.02 B:0.56 M:+ ST:U CH:26 CF:- MI:42 SK:NaN/NaN PS:U SQ:0],1.056,1000,1054.5,1.4,0.13,2.45,0.23,-0.05,0.00,2.3,0.23
2,Entry long,2023-01-03 13:00:00,[R001L rA:NaN hA:NaN R:23 V:1.21 B:0.27 M:+ ST:D CH:8 CF:- MI:17 SK:NaN/NaN PS:D SQ:0],1.0545,1000,1054.5,1.4,0.13,2.45,0.23,-0.05,0.00,2.3,0.23
3,Exit short,2023-01-05 00:00:00,[ExitS rA:NaN hA:NaN R:57 V:1.13 B:0.63 M:- ST:D CH:61 CF:+ MI:66 SK:NaN/NaN PS:D SQ:0],1.061,1000,1060.5,-0.6,-0.06,0,0.00,-0.55,-0.05,1.71,0.17
3,Entry short,2023-01-05 00:00:00,[R001S rA:NaN hA:NaN R:52 V:0.82 B:0.47 M:- ST:D CH:51 CF:+ MI:64 SK:NaN/NaN PS:D SQ:0],1.0605,1000,1060.5,-0.6,-0.06,0,0.00,-0.55,-0.05,1.71,0.17
4,Exit long,2023-01-05 20:00:00,[ExitL rA:60 hA:NaN R:28 V:1.05 B:0.2 M:- ST:D CH:14 CF:- MI:36 SK:88/80 PS:D SQ:0],1.0525,1000,1053,-0.6,-0.06,0,0.00,-0.55,-0.05,1.11,0.11
4,Entry long,2023-01-05 20:00:00,[R001L rA:77 hA:NaN R:32 V:1.42 B:0.27 M:- ST:D CH:8 CF:- MI:38 SK:13/6 PS:D SQ:0],1.053,1000,1053,-0.6,-0.06,0,0.00,-0.55,-0.05,1.11,0.11
5,Exit long,2023-01-06 14:00:00,[ExitL rA:45 hA:37 R:49 V:0.71 B:0.71 M:+ ST:U CH:22 CF:+ MI:38 SK:16/12 PS:U SQ:0],1.053,1000,1051,1.9,0.18,2.95,0.28,-0.05,0.00,3.01,0.30
5,Entry long,2023-01-06 13:00:00,[R001L rA:44 hA:37 R:36 V:0.52 B:0.29 M:+ ST:D CH:33 CF:- MI:47 SK:13/6 PS:U SQ:0],1.051,1000,1051,1.9,0.18,2.95,0.28,-0.05,0.00,3.01,0.30
6,Exit short,2023-01-06 15:00:00,[ExitS rA:31 hA:43 R:45 V:0.35 B:0.56 M:+ ST:D CH:24 CF:- MI:62 SK:40/53 PS:D SQ:0],1.052,1000,1051.5,-0.6,-0.06,0.45,0.04,-0.55,-0.05,2.42,0.24
6,Entry short,2023-01-06 14:00:00,[R001S rA:32 hA:46 R:41 V:0.77 B:0.43 M:+ ST:D CH:22 CF:- MI:55 SK:52/64 PS:D SQ:0],1.0515,1000,1051.5,-0.6,-0.06,0.45,0.04,-0.55,-0.05,2.42,0.24
7,Exit long,2023-01-09 20:00:00,[ExitL rA:34 hA:37 R:79 V:2.67 B:0.8 M:+ ST:U CH:5 CF:+ MI:76 SK:93/96 PS:U SQ:0],1.0745,1000,1069,5.4,0.51,6.45,0.60,-0.05,0.00,7.82,0.78
7,Entry long,2023-01-09 13:00:00,[R001L rA:49 hA:41 R:78 V:0.29 B:0.82 M:- ST:U CH:32 CF:+ MI:81 SK:21/10 PS:U SQ:0],1.069,1000,1069,5.4,0.51,6.45,0.60,-0.05,0.00,7.82,0.78
8,Exit short,2023-01-10 09:00:00,[ExitS rA:28 hA:35 R:69 V:2.83 B:0.69 M:- ST:D CH:25 CF:+ MI:56 SK:45/48 PS:D SQ:0],1.074,1000,1074,-0.1,-0.01,0.95,0.09,-0.05,0.00,7.72,0.77
8,Entry short,2023-01-09 20:00:00,[R001S rA:29 hA:37 R:74 V:1.36 B:0.73 M:- ST:U CH:12 CF:+ MI:67 SK:56/68 PS:U SQ:0],1.074,1000,1074,-0.1,-0.01,0.95,0.09,-0.05,0.00,7.72,0.77
9,Exit long,2023-01-10 19:00:00,[ExitL rA:74 hA:60 R:55 V:1.7 B:0.3 M:- ST:D CH:47 CF:+ MI:50 SK:95/98 PS:D SQ:0],1.0735,1000,1073.5,-0.1,-0.01,0,0.00,-0.55,-0.05,7.62,0.76
9,Entry long,2023-01-10 15:00:00,[R001L rA:68 hA:50 R:63 V:1.02 B:0.6 M:- ST:D CH:42 CF:+ MI:56 SK:90/80 PS:D SQ:0],1.0735,1000,1073.5,-0.1,-0.01,0,0.00,-0.55,-0.05,7.62,0.76
10,Exit long,2023-01-11 16:00:00,[ExitL rA:49 hA:58 R:59 V:0.51 B:0.81 M:+ ST:U CH:41 CF:+ MI:69 SK:44/37 PS:U SQ:0],1.0755,1000,1075,0.4,0.04,1.45,0.13,-0.05,0.00,8.02,0.80
10,Entry long,2023-01-11 14:00:00,[R001L rA:51 hA:58 R:60 V:0.98 B:0.95 M:- ST:U CH:64 CF:+ MI:68 SK:43/25 PS:U SQ:0],1.075,1000,1075,0.4,0.04,1.45,0.13,-0.05,0.00,8.02,0.80
11,Exit long,2023-01-12 08:00:00,[ExitL rA:38 hA:51 R:58 V:0.87 B:0.72 M:+ ST:U CH:42 CF:+ MI:78 SK:90/97 PS:U SQ:0],1.076,1000,1076,-0.1,-0.01,0.95,0.09,-0.65,-0.06,7.92,0.79
11,Entry long,2023-01-11 23:00:00,[R001L rA:37 hA:52 R:60 V:0.33 B:0.85 M:- ST:D CH:34 CF:+ MI:70 SK:89/71 PS:D SQ:0],1.076,1000,1076,-0.1,-0.01,0.95,0.09,-0.65,-0.06,7.92,0.79
12,Exit long,2023-01-12 14:00:00,[ExitL rA:31 hA:48 R:71 V:0.56 B:0.82 M:+ ST:U CH:5 CF:+ MI:95 SK:89/90 PS:U SQ:0],1.0815,1000,1078,3.4,0.32,4.45,0.41,-0.05,0.00,11.32,1.13
12,Entry long,2023-01-12 13:00:00,[R001L rA:31 hA:50 R:66 V:0.6 B:1.03 M:+ ST:U CH:31 CF:+ MI:74 SK:71/56 PS:U SQ:0],1.078,1000,1078,3.4,0.32,4.45,0.41,-0.05,0.00,11.32,1.13
13,Exit short,2023-01-12 15:00:00,[ExitS rA:67 hA:60 R:47 V:1.11 B:0.21 M:- ST:D CH:14 CF:+ MI:37 SK:60/66 PS:D SQ:0],1.078,1000,1081,2.9,0.27,3.95,0.37,-0.05,0.00,14.22,1.42
13,Entry short,2023-01-12 14:00:00,[R001S rA:73 hA:60 R:67 V:0.58 B:0.74 M:+ ST:U CH:8 CF:+ MI:90 SK:87/94 PS:U SQ:0],1.081,1000,1081,2.9,0.27,3.95,0.37,-0.05,0.00,14.22,1.42
14,Exit long,2023-01-13 05:00:00,[ExitL rA:44 hA:49 R:70 V:5.52 B:0.8 M:+ ST:U CH:5 CF:+ MI:56 SK:95/98 PS:U SQ:0],1.0845,1000,1078.5,5.9,0.55,7.44,0.69,-0.05,0.00,20.12,2.01
14,Entry long,2023-01-12 15:00:00,[R001L rA:29 hA:45 R:50 V:1.1 B:0.29 M:- ST:D CH:14 CF:+ MI:37 SK:100/93 PS:D SQ:0],1.0785,1000,1078.5,5.9,0.55,7.44,0.69,-0.05,0.00,20.12,2.01
15,Exit short,2023-01-13 14:00:00,[ExitS rA:30 hA:38 R:42 V:0.91 B:0.17 M:- ST:D CH:13 CF:- MI:41 SK:6/2 PS:D SQ:0],1.0805,1000,1081,0.4,0.04,1.45,0.13,-0.05,0.00,20.53,2.05
15,Entry short,2023-01-13 13:00:00,[R001S rA:44 hA:48 R:41 V:0.91 B:0.01 M:- ST:D CH:22 CF:- MI:32 SK:87/94 PS:D SQ:0],1.081,1000,1081,0.4,0.04,1.45,0.13,-0.05,0.00,20.53,2.05
16,Exit short,2023-02-02 15:00:00,[ExitS rA:29 hA:31 R:31 V:1.26 B:0.2 M:- ST:D CH:5 CF:- MI:11 SK:6/2 PS:D SQ:0],1.092,1000,1098,5.9,0.54,6.95,0.63,-0.05,0.00,26.42,2.64
16,Entry short,2023-02-02 13:00:00,[R001S rA:29 hA:33 R:51 V:0.47 B:0.12 M:- ST:D CH:33 CF:+ MI:49 SK:0/2 PS:D SQ:0],1.098,1000,1098,5.9,0.54,6.95,0.63,-0.05,0.00,26.42,2.64
17,Exit short,2023-02-07 00:00:00,[ExitS rA:45 hA:32 R:17 V:0.7 B:0.2 M:- ST:D CH:5 CF:- MI:5 SK:5/2 PS:D SQ:0],1.0725,1000,1082,9.4,0.87,10.45,0.97,-0.05,0.00,35.83,3.58
17,Entry short,2023-02-03 18:00:00,[R001S rA:51 hA:48 R:21 V:0.81 B:0.04 M:- ST:D CH:26 CF:- MI:27 SK:10/11 PS:D SQ:0],1.082,1000,1082,9.4,0.87,10.45,0.97,-0.05,0.00,35.83,3.58
18,Exit short,2023-02-07 16:00:00,[ExitS rA:77 hA:58 R:26 V:1.41 B:0.17 M:+ ST:D CH:14 CF:- MI:27 SK:5/2 PS:D SQ:0],1.0695,1000,1070.5,0.9,0.08,1.95,0.18,-0.05,0.00,36.73,3.67
18,Entry short,2023-02-07 13:00:00,[R001S rA:48 hA:37 R:20 V:0.99 B:0.06 M:+ ST:D CH:31 CF:- MI:24 SK:0/0 PS:D SQ:0],1.0705,1000,1070.5,0.9,0.08,1.95,0.18,-0.05,0.00,36.73,3.67
19,Exit long,2023-02-07 18:00:00,[ExitL rA:39 hA:38 R:61 V:0.78 B:0.82 M:+ ST:U CH:5 CF:+ MI:92 SK:93/98 PS:U SQ:0],1.075,1000,1072,2.9,0.27,3.95,0.37,-0.05,0.00,39.63,3.96
19,Entry long,2023-02-07 17:00:00,[R001L rA:28 hA:36 R:47 V:0.25 B:0.62 M:+ ST:U CH:24 CF:- MI:30 SK:15/7 PS:U SQ:0],1.072,1000,1072,2.9,0.27,3.95,0.37,-0.05,0.00,39.63,3.96
20,Exit short,2023-02-07 20:00:00,[ExitS rA:67 hA:64 R:41 V:3.36 B:0.21 M:- ST:D CH:14 CF:+ MI:40 SK:6/2 PS:D SQ:0],1.0715,1000,1074.5,2.9,0.27,3.95,0.37,-0.05,0.00,42.53,4.25
20,Entry short,2023-02-07 18:00:00,[R001S rA:67 hA:62 R:57 V:0.8 B:0.74 M:+ ST:U CH:8 CF:+ MI:77 SK:0/6 PS:U SQ:0],1.0745,1000,1074.5,2.9,0.27,3.95,0.37,-0.05,0.00,42.53,4.25
21,Exit long,2023-02-08 11:00:00,[ExitL rA:39 hA:44 R:58 V:1.86 B:0.73 M:+ ST:U CH:18 CF:+ MI:72 SK:95/98 PS:U SQ:0],1.0745,1000,1072,2.4,0.22,3.47,0.32,-0.05,0.00,44.93,4.49
21,Entry long,2023-02-07 20:00:00,[R001L rA:55 hA:57 R:45 V:0.77 B:0.29 M:- ST:D CH:14 CF:+ MI:42 SK:66/50 PS:D SQ:0],1.072,1000,1072,2.4,0.22,3.47,0.32,-0.05,0.00,44.93,4.49
22,Exit long,2023-02-28 01:00:00,[ExitL rA:23 hA:30 R:59 V:1.2 B:0.83 M:+ ST:U CH:10 CF:+ MI:85 SK:93/96 PS:U SQ:0],1.0595,1000,1057,2.4,0.23,3.93,0.37,-0.05,0.00,47.33,4.73
22,Entry long,2023-02-27 13:00:00,[R001L rA:28 hA:38 R:48 V:0.68 B:0.56 M:+ ST:U CH:36 CF:- MI:54 SK:15/7 PS:U SQ:0],1.057,1000,1057,2.4,0.23,3.93,0.37,-0.05,0.00,47.33,4.73
23,Exit long,2023-03-16 12:00:00,[ExitL rA:32 hA:28 R:63 V:1.91 B:0.8 M:+ ST:U CH:10 CF:+ MI:87 SK:93/98 PS:U SQ:0],1.0615,1000,1055,6.4,0.61,7.45,0.71,-0.05,0.00,53.74,5.37
23,Entry long,2023-03-15 17:00:00,[R001L rA:38 hA:36 R:22 V:1.22 B:0.27 M:+ ST:D CH:8 CF:- MI:17 SK:66/49 PS:D SQ:0],1.055,1000,1055,6.4,0.61,7.45,0.71,-0.05,0.00,53.74,5.37
24,Exit short,2023-03-16 13:00:00,[ExitS rA:29 hA:38 R:52 V:1.55 B:0.54 M:- ST:D CH:31 CF:+ MI:45 SK:6/2 PS:D SQ:0],1.06,1000,1061,0.9,0.09,1.95,0.18,-0.05,0.00,54.64,5.46
