Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2023-01-03 17:00:00,[ExitL rA:NaN hA:NaN FI:NaN/NaN RG:NaN V:3.02 R:40 B:0.56 M:+ ST:U CH:26 SK:NaN/NaN SQ:0],1.056,1000,1055.5,0.4,0.04,1.45,0.14,-0.05,0.00,0.4,0.04
1,Entry long,2023-01-03 13:00:00,[R001L rA:NaN hA:NaN FI:NaN/NaN RG:NaN V:1.17 R:33 B:0.4 M:+ ST:U CH:15 SK:NaN/NaN SQ:0],1.0555,1000,1055.5,0.4,0.04,1.45,0.14,-0.05,0.00,0.4,0.04
2,Exit long,2023-01-06 14:00:00,[ExitL rA:60 hA:NaN FI:0.86/1.02 RG:0.9 V:0.71 R:49 B:0.71 M:+ ST:U CH:22 SK:88/80 SQ:0],1.053,1000,1052,0.9,0.09,1.95,0.19,-0.05,0.00,1.31,0.13
2,Entry long,2023-01-06 13:00:00,[R001L rA:73 hA:NaN FI:0.11/-0.3 RG:0.9 V:0.57 R:43 B:0.52 M:+ ST:U CH:31 SK:37/25 SQ:0],1.052,1000,1052,0.9,0.09,1.95,0.19,-0.05,0.00,1.31,0.13
3,Exit long,2023-01-09 09:00:00,[ExitL rA:34 hA:37 FI:0.97/1.19 RG:0.79 V:0.78 R:82 B:0.8 M:+ ST:U CH:12 SK:93/96 SQ:0],1.068,1000,1065,2.9,0.27,3.95,0.37,-0.05,0.00,4.21,0.42
3,Entry long,2023-01-08 23:00:00,[R001L rA:46 hA:40 FI:0.12/-0.27 RG:0.9 V:1.3 R:91 B:0.91 M:+ ST:U CH:0 SK:50/36 SQ:0],1.065,1000,1065,2.9,0.27,3.95,0.37,-0.05,0.00,4.21,0.42
4,Exit long,2023-01-09 20:00:00,[ExitL rA:72 hA:45 FI:0.99/1.25 RG:0.9 V:2.67 R:79 B:0.8 M:+ ST:U CH:5 SK:95/98 SQ:0],1.0745,1000,1069.5,4.9,0.46,5.95,0.56,-0.05,0.00,9.11,0.91
4,Entry long,2023-01-09 13:00:00,[R001L rA:58 hA:37 FI:1.47/1.47 RG:0.9 V:0.31 R:80 B:0.86 M:- ST:U CH:32 SK:100/100 SQ:0],1.0695,1000,1069.5,4.9,0.46,5.95,0.56,-0.05,0.00,9.11,0.91
5,Exit short,2023-01-10 14:00:00,[ExitS rA:NaN hA:NaN FI:NaN/NaN RG:NaN V:1.02 R:58 B:0.39 M:- ST:D CH:42 SK:NaN/NaN SQ:0],1.073,1000,1072.5,-0.6,-0.06,0,0.00,-0.55,-0.05,8.51,0.85
5,Entry short,2023-01-10 14:00:00,[R001S rA:NaN hA:NaN FI:NaN/NaN RG:NaN V:0.55 R:52 B:0.21 M:- ST:D CH:40 SK:NaN/NaN SQ:0],1.0725,1000,1072.5,-0.6,-0.06,0,0.00,-0.55,-0.05,8.51,0.85
6,Exit short,2023-01-11 19:00:00,[ExitS rA:54 hA:58 FI:-0.78/-1.03 RG:0.85 V:1.37 R:55 B:0.65 M:- ST:D CH:37 SK:10/12 SQ:0],1.075,1000,1074.5,-0.6,-0.06,0,0.00,-0.55,-0.05,7.91,0.79
6,Entry short,2023-01-11 18:00:00,[R001S rA:56 hA:58 FI:-1.03/-0.87 RG:0.65 V:0.59 R:50 B:0.4 M:- ST:D CH:37 SK:6/23 SQ:0],1.0745,1000,1074.5,-0.6,-0.06,0,0.00,-0.55,-0.05,7.91,0.79
7,Exit long,2023-01-12 14:00:00,[ExitL rA:74 hA:60 FI:1.05/1.47 RG:0.9 V:0.56 R:71 B:0.82 M:+ ST:U CH:5 SK:95/98 SQ:0],1.0815,1000,1078.5,2.9,0.27,3.95,0.37,-0.05,0.00,10.81,1.08
7,Entry long,2023-01-12 13:00:00,[R001L rA:68 hA:52 FI:0.83/0.61 RG:0.9 V:0.63 R:68 B:1.04 M:+ ST:U CH:31 SK:96/88 SQ:0],1.0785,1000,1078.5,2.9,0.27,3.95,0.37,-0.05,0.00,10.81,1.08
8,Exit short,2023-01-12 15:00:00,[ExitS rA:32 hA:50 FI:-0.27/-0.13 RG:0.73 V:1.11 R:47 B:0.21 M:- ST:D CH:14 SK:43/48 SQ:0],1.078,1000,1080,1.9,0.18,2.95,0.27,-0.05,0.00,12.71,1.27
8,Entry short,2023-01-12 14:00:00,[R001S rA:34 hA:51 FI:-0.13/0.25 RG:0.78 V:0.63 R:59 B:0.6 M:- ST:D CH:15 SK:43/59 SQ:0],1.08,1000,1080,1.9,0.18,2.95,0.27,-0.05,0.00,12.71,1.27
9,Exit long,2023-01-13 05:00:00,[ExitL rA:44 hA:49 FI:1.05/1.47 RG:0.9 V:5.52 R:70 B:0.8 M:+ ST:U CH:5 SK:95/98 SQ:0],1.0845,1000,1079.5,4.9,0.45,6.44,0.60,-0.05,0.00,17.61,1.76
9,Entry long,2023-01-12 15:00:00,[R001L rA:30 hA:46 FI:1.1/0.96 RG:0.6 V:1.08 R:56 B:0.46 M:- ST:U CH:18 SK:100/98 SQ:0],1.0795,1000,1079.5,4.9,0.45,6.44,0.60,-0.05,0.00,17.61,1.76
10,Exit short,2023-01-13 14:00:00,[ExitS rA:30 hA:38 FI:-1.03/-1.39 RG:0.66 V:0.91 R:42 B:0.17 M:- ST:D CH:13 SK:6/2 SQ:0],1.0805,1000,1081,0.4,0.04,1.45,0.13,-0.05,0.00,18.01,1.80
10,Entry short,2023-01-13 13:00:00,[R001S rA:42 hA:45 FI:-0.11/0.3 RG:0.9 V:0.91 R:41 B:0.01 M:- ST:D CH:22 SK:63/75 SQ:0],1.081,1000,1081,0.4,0.04,1.45,0.13,-0.05,0.00,18.01,1.80
11,Exit short,2023-02-02 15:00:00,[ExitS rA:29 hA:31 FI:-1.05/-1.45 RG:0.61 V:1.26 R:31 B:0.2 M:- ST:D CH:5 SK:6/2 SQ:0],1.092,1000,1097,4.9,0.45,5.95,0.54,-0.05,0.00,22.91,2.29
11,Entry short,2023-02-02 13:00:00,[R001S rA:29 hA:33 FI:-1.31/-1.23 RG:0.63 V:0.51 R:45 B:-0.01 M:- ST:D CH:24 SK:0/2 SQ:0],1.097,1000,1097,4.9,0.45,5.95,0.54,-0.05,0.00,22.91,2.29
12,Exit short,2023-02-07 00:00:00,[ExitS rA:45 hA:32 FI:-1.05/-1.47 RG:0.9 V:0.7 R:17 B:0.2 M:- ST:D CH:5 SK:5/2 SQ:0],1.0725,1000,1082,9.4,0.87,10.45,0.97,-0.05,0.00,32.31,3.23
12,Entry short,2023-02-03 18:00:00,[R001S rA:45 hA:44 FI:-1.2/-1.14 RG:0.9 V:0.81 R:21 B:0.04 M:- ST:D CH:26 SK:0/3 SQ:0],1.082,1000,1082,9.4,0.87,10.45,0.97,-0.05,0.00,32.31,3.23
13,Exit short,2023-02-07 16:00:00,[ExitS rA:77 hA:58 FI:-1.05/-1.48 RG:0.9 V:1.41 R:26 B:0.17 M:+ ST:D CH:14 SK:5/2 SQ:0],1.0695,1000,1070.5,0.9,0.08,1.95,0.18,-0.05,0.00,33.22,3.32
13,Entry short,2023-02-07 13:00:00,[R001S rA:48 hA:37 FI:-1.22/-1.11 RG:0.9 V:0.99 R:20 B:0.06 M:+ ST:D CH:31 SK:0/0 SQ:0],1.0705,1000,1070.5,0.9,0.08,1.95,0.18,-0.05,0.00,33.22,3.32
