Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2023-01-03 17:00:00,[ExitL B:NaN R:40 V:3.02 M:+ ST:U SK:NaN/NaN],1.056,1000,1054,1.9,0.18,2.95,0.28,-0.05,0.00,1.9,0.19
1,Entry long,2023-01-03 13:00:00,[BBL B:NaN R:18 V:1.24 M:- ST:D SK:NaN/NaN],1.054,1000,1054,1.9,0.18,2.95,0.28,-0.05,0.00,1.9,0.19
2,Exit short,2023-01-04 14:00:00,[ExitS B:NaN R:66 V:2.27 M:+ ST:U SK:NaN/NaN],1.0615,1000,1061,-0.6,-0.06,0.45,0.04,-0.55,-0.05,1.31,0.13
2,Entry short,2023-01-04 11:00:00,[BBS B:NaN R:65 V:0.49 M:+ ST:U SK:NaN/NaN],1.061,1000,1061,-0.6,-0.06,0.45,0.04,-0.55,-0.05,1.31,0.13
3,Exit short,2023-01-04 18:00:00,[ExitS B:0.82 R:61 V:1.36 M:+ ST:U SK:84/89],1.061,1000,1061,-0.1,-0.01,0.45,0.04,-0.55,-0.05,1.21,0.12
3,Entry short,2023-01-04 15:00:00,[BBS B:0.82 R:60 V:1.33 M:+ ST:U SK:96/99],1.061,1000,1061,-0.1,-0.01,0.45,0.04,-0.55,-0.05,1.21,0.12
4,Exit short,2023-01-05 08:00:00,[ExitS B:0.74 R:56 V:1.6 M:- ST:U SK:75/82],1.0615,1000,1061.5,-0.1,-0.01,1.13,0.11,-0.05,0.00,1.11,0.11
4,Entry short,2023-01-05 03:00:00,[BBS B:0.71 R:57 V:0.86 M:- ST:U SK:90/87],1.0615,1000,1061.5,-0.1,-0.01,1.13,0.11,-0.05,0.00,1.11,0.11
5,Exit long,2023-01-06 14:00:00,[ExitL B:0.56 R:49 V:0.71 M:+ ST:U SK:88/80],1.053,1000,1050.5,2.4,0.23,3.45,0.33,-0.05,0.00,3.51,0.35
5,Entry long,2023-01-06 13:00:00,[BBL B:0.2 R:32 V:0.49 M:- ST:D SK:5/2],1.0505,1000,1050.5,2.4,0.23,3.45,0.33,-0.05,0.00,3.51,0.35
6,Exit short,2023-01-09 12:00:00,[ExitS B:0.61 R:75 V:1.07 M:- ST:U SK:40/49],1.068,1000,1068,-0.1,-0.01,0.95,0.09,-0.05,0.00,3.42,0.34
6,Entry short,2023-01-09 09:00:00,[BBS B:0.64 R:82 V:0.78 M:+ ST:U SK:87/84],1.068,1000,1068,-0.1,-0.01,0.95,0.09,-0.05,0.00,3.42,0.34
7,Exit short,2023-01-10 09:00:00,[ExitS B:0.75 R:69 V:2.83 M:- ST:D SK:73/78],1.074,1000,1074,-0.1,-0.01,0.95,0.09,-0.05,0.00,3.32,0.33
7,Entry short,2023-01-09 20:00:00,[BBS B:0.8 R:74 V:1.36 M:- ST:U SK:95/98],1.074,1000,1074,-0.1,-0.01,0.95,0.09,-0.05,0.00,3.32,0.33
8,Exit short,2023-01-11 10:00:00,[ExitS B:0.69 R:56 V:0.81 M:- ST:U SK:60/66],1.074,1000,1073.5,-0.6,-0.06,0.45,0.04,-0.55,-0.05,2.72,0.27
8,Entry short,2023-01-11 08:00:00,[BBS B:0.73 R:54 V:1.07 M:- ST:U SK:87/94],1.0735,1000,1073.5,-0.6,-0.06,0.45,0.04,-0.55,-0.05,2.72,0.27
9,Exit short,2023-01-11 19:00:00,[ExitS B:0.69 R:55 V:1.37 M:- ST:D SK:56/66],1.075,1000,1075.5,0.4,0.04,1.45,0.13,-0.05,0.00,3.12,0.31
9,Entry short,2023-01-11 16:00:00,[BBS B:0.49 R:59 V:0.51 M:+ ST:U SK:79/71],1.0755,1000,1075.5,0.4,0.04,1.45,0.13,-0.05,0.00,3.12,0.31
10,Exit short,2023-01-12 09:00:00,[ExitS B:0.65 R:57 V:0.55 M:- ST:U SK:43/48],1.076,1000,1076,-0.1,-0.01,0.95,0.09,-0.05,0.00,3.02,0.30
10,Entry short,2023-01-12 08:00:00,[BBS B:0.81 R:58 V:0.87 M:+ ST:U SK:90/97],1.076,1000,1076,-0.1,-0.01,0.95,0.09,-0.05,0.00,3.02,0.30
11,Exit short,2023-01-12 15:00:00,[ExitS B:0.68 R:47 V:1.11 M:- ST:D SK:50/57],1.078,1000,1081.5,3.4,0.31,4.45,0.41,-0.05,0.00,6.42,0.64
11,Entry short,2023-01-12 14:00:00,[BBS B:0.72 R:71 V:0.56 M:+ ST:U SK:89/90],1.0815,1000,1081.5,3.4,0.31,4.45,0.41,-0.05,0.00,6.42,0.64
12,Exit short,2023-01-13 08:00:00,[ExitS B:0.21 R:70 V:1.57 M:+ ST:U SK:6/2],1.085,1000,1084.5,-0.6,-0.06,0,0.00,-0.55,-0.05,5.82,0.58
12,Entry short,2023-01-13 08:00:00,[BBS B:0.82 R:66 V:1.33 M:+ ST:U SK:95/98],1.0845,1000,1084.5,-0.6,-0.06,0,0.00,-0.55,-0.05,5.82,0.58
13,Exit short,2023-01-13 14:00:00,[ExitS B:0.8 R:42 V:0.91 M:- ST:D SK:77/84],1.0805,1000,1084.5,3.9,0.36,4.95,0.46,-0.05,0.00,9.72,0.97
13,Entry short,2023-01-13 11:00:00,[BBS B:0.73 R:63 V:0.99 M:+ ST:U SK:83/92],1.0845,1000,1084.5,3.9,0.36,4.95,0.46,-0.05,0.00,9.72,0.97
14,Exit long,2023-01-13 17:00:00,[ExitL B:0.71 R:48 V:1.74 M:- ST:U SK:93/96],1.082,1000,1081,0.9,0.08,1.45,0.13,-0.05,0.00,10.62,1.06
14,Entry long,2023-01-13 14:00:00,[BBL B:0.2 R:45 V:0.91 M:- ST:D SK:8/3],1.081,1000,1081,0.9,0.08,1.45,0.13,-0.05,0.00,10.62,1.06
15,Exit short,2023-01-16 09:00:00,[ExitS B:0.17 R:41 V:0.94 M:- ST:D SK:6/2],1.0815,1000,1085,3.4,0.31,4.45,0.41,-0.05,0.00,14.02,1.40
15,Entry short,2023-01-16 06:00:00,[BBS B:0.71 R:60 V:0.5 M:+ ST:U SK:82/80],1.085,1000,1085,3.4,0.31,4.45,0.41,-0.05,0.00,14.02,1.40
16,Exit long,2023-01-16 17:00:00,[ExitL B:0.38 R:46 V:2.68 M:- ST:U SK:56/48],1.082,1000,1082,-0.1,-0.01,0.95,0.09,-0.05,0.00,13.92,1.39
16,Entry long,2023-01-16 10:00:00,[BBL B:0.26 R:45 V:0.95 M:- ST:D SK:14/6],1.082,1000,1082,-0.1,-0.01,0.95,0.09,-0.05,0.00,13.92,1.39
17,Exit short,2023-01-18 00:00:00,[ExitS B:0.19 R:35 V:0.98 M:- ST:D SK:5/2],1.079,1000,1085,5.9,0.54,6.45,0.59,-0.05,0.00,19.82,1.98
