Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2023-01-16 10:00:00,ExitS,1.0818,1000,1085.4,3.5,0.32,4.75,0.44,-0.73,-0.07,3.5,0.35
1,Entry short,2023-01-16 06:00:00,BnceS,1.0854,1000,1085.4,3.5,0.32,4.75,0.44,-0.73,-0.07,3.5,0.35
2,Exit short,2023-01-18 07:00:00,ExitS,1.0788,1000,1084.8,5.9,0.54,7.27,0.67,-0.05,0.00,9.4,0.94
2,Entry short,2023-01-17 15:00:00,BnceS,1.0848,1000,1084.8,5.9,0.54,7.27,0.67,-0.05,0.00,9.4,0.94
3,Exit long,2023-01-20 13:00:00,ExitL,1.0824,1000,1080.6,1.7,0.16,3.43,0.32,-0.05,0.00,11.1,1.11
3,Entry long,2023-01-19 17:00:00,BnceL,1.0806,1000,1080.6,1.7,0.16,3.43,0.32,-0.05,0.00,11.1,1.11
4,Exit long,2023-01-25 07:00:00,ExitL,1.089,1000,1086,2.9,0.27,4.15,0.38,-0.05,0.00,14,1.40
4,Entry long,2023-01-24 15:00:00,BnceL,1.086,1000,1086,2.9,0.27,4.15,0.38,-0.05,0.00,14,1.40
5,Exit short,2023-01-26 18:00:00,ExitS,1.0872,1000,1090.8,3.5,0.32,4.75,0.44,-0.05,0.00,17.5,1.75
5,Entry short,2023-01-26 09:00:00,BnceS,1.0908,1000,1090.8,3.5,0.32,4.75,0.44,-0.05,0.00,17.5,1.75
6,Exit long,2023-01-30 08:00:00,ExitL,1.0866,1000,1085.4,1.1,0.10,2.2,0.20,-0.05,0.00,18.6,1.86
6,Entry long,2023-01-27 17:00:00,BnceL,1.0854,1000,1085.4,1.1,0.10,2.2,0.20,-0.05,0.00,18.6,1.86
