Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-07-11 23:00:00,[ExitL rA:NaN R:NaN V:1 B:0.5 M:- ST:D CH:NaN CF:- MI:NaN SK:NaN/NaN PS:U SQ:0 LC:NaN],159.15,1000,158950,1.16,0.12,1.84,0.18,-0.05,0.00,1.16,0.12
1,Entry long,2024-07-11 22:00:00,[R002L rA:NaN R:NaN V:1 B:0.5 M:- ST:D CH:NaN CF:- MI:NaN SK:NaN/NaN PS:D SQ:0 LC:NaN],158.95,1000,158950,1.16,0.12,1.84,0.18,-0.05,0.00,1.16,0.12
2,Exit short,2024-07-12 00:00:00,[ExitS rA:NaN R:30 V:1.37 B:0.2 M:- ST:D CH:5 CF:- MI:9 SK:NaN/NaN PS:D SQ:0 LC:NaN],158.4,1000,158950,3.36,0.34,4.04,0.40,-0.05,0.00,4.52,0.45
2,Entry short,2024-07-11 23:00:00,[R001S rA:NaN R:NaN V:1 B:0.5 M:- ST:D CH:NaN CF:- MI:NaN SK:NaN/NaN PS:D SQ:0 LC:NaN],158.95,1000,158950,3.36,0.34,4.04,0.40,-0.05,0.00,4.52,0.45
3,Exit short,2024-07-17 14:00:00,[ExitS rA:NaN R:37 V:1.14 B:0.39 M:+ ST:D CH:26 CF:- MI:29 SK:5/2 PS:D SQ:0 LC:NaN],156.4,1000,156350,-0.41,-0.04,0,0.00,-0.37,-0.04,4.1,0.41
3,Entry short,2024-07-17 14:00:00,[R001S rA:NaN R:28 V:1.47 B:0.18 M:+ ST:D CH:24 CF:- MI:33 SK:NaN/NaN PS:D SQ:0 LC:NaN],156.35,1000,156350,-0.41,-0.04,0,0.00,-0.37,-0.04,4.1,0.41
4,Exit short,2024-07-23 23:00:00,[ExitS rA:50 R:29 V:0.49 B:0.17 M:- ST:D CH:16 CF:- MI:20 SK:13/19 PS:D SQ:0 LC:-0.22],155.7,1000,155850,0.86,0.09,1.54,0.16,-0.05,0.00,4.97,0.50
4,Entry short,2024-07-23 16:00:00,[R001S rA:51 R:26 V:0.58 B:0.11 M:- ST:D CH:26 CF:- MI:18 SK:15/30 PS:D SQ:0 LC:-0.24],155.85,1000,155850,0.86,0.09,1.54,0.16,-0.05,0.00,4.97,0.50
5,Exit short,2024-07-24 23:00:00,[ExitS rA:49 R:47 V:0.85 B:0.54 M:+ ST:D CH:30 CF:+ MI:50 SK:6/2 PS:D SQ:0 LC:-0.37],153.75,1000,153700,-0.42,-0.04,0.28,0.03,-0.37,-0.04,4.54,0.45
5,Entry short,2024-07-24 22:00:00,[R001S rA:42 R:42 V:0.63 B:0.52 M:+ ST:D CH:19 CF:+ MI:55 SK:0/5 PS:D SQ:0 LC:-0.36],153.7,1000,153700,-0.42,-0.04,0.28,0.03,-0.37,-0.04,4.54,0.45
6,Exit short,2024-07-31 14:00:00,[ExitS rA:33 R:19 V:0.54 B:0.2 M:+ ST:D CH:16 CF:- MI:35 SK:24/34 PS:D SQ:0 LC:0.04],149.95,1000,150000,0.23,0.02,0.93,0.09,-0.05,0.00,4.77,0.48
6,Entry short,2024-07-31 13:00:00,[R001S rA:36 R:10 V:0.56 B:0.1 M:+ ST:D CH:14 CF:- MI:28 SK:47/60 PS:D SQ:0 LC:0.01],150,1000,150000,0.23,0.02,0.93,0.09,-0.05,0.00,4.77,0.48
7,Exit short,2024-08-01 02:00:00,[ExitS rA:89 R:25 V:0.6 B:0.2 M:- ST:D CH:5 CF:- MI:4 SK:6/2 PS:D SQ:0 LC:-0.61],149.3,1000,149850,3.57,0.36,4.29,0.43,-0.05,0.00,8.34,0.83
7,Entry short,2024-07-31 23:00:00,[R001S rA:90 R:33 V:0.86 B:0.17 M:+ ST:D CH:34 CF:- MI:46 SK:0/0 PS:D SQ:0 LC:-0.64],149.85,1000,149850,3.57,0.36,4.29,0.43,-0.05,0.00,8.34,0.83
8,Exit short,2024-08-02 01:00:00,[ExitS rA:52 R:27 V:3.62 B:0.18 M:- ST:D CH:20 CF:- MI:48 SK:5/2 PS:D SQ:0 LC:-0.41],149.35,1000,149400,0.23,0.02,0.95,0.10,-0.05,0.00,8.58,0.86
8,Entry short,2024-08-01 20:00:00,[R001S rA:32 R:20 V:0.26 B:0.08 M:- ST:D CH:18 CF:- MI:26 SK:29/43 PS:D SQ:0 LC:-0.28],149.4,1000,149400,0.23,0.02,0.95,0.10,-0.05,0.00,8.58,0.86
9,Exit short,2024-08-05 07:00:00,[ExitS rA:56 R:13 V:1.61 B:0.2 M:+ ST:D CH:5 CF:- MI:11 SK:7/2 PS:D SQ:0 LC:-0.54],142.8,1000,146650,26.16,2.62,26.89,2.69,-0.05,0.00,34.74,3.47
9,Entry short,2024-08-02 18:00:00,[R001S rA:52 R:21 V:0.75 B:0.11 M:+ ST:D CH:37 CF:- MI:31 SK:0/0 PS:D SQ:0 LC:-0.52],146.65,1000,146650,26.16,2.62,26.89,2.69,-0.05,0.00,34.74,3.47
