Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-11-24 22:45,Close entry(s) order Long,1.15216,1000,1151.69,-1.83,-0.16,0,0.00,-1.68,-0.15,-1.83,-0.18
1,Entry long,2025-11-24 20:10,Long,1.15169,1000,1151.69,-1.83,-0.16,0,0.00,-1.68,-0.15,-1.83,-0.18
2,Exit short,2025-11-25 23:50,Close entry(s) order Short,1.15793,1000,1157.89,-2.36,-0.20,0,0.00,-2.87,-0.25,-4.19,-0.42
2,Entry short,2025-11-25 17:45,Short,1.15789,1000,1157.89,-2.36,-0.20,0,0.00,-2.87,-0.25,-4.19,-0.42
3,Exit long,2025-11-26 06:45,Close entry(s) order Long,1.1575,1000,1155.54,-0.35,-0.03,1,0.09,-1.46,-0.13,-4.54,-0.45
3,Entry long,2025-11-26 06:05,Long,1.15554,1000,1155.54,-0.35,-0.03,1,0.09,-1.46,-0.13,-4.54,-0.45
4,Exit short,2025-11-26 19:00,Close entry(s) order Short,1.16038,1000,1160.17,-2.53,-0.22,0,0.00,-2.35,-0.20,-7.07,-0.71
4,Entry short,2025-11-26 15:55,Short,1.16017,1000,1160.17,-2.53,-0.22,0,0.00,-2.35,-0.20,-7.07,-0.71
5,Exit long,2025-11-27 05:55,Close entry(s) order Long,1.15956,1000,1157.93,-0.69,-0.06,0.61,0.05,-1.42,-0.12,-7.76,-0.78
5,Entry long,2025-11-27 01:35,Long,1.15793,1000,1157.93,-0.69,-0.06,0.61,0.05,-1.42,-0.12,-7.76,-0.78
6,Exit short,2025-11-27 16:25,Close entry(s) order Short,1.15988,1000,1160.02,-2.18,-0.19,0,0.00,-1.34,-0.12,-9.94,-0.99
6,Entry short,2025-11-27 15:15,Short,1.16002,1000,1160.02,-2.18,-0.19,0,0.00,-1.34,-0.12,-9.94,-0.99
7,Exit long,2025-11-30 14:50,Close entry(s) order Long,1.15967,1000,1159.51,-2.16,-0.19,0,0.00,-1.17,-0.10,-12.1,-1.21
7,Entry long,2025-11-30 14:10,Long,1.15951,1000,1159.51,-2.16,-0.19,0,0.00,-1.17,-0.10,-12.1,-1.21
8,Exit short,2025-12-01 10:25,Close entry(s) order Short,1.16138,1000,1164.62,0.91,0.08,2.22,0.19,-1.48,-0.13,-11.19,-1.12
8,Entry short,2025-12-01 05:10,Short,1.16462,1000,1164.62,0.91,0.08,2.22,0.19,-1.48,-0.13,-11.19,-1.12
9,Exit long,2025-12-01 17:05,Close entry(s) order Long,1.16074,1000,1160.51,-2.09,-0.18,0,0.00,-1.27,-0.11,-13.28,-1.33
9,Entry long,2025-12-01 16:30,Long,1.16051,1000,1160.51,-2.09,-0.18,0,0.00,-1.27,-0.11,-13.28,-1.33
10,Exit long,2025-12-02 03:35,Close entry(s) order Long,1.16094,1000,1160.24,-1.62,-0.14,0,0.00,-1.26,-0.11,-14.9,-1.49
10,Entry long,2025-12-02 02:25,Long,1.16024,1000,1160.24,-1.62,-0.14,0,0.00,-1.26,-0.11,-14.9,-1.49
11,Exit short,2025-12-03 14:30,Close entry(s) order Short,1.16729,1000,1165.69,-3.93,-0.34,0,0.00,-3.26,-0.28,-18.83,-1.88
11,Entry short,2025-12-03 02:30,Short,1.16569,1000,1165.69,-3.93,-0.34,0,0.00,-3.26,-0.28,-18.83,-1.88
12,Exit short,2025-12-08 00:20,Close entry(s) order Short,1.16532,1000,1166.44,-1.21,-0.10,0,0.00,-1.53,-0.13,-20.04,-2.00
